id,label,title,source_file,source_location,file_type,scale_level,node_type,parent_node_id,region_cell_code,root_g1_id,macro_zone,g1_type,place_template_id,evidence_status,status,confidence_project,degree,in_degree,out_degree,community,community_name,norm_label,color,grid_x,grid_y
gn_nov_g1_00_00,Южная лесо-болотная и сельско-промысловая ячейка (nov_g1_00_00),Южная лесо-болотная и сельско-промысловая ячейка (nov_g1_00_00),tsv_import/novgorod_graph_nodes_g1_g4_full_v6.tsv,L2,G1 region_cell,G1,region_cell,,nov_g1_00_00,gn_nov_g1_00_00,southern_wet_forest_hinterland,empty_wild,,regional_typological,usable_with_caution,medium_low,25,9,16,0,G1 regional cells,южная лесо-болотная и сельско-промысловая ячейка (nov_g1_00_00),#e15759,0,0
gn_nov_g1_00_01,Южная лесо-болотная и сельско-промысловая ячейка (nov_g1_00_01),Южная лесо-болотная и сельско-промысловая ячейка (nov_g1_00_01),tsv_import/novgorod_graph_nodes_g1_g4_full_v6.tsv,L3,G1 region_cell,G1,region_cell,,nov_g1_00_01,gn_nov_g1_00_01,southern_wet_forest_hinterland,empty_wild,,regional_typological,usable_with_caution,medium_low,27,10,17,0,G1 regional cells,южная лесо-болотная и сельско-промысловая ячейка (nov_g1_00_01),#e15759,0,1
gn_nov_g1_00_02,Шелонская западная лесо-пойменная ячейка (nov_g1_00_02),Шелонская западная лесо-пойменная ячейка (nov_g1_00_02),tsv_import/novgorod_graph_nodes_g1_g4_full_v6.tsv,L4,G1 region_cell,G1,region_cell,,nov_g1_00_02,gn_nov_g1_00_02,shelon_west_corridor,dense_river_road,,source_backed_corridor,usable_with_caution,medium_low,60,21,39,0,G1 regional cells,шелонская западная лесо-пойменная ячейка (nov_g1_00_02),#e15759,0,2
gn_nov_g1_00_03,Шелонская западная лесо-пойменная ячейка (nov_g1_00_03),Шелонская западная лесо-пойменная ячейка (nov_g1_00_03),tsv_import/novgorod_graph_nodes_g1_g4_full_v6.tsv,L5,G1 region_cell,G1,region_cell,,nov_g1_00_03,gn_nov_g1_00_03,shelon_west_corridor,dense_river_road,,source_backed_corridor,usable_with_caution,medium_low,60,21,39,0,G1 regional cells,шелонская западная лесо-пойменная ячейка (nov_g1_00_03),#e15759,0,3
gn_nov_g1_00_04,Центральная лесо-луговая сельская ячейка (nov_g1_00_04),Центральная лесо-луговая сельская ячейка (nov_g1_00_04),tsv_import/novgorod_graph_nodes_g1_g4_full_v6.tsv,L6,G1 region_cell,G1,region_cell,,nov_g1_00_04,gn_nov_g1_00_04,central_rural_forest_meadow,ordinary_rural,,regional_typological,usable_with_caution,medium_low,42,15,27,0,G1 regional cells,центральная лесо-луговая сельская ячейка (nov_g1_00_04),#e15759,0,4
gn_nov_g1_00_05,Северная лесная ячейка между Волховом и внутренними промысловыми зонами (nov_g1_00_05),Северная лесная ячейка между Волховом и внутренними промысловыми зонами (nov_g1_00_05),tsv_import/novgorod_graph_nodes_g1_g4_full_v6.tsv,L7,G1 region_cell,G1,region_cell,,nov_g1_00_05,gn_nov_g1_00_05,northern_forest_volkhov_hinterland,dense_river_road,,regional_typological,usable_with_caution,medium_low,60,21,39,0,G1 regional cells,северная лесная ячейка между волховом и внутренними промысловыми зонами (nov_g1_00_05),#e15759,0,5
gn_nov_g1_00_06,Северная лесная ячейка между Волховом и внутренними промысловыми зонами (nov_g1_00_06),Северная лесная ячейка между Волховом и внутренними промысловыми зонами (nov_g1_00_06),tsv_import/novgorod_graph_nodes_g1_g4_full_v6.tsv,L8,G1 region_cell,G1,region_cell,,nov_g1_00_06,gn_nov_g1_00_06,northern_forest_volkhov_hinterland,dense_river_road,,regional_typological,usable_with_caution,medium_low,58,20,38,0,G1 regional cells,северная лесная ячейка между волховом и внутренними промысловыми зонами (nov_g1_00_06),#e15759,0,6
gn_nov_g1_01_00,Ловатско-Полистская лесо-речная ячейка южного Приильменья (nov_g1_01_00),Ловатско-Полистская лесо-речная ячейка южного Приильменья (nov_g1_01_00),tsv_import/novgorod_graph_nodes_g1_g4_full_v6.tsv,L9,G1 region_cell,G1,region_cell,,nov_g1_01_00,gn_nov_g1_01_00,lovat_pola_south_corridor,dense_river_road,,source_backed_corridor,usable_with_caution,medium_low,60,21,39,0,G1 regional cells,ловатско-полистская лесо-речная ячейка южного приильменья (nov_g1_01_00),#e15759,1,0
gn_nov_g1_01_01,Ловатско-Полистская лесо-речная ячейка южного Приильменья (nov_g1_01_01),Ловатско-Полистская лесо-речная ячейка южного Приильменья (nov_g1_01_01),tsv_import/novgorod_graph_nodes_g1_g4_full_v6.tsv,L10,G1 region_cell,G1,region_cell,,nov_g1_01_01,gn_nov_g1_01_01,lovat_pola_south_corridor,dense_river_road,,source_backed_corridor,usable_with_caution,medium_low,62,22,40,0,G1 regional cells,ловатско-полистская лесо-речная ячейка южного приильменья (nov_g1_01_01),#e15759,1,1
gn_nov_g1_01_02,"Приильменьская береговая ячейка с рыболовством, сенокосом и локальными поселениями (nov_g1_01_02)","Приильменьская береговая ячейка с рыболовством, сенокосом и локальными поселениями (nov_g1_01_02)",tsv_import/novgorod_graph_nodes_g1_g4_full_v6.tsv,L11,G1 region_cell,G1,region_cell,,nov_g1_01_02,gn_nov_g1_01_02,ilmen_shore_and_deltas,dense_river_road,,source_backed_corridor,usable_with_caution,medium,62,22,40,0,G1 regional cells,"приильменьская береговая ячейка с рыболовством, сенокосом и локальными поселениями (nov_g1_01_02)",#e15759,1,2
