id	slug	title	node_type	scale_level	parent_node_id	region_id	region_cell_code	g1_type	place_template_id	place_template_title	template_type_note	name_status	evidence_status	primary_landscape_template_id	primary_water_body_template_id	land_use_template_ids	route_template_ids_guidance	authority_or_control	economic_function	game_use	limits	known_to_player_default	known_to_character_default	status	confidence	sources	audit_notes	scale_class	household_estimate	household_mix	site_extent_note	g4_target	historical_gameplay_profile	scale_audit_status
gn_nov_g1_00_00_g3_001_bereze_ohotnichiy_stan	bereze_ohotnichiy_stan	Березье: охотничий стан	place	G3	gn_nov_g1_00_00_g2_01_core_wild_forest	region_novgorod_land	nov_g1_00_00	empty_wild	pt_hunting_camp	Охотничий стан	охотничий стан	fictional_historicized_name	historically_plausible_construct	lt_wet_lowland_forest	wb_brook	"[""lu_hay_meadow_cutting"", ""lu_hunting_ground"", ""lu_fur_trapping_ground"", ""lu_tree_beekeeping_bortnichestvo"", ""lu_wild_food_gathering""]"	"[""rt_path"", ""rt_forest_track"", ""rt_winter_road"", ""rt_offroad_crossing""]"	местный обычай / держатель / старший двора; точный владелец материализуется при входе в сцену	выведено из land_use_template_ids и place_template_id	G3-место для будущих G4-локаций, NPC, предметов и маршрутов.	Не выдавать вымышленное имя за исторический факт. Конкретные NPC/предметы создаются только при материализации сцены.	false	false	draft	medium_low	"[""src_project_g1_g5_rules"", ""src_he_medieval_settlements"", ""src_novgorod_region_g1_70""]"	Сгенерировано в рамках насыщения G2-G4 для 70 активных G1. V6: добавлен масштабный профиль, G4 пересобран как функциональный игровой разрез места.	resource_camp	0-3 временных двора/избы; постоянного поселения обычно нет	промысловики, лесные работники, сторож или временная артель	входная тропа, кострище, жилая изба/шалаш, навес, склад, вода, ресурсная линия и выход в лес/болото	7 G4-зон	связан с ресурсной средой, сезонностью и риском ориентации	v6_scale_checked
gn_nov_g1_00_00_g3_002_luzhitsy_dvor	luzhitsy_dvor	Лужицы: двор	place	G3	gn_nov_g1_00_00_g2_02_wet_ground	region_novgorod_land	nov_g1_00_00	empty_wild	pt_isolated_farmstead	Одиночный двор / изолированная усадьба	двор	fictional_historicized_name	historically_plausible_construct	lt_wet_lowland_forest	wb_brook	"[""lu_hay_meadow_cutting"", ""lu_hunting_ground"", ""lu_fur_trapping_ground"", ""lu_tree_beekeeping_bortnichestvo"", ""lu_wild_food_gathering""]"	"[""rt_path"", ""rt_forest_track"", ""rt_winter_road"", ""rt_offroad_crossing""]"	местный обычай / держатель / старший двора; точный владелец материализуется при входе в сцену	выведено из land_use_template_ids и place_template_id	G3-место для будущих G4-локаций, NPC, предметов и маршрутов.	Не выдавать вымышленное имя за исторический факт. Конкретные NPC/предметы создаются только при материализации сцены.	false	false	draft	medium_low	"[""src_project_g1_g5_rules"", ""src_he_medieval_settlements"", ""src_novgorod_region_g1_70""]"	Сгенерировано в рамках насыщения G2-G4 для 70 активных G1. V6: добавлен масштабный профиль, G4 пересобран как функциональный игровой разрез места.	isolated_farmstead	1-3 двора	один старший двор и 0-2 зависимых/родственных двора	одиночный двор или малый выселок, не село; важны подъезд, жилой двор, клеть, скот, вода, огород/покос и лесной выход	8 G4-зон	малое место не раздуто до поселения, но имеет все игровые зоны для сцены	v6_scale_checked
gn_nov_g1_00_00_g3_003_selische_zimove	verhnee_selische_zimove	Верхнее Селище: зимовье	place	G3	gn_nov_g1_00_00_g2_01_core_wild_forest	region_novgorod_land	nov_g1_00_00	empty_wild	pt_wintering_hut	Зимовье / промысловая зимняя стоянка	зимовье	fictional_historicized_name	historically_plausible_construct	lt_wet_lowland_forest	wb_brook	"[""lu_hay_meadow_cutting"", ""lu_hunting_ground"", ""lu_fur_trapping_ground"", ""lu_tree_beekeeping_bortnichestvo"", ""lu_wild_food_gathering""]"	"[""rt_path"", ""rt_forest_track"", ""rt_winter_road"", ""rt_offroad_crossing""]"	местный обычай / держатель / старший двора; точный владелец материализуется при входе в сцену	выведено из land_use_template_ids и place_template_id	G3-место для будущих G4-локаций, NPC, предметов и маршрутов.	Не выдавать вымышленное имя за исторический факт. Конкретные NPC/предметы создаются только при материализации сцены.	false	false	draft	medium_low	"[""src_project_g1_g5_rules"", ""src_he_medieval_settlements"", ""src_novgorod_region_g1_70"", ""src_master_audit_2026_07_04""]"	Сгенерировано в рамках насыщения G2-G4 для 70 активных G1. Ранний топонимический квалификатор сохранён: добавлен локальный топонимический квалификатор, чтобы одноимённые деревни/становища/пристани не выглядели как один и тот же объект в разных G1. Проверено при v6-аудите: грамматика гидронимов/топонимов и локальные квалификаторы. V6: добавлен масштабный профиль, G4 пересобран как функциональный игровой разрез места.	resource_camp	0-3 временных двора/избы; постоянного поселения обычно нет	промысловики, лесные работники, сторож или временная артель	входная тропа, кострище, жилая изба/шалаш, навес, склад, вода, ресурсная линия и выход в лес/болото	7 G4-зон	связан с ресурсной средой, сезонностью и риском ориентации	v6_scale_checked
gn_nov_g1_00_01_g3_001_navolok_ohotnichiy_stan	verhniy_navolok_ohotnichiy_stan_nov_g1_00_01	Верхний Наволок: охотничий стан	place	G3	gn_nov_g1_00_01_g2_01_core_wild_forest	region_novgorod_land	nov_g1_00_01	empty_wild	pt_hunting_camp	Охотничий стан	охотничий стан	fictional_historicized_name	historically_plausible_construct	lt_wet_lowland_forest	wb_brook	"[""lu_hay_meadow_cutting"", ""lu_hunting_ground"", ""lu_fur_trapping_ground"", ""lu_tree_beekeeping_bortnichestvo"", ""lu_wild_food_gathering""]"	"[""rt_path"", ""rt_forest_track"", ""rt_winter_road"", ""rt_offroad_crossing""]"	местный обычай / держатель / старший двора; точный владелец материализуется при входе в сцену	выведено из land_use_template_ids и place_template_id	G3-место для будущих G4-локаций, NPC, предметов и маршрутов.	Не выдавать вымышленное имя за исторический факт. Конкретные NPC/предметы создаются только при материализации сцены.	false	false	draft	medium_low	"[""src_project_g1_g5_rules"", ""src_he_medieval_settlements"", ""src_novgorod_region_g1_70"", ""src_master_audit_2026_07_04""]"	Сгенерировано в рамках насыщения G2-G4 для 70 активных G1. Ранний топонимический квалификатор сохранён: добавлен локальный топонимический квалификатор, чтобы одноимённые деревни/становища/пристани не выглядели как один и тот же объект в разных G1. V6: добавлен масштабный профиль, G4 пересобран как функциональный игровой разрез места.	resource_camp	0-3 временных двора/избы; постоянного поселения обычно нет	промысловики, лесные работники, сторож или временная артель	входная тропа, кострище, жилая изба/шалаш, навес, склад, вода, ресурсная линия и выход в лес/болото	7 G4-зон	связан с ресурсной средой, сезонностью и риском ориентации	v6_scale_checked
gn_nov_g1_00_01_g3_002_glinka_dvor	verhnyaya_glinka_dvor	Верхняя Глинка: двор	place	G3	gn_nov_g1_00_01_g2_02_wet_ground	region_novgorod_land	nov_g1_00_01	empty_wild	pt_isolated_farmstead	Одиночный двор / изолированная усадьба	двор	fictional_historicized_name	historically_plausible_construct	lt_wet_lowland_forest	wb_brook	"[""lu_hay_meadow_cutting"", ""lu_hunting_ground"", ""lu_fur_trapping_ground"", ""lu_tree_beekeeping_bortnichestvo"", ""lu_wild_food_gathering""]"	"[""rt_path"", ""rt_forest_track"", ""rt_winter_road"", ""rt_offroad_crossing""]"	местный обычай / держатель / старший двора; точный владелец материализуется при входе в сцену	выведено из land_use_template_ids и place_template_id	G3-место для будущих G4-локаций, NPC, предметов и маршрутов.	Не выдавать вымышленное имя за исторический факт. Конкретные NPC/предметы создаются только при материализации сцены.	false	false	draft	medium_low	"[""src_project_g1_g5_rules"", ""src_he_medieval_settlements"", ""src_novgorod_region_g1_70"", ""src_master_audit_2026_07_04""]"	Сгенерировано в рамках насыщения G2-G4 для 70 активных G1. Ранний топонимический квалификатор сохранён: добавлен локальный топонимический квалификатор, чтобы одноимённые деревни/становища/пристани не выглядели как один и тот же объект в разных G1. Проверено при v6-аудите: грамматика гидронимов/топонимов и локальные квалификаторы. V6: добавлен масштабный профиль, G4 пересобран как функциональный игровой разрез места.	isolated_farmstead	1-3 двора	один старший двор и 0-2 зависимых/родственных двора	одиночный двор или малый выселок, не село; важны подъезд, жилой двор, клеть, скот, вода, огород/покос и лесной выход	8 G4-зон	малое место не раздуто до поселения, но имеет все игровые зоны для сцены	v6_scale_checked
gn_nov_g1_00_01_g3_003_luki_zimove	verhnie_luki_zimove	Верхние Луки: зимовье	place	G3	gn_nov_g1_00_01_g2_01_core_wild_forest	region_novgorod_land	nov_g1_00_01	empty_wild	pt_wintering_hut	Зимовье / промысловая зимняя стоянка	зимовье	fictional_historicized_name	historically_plausible_construct	lt_wet_lowland_forest	wb_brook	"[""lu_hay_meadow_cutting"", ""lu_hunting_ground"", ""lu_fur_trapping_ground"", ""lu_tree_beekeeping_bortnichestvo"", ""lu_wild_food_gathering""]"	"[""rt_path"", ""rt_forest_track"", ""rt_winter_road"", ""rt_offroad_crossing""]"	местный обычай / держатель / старший двора; точный владелец материализуется при входе в сцену	выведено из land_use_template_ids и place_template_id	G3-место для будущих G4-локаций, NPC, предметов и маршрутов.	Не выдавать вымышленное имя за исторический факт. Конкретные NPC/предметы создаются только при материализации сцены.	false	false	draft	medium_low	"[""src_project_g1_g5_rules"", ""src_he_medieval_settlements"", ""src_novgorod_region_g1_70"", ""src_master_audit_2026_07_04""]"	Сгенерировано в рамках насыщения G2-G4 для 70 активных G1. Ранний топонимический квалификатор сохранён: добавлен локальный топонимический квалификатор, чтобы одноимённые деревни/становища/пристани не выглядели как один и тот же объект в разных G1. Проверено при v6-аудите: грамматика гидронимов/топонимов и локальные квалификаторы. V6: добавлен масштабный профиль, G4 пересобран как функциональный игровой разрез места.	resource_camp	0-3 временных двора/избы; постоянного поселения обычно нет	промысловики, лесные работники, сторож или временная артель	входная тропа, кострище, жилая изба/шалаш, навес, склад, вода, ресурсная линия и выход в лес/болото	7 G4-зон	связан с ресурсной средой, сезонностью и риском ориентации	v6_scale_checked
gn_nov_g1_00_02_g3_001_olshanik_pristan	verhniy_olshanik_pristan_nov_g1_00_02	Верхний Ольшаник: пристань	place	G3	gn_nov_g1_00_02_g2_03_landing_zone	region_novgorod_land	nov_g1_00_02	dense_river_road	pt_river_landing	Речная пристань / высадочное место	пристань	fictional_historicized_name	historically_plausible_construct	lt_alluvial_floodplain	wb_medium_river	"[""lu_hay_meadow_cutting"", ""lu_inland_capture_fishing"", ""lu_rainfed_arable"", ""lu_hunting_ground""]"	"[""rt_river_route"", ""rt_local_road"", ""rt_ford"", ""rt_winter_road""]"	местный обычай / держатель / старший двора; точный владелец материализуется при входе в сцену	выведено из land_use_template_ids и place_template_id	G3-место для будущих G4-локаций, NPC, предметов и маршрутов.	Не выдавать вымышленное имя за исторический факт. Конкретные NPC/предметы создаются только при материализации сцены.	false	false	draft	medium_low	"[""src_project_g1_g5_rules"", ""src_he_medieval_settlements"", ""src_novgorod_region_g1_70"", ""src_master_audit_2026_07_04""]"	Сгенерировано в рамках насыщения G2-G4 для 70 активных G1. Ранний топонимический квалификатор сохранён: добавлен локальный топонимический квалификатор, чтобы одноимённые деревни/становища/пристани не выглядели как один и тот же объект в разных G1. V6: добавлен масштабный профиль, G4 пересобран как функциональный игровой разрез места.	water_crossing_or_landing	0-6 постоянных дворов/изб перевозчиков, сторожей или складских держателей	перевозчик/лодейщик; сторож; 0-2 хозяйственных двора; приезжие не считаются дворами места	узел воды и суши: подход, берег ожидания, переправа/мостки, лодки, склад, кострище, противоположный выход и сезонные риски	9-10 G4-зон	должен быть развилкой, а не декоративной точкой	v6_scale_checked
gn_nov_g1_00_02_g3_002_staryy_sled_brod	verhnee_sledovo_brod	Верхнее Следово: брод	place	G3	gn_nov_g1_00_02_g2_03_landing_zone	region_novgorod_land	nov_g1_00_02	dense_river_road	pt_ford_place	Бродовое место	брод	fictional_historicized_name	historically_plausible_construct	lt_alluvial_floodplain	wb_medium_river	"[""lu_hay_meadow_cutting"", ""lu_inland_capture_fishing"", ""lu_rainfed_arable"", ""lu_hunting_ground""]"	"[""rt_river_route"", ""rt_local_road"", ""rt_ford"", ""rt_winter_road""]"	местный обычай / держатель / старший двора; точный владелец материализуется при входе в сцену	выведено из land_use_template_ids и place_template_id	G3-место для будущих G4-локаций, NPC, предметов и маршрутов.	Не выдавать вымышленное имя за исторический факт. Конкретные NPC/предметы создаются только при материализации сцены.	false	false	draft	medium_low	"[""src_project_g1_g5_rules"", ""src_he_medieval_settlements"", ""src_novgorod_region_g1_70"", ""src_master_audit_2026_07_04""]"	Сгенерировано в рамках насыщения G2-G4 для 70 активных G1. Ранний топонимический квалификатор сохранён: добавлен локальный топонимический квалификатор, чтобы одноимённые деревни/становища/пристани не выглядели как один и тот же объект в разных G1. Проверено при v6-аудите: грамматика гидронимов/топонимов и локальные квалификаторы. V6: добавлен масштабный профиль, G4 пересобран как функциональный игровой разрез места.	water_crossing_or_landing	0-6 постоянных дворов/изб перевозчиков, сторожей или складских держателей	перевозчик/лодейщик; сторож; 0-2 хозяйственных двора; приезжие не считаются дворами места	узел воды и суши: подход, берег ожидания, переправа/мостки, лодки, склад, кострище, противоположный выход и сезонные риски	9-10 G4-зон	должен быть развилкой, а не декоративной точкой	v6_scale_checked
gn_nov_g1_00_02_g3_003_kamenka_selo	verhnyaya_kamenka_selo	Верхняя Каменка: село	place	G3	gn_nov_g1_00_02_g2_06_rural_supply_belt	region_novgorod_land	nov_g1_00_02	dense_river_road	pt_village	Сельское поселение	село	fictional_historicized_name	historically_plausible_construct	lt_alluvial_floodplain	wb_medium_river	"[""lu_hay_meadow_cutting"", ""lu_inland_capture_fishing"", ""lu_rainfed_arable"", ""lu_hunting_ground""]"	"[""rt_river_route"", ""rt_local_road"", ""rt_ford"", ""rt_winter_road""]"	местный обычай / держатель / старший двора; точный владелец материализуется при входе в сцену	выведено из land_use_template_ids и place_template_id	G3-место для будущих G4-локаций, NPC, предметов и маршрутов.	Не выдавать вымышленное имя за исторический факт. Конкретные NPC/предметы создаются только при материализации сцены.	false	false	draft	medium_low	"[""src_project_g1_g5_rules"", ""src_he_medieval_settlements"", ""src_novgorod_region_g1_70"", ""src_master_audit_2026_07_04""]"	Сгенерировано в рамках насыщения G2-G4 для 70 активных G1. Ранний топонимический квалификатор сохранён: добавлен локальный топонимический квалификатор, чтобы одноимённые деревни/становища/пристани не выглядели как один и тот же объект в разных G1. Проверено при v6-аудите: грамматика гидронимов/топонимов и локальные квалификаторы. V6: добавлен масштабный профиль, G4 пересобран как функциональный игровой разрез места.	large_village_or_selo	примерно 20-45 дворов	1-3 зажиточных/старших; 12-30 обычных; 3-10 бедных или крайних; 1 церковный/причтовый двор при селе	село с улицей, церковным двором или местом схода, хозяйственными клетями, скотом, водой, огородами, пашней и выходами к дороге/реке/лесу	12 G4-зон	должно играться как сельский центр, а не как две избы	v6_scale_checked
gn_nov_g1_00_02_g3_004_zareche_selo	verhnee_zareche_selo	Верхнее Заречье: село	place	G3	gn_nov_g1_00_02_g2_06_rural_supply_belt	region_novgorod_land	nov_g1_00_02	dense_river_road	pt_village	Сельское поселение	село	fictional_historicized_name	historically_plausible_construct	lt_alluvial_floodplain	wb_medium_river	"[""lu_hay_meadow_cutting"", ""lu_inland_capture_fishing"", ""lu_rainfed_arable"", ""lu_hunting_ground""]"	"[""rt_river_route"", ""rt_local_road"", ""rt_ford"", ""rt_winter_road""]"	местный обычай / держатель / старший двора; точный владелец материализуется при входе в сцену	выведено из land_use_template_ids и place_template_id	G3-место для будущих G4-локаций, NPC, предметов и маршрутов.	Не выдавать вымышленное имя за исторический факт. Конкретные NPC/предметы создаются только при материализации сцены.	false	false	draft	medium_low	"[""src_project_g1_g5_rules"", ""src_he_medieval_settlements"", ""src_novgorod_region_g1_70"", ""src_master_audit_2026_07_04""]"	Сгенерировано в рамках насыщения G2-G4 для 70 активных G1. Ранний топонимический квалификатор сохранён: добавлен локальный топонимический квалификатор, чтобы одноимённые деревни/становища/пристани не выглядели как один и тот же объект в разных G1. Проверено при v6-аудите: грамматика гидронимов/топонимов и локальные квалификаторы. V6: добавлен масштабный профиль, G4 пересобран как функциональный игровой разрез места.	large_village_or_selo	примерно 20-45 дворов	1-3 зажиточных/старших; 12-30 обычных; 3-10 бедных или крайних; 1 церковный/причтовый двор при селе	село с улицей, церковным двором или местом схода, хозяйственными клетями, скотом, водой, огородами, пашней и выходами к дороге/реке/лесу	12 G4-зон	должно играться как сельский центр, а не как две избы	v6_scale_checked
