g3_id	title	place_template_id	scale_class	household_estimate	household_mix	site_extent_note	g4_target	historical_gameplay_profile
gn_nov_g1_00_00_g3_001_bereze_ohotnichiy_stan	Березье: охотничий стан	pt_hunting_camp	resource_camp	0-3 временных двора/избы; постоянного поселения обычно нет	промысловики, лесные работники, сторож или временная артель	входная тропа, кострище, жилая изба/шалаш, навес, склад, вода, ресурсная линия и выход в лес/болото	7 G4-зон	связан с ресурсной средой, сезонностью и риском ориентации
gn_nov_g1_00_00_g3_002_luzhitsy_dvor	Лужицы: двор	pt_isolated_farmstead	isolated_farmstead	1-3 двора	один старший двор и 0-2 зависимых/родственных двора	одиночный двор или малый выселок, не село; важны подъезд, жилой двор, клеть, скот, вода, огород/покос и лесной выход	8 G4-зон	малое место не раздуто до поселения, но имеет все игровые зоны для сцены
gn_nov_g1_00_00_g3_003_selische_zimove	Верхнее Селище: зимовье	pt_wintering_hut	resource_camp	0-3 временных двора/избы; постоянного поселения обычно нет	промысловики, лесные работники, сторож или временная артель	входная тропа, кострище, жилая изба/шалаш, навес, склад, вода, ресурсная линия и выход в лес/болото	7 G4-зон	связан с ресурсной средой, сезонностью и риском ориентации
gn_nov_g1_00_01_g3_001_navolok_ohotnichiy_stan	Верхний Наволок: охотничий стан	pt_hunting_camp	resource_camp	0-3 временных двора/избы; постоянного поселения обычно нет	промысловики, лесные работники, сторож или временная артель	входная тропа, кострище, жилая изба/шалаш, навес, склад, вода, ресурсная линия и выход в лес/болото	7 G4-зон	связан с ресурсной средой, сезонностью и риском ориентации
gn_nov_g1_00_01_g3_002_glinka_dvor	Верхняя Глинка: двор	pt_isolated_farmstead	isolated_farmstead	1-3 двора	один старший двор и 0-2 зависимых/родственных двора	одиночный двор или малый выселок, не село; важны подъезд, жилой двор, клеть, скот, вода, огород/покос и лесной выход	8 G4-зон	малое место не раздуто до поселения, но имеет все игровые зоны для сцены
gn_nov_g1_00_01_g3_003_luki_zimove	Верхние Луки: зимовье	pt_wintering_hut	resource_camp	0-3 временных двора/избы; постоянного поселения обычно нет	промысловики, лесные работники, сторож или временная артель	входная тропа, кострище, жилая изба/шалаш, навес, склад, вода, ресурсная линия и выход в лес/болото	7 G4-зон	связан с ресурсной средой, сезонностью и риском ориентации
gn_nov_g1_00_02_g3_001_olshanik_pristan	Верхний Ольшаник: пристань	pt_river_landing	water_crossing_or_landing	0-6 постоянных дворов/изб перевозчиков, сторожей или складских держателей	перевозчик/лодейщик; сторож; 0-2 хозяйственных двора; приезжие не считаются дворами места	узел воды и суши: подход, берег ожидания, переправа/мостки, лодки, склад, кострище, противоположный выход и сезонные риски	9-10 G4-зон	должен быть развилкой, а не декоративной точкой
gn_nov_g1_00_02_g3_002_staryy_sled_brod	Верхнее Следово: брод	pt_ford_place	water_crossing_or_landing	0-6 постоянных дворов/изб перевозчиков, сторожей или складских держателей	перевозчик/лодейщик; сторож; 0-2 хозяйственных двора; приезжие не считаются дворами места	узел воды и суши: подход, берег ожидания, переправа/мостки, лодки, склад, кострище, противоположный выход и сезонные риски	9-10 G4-зон	должен быть развилкой, а не декоративной точкой
gn_nov_g1_00_02_g3_003_kamenka_selo	Верхняя Каменка: село	pt_village	large_village_or_selo	примерно 20-45 дворов	1-3 зажиточных/старших; 12-30 обычных; 3-10 бедных или крайних; 1 церковный/причтовый двор при селе	село с улицей, церковным двором или местом схода, хозяйственными клетями, скотом, водой, огородами, пашней и выходами к дороге/реке/лесу	12 G4-зон	должно играться как сельский центр, а не как две избы
gn_nov_g1_00_02_g3_004_zareche_selo	Верхнее Заречье: село	pt_village	large_village_or_selo	примерно 20-45 дворов	1-3 зажиточных/старших; 12-30 обычных; 3-10 бедных или крайних; 1 церковный/причтовый двор при селе	село с улицей, церковным двором или местом схода, хозяйственными клетями, скотом, водой, огородами, пашней и выходами к дороге/реке/лесу	12 G4-зон	должно играться как сельский центр, а не как две избы
