role_id	role_title	role_group	historical_term	modern_explanation	period	region_id	social_rank	freedom_status	dependency_type	typical_authority_over_them	typical_authority_they_have	legal_capacity	property_rights	movement_rights	weapon_rights	speech_and_testimony_weight	access_to_places	typical_places	typical_g3_place_types	typical_g4_location_types	economic_basis	common_income_sources	common_obligations	common_debts	family_pattern	household_pattern	typical_dependents	typical_patrons	typical_conflicts	typical_fears	typical_knowledge	route_knowledge_level	market_knowledge_level	law_custom_knowledge_level	religious_knowledge_level	literacy_expectation	languages_or_speech_notes	attitude_to_strangers	attitude_to_authority	attitude_to_church	attitude_to_violence	npc_generation_depth_default	can_be_background_npc	can_be_scene_npc	can_be_key_npc	player_character_allowed	player_character_limits	llm_generation_rules	llm_forbidden_uses	status	confidence	sources	source_note	audit_notes
nov_role_prince	князь	власть	князь	Князь как внешний и договорный носитель военной власти и династического статуса в новгородском порядке.	1230-1250	region_novgorod_land	elite	free	dynastic_service	вечевая, княжеская, боярская или владычная власть; обычай и свидетели	городские люди; зависимые; слуги; должники; подчинённые по должности	может вступать в обычные сделки и споры в пределах статуса и поручительства	может владеть обычным имуществом статуса; чужое и служебное имущество требует права доступа	может перемещаться, но дорога, долг, поручитель и власть создают ограничения	оружие допустимо как знак власти и охраны, но его применение политически рискованно	очень высокий, но вызывает политическое противодействие	город; двор власти; торг; ворота; судное место	город; двор власти; торг; ворота; судное место	pt_administrative_court; pt_market_place; pt_city_major_center	administrative_yard; judgement_hall; guard_place; market_square	служба, суд, сбор, порядок	кормление; доля пошлин; жалование; доход двора	семья; долг; обычай; служба; посты и праздники; дорожный или дворовой порядок по месту	деньги; хлеб; товар; услуга; поручительство; недоимка; долг хозяину или двору по статусу	родня, брак, дети и домочадцы учитываются по статусу; для монахов и сирот заменяется братией, опекуном или хозяином	двор, семья, артель, братия или чужой дом задаются только при сценической необходимости	дети; ученики; слуги; животные; младшие работники по статусу	родня; хозяин; боярин; купец; монастырь; владычный двор; княжий человек; община	долг; чужое имущество; доступ во двор; недовес; оскорбление; насилие; спор о дороге, земле, труде или поручительстве	голод; потеря статуса; болезнь; пожар; долг; обвинение; дорога; военная тревога; гнев старшего; позор перед общиной	знает своё место, ближние слухи, долги, безопасные подходы и порядок своей среды; не всеведущ	high	high	high	medium_high	низкая по умолчанию; выше у элиты, церкви, писцов и купеческих доверенных	новгородская русская речь; у чужих гостей возможен немецкий, финно-угорский или иной говор; переводчик требуется по ситуации	сначала оценивает поручителя, одежду, речь, вещи и причину появления	боится, уважает или использует власть согласно статусу; открытый спор требует причины	церковь влияет на клятву, календарь, милостыню, убежище, репутацию и страх греха	насилие редко является первым решением; зависит от свидетелей, статуса жертвы, места и права	historical_key	no	yes	yes	no	нельзя делать слишком свободным, богатым, всеведущим или вооружённым без причины; требуется связь со стартовой сценой	использовать как шаблон статуса, прав, знаний, имущества и рисков; конкретного NPC создавать только при сценической причине и в пределах лимитов	не превращать роль в класс персонажа; не давать всем одинаковые знания; не создавать скрытые мотивы в player-facing прозе; не создавать текущее состояние партии	approved	high	src_novgorod_first_chronicle; src_russkaya_pravda; src_yanin_novgorod_posadniki; src_birchbark_corpus_context; src_project_region_profile_v1; src_project_map_v6	региональная социальная реконструкция для Новгородской земли XIII века; точные термины и частные права требуют аудита	рабочий профиль; не является академической монографией; применять через статус, место, сезон и причинную необходимость
nov_role_posadnik	посадник	власть	посадник	Высший городской должностной человек из элитной среды, связанный с судом, порядком и боярской политикой.	1230-1250	region_novgorod_land	elite	free	office_and_boyar_network	вечевая, княжеская, боярская или владычная власть; обычай и свидетели	городские люди; зависимые; слуги; должники; подчинённые по должности	может вступать в обычные сделки и споры в пределах статуса и поручительства	может владеть обычным имуществом статуса; чужое и служебное имущество требует права доступа	может перемещаться, но дорога, долг, поручитель и власть создают ограничения	оружие допустимо как знак власти и охраны, но его применение политически рискованно	очень высокий, но вызывает политическое противодействие	город; двор власти; торг; ворота; судное место	город; двор власти; торг; ворота; судное место	pt_administrative_court; pt_market_place; pt_city_major_center	administrative_yard; judgement_hall; guard_place; market_square	служба, суд, сбор, порядок	кормление; доля пошлин; жалование; доход двора	семья; долг; обычай; служба; посты и праздники; дорожный или дворовой порядок по месту	деньги; хлеб; товар; услуга; поручительство; недоимка; долг хозяину или двору по статусу	родня, брак, дети и домочадцы учитываются по статусу; для монахов и сирот заменяется братией, опекуном или хозяином	двор, семья, артель, братия или чужой дом задаются только при сценической необходимости	дети; ученики; слуги; животные; младшие работники по статусу	родня; хозяин; боярин; купец; монастырь; владычный двор; княжий человек; община	долг; чужое имущество; доступ во двор; недовес; оскорбление; насилие; спор о дороге, земле, труде или поручительстве	голод; потеря статуса; болезнь; пожар; долг; обвинение; дорога; военная тревога; гнев старшего; позор перед общиной	знает своё место, ближние слухи, долги, безопасные подходы и порядок своей среды; не всеведущ	high	high	high	medium_high	низкая по умолчанию; выше у элиты, церкви, писцов и купеческих доверенных	новгородская русская речь; у чужих гостей возможен немецкий, финно-угорский или иной говор; переводчик требуется по ситуации	сначала оценивает поручителя, одежду, речь, вещи и причину появления	боится, уважает или использует власть согласно статусу; открытый спор требует причины	церковь влияет на клятву, календарь, милостыню, убежище, репутацию и страх греха	насилие редко является первым решением; зависит от свидетелей, статуса жертвы, места и права	key	yes	yes	yes	conditional	нельзя делать слишком свободным, богатым, всеведущим или вооружённым без причины; требуется связь со стартовой сценой	использовать как шаблон статуса, прав, знаний, имущества и рисков; конкретного NPC создавать только при сценической причине и в пределах лимитов	не превращать роль в класс персонажа; не давать всем одинаковые знания; не создавать скрытые мотивы в player-facing прозе; не создавать текущее состояние партии	approved	high	src_novgorod_first_chronicle; src_russkaya_pravda; src_yanin_novgorod_posadniki; src_birchbark_corpus_context; src_project_region_profile_v1; src_project_map_v6	региональная социальная реконструкция для Новгородской земли XIII века; точные термины и частные права требуют аудита	рабочий профиль; не является академической монографией; применять через статус, место, сезон и причинную необходимость
nov_role_tysyatsky	тысяцкий	власть	тысяцкий	Должностное лицо, связанное с городским ополчением, торговым порядком и публичными делами.	1230-1250	region_novgorod_land	high	free	office_and_urban_militia	вечевая, княжеская, боярская или владычная власть; обычай и свидетели	работники, слуги, младшие, зависимые по двору или службе	может вступать в обычные сделки и споры в пределах статуса и поручительства	может владеть обычным имуществом статуса; чужое и служебное имущество требует права доступа	может перемещаться, но дорога, долг, поручитель и власть создают ограничения	оружие возможно по статусу, службе или дороге; в городе риск свидетелей высок	высокий среди своих; слабее против равных элит	город; двор власти; торг; ворота; судное место	город; двор власти; торг; ворота; судное место	pt_administrative_court; pt_market_place; pt_city_major_center	administrative_yard; judgement_hall; guard_place; market_square	служба, суд, сбор, порядок	кормление; доля пошлин; жалование; доход двора	семья; долг; обычай; служба; посты и праздники; дорожный или дворовой порядок по месту	деньги; хлеб; товар; услуга; поручительство; недоимка; долг хозяину или двору по статусу	родня, брак, дети и домочадцы учитываются по статусу; для монахов и сирот заменяется братией, опекуном или хозяином	двор, семья, артель, братия или чужой дом задаются только при сценической необходимости	дети; ученики; слуги; животные; младшие работники по статусу	родня; хозяин; боярин; купец; монастырь; владычный двор; княжий человек; община	долг; чужое имущество; доступ во двор; недовес; оскорбление; насилие; спор о дороге, земле, труде или поручительстве	голод; потеря статуса; болезнь; пожар; долг; обвинение; дорога; военная тревога; гнев старшего; позор перед общиной	знает своё место, ближние слухи, долги, безопасные подходы и порядок своей среды; не всеведущ	medium_high	medium_high	medium_high	medium	низкая по умолчанию; выше у элиты, церкви, писцов и купеческих доверенных	новгородская русская речь; у чужих гостей возможен немецкий, финно-угорский или иной говор; переводчик требуется по ситуации	сначала оценивает поручителя, одежду, речь, вещи и причину появления	боится, уважает или использует власть согласно статусу; открытый спор требует причины	церковь влияет на клятву, календарь, милостыню, убежище, репутацию и страх греха	насилие редко является первым решением; зависит от свидетелей, статуса жертвы, места и права	key	yes	yes	yes	conditional	нельзя делать слишком свободным, богатым, всеведущим или вооружённым без причины; требуется связь со стартовой сценой	использовать как шаблон статуса, прав, знаний, имущества и рисков; конкретного NPC создавать только при сценической причине и в пределах лимитов	не превращать роль в класс персонажа; не давать всем одинаковые знания; не создавать скрытые мотивы в player-facing прозе; не создавать текущее состояние партии	approved	medium_high	src_novgorod_first_chronicle; src_russkaya_pravda; src_yanin_novgorod_posadniki; src_birchbark_corpus_context; src_project_region_profile_v1; src_project_map_v6	региональная социальная реконструкция для Новгородской земли XIII века; точные термины и частные права требуют аудита	рабочий профиль; не является академической монографией; применять через статус, место, сезон и причинную необходимость
nov_role_sotsky	сотский	власть	сотский	Местный или городской младший распорядитель; применение требует сверки с местом и временем.	1230-1250	region_novgorod_land	middle	free	office_or_community	вечевая, княжеская, боярская или владычная власть; обычай и свидетели	домочадцы, ученики, работники или младшие по делу	может вступать в обычные сделки и споры в пределах статуса и поручительства	может владеть обычным имуществом статуса; чужое и служебное имущество требует права доступа	может перемещаться, но дорога, долг, поручитель и власть создают ограничения	нож, посох или служебное оружие допустимы по обстоятельствам; боевое оружие требует основания	средний, зависит от поручителя, репутации и места	город; двор власти; торг; ворота; судное место	город; двор власти; торг; ворота; судное место	pt_administrative_court; pt_market_place; pt_city_major_center	administrative_yard; judgement_hall; guard_place; market_square	служба, суд, сбор, порядок	кормление; доля пошлин; жалование; доход двора	семья; долг; обычай; служба; посты и праздники; дорожный или дворовой порядок по месту	деньги; хлеб; товар; услуга; поручительство; недоимка; долг хозяину или двору по статусу	родня, брак, дети и домочадцы учитываются по статусу; для монахов и сирот заменяется братией, опекуном или хозяином	двор, семья, артель, братия или чужой дом задаются только при сценической необходимости	дети; ученики; слуги; животные; младшие работники по статусу	родня; хозяин; боярин; купец; монастырь; владычный двор; княжий человек; община	долг; чужое имущество; доступ во двор; недовес; оскорбление; насилие; спор о дороге, земле, труде или поручительстве	голод; потеря статуса; болезнь; пожар; долг; обвинение; дорога; военная тревога; гнев старшего; позор перед общиной	знает своё место, ближние слухи, долги, безопасные подходы и порядок своей среды; не всеведущ	medium	medium	medium	medium	низкая по умолчанию; выше у элиты, церкви, писцов и купеческих доверенных	новгородская русская речь; у чужих гостей возможен немецкий, финно-угорский или иной говор; переводчик требуется по ситуации	сначала оценивает поручителя, одежду, речь, вещи и причину появления	боится, уважает или использует власть согласно статусу; открытый спор требует причины	церковь влияет на клятву, календарь, милостыню, убежище, репутацию и страх греха	насилие редко является первым решением; зависит от свидетелей, статуса жертвы, места и права	scene	yes	yes	conditional	conditional	нельзя делать слишком свободным, богатым, всеведущим или вооружённым без причины; требуется связь со стартовой сценой	использовать как шаблон статуса, прав, знаний, имущества и рисков; конкретного NPC создавать только при сценической причине и в пределах лимитов	не превращать роль в класс персонажа; не давать всем одинаковые знания; не создавать скрытые мотивы в player-facing прозе; не создавать текущее состояние партии	usable_with_caution	medium	src_novgorod_first_chronicle; src_russkaya_pravda; src_yanin_novgorod_posadniki; src_birchbark_corpus_context; src_project_region_profile_v1; src_project_map_v6	региональная социальная реконструкция для Новгородской земли XIII века; точные термины и частные права требуют аудита	рабочий профиль; не является академической монографией; применять через статус, место, сезон и причинную необходимость
nov_role_city_elder	городской старший	власть	старший муж / старейшина	Уважаемый старший человек улицы, конца или двора, влияющий на доверие и порядок.	1230-1250	region_novgorod_land	high	free	community_authority	вечевая, княжеская, боярская или владычная власть; обычай и свидетели	работники, слуги, младшие, зависимые по двору или службе	может вступать в обычные сделки и споры в пределах статуса и поручительства	может владеть обычным имуществом статуса; чужое и служебное имущество требует права доступа	может перемещаться, но дорога, долг, поручитель и власть создают ограничения	оружие возможно по статусу, службе или дороге; в городе риск свидетелей высок	высокий среди своих; слабее против равных элит	город; двор власти; торг; ворота; судное место	город; двор власти; торг; ворота; судное место	pt_administrative_court; pt_market_place; pt_city_major_center	administrative_yard; judgement_hall; guard_place; market_square	служба, суд, сбор, порядок	кормление; доля пошлин; жалование; доход двора	семья; долг; обычай; служба; посты и праздники; дорожный или дворовой порядок по месту	деньги; хлеб; товар; услуга; поручительство; недоимка; долг хозяину или двору по статусу	родня, брак, дети и домочадцы учитываются по статусу; для монахов и сирот заменяется братией, опекуном или хозяином	двор, семья, артель, братия или чужой дом задаются только при сценической необходимости	дети; ученики; слуги; животные; младшие работники по статусу	родня; хозяин; боярин; купец; монастырь; владычный двор; княжий человек; община	долг; чужое имущество; доступ во двор; недовес; оскорбление; насилие; спор о дороге, земле, труде или поручительстве	голод; потеря статуса; болезнь; пожар; долг; обвинение; дорога; военная тревога; гнев старшего; позор перед общиной	знает своё место, ближние слухи, долги, безопасные подходы и порядок своей среды; не всеведущ	medium_high	medium_high	medium_high	medium	низкая по умолчанию; выше у элиты, церкви, писцов и купеческих доверенных	новгородская русская речь; у чужих гостей возможен немецкий, финно-угорский или иной говор; переводчик требуется по ситуации	сначала оценивает поручителя, одежду, речь, вещи и причину появления	боится, уважает или использует власть согласно статусу; открытый спор требует причины	церковь влияет на клятву, календарь, милостыню, убежище, репутацию и страх греха	насилие редко является первым решением; зависит от свидетелей, статуса жертвы, места и права	scene	yes	yes	yes	conditional	нельзя делать слишком свободным, богатым, всеведущим или вооружённым без причины; требуется связь со стартовой сценой	использовать как шаблон статуса, прав, знаний, имущества и рисков; конкретного NPC создавать только при сценической причине и в пределах лимитов	не превращать роль в класс персонажа; не давать всем одинаковые знания; не создавать скрытые мотивы в player-facing прозе; не создавать текущее состояние партии	usable_with_caution	medium	src_novgorod_first_chronicle; src_russkaya_pravda; src_yanin_novgorod_posadniki; src_birchbark_corpus_context; src_project_region_profile_v1; src_project_map_v6	региональная социальная реконструкция для Новгородской земли XIII века; точные термины и частные права требуют аудита	рабочий профиль; не является академической монографией; применять через статус, место, сезон и причинную необходимость
nov_role_starosta	староста	село	староста	Старший общины, села, погоста или хозяйственного двора.	1230-1250	region_novgorod_land	middle	free	community_and_landholder	староста, община, землевладелец, монастырь, боярский двор или долг	домочадцы, ученики, работники или младшие по делу	может вступать в обычные сделки и споры в пределах статуса и поручительства	может владеть обычным имуществом статуса; чужое и служебное имущество требует права доступа	может перемещаться, но дорога, долг, поручитель и власть создают ограничения	нож, посох или служебное оружие допустимы по обстоятельствам; боевое оружие требует основания	средний, зависит от поручителя, репутации и места	село; деревня; погост; двор; гумно; покос	село; деревня; погост; двор; гумно; покос	pt_village; pt_hamlet; pt_pogost_center; pt_isolated_farmstead	dwelling_yard; field_edge; cattle_yard; threshing_floor	земля, скот, покос, повинности	урожай; скот; работа; натуральный обмен	семья; долг; обычай; служба; посты и праздники; дорожный или дворовой порядок по месту	деньги; хлеб; товар; услуга; поручительство; недоимка; долг хозяину или двору по статусу	родня, брак, дети и домочадцы учитываются по статусу; для монахов и сирот заменяется братией, опекуном или хозяином	двор, семья, артель, братия или чужой дом задаются только при сценической необходимости	дети; ученики; слуги; животные; младшие работники по статусу	родня; хозяин; боярин; купец; монастырь; владычный двор; княжий человек; община	долг; чужое имущество; доступ во двор; недовес; оскорбление; насилие; спор о дороге, земле, труде или поручительстве	голод; потеря статуса; болезнь; пожар; долг; обвинение; дорога; военная тревога; гнев старшего; позор перед общиной	знает своё место, ближние слухи, долги, безопасные подходы и порядок своей среды; не всеведущ	medium	medium	medium	medium	низкая по умолчанию; выше у элиты, церкви, писцов и купеческих доверенных	новгородская русская речь; у чужих гостей возможен немецкий, финно-угорский или иной говор; переводчик требуется по ситуации	сначала оценивает поручителя, одежду, речь, вещи и причину появления	боится, уважает или использует власть согласно статусу; открытый спор требует причины	церковь влияет на клятву, календарь, милостыню, убежище, репутацию и страх греха	насилие редко является первым решением; зависит от свидетелей, статуса жертвы, места и права	scene	yes	yes	conditional	conditional	нельзя делать слишком свободным, богатым, всеведущим или вооружённым без причины; требуется связь со стартовой сценой	использовать как шаблон статуса, прав, знаний, имущества и рисков; конкретного NPC создавать только при сценической причине и в пределах лимитов	не превращать роль в класс персонажа; не давать всем одинаковые знания; не создавать скрытые мотивы в player-facing прозе; не создавать текущее состояние партии	approved	medium_high	src_novgorod_first_chronicle; src_russkaya_pravda; src_yanin_novgorod_posadniki; src_birchbark_corpus_context; src_project_region_profile_v1; src_project_map_v6	региональная социальная реконструкция для Новгородской земли XIII века; точные термины и частные права требуют аудита	рабочий профиль; не является академической монографией; применять через статус, место, сезон и причинную необходимость
nov_role_toll_collector	сборщик пошлины	власть	мытарь / пошлинник	Человек, собирающий торговую, дорожную или перевозную плату от имени власти, двора или держателя.	1230-1250	region_novgorod_land	middle	free	office_or_lord_service	вечевая, княжеская, боярская или владычная власть; обычай и свидетели	домочадцы, ученики, работники или младшие по делу	может вступать в обычные сделки и споры в пределах статуса и поручительства	может владеть обычным имуществом статуса; чужое и служебное имущество требует права доступа	может перемещаться, но дорога, долг, поручитель и власть создают ограничения	нож, посох или служебное оружие допустимы по обстоятельствам; боевое оружие требует основания	средний, зависит от поручителя, репутации и места	город; двор власти; торг; ворота; судное место	город; двор власти; торг; ворота; судное место	pt_administrative_court; pt_market_place; pt_city_major_center	administrative_yard; judgement_hall; guard_place; market_square	служба, суд, сбор, порядок	кормление; доля пошлин; жалование; доход двора	семья; долг; обычай; служба; посты и праздники; дорожный или дворовой порядок по месту	деньги; хлеб; товар; услуга; поручительство; недоимка; долг хозяину или двору по статусу	родня, брак, дети и домочадцы учитываются по статусу; для монахов и сирот заменяется братией, опекуном или хозяином	двор, семья, артель, братия или чужой дом задаются только при сценической необходимости	дети; ученики; слуги; животные; младшие работники по статусу	родня; хозяин; боярин; купец; монастырь; владычный двор; княжий человек; община	долг; чужое имущество; доступ во двор; недовес; оскорбление; насилие; спор о дороге, земле, труде или поручительстве	голод; потеря статуса; болезнь; пожар; долг; обвинение; дорога; военная тревога; гнев старшего; позор перед общиной	знает своё место, ближние слухи, долги, безопасные подходы и порядок своей среды; не всеведущ	medium	medium	medium	medium	низкая по умолчанию; выше у элиты, церкви, писцов и купеческих доверенных	новгородская русская речь; у чужих гостей возможен немецкий, финно-угорский или иной говор; переводчик требуется по ситуации	сначала оценивает поручителя, одежду, речь, вещи и причину появления	боится, уважает или использует власть согласно статусу; открытый спор требует причины	церковь влияет на клятву, календарь, милостыню, убежище, репутацию и страх греха	насилие редко является первым решением; зависит от свидетелей, статуса жертвы, места и права	scene	yes	yes	conditional	conditional	нельзя делать слишком свободным, богатым, всеведущим или вооружённым без причины; требуется связь со стартовой сценой	использовать как шаблон статуса, прав, знаний, имущества и рисков; конкретного NPC создавать только при сценической причине и в пределах лимитов	не превращать роль в класс персонажа; не давать всем одинаковые знания; не создавать скрытые мотивы в player-facing прозе; не создавать текущее состояние партии	usable_with_caution	medium	src_novgorod_first_chronicle; src_russkaya_pravda; src_yanin_novgorod_posadniki; src_birchbark_corpus_context; src_project_region_profile_v1; src_project_map_v6	региональная социальная реконструкция для Новгородской земли XIII века; точные термины и частные права требуют аудита	рабочий профиль; не является академической монографией; применять через статус, место, сезон и причинную необходимость
nov_role_guard	страж	военное	сторож / страж	Сторож ворот, торга, двора, пристани, брода или склада.	1230-1250	region_novgorod_land	low	free	service	князь, старший дружинник, посадник, тысяцкий или держатель места	обычно только младшие семьи или помощники	может вступать в обычные сделки и споры в пределах статуса и поручительства	может владеть обычным имуществом статуса; чужое и служебное имущество требует права доступа	может перемещаться, но дорога, долг, поручитель и власть создают ограничения	обычно нож, топор, посох или инструмент; боевое оружие подозрительно без причины	низкий-средний; сильнее при свидетелях и местной известности	ворота; двор власти; дорога; переправа; торг; княжий двор	ворота; двор власти; дорога; переправа; торг; княжий двор	pt_administrative_court; pt_road_crossroads; pt_ford_place; pt_town	guard_place; outer_gate; road_exit; stable_yard	служба, охрана, сопровождение	жалование; корм; добыча только при правовом основании	семья; долг; обычай; служба; посты и праздники; дорожный или дворовой порядок по месту	деньги; хлеб; товар; услуга; поручительство; недоимка; долг хозяину или двору по статусу	родня, брак, дети и домочадцы учитываются по статусу; для монахов и сирот заменяется братией, опекуном или хозяином	двор, семья, артель, братия или чужой дом задаются только при сценической необходимости	дети; ученики; слуги; животные; младшие работники по статусу	родня; хозяин; боярин; купец; монастырь; владычный двор; княжий человек; община	долг; чужое имущество; доступ во двор; недовес; оскорбление; насилие; спор о дороге, земле, труде или поручительстве	голод; потеря статуса; болезнь; пожар; долг; обвинение; дорога; военная тревога; гнев старшего; позор перед общиной	знает своё место, ближние слухи, долги, безопасные подходы и порядок своей среды; не всеведущ	low_medium	low	low	low_medium	низкая по умолчанию; выше у элиты, церкви, писцов и купеческих доверенных	новгородская русская речь; у чужих гостей возможен немецкий, финно-угорский или иной говор; переводчик требуется по ситуации	сначала оценивает поручителя, одежду, речь, вещи и причину появления	боится, уважает или использует власть согласно статусу; открытый спор требует причины	церковь влияет на клятву, календарь, милостыню, убежище, репутацию и страх греха	насилие редко является первым решением; зависит от свидетелей, статуса жертвы, места и права	scene	yes	yes	conditional	conditional	нельзя делать слишком свободным, богатым, всеведущим или вооружённым без причины; требуется связь со стартовой сценой	использовать как шаблон статуса, прав, знаний, имущества и рисков; конкретного NPC создавать только при сценической причине и в пределах лимитов	не превращать роль в класс персонажа; не давать всем одинаковые знания; не создавать скрытые мотивы в player-facing прозе; не создавать текущее состояние партии	approved	medium_high	src_novgorod_first_chronicle; src_russkaya_pravda; src_yanin_novgorod_posadniki; src_birchbark_corpus_context; src_project_region_profile_v1; src_project_map_v6	региональная социальная реконструкция для Новгородской земли XIII века; точные термины и частные права требуют аудита	рабочий профиль; не является академической монографией; применять через статус, место, сезон и причинную необходимость
