social_class_id,role_archetype_id,is_allowed,notes,status,confidence,sources,audit_notes,created_at,updated_at
ruling_dynastic_elite,ruler,true,,approved,high,"[""seed:universal_social_layer_v1""]","Universal social layer seed v1; explicit data, not procedural.",2026-07-08T00:00:00Z,2026-07-08T00:00:00Z
ruling_dynastic_elite,official_manager,true,,approved,high,"[""seed:universal_social_layer_v1""]","Universal social layer seed v1; explicit data, not procedural.",2026-07-08T00:00:00Z,2026-07-08T00:00:00Z
ruling_dynastic_elite,armed_retainer,true,,approved,high,"[""seed:universal_social_layer_v1""]","Universal social layer seed v1; explicit data, not procedural.",2026-07-08T00:00:00Z,2026-07-08T00:00:00Z
ecclesiastical_elite,official_manager,true,,approved,high,"[""seed:universal_social_layer_v1""]","Universal social layer seed v1; explicit data, not procedural.",2026-07-08T00:00:00Z,2026-07-08T00:00:00Z
ecclesiastical_elite,cleric,true,,approved,high,"[""seed:universal_social_layer_v1""]","Universal social layer seed v1; explicit data, not procedural.",2026-07-08T00:00:00Z,2026-07-08T00:00:00Z
ecclesiastical_elite,monastic,true,,approved,high,"[""seed:universal_social_layer_v1""]","Universal social layer seed v1; explicit data, not procedural.",2026-07-08T00:00:00Z,2026-07-08T00:00:00Z
ecclesiastical_elite,ecclesiastical_agent,true,,approved,high,"[""seed:universal_social_layer_v1""]","Universal social layer seed v1; explicit data, not procedural.",2026-07-08T00:00:00Z,2026-07-08T00:00:00Z
urban_elite,official_manager,true,,approved,high,"[""seed:universal_social_layer_v1""]","Universal social layer seed v1; explicit data, not procedural.",2026-07-08T00:00:00Z,2026-07-08T00:00:00Z
urban_elite,common_householder,true,,approved,high,"[""seed:universal_social_layer_v1""]","Universal social layer seed v1; explicit data, not procedural.",2026-07-08T00:00:00Z,2026-07-08T00:00:00Z
urban_elite,merchant_trader,true,,approved,high,"[""seed:universal_social_layer_v1""]","Universal social layer seed v1; explicit data, not procedural.",2026-07-08T00:00:00Z,2026-07-08T00:00:00Z
landholding_notable,landholder_notable,true,,approved,high,"[""seed:universal_social_layer_v1""]","Universal social layer seed v1; explicit data, not procedural.",2026-07-08T00:00:00Z,2026-07-08T00:00:00Z
landholding_notable,armed_retainer,true,,approved,high,"[""seed:universal_social_layer_v1""]","Universal social layer seed v1; explicit data, not procedural.",2026-07-08T00:00:00Z,2026-07-08T00:00:00Z
landholding_notable,elite_household_member,true,,approved,high,"[""seed:universal_social_layer_v1""]","Universal social layer seed v1; explicit data, not procedural.",2026-07-08T00:00:00Z,2026-07-08T00:00:00Z
free_commoner,guard_watchman,true,,approved,high,"[""seed:universal_social_layer_v1""]","Universal social layer seed v1; explicit data, not procedural.",2026-07-08T00:00:00Z,2026-07-08T00:00:00Z
free_commoner,common_householder,true,,approved,high,"[""seed:universal_social_layer_v1""]","Universal social layer seed v1; explicit data, not procedural.",2026-07-08T00:00:00Z,2026-07-08T00:00:00Z
free_commoner,artisan_master,true,,approved,high,"[""seed:universal_social_layer_v1""]","Universal social layer seed v1; explicit data, not procedural.",2026-07-08T00:00:00Z,2026-07-08T00:00:00Z
free_commoner,merchant_trader,true,,approved,high,"[""seed:universal_social_layer_v1""]","Universal social layer seed v1; explicit data, not procedural.",2026-07-08T00:00:00Z,2026-07-08T00:00:00Z
free_commoner,rural_householder,true,,approved,high,"[""seed:universal_social_layer_v1""]","Universal social layer seed v1; explicit data, not procedural.",2026-07-08T00:00:00Z,2026-07-08T00:00:00Z
free_commoner,rural_laborer,true,,approved,high,"[""seed:universal_social_layer_v1""]","Universal social layer seed v1; explicit data, not procedural.",2026-07-08T00:00:00Z,2026-07-08T00:00:00Z
free_commoner,forest_or_water_producer,true,,approved,high,"[""seed:universal_social_layer_v1""]","Universal social layer seed v1; explicit data, not procedural.",2026-07-08T00:00:00Z,2026-07-08T00:00:00Z
free_commoner,traveler_outsider,true,,approved,high,"[""seed:universal_social_layer_v1""]","Universal social layer seed v1; explicit data, not procedural.",2026-07-08T00:00:00Z,2026-07-08T00:00:00Z
dependent_commoner,elite_household_member,true,,approved,high,"[""seed:universal_social_layer_v1""]","Universal social layer seed v1; explicit data, not procedural.",2026-07-08T00:00:00Z,2026-07-08T00:00:00Z
dependent_commoner,rural_householder,true,,approved,high,"[""seed:universal_social_layer_v1""]","Universal social layer seed v1; explicit data, not procedural.",2026-07-08T00:00:00Z,2026-07-08T00:00:00Z
dependent_commoner,rural_laborer,true,,approved,high,"[""seed:universal_social_layer_v1""]","Universal social layer seed v1; explicit data, not procedural.",2026-07-08T00:00:00Z,2026-07-08T00:00:00Z
unfree_dependent,elite_household_member,true,,approved,high,"[""seed:universal_social_layer_v1""]","Universal social layer seed v1; explicit data, not procedural.",2026-07-08T00:00:00Z,2026-07-08T00:00:00Z
captive_unfree,traveler_outsider,true,,approved,high,"[""seed:universal_social_layer_v1""]","Universal social layer seed v1; explicit data, not procedural.",2026-07-08T00:00:00Z,2026-07-08T00:00:00Z
outsider_foreign,merchant_trader,true,,approved,high,"[""seed:universal_social_layer_v1""]","Universal social layer seed v1; explicit data, not procedural.",2026-07-08T00:00:00Z,2026-07-08T00:00:00Z
outsider_foreign,traveler_outsider,true,,approved,high,"[""seed:universal_social_layer_v1""]","Universal social layer seed v1; explicit data, not procedural.",2026-07-08T00:00:00Z,2026-07-08T00:00:00Z
marginal_outcast,traveler_outsider,true,,approved,high,"[""seed:universal_social_layer_v1""]","Universal social layer seed v1; explicit data, not procedural.",2026-07-08T00:00:00Z,2026-07-08T00:00:00Z
