source_occupation_id,occupation_archetype_id,review_status,notes
nov_occ_princely_service_agent,military_security,pending,group_base
nov_occ_druzhina_warrior,military_security,pending,group_base
nov_occ_junior_retainer,military_security,pending,group_base
nov_occ_gate_guard,military_security,pending,title_override
nov_occ_market_guard,military_security,approved,manual_map
nov_occ_crossing_guard,transport_guiding,pending,group_base
nov_occ_toll_dues_collector,administration_law,pending,group_base
nov_occ_court_clerk_service,administration_law,pending,group_base
nov_occ_posadnik_household_service,administration_law,pending,title_override
nov_occ_tysyatsky_public_order,administration_law,pending,group_base
nov_occ_bishop_court_service,religious_literate,pending,group_base
nov_occ_boyar_yard_manager,craft_production,pending,group_base
nov_occ_long_distance_merchant,trade_exchange,pending,title_override
nov_occ_local_trader,trade_exchange,pending,group_base
nov_occ_market_stall_seller,trade_exchange,pending,group_base
nov_occ_merchant_clerk,trade_exchange,pending,group_base
nov_occ_measurer_weigher,trade_exchange,pending,group_base
nov_occ_storehouse_keeper,trade_exchange,pending,group_base
nov_occ_debt_account_keeper,trade_exchange,pending,group_base
nov_occ_blacksmith,craft_production,pending,group_base
nov_occ_carpenter,craft_production,pending,group_base
nov_occ_cooper,craft_production,pending,group_base
nov_occ_leatherworker,craft_production,pending,group_base
nov_occ_shoemaker,craft_production,pending,group_base
nov_occ_potter,craft_production,pending,group_base
nov_occ_weaver_cloth_worker,craft_production,pending,group_base
nov_occ_tailor_mender,craft_production,pending,group_base
nov_occ_boatbuilder,craft_production,pending,group_base
nov_occ_pitch_tar_worker,forest_hunting,pending,group_base
nov_occ_cart_driver,transport_guiding,pending,group_base
nov_occ_porter,transport_guiding,pending,group_base
nov_occ_landing_worker,transport_guiding,pending,group_base
nov_occ_boatman,transport_guiding,pending,group_base
nov_occ_helmsman,transport_guiding,pending,group_base
nov_occ_ferryman,transport_guiding,approved,manual_map
nov_occ_route_guide,transport_guiding,pending,group_base
nov_occ_portage_worker,transport_guiding,pending,group_base
nov_occ_winter_road_worker,transport_guiding,pending,group_base
nov_occ_ploughman,agriculture,approved,manual_map
nov_occ_haymaker,agriculture,pending,group_base
nov_occ_herder,animal_husbandry,pending,title_override
nov_occ_fisher,fishing_water,pending,title_override
nov_occ_fish_weir_keeper,fishing_water,pending,title_override
nov_occ_hunter_trapper,forest_hunting,pending,title_override
nov_occ_bortnik,forest_hunting,pending,group_base
nov_occ_forest_worker,forest_hunting,pending,title_override
nov_occ_saltworker,forest_hunting,pending,group_base
nov_occ_miller,agriculture,pending,group_base
nov_occ_pogost_service_worker,trade_exchange,pending,title_override
nov_occ_monastic_laborer,religious_literate,pending,group_base
nov_occ_monastery_steward,religious_literate,pending,group_base
nov_occ_parish_priest_service,religious_literate,pending,group_base
nov_occ_deacon_service,religious_literate,pending,group_base
nov_occ_monk_service,religious_literate,pending,group_base
nov_occ_novice_work,religious_literate,pending,group_base
nov_occ_church_guard,religious_literate,pending,group_base
nov_occ_ponomar,religious_literate,pending,group_base
nov_occ_scribe,religious_literate,pending,group_base
nov_occ_cook_baker,craft_production,pending,group_base
nov_occ_household_servant,domestic_service,pending,group_base
nov_occ_day_laborer,domestic_service,pending,group_base
nov_occ_stable_worker,domestic_service,pending,group_base
nov_occ_cattle_keeper,animal_husbandry,pending,title_override
nov_occ_midwife_birth_helper,agriculture,pending,group_base
nov_occ_healer_herbal_helper,agriculture,pending,group_base
nov_occ_beggar_alms,illicit_marginal,pending,title_override
nov_occ_pilgrim_traveler,religious_literate,pending,group_base
nov_occ_messenger_runner,transport_guiding,pending,group_base
