source_occupation_id,source_occupation_title,source_historical_term,source_occupation_group,proposed_occupation_archetype_id,proposed_primary_skill_ids,proposed_secondary_skill_ids,mapping_method,confidence,review_required,ambiguity_reason
nov_occ_princely_service_agent,княжий служилый человек,княжий человек,военное,military_security,"[""melee_combat"", ""athletics""]","[""ranged_combat"", ""observation""]",group_base,medium,true,group=военное
nov_occ_druzhina_warrior,дружинник,дружинник,военное,military_security,"[""melee_combat"", ""athletics""]","[""ranged_combat"", ""observation""]",group_base,medium,true,group=военное
nov_occ_junior_retainer,младший дружинный слуга,отрок / младший служилый,военное,military_security,"[""melee_combat"", ""athletics""]","[""ranged_combat"", ""observation""]",group_base,medium,true,group=военное
nov_occ_gate_guard,страж ворот,сторож ворот,военное,military_security,"[""melee_combat"", ""athletics""]","[""ranged_combat"", ""observation""]",title_override,medium,true,title contains страж
nov_occ_market_guard,страж торга,сторож торга,военное,military_security,"[""melee_combat"", ""athletics""]","[""ranged_combat"", ""observation""]",manual_map,high,false,
nov_occ_crossing_guard,сторож брода или переправы,сторож брода,дорога,transport_guiding,"[""travel_transport"", ""survival""]","[""observation"", ""communication_trade""]",group_base,medium,true,group=дорога
nov_occ_toll_dues_collector,сборщик пошлины,пошлинник / мытарь,власть,administration_law,"[""custom_law_literacy"", ""communication_trade""]","[""observation""]",group_base,medium,true,group=власть
nov_occ_court_clerk_service,писцовый служитель двора власти,писец / счетчик,власть,administration_law,"[""custom_law_literacy"", ""communication_trade""]","[""observation""]",group_base,medium,true,group=власть
nov_occ_posadnik_household_service,служитель посадничьего двора,дворовый человек посадника,власть,administration_law,"[""custom_law_literacy"", ""communication_trade""]","[""observation""]",title_override,medium,true,title contains посад
nov_occ_tysyatsky_public_order,люди тысяцкого при порядке,люди тысяцкого,власть,administration_law,"[""custom_law_literacy"", ""communication_trade""]","[""observation""]",group_base,medium,true,group=власть
nov_occ_bishop_court_service,владычный дворцовый служитель,владычный человек,церковь,religious_literate,"[""custom_law_literacy""]","[""healing"", ""communication_trade""]",group_base,medium,true,group=церковь
nov_occ_boyar_yard_manager,управляющий боярским двором,ключник / старший двора,город,craft_production,"[""craft""]","[""observation""]",group_base,medium,true,group=город
nov_occ_long_distance_merchant,дальний купец,гость / купец,торговля,trade_exchange,"[""communication_trade""]","[""observation"", ""craft""]",title_override,medium,true,title contains купец
nov_occ_local_trader,местный торговец,торговый человек,торговля,trade_exchange,"[""communication_trade""]","[""observation"", ""craft""]",group_base,medium,true,group=торговля
nov_occ_market_stall_seller,лавочный продавец,лавочник / продавец,торговля,trade_exchange,"[""communication_trade""]","[""observation"", ""craft""]",group_base,medium,true,group=торговля
nov_occ_merchant_clerk,купеческий доверенный,приказчик / доверенный,торговля,trade_exchange,"[""communication_trade""]","[""observation"", ""craft""]",group_base,medium,true,group=торговля
nov_occ_measurer_weigher,мерщик или весовщик,мерщик / весовщик,торговля,trade_exchange,"[""communication_trade""]","[""observation"", ""craft""]",group_base,medium,true,group=торговля
nov_occ_storehouse_keeper,сторож или держатель склада,сторож клети,торговля,trade_exchange,"[""communication_trade""]","[""observation"", ""craft""]",group_base,medium,true,group=торговля
nov_occ_debt_account_keeper,человек купеческого долга,счетчик долга,торговля,trade_exchange,"[""communication_trade""]","[""observation"", ""craft""]",group_base,medium,true,group=торговля
