source_role_id,source_role_title,source_historical_term,source_role_group,source_freedom_status,source_dependency_type,proposed_social_position_archetype_id,proposed_social_class_id,proposed_role_archetype_id,proposed_legal_status_archetype_id,proposed_dependency_archetype_id,proposed_mobility_archetype_id,mapping_method,confidence,review_required,ambiguity_reason,blocking_issue
nov_role_prince,князь,князь,власть,free,dynastic_service,regional_dynastic_ruler,ruling_dynastic_elite,ruler,free,none,regionally_mobile,explicit_map,high,false,,
nov_role_posadnik,посадник,посадник,власть,free,office_and_boyar_network,urban_elite_office_holder,urban_elite,official_manager,free,office_service,locally_mobile,manual_map,high,false,,
nov_role_tysyatsky,тысяцкий,тысяцкий,власть,free,office_and_urban_militia,military_officer_elite,ruling_dynastic_elite,armed_retainer,free,military_service,regionally_mobile,explicit_map,high,false,,
nov_role_sotsky,сотский,сотский,власть,free,office_or_community,urban_elite_office_holder,urban_elite,official_manager,free,office_service,locally_mobile,explicit_map,high,false,,
nov_role_city_elder,городской старший,старший муж / старейшина,власть,free,community_authority,free_urban_householder,free_commoner,common_householder,free,none,locally_mobile,explicit_map,high,false,,
nov_role_starosta,староста,староста,село,free,community_and_landholder,landholding_notable_rural,landholding_notable,landholder_notable,free,none,local_bound,explicit_map,high,false,,
nov_role_toll_collector,сборщик пошлины,мытарь / пошлинник,власть,free,office_or_lord_service,urban_elite_office_holder,urban_elite,official_manager,free,office_service,locally_mobile,explicit_map,high,false,,
nov_role_guard,страж,сторож / страж,военное,free,service,guard_watchman_service,free_commoner,guard_watchman,dependent,office_service,locally_mobile,explicit_map,high,false,,
nov_role_princely_man,княжий человек,княжий человек,военное,free,princely_service,armed_retainer_service,landholding_notable,armed_retainer,dependent,military_service,locally_mobile,explicit_map,high,false,,
nov_role_princely_druzhinnik,княжий дружинник,дружинник,военное,free,princely_retinue,armed_retainer_service,landholding_notable,armed_retainer,dependent,military_service,locally_mobile,explicit_map,high,false,,
nov_role_junior_druzhinnik,младший дружинник,отрок / младший дружинник,военное,free,retinue_service,armed_retainer_service,landholding_notable,armed_retainer,dependent,military_service,locally_mobile,explicit_map,high,false,,
nov_role_bishop_man,владычный человек,владычный человек,церковь,free,bishop_service,ecclesiastical_household_agent,ecclesiastical_elite,ecclesiastical_agent,ecclesiastical,monastery_dependency,locally_mobile,explicit_map,high,false,,
nov_role_boyar_man,боярский человек,боярский человек,город,dependent,boyar_service,elite_household_dependent_agent,landholding_notable,elite_household_member,dependent,household_dependency,locally_mobile,manual_map,high,false,,
nov_role_boyar,боярин,боярин,город,free,kin_property_and_office,landholding_notable_rural,landholding_notable,landholder_notable,free,none,local_bound,explicit_map,high,false,,
nov_role_boyar_house_mistress,хозяйка боярского двора,госпожа двора,город,free,kin_property_household,elite_household_dependent_agent,landholding_notable,elite_household_member,dependent,household_dependency,locally_mobile,explicit_map,high,false,,
nov_role_merchant_guest,гость-купец,гость / купец,торговля,free,capital_and_trade_network,privileged_long_distance_merchant,free_commoner,merchant_trader,free,merchant_house_service,regionally_mobile,manual_map,high,false,,
nov_role_local_merchant,местный купец,купец,торговля,free,trade_household,urban_merchant_trader,free_commoner,merchant_trader,free,none,locally_mobile,explicit_map,high,false,,
