source_role_id,social_position_archetype_id,review_status,notes
nov_role_prince,regional_dynastic_ruler,approved,explicit_map
nov_role_posadnik,urban_elite_office_holder,approved,manual_map
nov_role_tysyatsky,military_officer_elite,approved,explicit_map
nov_role_sotsky,urban_elite_office_holder,approved,explicit_map
nov_role_city_elder,free_urban_householder,approved,explicit_map
nov_role_starosta,landholding_notable_rural,approved,explicit_map
nov_role_toll_collector,urban_elite_office_holder,approved,explicit_map
nov_role_guard,guard_watchman_service,approved,explicit_map
nov_role_princely_man,armed_retainer_service,approved,explicit_map
nov_role_princely_druzhinnik,armed_retainer_service,approved,explicit_map
nov_role_junior_druzhinnik,armed_retainer_service,approved,explicit_map
nov_role_bishop_man,ecclesiastical_household_agent,approved,explicit_map
nov_role_boyar_man,elite_household_dependent_agent,approved,manual_map
nov_role_boyar,landholding_notable_rural,approved,explicit_map
nov_role_boyar_house_mistress,elite_household_dependent_agent,approved,explicit_map
nov_role_merchant_guest,privileged_long_distance_merchant,approved,manual_map
nov_role_local_merchant,urban_merchant_trader,approved,explicit_map
nov_role_merchant_clerk,dependent_servant_household,approved,explicit_map
nov_role_trader,urban_merchant_trader,approved,explicit_map
nov_role_foreign_guest,foreign_privileged_merchant_outsider,approved,manual_map
nov_role_craftsman_master,artisan_master_urban,approved,explicit_map
nov_role_journeyman,artisan_master_urban,approved,explicit_map
nov_role_apprentice,dependent_servant_household,approved,explicit_map
nov_role_householder,free_urban_householder,approved,explicit_map
nov_role_household_mistress,free_urban_householder,approved,explicit_map
nov_role_servant,dependent_servant_household,approved,explicit_map
nov_role_hired_worker,rural_laborer_commoner,approved,explicit_map
nov_role_port_worker,rural_laborer_commoner,approved,explicit_map
nov_role_smerd_householder,free_rural_householder_commoner,approved,manual_map
nov_role_dependent_peasant,contract_dependent_laborer,approved,explicit_map
nov_role_ploughman,rural_laborer_commoner,approved,explicit_map
nov_role_pastoral_worker,forest_water_producer_commoner,approved,explicit_map
nov_role_fisher,forest_water_producer_commoner,approved,explicit_map
nov_role_hunter,forest_water_producer_commoner,approved,explicit_map
nov_role_bortnik,forest_water_producer_commoner,approved,explicit_map
nov_role_forest_promyslovik,forest_water_producer_commoner,approved,explicit_map
nov_role_senokos_worker,rural_laborer_commoner,approved,explicit_map
nov_role_miller,artisan_master_urban,approved,explicit_map
nov_role_monastery_worker,dependent_servant_household,approved,explicit_map
nov_role_widow_householder,free_rural_householder_commoner,approved,explicit_map
nov_role_youth_helper,rural_laborer_commoner,approved,explicit_map
nov_role_old_household_member,free_rural_householder_commoner,approved,explicit_map
nov_role_archbishop,high_ecclesiastical_ruler,approved,explicit_map
nov_role_igumen,monastic_community_member,approved,explicit_map
nov_role_priest,parish_cleric,approved,explicit_map
nov_role_deacon,parish_cleric,approved,explicit_map
nov_role_monk,monastic_community_member,approved,explicit_map
nov_role_novice,monastic_community_member,approved,explicit_map
nov_role_ponomar,dependent_servant_household,approved,explicit_map
nov_role_church_guard,guard_watchman_service,approved,explicit_map
nov_role_church_scribe,ecclesiastical_official_manager,approved,explicit_map
nov_role_pilgrim,traveler_guide_itinerant,approved,explicit_map
nov_role_guide,traveler_guide_itinerant,approved,explicit_map
nov_role_ferryman,transport_worker_itinerant,approved,explicit_map
nov_role_boatman,transport_worker_itinerant,approved,explicit_map
nov_role_helmsman,transport_worker_itinerant,approved,explicit_map
nov_role_cart_driver,transport_worker_itinerant,approved,explicit_map
nov_role_winter_road_man,transport_worker_itinerant,approved,explicit_map
nov_role_portage_worker,transport_worker_itinerant,approved,explicit_map
nov_role_merchant_companion,dependent_servant_household,approved,explicit_map
nov_role_druzhina_companion,armed_retainer_service,approved,explicit_map
nov_role_kholop,unfree_household_dependent,approved,manual_map
nov_role_debtor,debt_dependent_commoner,approved,manual_map
nov_role_runaway,marginal_outcast_low_status,approved,explicit_map
nov_role_orphan,dependent_servant_household,approved,explicit_map
nov_role_outsider,displaced_status_lost_outsider,approved,explicit_map
nov_role_izgoi,displaced_status_lost_outsider,approved,manual_map
nov_role_captive,captive_unfree_person,approved,explicit_map
nov_role_beggar,marginal_outcast_low_status,approved,explicit_map
nov_role_sick_disabled,marginal_outcast_low_status,approved,explicit_map
nov_role_no_guarantor,displaced_status_lost_outsider,approved,explicit_map
