occupation_archetype_id,primary_skill_ids,secondary_skill_ids,gate_skill_ids,forbidden_skill_ids,default_level_logic,status,confidence,sources,audit_notes,created_at,updated_at
military_security,"[""melee_combat"", ""athletics""]","[""ranged_combat"", ""observation""]",[],[],"primary +2 typical, secondary +1 if biography supports",approved,high,"[""seed:universal_social_layer_v1""]","Universal social layer seed v1; explicit data, not procedural.",2026-07-08T00:00:00Z,2026-07-08T00:00:00Z
transport_guiding,"[""travel_transport"", ""survival""]","[""observation"", ""communication_trade""]",[],[],"primary +2 typical, secondary +1 if biography supports",approved,high,"[""seed:universal_social_layer_v1""]","Universal social layer seed v1; explicit data, not procedural.",2026-07-08T00:00:00Z,2026-07-08T00:00:00Z
administration_law,"[""custom_law_literacy"", ""communication_trade""]","[""observation""]",[],[],"primary +2 typical, secondary +1 if biography supports",approved,high,"[""seed:universal_social_layer_v1""]","Universal social layer seed v1; explicit data, not procedural.",2026-07-08T00:00:00Z,2026-07-08T00:00:00Z
religious_literate,"[""custom_law_literacy""]","[""healing"", ""communication_trade""]",[],[],"primary +2 typical, secondary +1 if biography supports",approved,high,"[""seed:universal_social_layer_v1""]","Universal social layer seed v1; explicit data, not procedural.",2026-07-08T00:00:00Z,2026-07-08T00:00:00Z
craft_production,"[""craft""]","[""observation""]",[],[],"primary +2 typical, secondary +1 if biography supports",approved,high,"[""seed:universal_social_layer_v1""]","Universal social layer seed v1; explicit data, not procedural.",2026-07-08T00:00:00Z,2026-07-08T00:00:00Z
trade_exchange,"[""communication_trade""]","[""observation"", ""craft""]",[],[],"primary +2 typical, secondary +1 if biography supports",approved,high,"[""seed:universal_social_layer_v1""]","Universal social layer seed v1; explicit data, not procedural.",2026-07-08T00:00:00Z,2026-07-08T00:00:00Z
forest_hunting,"[""survival"", ""stealth""]","[""ranged_combat"", ""craft""]",[],[],"primary +2 typical, secondary +1 if biography supports",approved,high,"[""seed:universal_social_layer_v1""]","Universal social layer seed v1; explicit data, not procedural.",2026-07-08T00:00:00Z,2026-07-08T00:00:00Z
fishing_water,"[""survival""]","[""craft"", ""household""]",[],[],"primary +2 typical, secondary +1 if biography supports",approved,high,"[""seed:universal_social_layer_v1""]","Universal social layer seed v1; explicit data, not procedural.",2026-07-08T00:00:00Z,2026-07-08T00:00:00Z
agriculture,"[""household"", ""survival""]","[""athletics""]",[],[],"primary +2 typical, secondary +1 if biography supports",approved,high,"[""seed:universal_social_layer_v1""]","Universal social layer seed v1; explicit data, not procedural.",2026-07-08T00:00:00Z,2026-07-08T00:00:00Z
animal_husbandry,"[""household""]","[""survival"", ""travel_transport""]",[],[],"primary +2 typical, secondary +1 if biography supports",approved,high,"[""seed:universal_social_layer_v1""]","Universal social layer seed v1; explicit data, not procedural.",2026-07-08T00:00:00Z,2026-07-08T00:00:00Z
healing_care,"[""healing""]","[""observation"", ""household""]",[],[],"primary +2 typical, secondary +1 if biography supports",approved,high,"[""seed:universal_social_layer_v1""]","Universal social layer seed v1; explicit data, not procedural.",2026-07-08T00:00:00Z,2026-07-08T00:00:00Z
domestic_service,"[""household""]","[""stealth"", ""communication_trade""]",[],[],"primary +2 typical, secondary +1 if biography supports",approved,high,"[""seed:universal_social_layer_v1""]","Universal social layer seed v1; explicit data, not procedural.",2026-07-08T00:00:00Z,2026-07-08T00:00:00Z
illicit_marginal,"[""stealth""]","[""survival"", ""melee_combat""]",[],[],"primary +2 typical, secondary +1 if biography supports",approved,high,"[""seed:universal_social_layer_v1""]","Universal social layer seed v1; explicit data, not procedural.",2026-07-08T00:00:00Z,2026-07-08T00:00:00Z
wage_labor,"[""athletics""]","[""household"", ""craft""]",[],[],"primary +2 typical, secondary +1 if biography supports",approved,high,"[""seed:universal_social_layer_v1""]","Universal social layer seed v1; explicit data, not procedural.",2026-07-08T00:00:00Z,2026-07-08T00:00:00Z
hospitality_service,"[""household"", ""communication_trade""]","[""craft""]",[],[],"primary +2 typical, secondary +1 if biography supports",approved,high,"[""seed:universal_social_layer_v1""]","Universal social layer seed v1; explicit data, not procedural.",2026-07-08T00:00:00Z,2026-07-08T00:00:00Z
