id,slug,title,social_class_id,role_archetype_id,legal_status_archetype_id,dependency_archetype_id,mobility_archetype_id,property_rights_model,weapon_rights_model,court_voice_model,typical_power_over_others,typical_power_over_them,summary,game_use,limits,status,confidence,sources,audit_notes,created_at,updated_at
free_rural_householder_commoner,free_rural_householder_commoner,Свободный сельский домохозяин,free_commoner,rural_householder,free,none,local_bound,,,,,,Свободный сельский домохозяин,Canonical position for Свободный сельский домохозяин.,Map regional roles here; do not duplicate ontology per region.,approved,high,"[""seed:universal_social_layer_v1""]","Universal social layer seed v1; explicit data, not procedural.",2026-07-08T00:00:00Z,2026-07-08T00:00:00Z
debt_dependent_commoner,debt_dependent_commoner,Должник-закуп,dependent_commoner,rural_householder,dependent,debt_dependency,restricted_by_debt,,,,,,Должник-закуп,Canonical position for Должник-закуп.,Map regional roles here; do not duplicate ontology per region.,approved,high,"[""seed:universal_social_layer_v1""]","Universal social layer seed v1; explicit data, not procedural.",2026-07-08T00:00:00Z,2026-07-08T00:00:00Z
contract_dependent_laborer,contract_dependent_laborer,Рядович по договору,dependent_commoner,rural_laborer,dependent,lord_dependency,locally_mobile,,,,,,Рядович по договору,Canonical position for Рядович по договору.,Map regional roles here; do not duplicate ontology per region.,approved,high,"[""seed:universal_social_layer_v1""]","Universal social layer seed v1; explicit data, not procedural.",2026-07-08T00:00:00Z,2026-07-08T00:00:00Z
unfree_household_dependent,unfree_household_dependent,Холоп при дворе,unfree_dependent,elite_household_member,unfree,owner_control,restricted_by_master,,,,,,Холоп при дворе,Canonical position for Холоп при дворе.,Map regional roles here; do not duplicate ontology per region.,approved,high,"[""seed:universal_social_layer_v1""]","Universal social layer seed v1; explicit data, not procedural.",2026-07-08T00:00:00Z,2026-07-08T00:00:00Z
privileged_long_distance_merchant,privileged_long_distance_merchant,Привилегированный гость-купец,free_commoner,merchant_trader,free,merchant_house_service,regionally_mobile,,,,,,Привилегированный гость-купец,Canonical position for Привилегированный гость-купец.,Map regional roles here; do not duplicate ontology per region.,approved,high,"[""seed:universal_social_layer_v1""]","Universal social layer seed v1; explicit data, not procedural.",2026-07-08T00:00:00Z,2026-07-08T00:00:00Z
foreign_privileged_merchant_outsider,foreign_privileged_merchant_outsider,Иностранный привилегированный гость,outsider_foreign,merchant_trader,privileged_foreign,no_local_guarantor,road_mobile,,,,,,Иностранный привилегированный гость,Canonical position for Иностранный привилегированный гость.,Map regional roles here; do not duplicate ontology per region.,approved,high,"[""seed:universal_social_layer_v1""]","Universal social layer seed v1; explicit data, not procedural.",2026-07-08T00:00:00Z,2026-07-08T00:00:00Z
displaced_status_lost_outsider,displaced_status_lost_outsider,Изгой без местного статуса,marginal_outcast,traveler_outsider,outcast,no_local_guarantor,no_guarantor,,,,,,Изгой без местного статуса,Canonical position for Изгой без местного статуса.,Map regional roles here; do not duplicate ontology per region.,approved,high,"[""seed:universal_social_layer_v1""]","Universal social layer seed v1; explicit data, not procedural.",2026-07-08T00:00:00Z,2026-07-08T00:00:00Z
captive_unfree_person,captive_unfree_person,Пленник,captive_unfree,traveler_outsider,captive,captor_control,restricted_by_master,,,,,,Пленник,Canonical position for Пленник.,Map regional roles here; do not duplicate ontology per region.,approved,high,"[""seed:universal_social_layer_v1""]","Universal social layer seed v1; explicit data, not procedural.",2026-07-08T00:00:00Z,2026-07-08T00:00:00Z
elite_household_dependent_agent,elite_household_dependent_agent,Боярский человек,landholding_notable,elite_household_member,dependent,household_dependency,locally_mobile,,,,,,Боярский человек,Canonical position for Боярский человек.,Map regional roles here; do not duplicate ontology per region.,approved,high,"[""seed:universal_social_layer_v1""]","Universal social layer seed v1; explicit data, not procedural.",2026-07-08T00:00:00Z,2026-07-08T00:00:00Z
ecclesiastical_household_agent,ecclesiastical_household_agent,Владычный человек,ecclesiastical_elite,ecclesiastical_agent,ecclesiastical,monastery_dependency,locally_mobile,,,,,,Владычный человек,Canonical position for Владычный человек.,Map regional roles here; do not duplicate ontology per region.,approved,high,"[""seed:universal_social_layer_v1""]","Universal social layer seed v1; explicit data, not procedural.",2026-07-08T00:00:00Z,2026-07-08T00:00:00Z
regional_dynastic_ruler,regional_dynastic_ruler,Региональный князь,ruling_dynastic_elite,ruler,free,none,regionally_mobile,,,,,,Региональный князь,Canonical position for Региональный князь.,Map regional roles here; do not duplicate ontology per region.,approved,high,"[""seed:universal_social_layer_v1""]","Universal social layer seed v1; explicit data, not procedural.",2026-07-08T00:00:00Z,2026-07-08T00:00:00Z
high_ecclesiastical_ruler,high_ecclesiastical_ruler,Высший церковный правитель,ecclesiastical_elite,cleric,ecclesiastical,office_service,regionally_mobile,,,,,,Высший церковный правитель,Canonical position for Высший церковный правитель.,Map regional roles here; do not duplicate ontology per region.,approved,high,"[""seed:universal_social_layer_v1""]","Universal social layer seed v1; explicit data, not procedural.",2026-07-08T00:00:00Z,2026-07-08T00:00:00Z
urban_elite_office_holder,urban_elite_office_holder,Городской должностной элитарий,urban_elite,official_manager,free,office_service,locally_mobile,,,,,,Городской должностной элитарий,Canonical position for Городской должностной элитарий.,Map regional roles here; do not duplicate ontology per region.,approved,high,"[""seed:universal_social_layer_v1""]","Universal social layer seed v1; explicit data, not procedural.",2026-07-08T00:00:00Z,2026-07-08T00:00:00Z
free_urban_householder,free_urban_householder,Свободный городской домохозяин,free_commoner,common_householder,free,none,locally_mobile,,,,,,Свободный городской домохозяин,Canonical position for Свободный городской домохозяин.,Map regional roles here; do not duplicate ontology per region.,approved,high,"[""seed:universal_social_layer_v1""]","Universal social layer seed v1; explicit data, not procedural.",2026-07-08T00:00:00Z,2026-07-08T00:00:00Z
rural_laborer_commoner,rural_laborer_commoner,Сельский наёмный работник,free_commoner,rural_laborer,free,none,locally_mobile,,,,,,Сельский наёмный работник,Canonical position for Сельский наёмный работник.,Map regional roles here; do not duplicate ontology per region.,approved,high,"[""seed:universal_social_layer_v1""]","Universal social layer seed v1; explicit data, not procedural.",2026-07-08T00:00:00Z,2026-07-08T00:00:00Z
forest_water_producer_commoner,forest_water_producer_commoner,Лесной или водный промысленник,free_commoner,forest_or_water_producer,free,none,local_bound,,,,,,Лесной или водный промысленник,Canonical position for Лесной или водный промысленник.,Map regional roles here; do not duplicate ontology per region.,approved,high,"[""seed:universal_social_layer_v1""]","Universal social layer seed v1; explicit data, not procedural.",2026-07-08T00:00:00Z,2026-07-08T00:00:00Z
artisan_master_urban,artisan_master_urban,Городской ремесленник-мастер,free_commoner,artisan_master,free,none,locally_mobile,,,,,,Городской ремесленник-мастер,Canonical position for Городской ремесленник-мастер.,Map regional roles here; do not duplicate ontology per region.,approved,high,"[""seed:universal_social_layer_v1""]","Universal social layer seed v1; explicit data, not procedural.",2026-07-08T00:00:00Z,2026-07-08T00:00:00Z
armed_retainer_service,armed_retainer_service,Вооружённый служилый,landholding_notable,armed_retainer,dependent,military_service,locally_mobile,,,,,,Вооружённый служилый,Canonical position for Вооружённый служилый.,Map regional roles here; do not duplicate ontology per region.,approved,high,"[""seed:universal_social_layer_v1""]","Universal social layer seed v1; explicit data, not procedural.",2026-07-08T00:00:00Z,2026-07-08T00:00:00Z
guard_watchman_service,guard_watchman_service,Страж и дозорный,free_commoner,guard_watchman,dependent,office_service,locally_mobile,,,,,,Страж и дозорный,Canonical position for Страж и дозорный.,Map regional roles here; do not duplicate ontology per region.,approved,high,"[""seed:universal_social_layer_v1""]","Universal social layer seed v1; explicit data, not procedural.",2026-07-08T00:00:00Z,2026-07-08T00:00:00Z
monastic_community_member,monastic_community_member,Монашествующий,ecclesiastical_elite,monastic,ecclesiastical,monastic_rule,restricted_by_master,,,,,,Монашествующий,Canonical position for Монашествующий.,Map regional roles here; do not duplicate ontology per region.,approved,high,"[""seed:universal_social_layer_v1""]","Universal social layer seed v1; explicit data, not procedural.",2026-07-08T00:00:00Z,2026-07-08T00:00:00Z
parish_cleric,parish_cleric,Приходской священник,ecclesiastical_elite,cleric,ecclesiastical,office_service,locally_mobile,,,,,,Приходской священник,Canonical position for Приходской священник.,Map regional roles here; do not duplicate ontology per region.,approved,high,"[""seed:universal_social_layer_v1""]","Universal social layer seed v1; explicit data, not procedural.",2026-07-08T00:00:00Z,2026-07-08T00:00:00Z
landholding_notable_rural,landholding_notable_rural,Сельский землевладелец,landholding_notable,landholder_notable,free,none,local_bound,,,,,,Сельский землевладелец,Canonical position for Сельский землевладелец.,Map regional roles here; do not duplicate ontology per region.,approved,high,"[""seed:universal_social_layer_v1""]","Universal social layer seed v1; explicit data, not procedural.",2026-07-08T00:00:00Z,2026-07-08T00:00:00Z
dependent_servant_household,dependent_servant_household,Служилый зависимый,dependent_commoner,elite_household_member,dependent,household_dependency,restricted_by_master,,,,,,Служилый зависимый,Canonical position for Служилый зависимый.,Map regional roles here; do not duplicate ontology per region.,approved,high,"[""seed:universal_social_layer_v1""]","Universal social layer seed v1; explicit data, not procedural.",2026-07-08T00:00:00Z,2026-07-08T00:00:00Z
transport_worker_itinerant,transport_worker_itinerant,Дорожный перевозчик,free_commoner,traveler_outsider,free,none,road_mobile,,,,,,Дорожный перевозчик,Canonical position for Дорожный перевозчик.,Map regional roles here; do not duplicate ontology per region.,approved,high,"[""seed:universal_social_layer_v1""]","Universal social layer seed v1; explicit data, not procedural.",2026-07-08T00:00:00Z,2026-07-08T00:00:00Z
traveler_guide_itinerant,traveler_guide_itinerant,Проводник и путник,free_commoner,traveler_outsider,free,none,road_mobile,,,,,,Проводник и путник,Canonical position for Проводник и путник.,Map regional roles here; do not duplicate ontology per region.,approved,high,"[""seed:universal_social_layer_v1""]","Universal social layer seed v1; explicit data, not procedural.",2026-07-08T00:00:00Z,2026-07-08T00:00:00Z
