sf_id,member_id,count_min,count_max,count_rule,basis_ref,status
sf_yard_urban_poor,bt_izba_heated_single,1,1,1 жилое строение,matcult_scene:SCN006,candidate
sf_yard_urban_poor,bt_klet_ambar,0,1,0–2 хозяйственных строения всего,matcult_scene:SCN006,candidate
sf_yard_urban_poor,bt_light_shed,0,1,0–2 хозяйственных строения всего,matcult_scene:SCN006,candidate
sf_yard_urban_poor,bt_palisade_fence,1,1,граница владения,nov1230db:B027,candidate
sf_yard_urban_poor,bt_yard_gate,1,1,ворота на улицу,nov1230db:B027,candidate
sf_yard_urban_ordinary,bt_izba_heated_single,0,1,"1 жилой дом: изба, трёхчастный дом или пятистенок",nov1230db:B028,candidate
sf_yard_urban_ordinary,bt_pyatistenok,0,1,альтернатива избе,ref:dissercat_ljudin,candidate
sf_yard_urban_ordinary,bt_three_part_house,0,1,альтернатива избе,nov1230db:B029,candidate
sf_yard_urban_ordinary,bt_klet_ambar,1,2,,nov1230db:B031,candidate
sf_yard_urban_ordinary,bt_cellar_log,0,1,,matcult:ARC0026,candidate
sf_yard_urban_ordinary,bt_light_shed,0,2,,matcult:ARC0017,candidate
sf_yard_urban_ordinary,bt_khlev,0,1,,matcult:ARC0002,candidate
sf_yard_urban_ordinary,bt_bathhouse,0,1,частота на усадьбе неизвестна,nov1230db:B032,candidate
sf_yard_urban_ordinary,bt_well_log,0,1,,matcult:ARC0027,candidate
sf_yard_urban_ordinary,bt_privy,0,1,,matcult:ARC0025,candidate
sf_yard_urban_ordinary,bt_yard_deck,0,1,,matcult:STR0013,candidate
sf_yard_urban_ordinary,bt_palisade_fence,1,1,,nov1230db:B027,candidate
sf_yard_urban_ordinary,bt_yard_gate,1,1,,matcult:ARC0015,candidate
sf_yard_urban_craft,bt_izba_heated_single,0,1,1 жилой сруб (или пятистенок),matcult_scene:SCN003,candidate
sf_yard_urban_craft,bt_pyatistenok,0,1,альтернатива избе,ref:dissercat_ljudin,candidate
sf_yard_urban_craft,bt_workshop_yard,1,1,1 рабочая зона,matcult_scene:SCN003,candidate
sf_yard_urban_craft,bt_smithy,0,1,только у кузнеца,matcult_scene:SCN011,candidate
sf_yard_urban_craft,bt_pottery_workshop,0,1,только у гончара,matcult_scene:SCN013,candidate
sf_yard_urban_craft,bt_klet_ambar,0,1,запас сырья,matcult_scene:SCN003,candidate
sf_yard_urban_craft,bt_light_shed,0,1,,matcult:ARC0017,candidate
sf_yard_urban_craft,bt_palisade_fence,1,1,,nov1230db:B027,candidate
sf_yard_urban_craft,bt_yard_gate,1,1,,matcult:ARC0015,candidate
sf_yard_urban_merchant,bt_pyatistenok,0,1,1 жилой дом,matcult_scene:SCN004,candidate
sf_yard_urban_merchant,bt_three_part_house,0,1,альтернатива,nov1230db:B029,candidate
sf_yard_urban_merchant,bt_klet_ambar,1,2,1–2 жилых/складских строения,matcult_scene:SCN004,candidate
sf_yard_urban_merchant,bt_cellar_log,0,1,,matcult:ARC0026,candidate
sf_yard_urban_merchant,bt_konyushnya,0,1,,matcult_scene:SCN031,candidate
sf_yard_urban_merchant,bt_palisade_fence,1,1,,nov1230db:B027,candidate
