cp_id,seq,content_category,frequency_class,weight,qty_min_slots,qty_max_slots,example_items,basis_ref,status
cp_granary_grain_bin,1,content_grain,common,4,12,48,AGR0039|TRD0009,nov1230db:B031,candidate
cp_granary_grain_bin,2,content_flour,contextual,2,0,12,FOD0052,master:spawn:SPN019,candidate
cp_granary_zakrom,1,content_grain,common,4,24,96,AGR0039,nov1230db:B031,candidate
cp_granary_sack,1,content_grain,common,4,6,12,TRD0009,matcult:TRD0009,candidate
cp_granary_sack,2,content_flour,common,4,6,12,FOD0052,matcult:FOD0052,candidate
cp_granary_chest,1,content_fur,common,4,2,12,TRD0051|TRD0007|TRD0008,nov1230db:B031,candidate
cp_granary_chest,2,content_wax,common,4,2,12,TRD0003,nov1230db:B031,candidate
cp_granary_chest,3,content_textiles,common,4,2,12,TRD0027,nov1230db:B031,candidate
cp_granary_chest,4,content_household_goods,common,4,1,6,HOU0010|HOU0014,wk:claim:settlement-underfloor-storage,candidate
cp_granary_trade_bin,1,content_fur,common,4,4,24,TRD0051,nov1230db:B031,candidate
cp_granary_trade_bin,2,content_wax,common,4,4,24,TRD0003,nov1230db:B031,candidate
cp_granary_trade_bin,3,content_textiles,common,4,2,24,TRD0053,nov1230db:B031,candidate
cp_granary_trade_bin,4,content_salt,contextual,2,2,12,TRD0004,master:spawn:SPN007,candidate
cp_granary_barrel,1,content_fish,common,4,12,24,TRD0005,matcult:TRD0005,candidate
cp_granary_barrel,2,content_honey,common,4,12,24,TRD0047,matcult:TRD0047,candidate
cp_granary_barrel,3,content_salt,common,4,12,24,TRD0048,matcult:TRD0048,candidate
cp_granary_barrel,4,content_fermented_liquid,contextual,2,6,24,FOD0059,matcult:FOD0059,candidate
cp_warehouse_crate,1,content_trade_goods,contextual,2,2,12,TRD0042,master:spawn:SPN007,candidate
cp_warehouse_crate,2,content_metal_stock,contextual,2,2,12,TRD0011|TRD0012|TRD0014|TRD0049,master:spawn:SPN007,candidate
cp_warehouse_bale,1,content_textiles,common,4,6,12,TRD0027|TRD0053|TRD0015,matcult:TRD0027,candidate
cp_warehouse_bale,2,content_fur,common,4,6,12,TRD0051|TRD0006,matcult:TRD0051,candidate
cp_warehouse_bale,3,content_leather,common,4,6,12,TRD0052|TRD0010,matcult:TRD0052,candidate
cp_cellar_pit,1,content_vegetables,contextual,2,6,48,,wk:claim:static-cool-storage-can-slow-respiration-of-harvested-produce,candidate
cp_cellar_pit,2,content_fermented_liquid,contextual,2,6,24,FOD0059,rus13tpl:container:pit_or_cellar,candidate
cp_cellar_pit,3,content_fish,contextual,2,6,24,TRD0005,rus13tpl:container:pit_or_cellar,candidate
cp_cellar_pit,4,content_food_dry,contextual,2,2,12,,rus13tpl:container:pit_or_cellar,candidate
cp_cellar_pit,5,content_honey,rare,1,2,12,,v5:container_content_category_relations,candidate
cp_cellar_pressed_tub,1,content_fish,common,4,6,24,TRD0005,matcult:TRD0024,candidate
cp_cellar_pressed_tub,2,content_vegetables,contextual,2,6,24,,master:spawn:SPN026,candidate
cp_cellar_pressed_tub,3,content_meat,rare,1,6,24,,v5:container_content_category_relations,candidate
cp_dwelling_chest,1,content_textiles,contextual,2,2,16,INT0021,rus13tpl:container:chest_sunduk,candidate
cp_dwelling_chest,2,content_personal_small_items,contextual,2,1,4,HOU0026|HOU0042,master:spawn:SPN003,candidate
cp_dwelling_chest,3,content_folded_documents,contextual,2,1,2,WRT0001,matcult:WRT0001,candidate
cp_dwelling_chest,4,content_coins,rare,1,1,1,TRD0016|TRD0043,v5:container_content_category_relations,candidate
cp_dwelling_chest_domed,1,content_textiles,contextual,2,2,16,INT0021,rus13tpl:container:chest_sunduk,candidate
cp_dwelling_chest_domed,2,content_personal_small_items,contextual,2,1,4,,rus13tpl:container:chest_sunduk,candidate
cp_dwelling_casket,1,content_personal_small_items,contextual,2,1,3,HOU0026|HOU0027,master:spawn:SPN003,candidate
cp_dwelling_casket,2,content_needles,contextual,2,1,1,HOU0034,master:spawn:SPN003,candidate
cp_dwelling_casket,3,content_coins,rare,1,1,1,TRD0016,v5:container_content_category_relations,candidate
cp_dwelling_storage_pot,1,content_grain,contextual,2,6,24,,master:spawn:SPN017,candidate
cp_dwelling_storage_pot,2,content_flour,contextual,2,6,24,,master:spawn:SPN017,candidate
cp_dwelling_storage_pot,3,content_fermented_liquid,contextual,2,6,24,,matcult_scene:SCN058,candidate
cp_dwelling_storage_pot,4,content_honey,rare,1,2,12,,v5:container_content_category_relations,candidate
cp_dwelling_cooking_pot,1,content_hot,common,4,2,6,FOD0049,matcult:FOD0049,candidate
cp_dwelling_cooking_pot,2,content_water,contextual,2,2,6,,wk:claim:final-social-household-water-use-depends-on-access-vessels-and-labour,candidate
cp_dwelling_small_pot,1,content_liquid,common,4,1,4,,wk:claim:maslo-birchbark-718-account,candidate
cp_dwelling_small_pot,2,content_salt,contextual,2,1,2,POT0016,matcult:POT0016,candidate
cp_dwelling_small_pot,3,content_honey,rare,1,1,4,,v5:container_content_category_relations,candidate
cp_dwelling_fat_pot,1,content_liquid,common,4,1,4,,matcult:POT0023,candidate
