cp_id,ct_id,pf_ids,bt_ids,empty_allowed,first_open_rule,source_refs,confidence,status
cp_granary_grain_bin,ct_grain_bin,cellar_granary,bt_klet_ambar|bt_podklet,1,containers/first_open_rule.json#d3_first_open_v1,nov1230db:B031|matcult_scene:SCN033|master:spawn:SPN019,B,candidate
cp_granary_zakrom,ct_zakrom,cellar_granary,bt_klet_ambar,1,containers/first_open_rule.json#d3_first_open_v1,matcult:AGR0008|nov1230db:B031,B,candidate
cp_granary_sack,ct_sack_grain,cellar_granary|threshing_barn|mill,bt_klet_ambar|bt_gumno_tok|bt_watermill,1,containers/first_open_rule.json#d3_first_open_v1,matcult:AGR0011|matcult:FOD0052|matcult_scene:SCN020|matcult_scene:SCN033,A,candidate
cp_granary_chest,ct_chest_plank,cellar_granary,bt_klet_ambar|bt_podklet,1,containers/first_open_rule.json#d3_first_open_v1,nov1230db:B031|wk:claim:settlement-underfloor-storage,A,candidate
cp_granary_trade_bin,ct_trade_bin,cellar_granary|market_square,bt_klet_ambar|bt_riverside_warehouse,1,containers/first_open_rule.json#d3_first_open_v1,nov1230db:B031|matcult_scene:SCN023|master:spawn:SPN007,B,candidate
cp_granary_barrel,ct_barrel_oak,cellar_granary,bt_klet_ambar|bt_riverside_warehouse|bt_podklet,1,containers/first_open_rule.json#d3_first_open_v1,matcult:TRD0005|matcult:TRD0047|matcult:TRD0048,A,candidate
cp_warehouse_crate,ct_box_plank_crate,cellar_granary|river_wharf,bt_riverside_warehouse|bt_klet_ambar,1,containers/first_open_rule.json#d3_first_open_v1,master:spawn:SPN007|matcult:TRD0042,C,candidate
cp_warehouse_bale,ct_bale_wrapped,cellar_granary|river_wharf|market_square,bt_riverside_warehouse|bt_market_stall,0,containers/first_open_rule.json#d3_first_open_v1,matcult:TRD0027|matcult:TRD0051|matcult:TRD0052|matcult:TRD0053,A,candidate
cp_cellar_pit,ct_cellar_pit,cellar_granary|peasant_homestead|town_courtyard,bt_cellar_log|bt_seni,1,containers/first_open_rule.json#d3_first_open_v1,rus13tpl:container:pit_or_cellar|matcult:ARC0026|wk:claim:static-cool-storage-can-slow-respiration-of-harvested-produce,C,candidate
cp_cellar_pressed_tub,ct_kad_pressed,cellar_granary|fishing_camp,bt_cellar_log|bt_klet_ambar|bt_fishing_camp_shelter,1,containers/first_open_rule.json#d3_first_open_v1,matcult:TRD0024|master:spawn:SPN026,A,candidate
cp_dwelling_chest,ct_chest_plank,dwelling_interior,bt_izba_heated_single|bt_pyatistenok|bt_three_part_house|bt_horomy,1,containers/first_open_rule.json#d3_first_open_v1,rus13tpl:container:chest_sunduk|matcult:WRT0001|master:spawn:SPN003,C,candidate
cp_dwelling_chest_domed,ct_chest_domed,dwelling_interior,bt_horomy|bt_pyatistenok,1,containers/first_open_rule.json#d3_first_open_v1,matcult:FUR0012|rus13tpl:container:chest_sunduk,C,candidate
cp_dwelling_casket,ct_casket_small,dwelling_interior,bt_horomy|bt_pyatistenok|bt_three_part_house,1,containers/first_open_rule.json#d3_first_open_v1,matcult:FUR0024|master:spawn:SPN003,C,candidate
cp_dwelling_storage_pot,ct_pot_storage_large,dwelling_interior|cellar_granary,bt_izba_heated_single|bt_seni|bt_podklet,1,containers/first_open_rule.json#d3_first_open_v1,master:spawn:SPN001|master:spawn:SPN017|matcult_scene:SCN058,C,candidate
cp_dwelling_cooking_pot,ct_pot_cooking,dwelling_interior,bt_izba_heated_single|bt_pyatistenok|bt_klet_dwelling,1,containers/first_open_rule.json#d3_first_open_v1,matcult:FOD0049|wk:claim:settlement-oven-cooking,B,candidate
cp_dwelling_small_pot,ct_pot_small,dwelling_interior,bt_izba_heated_single|bt_klet_dwelling,1,containers/first_open_rule.json#d3_first_open_v1,wk:claim:maslo-birchbark-718-account|matcult:POT0019,A,candidate
cp_dwelling_fat_pot,ct_pot_fat,dwelling_interior,bt_izba_heated_single|bt_pyatistenok,1,containers/first_open_rule.json#d3_first_open_v1,matcult:POT0023,B,candidate
cp_dwelling_tub,ct_kad,dwelling_interior|town_courtyard|peasant_homestead,bt_izba_heated_single|bt_seni,1,containers/first_open_rule.json#d3_first_open_v1,matcult:HOU0036|matcult:FOD0059|wk:claim:final-social-household-water-use-depends-on-access-vessels-and-labour,B,candidate
cp_dwelling_bucket,ct_bucket_staved,dwelling_interior|town_courtyard|peasant_homestead,bt_izba_heated_single|bt_well_log,1,containers/first_open_rule.json#d3_first_open_v1,matcult:HOU0001|matcult_scene:SCN063,A,candidate
cp_dwelling_bucket_dugout,ct_bucket_dugout,dwelling_interior|town_courtyard|peasant_homestead,bt_izba_heated_single,1,containers/first_open_rule.json#d3_first_open_v1,matcult:HOU0031,A,candidate
