pf_id,ct_id,frequency_class,weight,basis_ref,status
arable_field,ct_basket_grain,common,4,content_profile:cp_threshing_grain_basket,candidate
arable_field,ct_lukoshko,common,4,content_profile:cp_field_seed_basket,candidate
arable_field,ct_basket_woven,contextual,2,master:spawn:SPN038,candidate
arable_field,ct_sack_cloth,contextual,2,master:spawn:SPN038,candidate
arable_field,ct_sack_grain,contextual,2,master:spawn:SPN037,candidate
bathhouse,ct_bucket_staved,ubiquitous,8,authored_scene:sc_x001_bathhouse|content_profile:cp_bathhouse_bucket|master:spawn:SPN021,candidate
bathhouse,ct_kad,ubiquitous,8,authored_scene:sc_x001_bathhouse|content_profile:cp_bathhouse_tub|master:spawn:SPN021,candidate
bathhouse,ct_lokhan,contextual,2,authored_scene:sc_x001_bathhouse|content_profile:cp_washing_lokhan,candidate
cellar_granary,ct_bale_wrapped,common,4,content_profile:cp_warehouse_bale|matcult_scene:SCN004|matcult_scene:SCN023|matcult_scene:SCN037|matcult_scene:SCN059,candidate
cellar_granary,ct_barrel_cargo,common,4,matcult_scene:SCN023,candidate
cellar_granary,ct_barrel_oak,common,4,content_profile:cp_granary_barrel,candidate
cellar_granary,ct_basket_grain,common,4,content_profile:cp_threshing_grain_basket,candidate
cellar_granary,ct_chest_merchant,common,4,content_profile:cp_market_merchant_chest|matcult_scene:SCN023,candidate
cellar_granary,ct_chest_plank,common,4,authored_scene:sc_x003_podklet_cold_store|content_profile:cp_granary_chest|master:spawn:SPN003|matcult_scene:SCN004|matcult_scene:SCN059,candidate
cellar_granary,ct_grain_bin,common,4,content_profile:cp_granary_grain_bin,candidate
cellar_granary,ct_jug_ceramic,common,4,matcult_scene:SCN059,candidate
cellar_granary,ct_kad,common,4,authored_scene:sc_x003_podklet_cold_store|master:spawn:SPN007|master:spawn:SPN018,candidate
cellar_granary,ct_kad_pressed,common,4,content_profile:cp_cellar_pressed_tub,candidate
cellar_granary,ct_lar_plank,common,4,authored_scene:sc_x003_podklet_cold_store|content_profile:cp_storehouse_lar|matcult_scene:SCN004|matcult_scene:SCN058|matcult_scene:SCN059,candidate
cellar_granary,ct_pot_small,common,4,matcult_scene:SCN058,candidate
cellar_granary,ct_sack_grain,common,4,content_profile:cp_granary_sack|master:spawn:SPN019|master:spawn:SPN044|matcult_scene:SCN023,candidate
cellar_granary,ct_shelf_storage,common,4,matcult_scene:SCN058|matcult_scene:SCN059,candidate
cellar_granary,ct_trade_bin,common,4,content_profile:cp_granary_trade_bin,candidate
cellar_granary,ct_zakrom,common,4,content_profile:cp_granary_zakrom,candidate
cellar_granary,ct_basket_cargo,contextual,2,master:spawn:SPN044,candidate
cellar_granary,ct_basket_woven,contextual,2,master:spawn:SPN038|matcult_scene:SCN058,candidate
cellar_granary,ct_box_plank_crate,contextual,2,content_profile:cp_warehouse_crate|master:spawn:SPN007,candidate
cellar_granary,ct_box_wooden_small,contextual,2,master:spawn:SPN003,candidate
cellar_granary,ct_cellar_pit,contextual,2,content_profile:cp_cellar_pit|master:spawn:SPN007,candidate
cellar_granary,ct_fish_tub,contextual,2,master:spawn:SPN026,candidate
cellar_granary,ct_keg_small,contextual,2,content_profile:cp_dwelling_keg,candidate
cellar_granary,ct_lar_dugout,contextual,2,content_profile:cp_dwelling_lar_dugout,candidate
cellar_granary,ct_milk_pail,contextual,2,matcult_scene:SCN033,candidate
cellar_granary,ct_pot_storage_large,contextual,2,authored_scene:sc_x003_podklet_cold_store|content_profile:cp_dwelling_storage_pot,candidate
cellar_granary,ct_sack_cloth,contextual,2,authored_scene:sc_x003_podklet_cold_store|content_profile:cp_dwelling_sack|master:spawn:SPN019|master:spawn:SPN032|master:spawn:SPN038|master:spawn:SPN044,candidate
cellar_granary,ct_tues,contextual,2,authored_scene:sc_x003_podklet_cold_store|content_profile:cp_dwelling_tues,candidate
church_interior,ct_bucket_dugout,contextual,2,matcult_scene:SCN009,candidate
church_interior,ct_chest_plank,contextual,2,content_profile:cp_church_chest,candidate
church_interior,ct_korchaga,contextual,2,content_profile:cp_church_amphora,candidate
churchyard,ct_bucket_dugout,contextual,2,matcult_scene:SCN009,candidate
dwelling_interior,ct_woodpile,ubiquitous,8,content_profile:cp_yard_woodpile,candidate
