item_id,exists,name_ru,category,historical_confidence,generation_policy,dimensions,source_ids
AGR0001,1,Деревянное ведро для доения,agriculture,B,safe_with_constraints,ручной размер,SRC044 | SRC045 | SRC046 | SRC005 | SRC040
AGR0002,1,Ясли для сена,agriculture,C,reference_required,по стойлу,SRC044 | SRC045 | SRC046 | SRC005
AGR0003,1,Деревянная лопата,agriculture,A,safe_with_record_specific_reference,около 1–1.5 м,SRC044 | SRC045 | SRC046 | SRC005
AGR0008,1,Закром амбарный,agriculture,B,safe_with_constraints,по помещению,SRC044 | SRC045 | SRC046 | SRC005
AGR0009,1,Зерновой ларь,agriculture,B,safe_with_constraints,сотни литров по хозяйству; без точной нормы,SRC044 | SRC045 | SRC046 | SRC005
AGR0010,1,Корзина зерновая,agriculture,B,safe_with_constraints,от ручной до крупной,SRC044 | SRC045 | SRC046 | SRC005
AGR0011,1,Мешок зерновой,agriculture,A,safe_with_record_specific_reference,переносимый человеком/на вьюке,SRC044 | SRC045 | SRC046 | SRC005 | SRC028 | SRC027
AGR0012,1,Железный серп,agriculture,A,safe_with_record_specific_reference,клинок порядка 20–35 см,SRC044 | SRC045 | SRC046 | SRC005 | SRC032
AGR0016,1,Деревянные вилы из развилки,agriculture,A,safe_with_record_specific_reference,около 1.5–2.5 м,SRC044 | SRC045 | SRC046 | SRC005
AGR0017,1,Ручные жернова,agriculture,B,safe_with_constraints,переносимый или стационарный малый комплект,SRC044 | SRC045 | SRC046 | SRC005 | SRC008
AGR0019,1,Водяная мельница — осторожная локальная реконструкция,agriculture,C,reference_required,"строение и механизм, несколько метров",SRC044 | SRC045 | SRC046 | SRC005 | SRC008
AGR0021,1,Цеп для обмолота,agriculture,B,safe_with_constraints,общая длина около человеческого роста и более,SRC044 | SRC045 | SRC046 | SRC005 | SRC008
AGR0023,1,Соха деревянная с железными сошниками,agriculture,B,safe_with_constraints,"человеко-/лошадиноразмерное орудие, несколько метров",SRC044 | SRC045 | SRC046 | SRC005 | SRC008
AGR0026,1,Деревянная кормушка для скота,agriculture,A,safe_with_record_specific_reference,по стойлам,SRC044 | SRC045 | SRC046 | SRC005 | SRC040
AGR0035,1,Навозная куча двора,agriculture,A,safe_with_record_specific_reference,по числу животных,SRC044 | SRC045 | SRC046 | SRC005 | SRC040
AGR0037,1,Посевной лукошко/корзина,agriculture,B,safe_with_constraints,примерно 10–20 л,SRC044 | SRC045 | SRC046 | SRC005
AGR0039,1,Сноп зерна,agriculture,A,safe_with_record_specific_reference,охапка одного человека,SRC044 | SRC045 | SRC046 | SRC005
AGR0042,1,Ток для обмолота,agriculture,B,safe_with_constraints,по хозяйству,SRC044 | SRC045 | SRC046 | SRC005
AGR0044,1,Деревянные грабли,agriculture,A,safe_with_record_specific_reference,1.5–2 м,SRC044 | SRC045 | SRC046 | SRC005
ARC0001,1,Конюшня городской/усадебной постройки,architecture,B,safe_with_constraints,по конкретной находке/плану; универсальный размер не задаётся,SRC001 | SRC003 | SRC005 | SRC012 | SRC089
ARC0002,1,Хлев для крупного и мелкого скота,architecture,B,safe_with_constraints,по конкретной находке/плану; универсальный размер не задаётся,SRC001 | SRC003 | SRC005 | SRC012 | SRC089 | SRC007
ARC0003,1,Георгиевский собор Юрьева монастыря,architecture,A,safe_with_record_specific_reference,по конкретной находке/плану; универсальный размер не задаётся,SRC020 | SRC021 | SRC001 | SRC003 | SRC005 | SRC012
ARC0004,1,Николо-Дворищенский собор в облике XII–начала XIII века,architecture,A,safe_with_record_specific_reference,по конкретной находке/плану; универсальный размер не задаётся,SRC018 | SRC001 | SRC003 | SRC005 | SRC012 | SRC089
ARC0005,1,Софийский собор в облике около 1230 года,architecture,A,safe_with_record_specific_reference,по конкретной находке/плану; универсальный размер не задаётся,SRC017 | SRC001 | SRC003 | SRC005 | SRC012 | SRC089
ARC0006,1,Церковь Благовещения в Аркажах около 1230 года,architecture,A,safe_with_record_specific_reference,по конкретной находке/плану; универсальный размер не задаётся,SRC001 | SRC003 | SRC005 | SRC012 | SRC089 | SRC008
ARC0007,1,Церковь Петра и Павла на Синичьей горе около 1230 года,architecture,A,safe_with_record_specific_reference,по конкретной находке/плану; универсальный размер не задаётся,SRC022 | SRC001 | SRC003 | SRC005 | SRC012 | SRC089
ARC0008,1,Церковь Спаса на Нередице в 1230 году,architecture,A,safe_with_record_specific_reference,по конкретной находке/плану; универсальный размер не задаётся,SRC019 | SRC001 | SRC003 | SRC005 | SRC012 | SRC089
ARC0009,1,Небольшая деревянная церковь — осторожная реконструкция,architecture,C,reference_required,по конкретной находке/плану; универсальный размер не задаётся,SRC001 | SRC003 | SRC005 | SRC012 | SRC089
ARC0010,1,Дощатая дверь на деревянных навесах/петлях,architecture,B,safe_with_constraints,по проему; без современного стандарта,SRC001 | SRC003 | SRC005 | SRC012 | SRC089 | SRC065
ARC0011,1,Многокамерные деревянные хоромы,architecture,B,reference_required,размер задавать по конкретному плану усадьбы; универсальную площадь 150–250 м² не считать установленной,SRC001 | SRC003 | SRC005 | SRC089
ARC0012,1,Лестница-шегла,architecture,C,reference_required,"около 2,7 м у поздне-XIII-векового примера",SRC001 | SRC003 | SRC005 | SRC012 | SRC089
ARC0013,1,Простое деревянное крыльцо/всход,architecture,B,safe_with_constraints,минимально необходимая ширина для одного человека; по высоте входа,SRC001 | SRC003 | SRC005 | SRC012 | SRC089
ARC0014,1,Частокол усадебной границы,architecture,A,safe_with_record_specific_reference,по конкретной находке/плану; универсальный размер не задаётся,SRC001 | SRC003 | SRC005 | SRC012 | SRC089 | SRC019
ARC0015,1,Дворовые ворота в частоколе,architecture,B,safe_with_constraints,по конкретной находке/плану; универсальный размер не задаётся,SRC001 | SRC003 | SRC005 | SRC012 | SRC089
ARC0016,1,Деревянная монастырская келья,architecture,B,safe_with_constraints,по конкретной находке/плану; универсальный размер не задаётся,SRC001 | SRC003 | SRC005 | SRC012 | SRC089
ARC0017,1,Легкий хозяйственный сарай,architecture,B,safe_with_constraints,по конкретной находке/плану; универсальный размер не задаётся,SRC001 | SRC003 | SRC005 | SRC012 | SRC089
ARC0018,1,Клеть-амбар,architecture,A,safe_with_record_specific_reference,по конкретной находке/плану; универсальный размер не задаётся,SRC001 | SRC003 | SRC005 | SRC012 | SRC089
