sc_id,role,item_ref,resolves_to,name_ru,category,historical_confidence,generation_policy,frequency_class,weight,status
sc_scn001,required,ARC0021,matcult_item,Жилая клеть,architecture,B,safe_with_constraints,ubiquitous,8,candidate
sc_scn001,required,INT0007,matcult_item,Каменно-глиняная печь,interiors,B,safe_with_constraints,ubiquitous,8,candidate
sc_scn001,required,FUR0002,matcult_item,Длинная лавка на ножках,furniture,A,safe_with_record_specific_reference,ubiquitous,8,candidate
sc_scn001,required,FUR0008,matcult_item,Низкий рабочий столик,furniture,B,safe_with_constraints,ubiquitous,8,candidate
sc_scn001,required,POT0019,matcult_item,Керамический горшок малый,pottery_and_vessels,A,safe_with_record_specific_reference,ubiquitous,8,candidate
sc_scn001,required,POT0001,matcult_item,Деревянная крышка сосуда,pottery_and_vessels,A,safe_with_record_specific_reference,ubiquitous,8,candidate
sc_scn001,allowed,HOU0016,matcult_item,Плетёная корзина,household_items,B,safe_with_constraints,contextual,2,candidate
sc_scn001,allowed,HOU0015,matcult_item,Мешок тканевый,household_items,A,safe_with_record_specific_reference,contextual,2,candidate
sc_scn001,allowed,HOU0001,matcult_item,Деревянное ведро с обручами,household_items,A,safe_with_record_specific_reference,contextual,2,candidate
sc_scn001,allowed,MSC0046,matcult_item,Колотые дрова,miscellaneous,A,safe_with_record_specific_reference,contextual,2,candidate
sc_scn001,allowed,MSC0035,matcult_item,Щепа плотницкого двора,miscellaneous,A,safe_with_record_specific_reference,contextual,2,candidate
sc_scn001,forbidden,AP001,anti_pattern,Изба XIX века,,,,,,candidate
sc_scn001,forbidden,AP003,anti_pattern,Русское узорочье XVII века,,,,,,candidate
sc_scn001,forbidden,AP052,anti_pattern,Сплошная живописная разруха,,,,,,candidate
sc_scn002,required,ARC0021,matcult_item,Жилая клеть,architecture,B,safe_with_constraints,ubiquitous,8,candidate
sc_scn002,required,INT0007,matcult_item,Каменно-глиняная печь,interiors,B,safe_with_constraints,ubiquitous,8,candidate
sc_scn002,required,FUR0002,matcult_item,Длинная лавка на ножках,furniture,A,safe_with_record_specific_reference,ubiquitous,8,candidate
sc_scn002,required,MSC0046,matcult_item,Колотые дрова,miscellaneous,A,safe_with_record_specific_reference,ubiquitous,8,candidate
sc_scn002,required,MSC0025,matcult_item,Зола и угли очага,miscellaneous,A,safe_with_record_specific_reference,ubiquitous,8,candidate
sc_scn002,allowed,HOU0016,matcult_item,Плетёная корзина,household_items,B,safe_with_constraints,contextual,2,candidate
sc_scn002,allowed,HOU0001,matcult_item,Деревянное ведро с обручами,household_items,A,safe_with_record_specific_reference,contextual,2,candidate
sc_scn002,allowed,HOU0002,matcult_item,Железный дверной замок,household_items,A,safe_with_record_specific_reference,contextual,2,candidate
sc_scn002,allowed,POT0019,matcult_item,Керамический горшок малый,pottery_and_vessels,A,safe_with_record_specific_reference,contextual,2,candidate
sc_scn002,allowed,POT0001,matcult_item,Деревянная крышка сосуда,pottery_and_vessels,A,safe_with_record_specific_reference,contextual,2,candidate
sc_scn002,forbidden,AP001,anti_pattern,Изба XIX века,,,,,,candidate
sc_scn002,forbidden,AP003,anti_pattern,Русское узорочье XVII века,,,,,,candidate
sc_scn002,forbidden,AP052,anti_pattern,Сплошная живописная разруха,,,,,,candidate
sc_scn003,required,ARC0020,matcult_item,Однокамерный отапливаемый срубный дом,architecture,A,safe_with_record_specific_reference,ubiquitous,8,candidate
sc_scn003,required,ARC0031,matcult_item,Дворовая ремесленная мастерская,architecture,A,safe_with_record_specific_reference,ubiquitous,8,candidate
sc_scn003,required,FUR0008,matcult_item,Низкий рабочий столик,furniture,B,safe_with_constraints,ubiquitous,8,candidate
sc_scn003,required,FUR0001,matcult_item,Деревянная колыбель подвесная,furniture,C,reference_required,ubiquitous,8,candidate
sc_scn003,required,CRF0138,matcult_item,Отвес,crafts,B,safe_with_constraints,ubiquitous,8,candidate
sc_scn003,required,CRF0001,matcult_item,Тесло втульчатое,crafts,A,safe_with_record_specific_reference,ubiquitous,8,candidate
sc_scn003,required,CRF0002,matcult_item,Наковальня-колода,crafts,B,safe_with_constraints,ubiquitous,8,candidate
sc_scn003,allowed,HOU0002,matcult_item,Железный дверной замок,household_items,A,safe_with_record_specific_reference,contextual,2,candidate
sc_scn003,allowed,HOU0016,matcult_item,Плетёная корзина,household_items,B,safe_with_constraints,contextual,2,candidate
sc_scn003,allowed,MSC0002,matcult_item,Куча коры,miscellaneous,A,safe_with_record_specific_reference,contextual,2,candidate
sc_scn003,allowed,MSC0001,matcult_item,Соломенная подстилка,miscellaneous,B,safe_with_constraints,contextual,2,candidate
sc_scn003,allowed,MSC0003,matcult_item,Обрезки кожи,miscellaneous,A,safe_with_record_specific_reference,contextual,2,candidate
sc_scn003,forbidden,AP001,anti_pattern,Изба XIX века,,,,,,candidate
sc_scn003,forbidden,AP003,anti_pattern,Русское узорочье XVII века,,,,,,candidate
sc_scn003,forbidden,AP052,anti_pattern,Сплошная живописная разруха,,,,,,candidate
sc_scn004,required,ARC0001,matcult_item,Конюшня городской/усадебной постройки,architecture,B,safe_with_constraints,ubiquitous,8,candidate
sc_scn004,required,ARC0002,matcult_item,Хлев для крупного и мелкого скота,architecture,B,safe_with_constraints,ubiquitous,8,candidate
sc_scn004,required,FUR0026,matcult_item,Сундук дощатый с плоской крышкой,furniture,A,safe_with_record_specific_reference,ubiquitous,8,candidate
sc_scn004,required,FUR0006,matcult_item,Ларь крупный,furniture,B,safe_with_constraints,ubiquitous,8,candidate
sc_scn004,required,FUR0008,matcult_item,Низкий рабочий столик,furniture,B,safe_with_constraints,ubiquitous,8,candidate
sc_scn004,required,TRD0037,matcult_item,Малые равноплечие весы купца,trade,A,safe_with_record_specific_reference,ubiquitous,8,candidate
sc_scn004,required,TRD0052,matcult_item,Тюк кожи,trade,A,safe_with_record_specific_reference,ubiquitous,8,candidate
sc_scn004,required,TRD0001,matcult_item,Купеческая печать-матрица — редкая,trade,C,reference_required,ubiquitous,8,candidate
sc_scn004,allowed,POT0001,matcult_item,Деревянная крышка сосуда,pottery_and_vessels,A,safe_with_record_specific_reference,contextual,2,candidate
sc_scn004,allowed,POT0002,matcult_item,Деревянная ложка,pottery_and_vessels,A,safe_with_record_specific_reference,contextual,2,candidate
sc_scn004,allowed,POT0003,matcult_item,Деревянная ложка длинноручная,pottery_and_vessels,A,safe_with_record_specific_reference,contextual,2,candidate
sc_scn004,allowed,WRT0014,matcult_item,Свинцовая вислая печать,writing,A,safe_with_record_specific_reference,contextual,2,candidate
sc_scn004,allowed,WRT0001,matcult_item,Пакет/связка документов в сундуке,writing,C,reference_required,contextual,2,candidate
sc_scn004,forbidden,AP001,anti_pattern,Изба XIX века,,,,,,candidate
sc_scn004,forbidden,AP003,anti_pattern,Русское узорочье XVII века,,,,,,candidate
sc_scn004,forbidden,AP052,anti_pattern,Сплошная живописная разруха,,,,,,candidate
sc_scn005,required,ARC0018,matcult_item,Клеть-амбар,architecture,A,safe_with_record_specific_reference,ubiquitous,8,candidate
sc_scn005,required,ARC0015,matcult_item,Дворовые ворота в частоколе,architecture,B,safe_with_constraints,ubiquitous,8,candidate
sc_scn005,required,ARC0001,matcult_item,Конюшня городской/усадебной постройки,architecture,B,safe_with_constraints,ubiquitous,8,candidate
sc_scn005,required,ARC0002,matcult_item,Хлев для крупного и мелкого скота,architecture,B,safe_with_constraints,ubiquitous,8,candidate
sc_scn005,required,FUR0026,matcult_item,Сундук дощатый с плоской крышкой,furniture,A,safe_with_record_specific_reference,ubiquitous,8,candidate
sc_scn005,required,FUR0008,matcult_item,Низкий рабочий столик,furniture,B,safe_with_constraints,ubiquitous,8,candidate
sc_scn005,required,TRD0006,matcult_item,Бобровые шкуры торговой партии,trade,A,safe_with_record_specific_reference,ubiquitous,8,candidate
sc_scn005,required,TRD0050,matcult_item,Редкая импортная поливная чаша,trade,B,safe_with_constraints,ubiquitous,8,candidate
sc_scn005,allowed,HRS0034,matcult_item,Шпора с шипом,horse_equipment,A,safe_with_record_specific_reference,contextual,2,candidate
sc_scn005,allowed,HRS0035,matcult_item,Кожаная узда,horse_equipment,A,safe_with_record_specific_reference,contextual,2,candidate
sc_scn005,allowed,REL0001,matcult_item,Деревянная икона,religious_items,B,safe_with_constraints,contextual,2,candidate
sc_scn005,allowed,REL0008,matcult_item,Нательный крест,religious_items,A,safe_with_record_specific_reference,contextual,2,candidate
sc_scn005,allowed,MIL0003,matcult_item,Оружейная стойка из жердей,military_equipment,C,reference_required,contextual,2,candidate
sc_scn005,allowed,MIL0001,matcult_item,Связка запасных стрел,military_equipment,B,safe_with_constraints,contextual,2,candidate
