ref,title,url_or_path,confidence_hint,note,kind
ref:arhitekto_2russ27,Городские постройки древнего Новгорода (Архитектура Древней Руси),https://www.arhitekto.ru/txt/2russ27.shtml,B,"Размеры жилищ 4–9 м, угловые печи в домах 20–40 м², ширина мостовых 3,5–5 м (главные до 8 м), водостоки, хоромы.",bibliography
ref:dissercat_ljudin,"Постройки Людина конца средневекового Новгорода: по материалам Троицких I–XI раскопов (дисс., аннотация)",https://www.dissercat.com/content/postroiki-lyudina-kontsa-srednevekovogo-novgoroda,B,Пятистенки с XI в.; подклеты конец XII – начало XIII в.; четырёхстенные ~12% в XIII в.,bibliography
ref:rsl_zasurcev_search,"Засурцев П.И. Усадьбы и постройки древнего Новгорода (МИА 123, 1963; автореферат РГБ) — факты по сводке поиска",https://search.rsl.ru/ru/record/01006192370,B,~95% печей Неревского раскопа в углу; пятистенки — основные владельческие постройки до сер. XIII в. Первоисточник не прочитан (нужен OCR) — перепроверить.,bibliography
ref:wiki_banya,Баня — Википедия (раздел об археологии Троицкого раскопа),https://ru.wikipedia.org/wiki/%D0%91%D0%B0%D0%BD%D1%8F,B,"Типы бань конца X–XI в.: пятистенные, однокамерные чёрные, с предбанником.",bibliography
ref:pravenc_zhalnik,Жальник — Православная энциклопедия,https://www.pravenc.ru/text/182191.html,B,Грунтовые могилы с каменной обкладкой; XII – конец XV в.; зона земледельческой колонизации Новгородской земли.,bibliography
ref:dissercat_zhalniki,"Погребальные памятники земли словен новгородских (курганы и жальники XI–XIV вв.) (дисс., аннотация)",https://www.dissercat.com/content/pogrebalnye-pamyatniki-zemli-sloven-novgorodskikh-kurgany-i-zhalniki-xi-xiv-vv,B,,bibliography
ref:novgorodmuseum_khutyn,Варлаамо-Хутынский Спасо-Преображенский монастырь — Новгородский музей-заповедник,https://novgorodmuseum.ru/muzei/varlaamo-hutynskij-spaso-preobrazhenskij-monastyr,B,"Основан 1192 г. Варлаамом; деревянный, затем каменный храм Спаса, освящён 1192 г.",bibliography
nov1230db:S01,Новгородская первая летопись старшего и младшего изводов,https://archive.org/details/novhorodskyj_litopys,,"События 1230 года, цены, голод, вечевые столкновения, смена князя и посадника.",nov1230db_source
nov1230db:S02,"Договор Новгорода с Готским берегом и немецкими городами, 1191–1192",https://gis.spbiiran.ru/cyrillic/cyrillic-alphabet-1217/acts/3454,,"Торговое и уголовное право, штрафы, свидетели, безопасность купцов.",nov1230db_source
nov1230db:S03,Устав князя Всеволода церкви Иоанна Предтечи на Опоках,https://constitutions.ru/?p=5176,,"Купеческая корпорация, торговый суд, меры воска и пошлины; применяется с оговоркой.",nov1230db_source
nov1230db:S04,Русская Правда: Краткая и Пространная редакции,https://www.hist.msu.ru/ER/Etext/RP,,"Базовые нормы имущественного, процессуального и уголовного права.",nov1230db_source
nov1230db:S05,Древнерусские берестяные грамоты: база данных,https://gramoty.ru/birchbark/document/list/,,"Долги, суд, торговля, налоги, бытовая грамотность, письма из Новгорода, Русы и Торжка.",nov1230db_source
nov1230db:S06,Russian National Corpus: Birchbark letters,https://ruscorpora.ru/en/corpus/birchbark,,Проверка чтений и контекста берестяных документов.,nov1230db_source
nov1230db:S07,The Archaeology of Medieval Novgorod in Context: Studies in Centre/Periphery Relations,https://eprints.bournemouth.ac.uk/23438/1/01%20Novgorod%20IV.pdf,,"Модель ближней и дальней округи, погосты, волости и меховая периферия.",nov1230db_source
nov1230db:S08,А. В. Куза. Древнерусские городища X–XIII вв.,https://archaeolog.ru/el-bib/el-cat/el-books/el-books-1996/kuza-1996,,Каталог укреплённых пунктов и датировка археологических кандидатов.,nov1230db_source
nov1230db:S09,Троицкий раскоп,https://novgorodmuseum.ru/muzei/troickij-raskop,,"Городская усадьба, мостовые, культурный слой и материальная культура.",nov1230db_source
nov1230db:S10,Археологам удалось найти место въезда на Немецкий двор,https://novgorodmuseum.ru/o-muzee-zapovednike/novosti/arheologam-udalos-najti-mesto-vezda-na-nemeckij-dvor-v-velikom-novgorode,,Топография двора св. Петра и сезонные пути иностранных гостей.,nov1230db_source
nov1230db:S11,Археологические исследования в квартале № 38 Великого Новгорода,https://archaeolog.ru/press/articles/arkheologicheskie-issledovaniya-2020-g-v-kvartale--38-velikogo-novgoroda,,Размеры крупных усадеб 1200–1500 м² и структура Торговой стороны.,nov1230db_source
