category_id,domain,layer,region_id,parent_category_id,equipment_slots,instance_count_novgorod,novgorod_gm_ids,source_refs,status
garment.kind.tunic_shirt,garment,universal,,garment.kind,base_garment,5,gm_gm001|gm_gm002|gm_gf001|gm_gf002|gm_gc001,rule:build.py SUB map from costume subcategory,candidate
garment.kind.wool_tunic,garment,universal,,garment.kind,outer_garment,5,gm_gm003|gm_gm016|gm_gc002|gm_fr001|gm_fr009,rule:build.py SUB map from costume subcategory,candidate
garment.kind.trousers_porty,garment,universal,,garment.kind,lower_garment,3,gm_gm004|gm_gm005|gm_gc003,rule:build.py SUB map from costume subcategory,candidate
garment.kind.leg_wraps,garment,universal,,garment.kind,leg_wrap,1,gm_gm006,rule:build.py SUB map from costume subcategory,candidate
garment.kind.svita,garment,universal,,garment.kind,outer_garment,1,gm_gm007,rule:build.py SUB map from costume subcategory,candidate
garment.kind.sheepskin_coat_kozhukh,garment,universal,,garment.kind,over_garment_winter,4,gm_gm008|gm_gf007|gm_gf008|gm_gc005,rule:build.py SUB map from costume subcategory,candidate
garment.kind.fur_coat_shuba,garment,universal,,garment.kind,over_garment_winter,1,gm_gm009,rule:build.py SUB map from costume subcategory,candidate
garment.kind.cloak,garment,universal,,garment.kind,cloak,8,gm_gm010|gm_gm011|gm_gm012|gm_gf006|gm_gf014|gm_gc004|gm_fr004|gm_ar036,rule:build.py SUB map from costume subcategory,candidate
garment.kind.hood,garment,universal,,garment.kind,headwear,2,gm_gm013|gm_fr003,rule:build.py SUB map from costume subcategory,candidate
garment.kind.apron,garment,universal,,garment.kind,apron,3,gm_gm014|gm_gm015|gm_gf009,rule:build.py SUB map from costume subcategory,candidate
garment.kind.blanket_wrap,garment,universal,,garment.kind,cloak,1,gm_gm018,rule:build.py SUB map from costume subcategory,candidate
garment.kind.long_wool_garment,garment,universal,,garment.kind,outer_garment,3,gm_gf003|gm_gf004|gm_gf005,rule:build.py SUB map from costume subcategory,candidate
garment.kind.wrap_skirt_poneva,garment,universal,,garment.kind,waist_garment,1,gm_gf013,rule:build.py SUB map from costume subcategory,candidate
garment.kind.belt,garment,universal,,garment.kind,waist,2,gm_gc006|gm_ac001,rule:build.py SUB map from costume subcategory,candidate
garment.kind.mittens,garment,universal,,garment.kind,handwear,3,gm_gc007|gm_ac036|gm_ac037,rule:build.py SUB map from costume subcategory,candidate
garment.kind.soft_cap,garment,universal,,garment.kind,headwear,3,gm_hw001|gm_hw012|gm_hw016,rule:build.py SUB map from costume subcategory,candidate
garment.kind.felt_cap,garment,universal,,garment.kind,headwear,1,gm_hw002,rule:build.py SUB map from costume subcategory,candidate
garment.kind.fur_cap,garment,universal,,garment.kind,headwear,3,gm_hw003|gm_hw011|gm_hw017,rule:build.py SUB map from costume subcategory,candidate
garment.kind.fur_trimmed_cap,garment,universal,,garment.kind,headwear,1,gm_hw004,rule:build.py SUB map from costume subcategory,candidate
garment.kind.headcloth,garment,universal,,garment.kind,headwear,1,gm_hw005,rule:build.py SUB map from costume subcategory,candidate
garment.kind.under_cap_povoi,garment,universal,,garment.kind,head_under,1,gm_hw006,rule:build.py SUB map from costume subcategory,candidate
garment.kind.head_veil_ubrus,garment,universal,,garment.kind,headwear,1,gm_hw007,rule:build.py SUB map from costume subcategory,candidate
garment.kind.headband_ochelye,garment,universal,,garment.kind,headband,1,gm_hw008,rule:build.py SUB map from costume subcategory,candidate
garment.kind.maiden_band,garment,universal,,garment.kind,headwear,1,gm_hw010,rule:build.py SUB map from costume subcategory,candidate
garment.kind.monastic_hood,garment,universal,,garment.kind,headwear,1,gm_hw013,rule:build.py SUB map from costume subcategory,candidate
garment.kind.liturgical_mitre,garment,universal,,garment.kind,headwear,1,gm_hw014,rule:build.py SUB map from costume subcategory,candidate
garment.kind.porshni,garment,universal,,garment.kind,footwear,1,gm_fw001,rule:build.py SUB map from costume subcategory,candidate
garment.kind.low_shoe,garment,universal,,garment.kind,footwear,5,gm_fw002|gm_fw003|gm_fw005|gm_fw006|gm_fw010,rule:build.py SUB map from costume subcategory,candidate
garment.kind.ankle_shoe,garment,universal,,garment.kind,footwear,1,gm_fw004,rule:build.py SUB map from costume subcategory,candidate
garment.kind.boot,garment,universal,,garment.kind,footwear,4,gm_fw007|gm_fw008|gm_fw009|gm_fw011,rule:build.py SUB map from costume subcategory,candidate
