id,region_id,garment_category_id,slot_key,gm_id,constraints,status,source_refs,confidence
rcp_nov_gm_gm001,region_novgorod_land,garment.kind.tunic_shirt,base_garment,gm_gm001,"{""sex"": [""male""], ""age"": [""young_adult"", ""adult"", ""middle_aged"", ""old""], ""season"": [""summer"", ""spring"", ""spring_rasputitsa"", ""autumn"", ""winter""], ""status_band"": [""low"", ""middle"", ""high""], ""marital_status"": ""any"", ""valid_from"": ""1200-01-01"", ""valid_to"": ""1260-12-31""}",draft,costume:GM001|costume:SRC006|costume:SRC008|costume:SRC019|wk:material_culture:tunic-shirt|claim:clothing-linen-shirt|claim:clothing-tunic-shirt-folded-panel|claim:clothing-shirt-principal-garment,B
rcp_nov_gm_gm002,region_novgorod_land,garment.kind.tunic_shirt,base_garment,gm_gm002,"{""sex"": [""male""], ""age"": [""young_adult"", ""adult"", ""middle_aged"", ""old""], ""season"": [""summer"", ""spring"", ""spring_rasputitsa"", ""autumn"", ""winter""], ""status_band"": [""low"", ""middle""], ""marital_status"": ""any"", ""valid_from"": ""1200-01-01"", ""valid_to"": ""1260-12-31""}",draft,costume:GM002|costume:SRC008|costume:SRC009|costume:SRC034|wk:material_culture:tunic-shirt|claim:clothing-hemp|claim:clothing-linen-shirt,B
rcp_nov_gm_gm003,region_novgorod_land,garment.kind.wool_tunic,outer_garment,gm_gm003,"{""sex"": [""male""], ""age"": [""young_adult"", ""adult"", ""middle_aged"", ""old""], ""season"": [""summer"", ""spring"", ""spring_rasputitsa"", ""autumn"", ""winter""], ""status_band"": [""low"", ""middle"", ""high"", ""elite""], ""marital_status"": ""any"", ""valid_from"": ""1200-01-01"", ""valid_to"": ""1260-12-31""}",draft,costume:GM003|costume:SRC007|costume:SRC008|costume:SRC025|costume:SRC027|claim:clothing-wool-shirt|claim:clothing-wool,B
rcp_nov_gm_gm004,region_novgorod_land,garment.kind.trousers_porty,lower_garment,gm_gm004,"{""sex"": [""male""], ""age"": [""young_adult"", ""adult"", ""middle_aged"", ""old""], ""season"": [""summer"", ""spring"", ""spring_rasputitsa"", ""autumn"", ""winter""], ""status_band"": [""low"", ""middle"", ""high"", ""elite""], ""marital_status"": ""any"", ""valid_from"": ""1200-01-01"", ""valid_to"": ""1260-12-31""}",draft,costume:GM004|costume:SRC006|costume:SRC008|costume:SRC034|wk:material_culture:porty-trousers|claim:clothing-porty-cut,B
rcp_nov_gm_gm005,region_novgorod_land,garment.kind.trousers_porty,lower_garment,gm_gm005,"{""sex"": [""male""], ""age"": [""young_adult"", ""adult"", ""middle_aged"", ""old""], ""season"": [""autumn"", ""winter""], ""status_band"": [""low"", ""middle"", ""high"", ""elite""], ""marital_status"": ""any"", ""valid_from"": ""1200-01-01"", ""valid_to"": ""1260-12-31""}",draft,costume:GM005|costume:SRC007|costume:SRC008|costume:SRC034|wk:material_culture:porty-trousers|claim:clothing-porty-cut|claim:clothing-wool,B
rcp_nov_gm_gm006,region_novgorod_land,garment.kind.leg_wraps,leg_wrap,gm_gm006,"{""sex"": [""male""], ""age"": [""young_adult"", ""adult"", ""middle_aged"", ""old""], ""season"": [""spring"", ""spring_rasputitsa"", ""autumn"", ""winter""], ""status_band"": [""low"", ""middle"", ""high"", ""elite""], ""marital_status"": ""any"", ""valid_from"": ""1200-01-01"", ""valid_to"": ""1260-12-31""}",draft,costume:GM006|costume:SRC006|costume:SRC034|wk:material_culture:onuchi|claim:clothing-onuchi-wrap,B
rcp_nov_gm_gm007,region_novgorod_land,garment.kind.svita,outer_garment,gm_gm007,"{""sex"": [""male""], ""age"": [""young_adult"", ""adult"", ""middle_aged"", ""old""], ""season"": [""spring"", ""spring_rasputitsa"", ""autumn"", ""winter""], ""status_band"": [""middle"", ""high"", ""elite""], ""marital_status"": ""any"", ""valid_from"": ""1200-01-01"", ""valid_to"": ""1260-12-31""}",draft,costume:GM007|costume:SRC006|costume:SRC019|costume:SRC025|wk:material_culture:svita|claim:clothing-svita-outer-garment,B
rcp_nov_gm_gm008,region_novgorod_land,garment.kind.sheepskin_coat_kozhukh,over_garment_winter,gm_gm008,"{""sex"": [""male""], ""age"": [""young_adult"", ""adult"", ""middle_aged"", ""old""], ""season"": [""winter""], ""status_band"": [""low"", ""middle"", ""high"", ""elite""], ""marital_status"": ""any"", ""valid_from"": ""1200-01-01"", ""valid_to"": ""1260-12-31""}",draft,costume:GM008|costume:SRC016|costume:SRC018|costume:SRC019|costume:SRC020|wk:material_culture:kozhukh|claim:clothing-sheepskin-kozhukh,B
rcp_nov_gm_gm009,region_novgorod_land,garment.kind.fur_coat_shuba,over_garment_winter,gm_gm009,"{""sex"": [""male""], ""age"": [""young_adult"", ""adult"", ""middle_aged"", ""old""], ""season"": [""winter""], ""status_band"": [""high"", ""elite""], ""marital_status"": ""any"", ""valid_from"": ""1200-01-01"", ""valid_to"": ""1260-12-31""}",draft,costume:GM009|costume:SRC010|costume:SRC016|costume:SRC020|costume:SRC029,B
rcp_nov_gm_gm010,region_novgorod_land,garment.kind.cloak,cloak,gm_gm010,"{""sex"": [""male""], ""age"": [""young_adult"", ""adult"", ""middle_aged"", ""old""], ""season"": [""summer"", ""spring"", ""spring_rasputitsa"", ""autumn"", ""winter""], ""status_band"": [""low"", ""middle"", ""high"", ""elite""], ""marital_status"": ""any"", ""valid_from"": ""1200-01-01"", ""valid_to"": ""1260-12-31""}",draft,costume:GM010|costume:SRC015|costume:SRC025|costume:SRC027|costume:SRC049,B
