of_id,clothing_profile_id,costume_class,class_name_ru,role_refs,sex_categories,age_categories,seasons,marital_status,status_band,default_condition_state,required_clothing_slot_refs,runtime_selectable,slot_base_garment,slot_lower_garment,slot_outer_garment,slot_over_garment_winter,slot_cloak,slot_waist,slot_waist_garment,slot_apron,slot_headwear,slot_head_under,slot_headband,slot_handwear,slot_leg_wrap,slot_foot_layer,slot_insole,slot_footwear,slot_over_footwear,slot_footwear_attachment,provenance,source_refs,confidence,status
of_poor_male_warm_any,nov_clothing_poor_v1,poor,бедный горожанин / подёнщик / зависимый,nov_role_boyar_man|nov_role_church_guard|nov_role_debtor|nov_role_hired_worker|nov_role_kholop|nov_role_no_guarantor|nov_role_orphan|nov_role_outsider|nov_role_port_worker|nov_role_portage_worker|nov_role_servant,male,young_adult|adult|middle_aged|old,summer,any,low,serviceable,base_garment|lower_garment|waist|footwear,true,gm_gm002,gm_gm004,,,,gm_ac002,,,,,,,,,,gm_fw001,,,"CMB001,CMB004,CMB002 (male); CMB024,CMB045,CMB030 (female); risovalka §5 urban_poor (HW002 H01); R1,R2,R5",costume:CMB001|costume:CMB004|costume:CMB002|costume:CMB024|costume:CMB045|costume:CMB030|risovalka,B,candidate
of_poor_male_cool_any,nov_clothing_poor_v1,poor,бедный горожанин / подёнщик / зависимый,nov_role_boyar_man|nov_role_church_guard|nov_role_debtor|nov_role_hired_worker|nov_role_kholop|nov_role_no_guarantor|nov_role_orphan|nov_role_outsider|nov_role_port_worker|nov_role_portage_worker|nov_role_servant,male,young_adult|adult|middle_aged|old,spring|spring_rasputitsa|autumn,any,low,serviceable,base_garment|lower_garment|outer_garment|waist|headwear|leg_wrap|foot_layer|footwear,true,gm_gm002,gm_gm004,gm_gm003,,,gm_ac002,,,gm_hw002,,,,gm_gm006,gm_fw016,,gm_fw001,,,"CMB001,CMB004,CMB002 (male); CMB024,CMB045,CMB030 (female); risovalka §5 urban_poor (HW002 H01); R1,R2,R5",costume:CMB001|costume:CMB004|costume:CMB002|costume:CMB024|costume:CMB045|costume:CMB030|risovalka,B,candidate
of_poor_male_cold_any,nov_clothing_poor_v1,poor,бедный горожанин / подёнщик / зависимый,nov_role_boyar_man|nov_role_church_guard|nov_role_debtor|nov_role_hired_worker|nov_role_kholop|nov_role_no_guarantor|nov_role_orphan|nov_role_outsider|nov_role_port_worker|nov_role_portage_worker|nov_role_servant,male,young_adult|adult|middle_aged|old,winter,any,low,serviceable,base_garment|lower_garment|outer_garment|over_garment_winter|waist|headwear|leg_wrap|insole|footwear,true,gm_gm002,gm_gm005,gm_gm003,gm_gm008,,gm_ac002,,,gm_hw003,,,,gm_gm006,,gm_fw013,gm_fw001,,,"CMB001,CMB004,CMB002 (male); CMB024,CMB045,CMB030 (female); risovalka §5 urban_poor (HW002 H01); R1,R2,R5",costume:CMB001|costume:CMB004|costume:CMB002|costume:CMB024|costume:CMB045|costume:CMB030|risovalka,B,candidate
of_poor_female_warm_married,nov_clothing_poor_v1,poor,бедный горожанин / подёнщик / зависимый,nov_role_boyar_man|nov_role_church_guard|nov_role_debtor|nov_role_hired_worker|nov_role_kholop|nov_role_no_guarantor|nov_role_orphan|nov_role_outsider|nov_role_port_worker|nov_role_portage_worker|nov_role_servant,female,young_adult|adult|middle_aged|old,summer,married,low,serviceable,base_garment|outer_garment|waist|headwear|head_under|footwear,true,gm_gf002,,gm_gf004,,,gm_ac002,,,gm_hw007,gm_hw006,,,,,,gm_fw002,,,"CMB001,CMB004,CMB002 (male); CMB024,CMB045,CMB030 (female); risovalka §5 urban_poor (HW002 H01); R1,R2,R5",costume:CMB001|costume:CMB004|costume:CMB002|costume:CMB024|costume:CMB045|costume:CMB030|risovalka,B,candidate
of_poor_female_warm_unmarried,nov_clothing_poor_v1,poor,бедный горожанин / подёнщик / зависимый,nov_role_boyar_man|nov_role_church_guard|nov_role_debtor|nov_role_hired_worker|nov_role_kholop|nov_role_no_guarantor|nov_role_orphan|nov_role_outsider|nov_role_port_worker|nov_role_portage_worker|nov_role_servant,female,young_adult|adult|middle_aged|old,summer,unmarried,low,serviceable,base_garment|outer_garment|waist|headwear|footwear,false,gm_gf002,,gm_gf004,,,gm_ac002,,,gm_hw010,,,,,,,gm_fw002,,,"CMB001,CMB004,CMB002 (male); CMB024,CMB045,CMB030 (female); risovalka §5 urban_poor (HW002 H01); R1,R2,R5",costume:CMB001|costume:CMB004|costume:CMB002|costume:CMB024|costume:CMB045|costume:CMB030|risovalka,B,candidate
of_poor_female_cool_married,nov_clothing_poor_v1,poor,бедный горожанин / подёнщик / зависимый,nov_role_boyar_man|nov_role_church_guard|nov_role_debtor|nov_role_hired_worker|nov_role_kholop|nov_role_no_guarantor|nov_role_orphan|nov_role_outsider|nov_role_port_worker|nov_role_portage_worker|nov_role_servant,female,young_adult|adult|middle_aged|old,spring|spring_rasputitsa|autumn,married,low,serviceable,base_garment|outer_garment|cloak|waist|headwear|head_under|foot_layer|footwear,true,gm_gf002,,gm_gf004,,gm_gf014,gm_ac002,,,gm_hw007,gm_hw006,,,,gm_fw016,,gm_fw002,,,"CMB001,CMB004,CMB002 (male); CMB024,CMB045,CMB030 (female); risovalka §5 urban_poor (HW002 H01); R1,R2,R5",costume:CMB001|costume:CMB004|costume:CMB002|costume:CMB024|costume:CMB045|costume:CMB030|risovalka,B,candidate
of_poor_female_cool_unmarried,nov_clothing_poor_v1,poor,бедный горожанин / подёнщик / зависимый,nov_role_boyar_man|nov_role_church_guard|nov_role_debtor|nov_role_hired_worker|nov_role_kholop|nov_role_no_guarantor|nov_role_orphan|nov_role_outsider|nov_role_port_worker|nov_role_portage_worker|nov_role_servant,female,young_adult|adult|middle_aged|old,spring|spring_rasputitsa|autumn,unmarried,low,serviceable,base_garment|outer_garment|cloak|waist|headwear|foot_layer|footwear,false,gm_gf002,,gm_gf004,,gm_gf014,gm_ac002,,,gm_hw010,,,,,gm_fw016,,gm_fw002,,,"CMB001,CMB004,CMB002 (male); CMB024,CMB045,CMB030 (female); risovalka §5 urban_poor (HW002 H01); R1,R2,R5",costume:CMB001|costume:CMB004|costume:CMB002|costume:CMB024|costume:CMB045|costume:CMB030|risovalka,B,candidate
of_poor_female_cold_married,nov_clothing_poor_v1,poor,бедный горожанин / подёнщик / зависимый,nov_role_boyar_man|nov_role_church_guard|nov_role_debtor|nov_role_hired_worker|nov_role_kholop|nov_role_no_guarantor|nov_role_orphan|nov_role_outsider|nov_role_port_worker|nov_role_portage_worker|nov_role_servant,female,young_adult|adult|middle_aged|old,winter,married,low,serviceable,base_garment|outer_garment|over_garment_winter|waist|headwear|head_under|foot_layer|insole|footwear,true,gm_gf002,,gm_gf004,gm_gf008,,gm_ac002,,,gm_hw011,gm_hw006,,,,gm_fw015,gm_fw013,gm_fw001,,,"CMB001,CMB004,CMB002 (male); CMB024,CMB045,CMB030 (female); risovalka §5 urban_poor (HW002 H01); R1,R2,R5",costume:CMB001|costume:CMB004|costume:CMB002|costume:CMB024|costume:CMB045|costume:CMB030|risovalka,B,candidate
of_poor_female_cold_unmarried,nov_clothing_poor_v1,poor,бедный горожанин / подёнщик / зависимый,nov_role_boyar_man|nov_role_church_guard|nov_role_debtor|nov_role_hired_worker|nov_role_kholop|nov_role_no_guarantor|nov_role_orphan|nov_role_outsider|nov_role_port_worker|nov_role_portage_worker|nov_role_servant,female,young_adult|adult|middle_aged|old,winter,unmarried,low,serviceable,base_garment|outer_garment|over_garment_winter|waist|headwear|foot_layer|insole|footwear,false,gm_gf002,,gm_gf004,gm_gf008,,gm_ac002,,,gm_hw010,,,,,gm_fw015,gm_fw013,gm_fw001,,,"CMB001,CMB004,CMB002 (male); CMB024,CMB045,CMB030 (female); risovalka §5 urban_poor (HW002 H01); R1,R2,R5",costume:CMB001|costume:CMB004|costume:CMB002|costume:CMB024|costume:CMB045|costume:CMB030|risovalka,B,candidate
of_rural_male_warm_any,nov_clothing_rural_v1,rural,сельский житель,nov_role_dependent_peasant|nov_role_miller|nov_role_monastery_worker|nov_role_old_household_member|nov_role_pastoral_worker|nov_role_ploughman|nov_role_senokos_worker|nov_role_smerd_householder|nov_role_starosta|nov_role_widow_householder|nov_role_youth_helper,male,young_adult|adult|middle_aged|old,summer,any,low,serviceable,base_garment|lower_garment|waist|footwear,true,gm_gm002,gm_gm004,,,,gm_ac002,,,,,,,,,,gm_fw001,,,"CMB007,CMB008 (male); CMB045,CMB030 (female); R1,R2,R5",costume:CMB007|costume:CMB008|costume:CMB045|costume:CMB030,B,candidate
of_rural_male_cool_any,nov_clothing_rural_v1,rural,сельский житель,nov_role_dependent_peasant|nov_role_miller|nov_role_monastery_worker|nov_role_old_household_member|nov_role_pastoral_worker|nov_role_ploughman|nov_role_senokos_worker|nov_role_smerd_householder|nov_role_starosta|nov_role_widow_householder|nov_role_youth_helper,male,young_adult|adult|middle_aged|old,spring|spring_rasputitsa|autumn,any,low,serviceable,base_garment|lower_garment|outer_garment|waist|headwear|leg_wrap|foot_layer|footwear,true,gm_gm002,gm_gm004,gm_gm003,,,gm_ac002,,,gm_hw001,,,,gm_gm006,gm_fw016,,gm_fw001,,,"CMB007,CMB008 (male); CMB045,CMB030 (female); R1,R2,R5",costume:CMB007|costume:CMB008|costume:CMB045|costume:CMB030,B,candidate
of_rural_male_cold_any,nov_clothing_rural_v1,rural,сельский житель,nov_role_dependent_peasant|nov_role_miller|nov_role_monastery_worker|nov_role_old_household_member|nov_role_pastoral_worker|nov_role_ploughman|nov_role_senokos_worker|nov_role_smerd_householder|nov_role_starosta|nov_role_widow_householder|nov_role_youth_helper,male,young_adult|adult|middle_aged|old,winter,any,low,serviceable,base_garment|lower_garment|outer_garment|over_garment_winter|waist|headwear|leg_wrap|insole|footwear,true,gm_gm002,gm_gm005,gm_gm003,gm_gm008,,gm_ac002,,,gm_hw003,,,,gm_gm006,,gm_fw013,gm_fw001,,,"CMB007,CMB008 (male); CMB045,CMB030 (female); R1,R2,R5",costume:CMB007|costume:CMB008|costume:CMB045|costume:CMB030,B,candidate
of_rural_female_warm_married,nov_clothing_rural_v1,rural,сельский житель,nov_role_dependent_peasant|nov_role_miller|nov_role_monastery_worker|nov_role_old_household_member|nov_role_pastoral_worker|nov_role_ploughman|nov_role_senokos_worker|nov_role_smerd_householder|nov_role_starosta|nov_role_widow_householder|nov_role_youth_helper,female,young_adult|adult|middle_aged|old,summer,married,low,serviceable,base_garment|outer_garment|waist|headwear|head_under|footwear,true,gm_gf002,,gm_gf004,,,gm_ac002,,,gm_hw007,gm_hw006,,,,,,gm_fw001,,,"CMB007,CMB008 (male); CMB045,CMB030 (female); R1,R2,R5",costume:CMB007|costume:CMB008|costume:CMB045|costume:CMB030,B,candidate
of_rural_female_warm_unmarried,nov_clothing_rural_v1,rural,сельский житель,nov_role_dependent_peasant|nov_role_miller|nov_role_monastery_worker|nov_role_old_household_member|nov_role_pastoral_worker|nov_role_ploughman|nov_role_senokos_worker|nov_role_smerd_householder|nov_role_starosta|nov_role_widow_householder|nov_role_youth_helper,female,young_adult|adult|middle_aged|old,summer,unmarried,low,serviceable,base_garment|outer_garment|waist|headwear|footwear,false,gm_gf002,,gm_gf004,,,gm_ac002,,,gm_hw010,,,,,,,gm_fw001,,,"CMB007,CMB008 (male); CMB045,CMB030 (female); R1,R2,R5",costume:CMB007|costume:CMB008|costume:CMB045|costume:CMB030,B,candidate
of_rural_female_cool_married,nov_clothing_rural_v1,rural,сельский житель,nov_role_dependent_peasant|nov_role_miller|nov_role_monastery_worker|nov_role_old_household_member|nov_role_pastoral_worker|nov_role_ploughman|nov_role_senokos_worker|nov_role_smerd_householder|nov_role_starosta|nov_role_widow_householder|nov_role_youth_helper,female,young_adult|adult|middle_aged|old,spring|spring_rasputitsa|autumn,married,low,serviceable,base_garment|outer_garment|waist|headwear|head_under|foot_layer|footwear,true,gm_gf002,,gm_gf004,,,gm_ac002,,,gm_hw007,gm_hw006,,,,gm_fw016,,gm_fw001,,,"CMB007,CMB008 (male); CMB045,CMB030 (female); R1,R2,R5",costume:CMB007|costume:CMB008|costume:CMB045|costume:CMB030,B,candidate
of_rural_female_cool_unmarried,nov_clothing_rural_v1,rural,сельский житель,nov_role_dependent_peasant|nov_role_miller|nov_role_monastery_worker|nov_role_old_household_member|nov_role_pastoral_worker|nov_role_ploughman|nov_role_senokos_worker|nov_role_smerd_householder|nov_role_starosta|nov_role_widow_householder|nov_role_youth_helper,female,young_adult|adult|middle_aged|old,spring|spring_rasputitsa|autumn,unmarried,low,serviceable,base_garment|outer_garment|waist|headwear|foot_layer|footwear,false,gm_gf002,,gm_gf004,,,gm_ac002,,,gm_hw010,,,,,gm_fw016,,gm_fw001,,,"CMB007,CMB008 (male); CMB045,CMB030 (female); R1,R2,R5",costume:CMB007|costume:CMB008|costume:CMB045|costume:CMB030,B,candidate
of_rural_female_cold_married,nov_clothing_rural_v1,rural,сельский житель,nov_role_dependent_peasant|nov_role_miller|nov_role_monastery_worker|nov_role_old_household_member|nov_role_pastoral_worker|nov_role_ploughman|nov_role_senokos_worker|nov_role_smerd_householder|nov_role_starosta|nov_role_widow_householder|nov_role_youth_helper,female,young_adult|adult|middle_aged|old,winter,married,low,serviceable,base_garment|outer_garment|over_garment_winter|waist|headwear|head_under|foot_layer|insole|footwear,true,gm_gf002,,gm_gf004,gm_gf008,,gm_ac002,,,gm_hw011,gm_hw006,,,,gm_fw015,gm_fw013,gm_fw001,,,"CMB007,CMB008 (male); CMB045,CMB030 (female); R1,R2,R5",costume:CMB007|costume:CMB008|costume:CMB045|costume:CMB030,B,candidate
of_rural_female_cold_unmarried,nov_clothing_rural_v1,rural,сельский житель,nov_role_dependent_peasant|nov_role_miller|nov_role_monastery_worker|nov_role_old_household_member|nov_role_pastoral_worker|nov_role_ploughman|nov_role_senokos_worker|nov_role_smerd_householder|nov_role_starosta|nov_role_widow_householder|nov_role_youth_helper,female,young_adult|adult|middle_aged|old,winter,unmarried,low,serviceable,base_garment|outer_garment|over_garment_winter|waist|headwear|foot_layer|insole|footwear,false,gm_gf002,,gm_gf004,gm_gf008,,gm_ac002,,,gm_hw010,,,,,gm_fw015,gm_fw013,gm_fw001,,,"CMB007,CMB008 (male); CMB045,CMB030 (female); R1,R2,R5",costume:CMB007|costume:CMB008|costume:CMB045|costume:CMB030,B,candidate
