role_ref,role_title_ru,social_rank,role_status,costume_class,clothing_profile_id,note,source_refs,confidence,status
nov_role_prince,князь,elite,approved,elite,nov_clothing_elite_v1,,data/novgorod-region/novgorod_social_roles_v1_enriched.tsv#nov_role_prince,B,candidate
nov_role_posadnik,посадник,elite,approved,elite,nov_clothing_elite_v1,,data/novgorod-region/novgorod_social_roles_v1_enriched.tsv#nov_role_posadnik,B,candidate
nov_role_tysyatsky,тысяцкий,high,approved,elite,nov_clothing_elite_v1,,data/novgorod-region/novgorod_social_roles_v1_enriched.tsv#nov_role_tysyatsky,B,candidate
nov_role_sotsky,сотский,middle,usable_with_caution,wealthy,nov_clothing_wealthy_v1,,data/novgorod-region/novgorod_social_roles_v1_enriched.tsv#nov_role_sotsky,B,candidate
nov_role_city_elder,городской старший,high,usable_with_caution,wealthy,nov_clothing_wealthy_v1,,data/novgorod-region/novgorod_social_roles_v1_enriched.tsv#nov_role_city_elder,B,candidate
nov_role_starosta,староста,middle,approved,rural,nov_clothing_rural_v1,сельский староста: деревенский комплект; зажиточный сельский вариант в источниках отсутствует,data/novgorod-region/novgorod_social_roles_v1_enriched.tsv#nov_role_starosta,B,candidate
nov_role_toll_collector,сборщик пошлины,middle,usable_with_caution,wealthy,nov_clothing_wealthy_v1,,data/novgorod-region/novgorod_social_roles_v1_enriched.tsv#nov_role_toll_collector,B,candidate
nov_role_guard,страж,low,approved,urban_middle,nov_clothing_urban_middle_v1,CMB016: ополченец/страж — обычная одежда горожанина; оружие вне домена,data/novgorod-region/novgorod_social_roles_v1_enriched.tsv#nov_role_guard,B,candidate
nov_role_princely_man,княжий человек,middle,approved,wealthy,nov_clothing_wealthy_v1,,data/novgorod-region/novgorod_social_roles_v1_enriched.tsv#nov_role_princely_man,B,candidate
nov_role_princely_druzhinnik,княжий дружинник,high,approved,warrior,nov_clothing_warrior_v1,,data/novgorod-region/novgorod_social_roles_v1_enriched.tsv#nov_role_princely_druzhinnik,B,candidate
nov_role_junior_druzhinnik,младший дружинник,middle,usable_with_caution,warrior,nov_clothing_warrior_v1,,data/novgorod-region/novgorod_social_roles_v1_enriched.tsv#nov_role_junior_druzhinnik,B,candidate
nov_role_bishop_man,владычный человек,middle,approved,wealthy,nov_clothing_wealthy_v1,,data/novgorod-region/novgorod_social_roles_v1_enriched.tsv#nov_role_bishop_man,B,candidate
nov_role_boyar_man,боярский человек,low,approved,poor,nov_clothing_poor_v1,зависимый боярский человек — одежда зависит от двора; взят бедный комплект (sqlite холопы/челядь «облик зависит от двора»),data/novgorod-region/novgorod_social_roles_v1_enriched.tsv#nov_role_boyar_man,B,candidate
nov_role_boyar,боярин,elite,approved,elite,nov_clothing_elite_v1,,data/novgorod-region/novgorod_social_roles_v1_enriched.tsv#nov_role_boyar,B,candidate
nov_role_boyar_house_mistress,хозяйка боярского двора,high,usable_with_caution,elite,nov_clothing_elite_v1,,data/novgorod-region/novgorod_social_roles_v1_enriched.tsv#nov_role_boyar_house_mistress,B,candidate
nov_role_merchant_guest,гость-купец,high,approved,merchant,nov_clothing_merchant_v1,,data/novgorod-region/novgorod_social_roles_v1_enriched.tsv#nov_role_merchant_guest,B,candidate
nov_role_local_merchant,местный купец,middle,approved,merchant,nov_clothing_merchant_v1,,data/novgorod-region/novgorod_social_roles_v1_enriched.tsv#nov_role_local_merchant,B,candidate
nov_role_merchant_clerk,купеческий приказчик,middle,usable_with_caution,merchant,nov_clothing_merchant_v1,,data/novgorod-region/novgorod_social_roles_v1_enriched.tsv#nov_role_merchant_clerk,B,candidate
nov_role_trader,торговец,low,approved,urban_middle,nov_clothing_urban_middle_v1,мелкий торговец (low) — комплект рядового горожанина,data/novgorod-region/novgorod_social_roles_v1_enriched.tsv#nov_role_trader,B,candidate
nov_role_foreign_guest,иноземный гость,high,approved,foreign_west,nov_clothing_foreign_west_v1,выбор западного варианта; балтийские/финно-угорские/иные русские — только в outfits.csv (селектора происхождения нет),data/novgorod-region/novgorod_social_roles_v1_enriched.tsv#nov_role_foreign_guest,B,candidate
nov_role_craftsman_master,мастер-ремесленник,middle,approved,urban_middle,nov_clothing_urban_middle_v1,,data/novgorod-region/novgorod_social_roles_v1_enriched.tsv#nov_role_craftsman_master,B,candidate
nov_role_journeyman,подмастерье,low,usable_with_caution,urban_middle,nov_clothing_urban_middle_v1,,data/novgorod-region/novgorod_social_roles_v1_enriched.tsv#nov_role_journeyman,B,candidate
nov_role_apprentice,ученик,low,approved,urban_middle,nov_clothing_urban_middle_v1,,data/novgorod-region/novgorod_social_roles_v1_enriched.tsv#nov_role_apprentice,B,candidate
nov_role_householder,хозяин двора,middle,approved,urban_middle,nov_clothing_urban_middle_v1,,data/novgorod-region/novgorod_social_roles_v1_enriched.tsv#nov_role_householder,B,candidate
nov_role_household_mistress,хозяйка двора,middle,approved,urban_middle,nov_clothing_urban_middle_v1,,data/novgorod-region/novgorod_social_roles_v1_enriched.tsv#nov_role_household_mistress,B,candidate
nov_role_servant,слуга,low,approved,poor,nov_clothing_poor_v1,,data/novgorod-region/novgorod_social_roles_v1_enriched.tsv#nov_role_servant,B,candidate
nov_role_hired_worker,наёмный работник,low,usable_with_caution,poor,nov_clothing_poor_v1,,data/novgorod-region/novgorod_social_roles_v1_enriched.tsv#nov_role_hired_worker,B,candidate
nov_role_port_worker,работник пристани,low,usable_with_caution,poor,nov_clothing_poor_v1,,data/novgorod-region/novgorod_social_roles_v1_enriched.tsv#nov_role_port_worker,B,candidate
