ref,title,url,kind,confidence_hint
costume:SRC001,«Лёгкой поступью по мостовой. Обувь древнего Новгорода X–XV вв.»,https://novgorodmuseum.ru/visit/sobytiya/legkoj-postupyu-po-mostovoj.-obuv-drevnego-novgoroda-x-xv-vv.,официальный музей / археология,A / очень высокий
costume:SRC002,«Средневековые кожаные изделия из археологической коллекции Новгородского музея-заповедника»,https://novgorodmuseum.ru/o-muzee-zapovednike/novosti/srednevekovye-kozhanye-izdeliya-iz-arheologicheskoj-kollekcii-novgorodskogo-muzeya-zapovednika-na-vystavke-v-tatarstane,официальный музей / археология,A / очень высокий
costume:SRC003,«Прекрасное Средневековье. Образ женщины Древнего Новгорода»,https://novgorodmuseum.ru/o-muzee-zapovednike/novosti/vystavka-%C2%ABprekrasnoe-srednevekove.-obraz-zhenshchiny-drevnego-novgoroda%C2%BB,официальный музей / археология,A / очень высокий
costume:SRC004,«Золотая подвеска-квадрифолий XIII века пополнила фонды Новгородского музея-заповедника»,https://novgorodmuseum.ru/o-muzee-zapovednike/novosti/zolotaya-podveska-kvadrifolij-xiii-veka-popolnila-fondy--novgorodskogo-muzeya-zapovednika,официальный музей / археология,A / очень высокий
costume:SRC005,«Продолжены исследования на Троицком раскопе Великого Новгорода»,https://novgorodmuseum.ru/o-muzee-zapovednike/novosti/prodolzheny-issledovaniya-na-troickom-raskope-velikogo-novgoroda,официальный музей / археология,A / очень высокий
costume:SRC006,Древняя Русь. Быт и культура. Археология СССР,https://archaeolog.ru/el-bib/el-cat/el-series/arch-sssr/archaeologyussr_16,научный свод / археология,A–B / высокий
costume:SRC007,А. Нахлик. «Ткани Новгорода. Опыт технологического анализа»,https://knigogid.ru/books/1921590-tkani-novgoroda-opyt-tehnologicheskogo-analiza,научная публикация / археологический текстиль,A–B / высокий
costume:SRC008,М.А. Калугина. «Текстиль домонгольского времени из археологических исследований Великого Новгорода»,https://www.evrazstep.ru/index.php/aes/article/view/929,рецензируемая научная статья / археологический текстиль,A / очень высокий
costume:SRC009,М.А. Калугина. «Текстиль Великого Новгорода второй трети XIII–XV вв.»,https://www.evrazstep.ru/index.php/aes/article/view/1198,рецензируемая научная статья / археологический текстиль,A–B / высокий
costume:SRC010,М.А. Калугина. «Импортные ткани в средневековом Новгороде»,https://www.evrazstep.ru/index.php/aes/article/view/1542,рецензируемая научная статья / археологический текстиль,A–B / высокий
costume:SRC011,М.И. Петров. «Культурный слой Новгорода и вещевые хронологии»,https://archaeolog.ru/media/periodicals/archaeology/2021_Petrov.pdf,научная статья / методология датирования,A / высокий
