tl_id,name_ru,name_en,craft_group,category_id,category_status,item_template_ref,wk_concept_ref,matcult_refs,material,material_class,size_class,mass_band,mass_band_range,mass_basis,mass_attested,v5_policy_mass_g,v5_policy_band,used_in_process_refs,used_by_occupations,in_workshops,workplace_pf_id,condition_states,mark_slots,region_id,source_refs,confidence,status,note
tl_axe_carpenter,плотничий топор,carpenter axe,carpentry,cat_item_object_working_axe_v1,existing_v5,item_tpl_nov_working_axe_v1,wk:material_culture:axe,CRF0020;CRF0021,mt_iron;mt_steel;mt_wood_birch,metal,long_hand,M2,"300 г–1,5 кг",rule:metalxlong_hand,,1400,M2,pc_log_building;pc_board_hewing;pc_plank_boat;pc_dugout_boat;pc_wood_turning;pc_cooperage;pc_timber_felling;pc_street_paving;pc_sledge_making;wk:craft_technology:woodworking,nov_occ_carpenter;nov_occ_cooper;nov_occ_boatbuilder,ws_turner;ws_cooper;ws_carpenter_yard;ws_boatyard,town_courtyard,serviceable;dull_edge;nicked;rusted;loose_handle;cracked;broken,repair_trace;wear_pattern;weld_seam_visible,,claim:population-woodwork-axe;claim:ordinary-life-carpenter-works-wood-with-tools;src:kolchin1959-iron;src:kolchin1957-city,A,candidate,72 топора в выборке деревообрабатывающих инструментов (Колчин через конспект). Наварное стальное лезвие.
tl_adze,тесло,adze,carpentry,cat_item_object_adze_v1,existing_v5,item_tpl_nov_adze_v1,wk:material_culture:adze,CRF0001;CRF0102,mt_iron;mt_steel;mt_wood_generic,metal,long_hand,M2,"300 г–1,5 кг",rule:metalxlong_hand,,500,M2,pc_log_building;pc_board_hewing;pc_wood_turning;pc_street_paving;pc_sledge_making;wk:craft_technology:woodworking,nov_occ_carpenter,ws_turner;ws_carpenter_yard,town_courtyard,serviceable;dull_edge;nicked;rusted;loose_handle;cracked;broken,repair_trace;wear_pattern;weld_seam_visible,,claim:population-woodwork-adze;src:kolchin1959-iron,A,candidate,7 тёсел в выборке Колчина.
tl_adze_boat,корабельное тесло,boat adze,boatbuilding,cat_item_object_adze_v1,existing_v5,item_tpl_nov_adze_v1,wk:material_culture:adze,CRF0012,mt_iron;mt_steel;mt_wood_generic,metal,long_hand,M2,"300 г–1,5 кг",rule:metalxlong_hand,,500,M2,pc_plank_boat;pc_dugout_boat;pc_boat_repair,nov_occ_boatbuilder,ws_boatyard,river_wharf,serviceable;dull_edge;nicked;rusted;loose_handle;cracked;broken,repair_trace;wear_pattern;weld_seam_visible,,src:matcult-catalog-v1;src:kolchin1959-iron,B,candidate,Отдельная форма по matcult; по Колчину — класс тёсел.
tl_chisel,долото,chisel (mortise),carpentry,cat_item_object_chisel_v1,existing_v5,item_tpl_nov_chisel_v1,wk:material_culture:chisel,CRF0098,mt_iron;mt_steel;mt_wood_generic,metal,hand,M1,50–300 г,rule:metalxhand,,250,M1,pc_log_building;pc_plank_boat;pc_dugout_boat;pc_sledge_making;wk:craft_technology:woodworking,nov_occ_carpenter;nov_occ_boatbuilder,ws_carpenter_yard;ws_boatyard,town_courtyard,serviceable;dull_edge;nicked;rusted;loose_handle;cracked;broken,repair_trace;wear_pattern;weld_seam_visible,,claim:population-woodwork-chisel;src:kolchin1959-iron,A,candidate,28 долот в выборке Колчина.
tl_chisel_broad,стамеска,broad chisel,carpentry,cat_item_object_chisel_v1,existing_v5,item_tpl_nov_chisel_v1,wk:material_culture:chisel,CRF0024,mt_iron;mt_steel;mt_wood_generic,metal,hand,M1,50–300 г,rule:metalxhand,,250,M1,,nov_occ_carpenter,ws_carpenter_yard,ordinary_workshop,serviceable;dull_edge;nicked;rusted;loose_handle;cracked;broken,repair_trace;wear_pattern;weld_seam_visible,,src:kolchin1957-city;src:matcult-catalog-v1,B,candidate,
tl_gouge,"ложкарь, полукруглый резец",gouge,woodworking_fine,cat_item_object_carving_knife_v1,existing_v5,item_tpl_nov_carving_knife_v1,wk:material_culture:chisel,CRF0100,mt_iron;mt_steel;mt_wood_generic,metal,hand,M1,50–300 г,rule:metalxhand,,100,M1,pc_wood_turning,,ws_turner,ordinary_workshop,serviceable;dull_edge;nicked;rusted;loose_handle;cracked;broken,repair_trace;wear_pattern;weld_seam_visible,,src:kolchin1959-iron;src:kolchin1957-city,A,candidate,9 полукруглых резцов в выборке Колчина.
tl_auger_spoon,перовое (ложечное) сверло,spoon auger,carpentry,cat_item_object_auger_v1,existing_v5,item_tpl_nov_auger_v1,wk:material_culture:drill,CRF0030;CRF0014,mt_iron;mt_steel;mt_wood_generic,metal,long_hand,M2,"300 г–1,5 кг",rule:metalxlong_hand,,450,M2,pc_log_building;pc_plank_boat;pc_dugout_boat;pc_boat_repair;pc_sledge_making;wk:craft_technology:woodworking,nov_occ_carpenter;nov_occ_boatbuilder,ws_carpenter_yard;ws_boatyard,ordinary_workshop,serviceable;dull_edge;nicked;rusted;loose_handle;cracked;broken,repair_trace;wear_pattern,,claim:population-woodwork-drill;src:kolchin1959-iron;src:kolchin1957-city,A,candidate,15 свёрл в выборке Колчина; у Колчина 1957 — перовые и винтовые.
tl_bow_drill,лучковое сверло,bow drill,woodworking_fine,cat_item_object_bow_drill_v1,proposed_new,,wk:material_culture:drill,CRF0104;CRF0116,mt_iron;mt_wood_generic;mt_cordage,metal,hand,M1,50–300 г,rule:metalxhand,,,,pc_bone_comb;pc_bone_skate;pc_self_bow,,ws_bone_carver,ordinary_workshop,serviceable;dull_edge;nicked;rusted;loose_handle;cracked;broken,repair_trace;wear_pattern,,src:matcult-catalog-v1,C,candidate,"Для кости, ювелирки, мелкой деревообработки; привод реконструкция."
tl_saw,пила (ножовка),saw,carpentry,cat_item_object_saw_v1,existing_v5,item_tpl_nov_saw_v1,wk:material_culture:saw,CRF0101;CRF0070,mt_iron;mt_steel;mt_wood_generic,metal,long_hand,M2,"300 г–1,5 кг",rule:metalxlong_hand,,500,M2,pc_log_building;wk:craft_technology:woodworking,nov_occ_carpenter,ws_carpenter_yard,ordinary_workshop,serviceable;dull_edge;nicked;rusted;loose_handle;cracked;broken,repair_trace;wear_pattern,,claim:population-woodwork-saw;claim:macro-b21-saw-kerf-binding-needs-pause-and-control-of-support-stress-or-alignment-not-force;src:kolchin1959-iron,A,candidate,Проверено: 8 пил в выборке Колчина; пилы засвидетельствованы (WK). Доски всё равно в основном колют и тешут.
tl_saw_bow,лучковая пила,bow saw,carpentry,cat_item_object_saw_v1,existing_v5,item_tpl_nov_saw_v1,wk:material_culture:saw,CRF0069,mt_iron;mt_wood_generic;mt_cordage,metal,long_hand,M2,"300 г–1,5 кг",rule:metalxlong_hand,,500,M2,,nov_occ_carpenter,,ordinary_workshop,serviceable;dull_edge;nicked;rusted;loose_handle;cracked;broken,repair_trace;wear_pattern,,src:matcult-catalog-v1,C,candidate,"Рама — реконструкция по matcult (B), полотна пил засвидетельствованы."
