foreign_code,foreign_vocab,foreign_name,mt_ids,method,note
wood,free_token,,mt_wood_generic,en_token,
iron,free_token,,mt_iron,en_token,
steel_edge,free_token,,mt_steel;mt_iron,en_token,наварное стальное лезвие на железной основе
stone,free_token,,mt_fieldstone,en_token,порода не указана
glass,free_token,,mt_glass,en_token,
amber,free_token,,mt_amber,en_token,
tin_alloy,free_token,,mt_tin,en_token,
tin_or_lead_alloy,free_token,,mt_tin;mt_lead,en_token,
lead,free_token,,mt_lead,en_token,
silver,free_token,,mt_silver,en_token,
copper_alloy,free_token,,mt_nonferrous_generic,en_token,сплав не назначается без данных (WK metal-classes-composition)
fur_ordinary,free_token,,mt_fur,en_token,вид зверя — fauna
birch_bark,free_token,,mt_birch_bark,en_token,
birch_bark_bast,free_token,,mt_birch_bark;mt_bast_linden,en_token,
bast,free_token,,mt_bast_linden,en_token,
clay,free_token,,mt_clay,en_token,
glaze,free_token,,mt_glaze,en_token,ограничено: поливная посуда редка
plant_fiber,free_token,,mt_flax;mt_hemp;mt_bast_linden,en_token,волокно не указано
linen,free_token,,mt_flax,en_token,
flax,free_token,,mt_flax,en_token,
hemp,free_token,,mt_hemp,en_token,
textile,free_token,,mt_textile_generic,en_token,
wool,free_token,,mt_wool,en_token,
felt,free_token,,mt_felt,en_token,
cord,free_token,,mt_cordage,en_token,
beeswax,free_token,,mt_beeswax,en_token,
tallow,free_token,,mt_tallow,en_token,
tinder_fungus,free_token,,mt_tinder_fungus,en_token,
twigs,free_token,,mt_wood_generic,en_token,ветки
leafy_twigs,free_token,,mt_wood_generic,en_token,ветки с листвой (веник)
straw,free_token,,mt_straw,en_token,
grass,free_token,,mt_hay,en_token,сухая трава
hay,free_token,,mt_hay,en_token,
willow_or_roots,free_token,,mt_wood_willow;mt_roots,en_token,
reed_or_splint,free_token,,mt_reed;mt_wood_generic,en_token,
leather,free_token,,mt_leather_veg,en_token,способ выделки не указан
rawhide,free_token,,mt_rawhide,en_token,
bone_or_antler,free_token,,mt_bone;mt_antler,en_token,
horn,free_token,,mt_horn,en_token,
feather,free_token,,mt_feather,en_token,
parchment,free_token,,mt_parchment,en_token,
gesso,free_token,,mt_gesso,en_token,
pigment,free_token,,mt_ochre;mt_carbon_black,en_token,пигмент не указан
hair,free_token,,mt_hair,en_token,
horsehair,free_token,,mt_horsehair,en_token,
gut_or_metal_string,free_token,,mt_sinew_gut;mt_nonferrous_generic,en_token,
ore,free_token,,mt_bog_ore,en_token,
plant_bark,free_token,,mt_birch_bark;mt_bark_pine;mt_bark_tanning,en_token,кора не указана
plant_resin,free_token,,mt_pine_resin,en_token,
wood_resinous,free_token,,mt_wood_pine,en_token,смолистая древесина
wood_dead,free_token,,mt_firewood;mt_wood_generic,en_token,"сухостой, валежник"
wood_drift,free_token,,mt_wood_generic,en_token,плавник
plant_stem,free_token,,mt_reed;mt_straw,en_token,
moss,free_token,,mt_moss,en_token,
plant_root,free_token,,mt_roots,en_token,
water,free_token,,mt_water,en_token,
ground,free_token,,,out_of_scope:soil_class,
alluvial,free_token,,,out_of_scope:soil_class,
lake-alluvial,free_token,,,out_of_scope:soil_class,
moraine,free_token,,,out_of_scope:soil_class,
fluvioglacial,free_token,,,out_of_scope:soil_class,
organic,free_token,,,out_of_scope:soil_class,
lacustrine,free_token,,,out_of_scope:soil_class,
lacustrine-glacial,free_token,,,out_of_scope:soil_class,
mineral_ground,free_token,,,out_of_scope:soil_class,
mineral_stone,free_token,,,out_of_scope:soil_class,
organic_ground,free_token,,,out_of_scope:soil_class,
mat_log_crown,buildings-interiors-containers/buildings/materials_vocab.csv,венцовое бревно с чашей и пазом,mt_wood_pine;mt_wood_spruce,vocab_manual,венцовое бревно
mat_sill_log,buildings-interiors-containers/buildings/materials_vocab.csv,подкладное бревно/лежень,mt_wood_pine;mt_wood_oak,vocab_manual,лежень
mat_pile,buildings-interiors-containers/buildings/materials_vocab.csv,свая деревянная,mt_wood_oak;mt_wood_pine,vocab_manual,свая
mat_pole,buildings-interiors-containers/buildings/materials_vocab.csv,жердь,mt_wood_generic,vocab_manual,жердь
mat_slab,buildings-interiors-containers/buildings/materials_vocab.csv,горбыль/обапол,mt_wood_generic,vocab_manual,горбыль
mat_lemekh,buildings-interiors-containers/buildings/materials_vocab.csv,лемех (осиновые дощечки),mt_wood_aspen,vocab_manual,осиновый лемех
mat_roof_tes,buildings-interiors-containers/buildings/materials_vocab.csv,кровельный тёс,mt_wood_pine;mt_wood_spruce,vocab_manual,кровельный тёс
mat_shingle_conifer,buildings-interiors-containers/buildings/materials_vocab.csv,хвойная дрань/щепа,mt_wood_pine;mt_wood_spruce,vocab_manual,
mat_hardwood_bar,buildings-interiors-containers/buildings/materials_vocab.csv,брус твёрдой древесины,mt_wood_oak,vocab_manual,
mat_hearth_stone,buildings-interiors-containers/buildings/materials_vocab.csv,камни печи/каменки,mt_fieldstone,vocab_manual,
mat_shell_rock,buildings-interiors-containers/buildings/materials_vocab.csv,ракушечник,mt_limestone,vocab_manual,ракушечник — разновидность известняка
mat_lime_mortar,buildings-interiors-containers/buildings/materials_vocab.csv,известковый раствор,mt_lime;mt_quartz_sand,vocab_manual,
mat_lime_plaster,buildings-interiors-containers/buildings/materials_vocab.csv,фресковая штукатурка,mt_lime,vocab_manual,
