cu_id,name_ru,kind,ratio_to_kuna,ratio_basis,item_template_ref,period_validity,source_refs,confidence
cu_grivna_serebra,Гривна серебра (слиток),physical_money;money_of_account,200,"Смоленский договор 1229 г. (прямо датирован к эпохе): гривна серебра = 4 гривны кун; гривна кун = 50 кун (Пространная Правда, действует в XIII в.) => 4×50=200",item_template:TRD0046;item_template:CRF0068,1180-1260,book:177850 §Смоленский договор 1229; book:641351 §Правда Русская; wk:trade-economy-gap-closure-v1; master:economy_social/currencies.csv#n1230:currency:novgorod_silver_grivna_ingot,A
cu_grivna_serebra_weight_theoretical,Гривна серебра — теоретическая весовая норма,weight_definition,,51.19 г (гривна кун) × 4 = 204.756 г — теоретическая счётная норма Янина для Пространной Правды; согласуется с денежным соотношением 1:4,,1180-1260,book:177850 §денежно-весовые нормы,B
cu_grivna_serebra_ingot_practical,Новгородский слиток-гривна — практический вес находок,physical_money;weight_object,200,"Законный вес новгородского слитка XIII в. — 196.2 г (15 «гривен из ногат» по 13.08 г); длинные бруски 14-20 см характерны для 1230 г., более короткие с горбатой спинкой — позднейший тип (не для 1230)",item_template:TRD0046,1200-1260,book:177850 §слиток XIII в. (датировка по Н. П. Бауэру),B
cu_grivna_kun,Гривна кун (счётная),money_of_account,50,Пространная Правда (действует в XIII в.): гривна кун = 20 ногат = 50 кун; резана слита с куной к рубежу XII-XIII вв.,,1180-1260,book:177850 §счёт Пространной Правды; master:economy_social/currencies.csv#n1230:currency:grivna_money_of_account,B
cu_nogata,Ногата,money_of_account,2.5,1 гривна кун = 20 ногат = 50 кун => 1 ногата = 2.5 куны (Пространная Правда),,1180-1260,book:177850; master:economy_social/currencies.csv#n1230:currency:nogata_account,B
cu_kuna,Куна,money_of_account,1,базовая единица счёта Пространной Правды к 1230 г.; к этому периоду куна = резане,,1180-1260,book:177850; book:641351 §берестяная грамота № 238,B
cu_rezana,Резана,money_of_account;archaic_term,1,"«В Пространной Правде резана исчезает, её место везде занимает куна» (Янин); термин ещё встречается в берестяных грамотах нач. XIII в. как пережиточный (№238, №247) наравне с куной",,transitional_pre-1230_residual_use,"book:177850; book:641351 §берестяные грамоты №238, №247",B
cu_veksha_bela,Векша / бела,money_of_account;small_unit,unresolved,"«Отношение векши к гривне по письменным источникам домонгольского времени не устанавливается» (Янин); норма «векша=1/200 гривны» известна лишь по источникам XV в. и НЕ переносится на 1230 г. Правда Русская фиксирует векшу как счётную единицу судебной пошлины (метельнику 9 векш, в иных тяжбах 6 векш), но не даёт курса к гривне.",,1180-1260 (unit attested; ratio to grivna not established for this period),book:177850; book:641351 §судебная пошлина; master:economy_social/currencies.csv#n1230:currency:veksha_bela_account,C
cu_hacksilver_scrap,Рубленое серебро и серебряный лом,physical_payment_material,by_weight_only,"принимается по весу и видимому состоянию, не по номиналу; ср. «крупьё» — резаные куски западных монет, принимавшиеся на вес (XI в., по аналогии)",item_template:CRF0068,1180-1260,book:254935 §крупьё; master:economy_social/currencies.csv#n1230:currency:hacksilver_scrap,B
cu_foreign_silver_coin,Иноземная серебряная монета (денарий и др.),foreign_physical_coin,context_dependent,«К 1229 г. всякий ввоз серебряной монеты на Русь прекратился полностью» (Янин) — к 1230 г. иноземная монета практически не в обороте как ходячая монета; встречается как металл в кладах/переплавке,item_template:TRD0043;item_template:FRN0046,mostly pre-1200; not a circulating coin by 1230,book:177850 §прекращение ввоза монеты; master:economy_social/currencies.csv#n1230:currency:western_denarius_general,B
cu_german_ingot_import,Немецкий слиток-марка (импортный),foreign_physical_ingot,,XII - 40-е гг. XIII в.: растёт ввоз немецких слитков-марок; их переплавляли в русские гривны для крупных платежей,,1180-1250,book:622242 §немецкие слитки-марки,B
cu_kievan_hexagonal_ingot,Киевская гривна (шестиугольный слиток),physical_money;foreign_regional_form,163.8g (weight; not a Novgorod account form),"южный тип, в Новгороде редкие находки; «сорочек» — единицы по 4.095 г (южная ногата = 2 северные куны)",item_template:CRF0068,"1180-1260; region_scope=south, rare_in_novgorod",book:177850 §шестиугольный слиток,B
cu_fur_money_episodic,Меховые деньги (шкурки),commodity_money;episodic,,"«Меха могли временно выполнять функции денег, главным образом на крупных международных рынках» (Янин); Ал-Гарнати (1150-1153): сделки старыми беличьими шкурками. НЕ всеобщее средство обмена — таковым остаётся серебро.",,episodic; not the everyday medium,book:177850 §меховые деньги; book:622242 §Ал-Гарнати,B
cu_leather_money_denied,Кожаные деньги — ОТСУТСТВУЮТ (anachronism guard),negative_fact,,«Раскопки Новгорода (более 100 тыс. кожаных изделий) не дали ничего похожего на кожаные деньги» — не вводить кожаные деньги как средство платежа,,n/a,book:233420 §опровержение,B
cu_barter_goods_as_payment,"Товар (ткань, воск, мёд, меха и др.) как форма платежа при обмене",commodity_exchange_form,,"натуральный обмен без фиксированного курса; качество и срочность важнее универсального курса (проектное правило, не историческая цифра)",,1230-1250,tools/rus13-novgorod-regional-templates/novgorod_trade_rules_v1.json#exchange_barter,C
