ms_id,name_ru,physical_quantity,ratio_to_base,base_unit,ratio_basis,period_validity,source_refs,confidence
ms_pyad,Пядь,length,0.5 локтя (≈19-23 см),лόкоть,"«сажень = 4 локтя = 8 пядей» ⇒ локоть = 2 пяди; «древнерусская пядь 19-23 см: малая 19, большая 22-23» (Рыбаков, через Леонтьеву и др.)",1180-1260,book:356156,B
ms_lokot,"Локоть (обычный, новгородско-псковский)",length,1 (base) ≈ 44-46 см,лόкоть,"«новгородско-псковская система длины опиралась на пядь 22-23 см, локоть 44-46 см, сажень 176-184 см» для Новгорода XII-XV вв.",1180-1260,book:356156,B
ms_lokot_ivanskiy,Локоть иванский (эталон при церкви Ивана на Опоках),length,≈44 см (реконструкция; 1/4 мерной сажени 176.4 см),лόкоть,"фрагмент эталона с надписью «Святого иванск…» (Ярославово Дворище), палеографическая дата сер. XII - сер. XIII в.; отдельная находка стержня-меры 54.7 см датирована рубежом XI-XII вв. и применима к XIII в. только по аналогии","сер.XII-сер.XIII в. (эталон-фрагмент); рубеж XI-XII в. (стержень-мера, аналогия)",book:356156,B
ms_sazhen,Сажень (мерная),length,4 локтя = 8 пядей ≈176.4 см,лόкоть,явное соотношение сажень=4 локтя=8 пядей + иванский локоть-эталон (176.4 см = 4×44.1 см),1180-1260,book:356156,B
ms_sazhen_variants,Сажень — иные виды (великая/прямая/косая),length,"великая 249.46 см; прямая 152.76 см; косая 216 см (variants, not the default мерная)",n/a (parallel systems),"типология саженей по Рыбакову; несколько параллельных систем измерения существовали одновременно, применимость зависит от контекста/практики измерения","1180-1260, context-dependent",book:356156,C
ms_versta,Верста (поприще),length,≈750 сажен (ранняя норма; позднее 500),сажень,"«верста в древности - 750 саженей, позднее 500; размер не был строго фиксирован» — не считать точным числом","1180-1260, variable/not fixed",book:356156,C
ms_pood,Пуд,mass,"1 (base для сыпучих/весовых крупных партий, напр. воска)",пуд,"в ходу для торговли воском согласно Уставу (Рукописанию) Всеволода церкви Ивана на Опоках (памятник известен по поздним спискам, датировка спорна); metric equivalence не фиксируется этим корпусом — избегать современного килограммового пересчёта без source-specific оговорки",1180-1260,book:356156; book:301539 §вощаный пуд эталон; master:economy_social/units_and_measures.csv#n1230:unit:pood,B
ms_berkovets,Берковец,mass,10 пудов (норма ПОЗДНЕЕ 1230 г.; для 1230 г. точное соотношение не установлено),пуд,"«позднее берковец = 10 пудам... точное соотношение для XIII в. не установлено» — берковец использовался как мера воска в дальней торговле, но численный курс к пуду для 1230 г. не подтверждён",unit attested by 1230; exact ratio only from a later period,book:356156; master:economy_social/units_and_measures.csv#n1230:unit:berkovets,C
ms_kap,Капь,mass,4 пуда (равенство установлено договором 1269 г. — ПОЗЖЕ 1230 г.),пуд,"капь как единица известна раньше (договор 1229 г., грамота №439 — эталон капи хранился в церкви), но численное равенство капь=4 пуда зафиксировано лишь договором 1269 г.",unit attested 1229; numeric ratio only from 1269 (anachronism guard for the ratio),book:356156; book:301539 §эталон капи,C
ms_bezmen,Безмен,mass;weighing_device_unit,"unresolved (used to count small bulk goods, e.g. tin: «около четырёх безменов олова»)",,берестяная грамота XII - нач. XIII в. использует безмен как счётную меру количества металла,1180-1230,book:641351 §берестяная грамота (олово),A
ms_zolotnik,Золотник,mass,"small weight unit; the later exact 4.266 g standard is a post-medieval fixation, not asserted here for 1230",,мелкая единица веса; более точная числовая норма относится к позднейшим источникам,attestation mostly later; applicability to 1230 as a named small unit only,book:356156,C
ms_pochka,Почка,mass,"мелкая единица веса для благородных металлов (≈0.17 г, позднее «пирог»=1/4 почки)",,поздние данные; применимость к 1230 г. не подтверждена этим корпусом,later sources; uncertain for 1230,book:356156,C
ms_kad,Кадь,dry_capacity,≈14 московских пудов (≈229 кг) по Никитскому — РЕТРОСПЕКТИВНЫЙ пересчёт через позднейший московский пуд; региональная вариация подтверждена (кадь ростовская отличается от новгородской),пуд (retrospective conversion only),«деление на четверти и осьмины в древнерусских источниках не встречается» — не использовать четверть/осьмину кади как засвидетельствованные доли; кадь ростовская иная (в селе на два плуга 16 кадей ржи),"1180-1260, regional variant",book:356156; master:economy_social/units_and_measures.csv#n1230:unit:kad,B
ms_uborok,Уборок,dry_capacity,величина не выяснена,,"Правда Русская: «7 уборков пшена, 7 уборков гороха на неделю» — единица засвидетельствована, объём не дан",1180-1260,book:641351; book:356156,A
ms_lukno,Лукно,dry_capacity,величина не выяснена,,"Правда Русская: «7 лукон овса на 4 коня, солода 10 лукон»",1180-1260,book:641351; book:356156,A
ms_golvazhnya,Голважня (соли),dry_or_bulk_capacity,величина не выяснена,,Правда Русская: «7 голважен соли на неделю»,1180-1260,book:641351,A
ms_vedro,Ведро,liquid_capacity,объём не определён для 1230 г.,,"«реальный объём древних мер жидкостей (ведро, бочка) определить не удалось»; Правда Русская: «7 вёдер солода на неделю» вирнику",1180-1260,book:641351; book:356156,A
ms_bochka_novgorod_later,Бочка новгородская — позднейшая норма (аналогия),liquid_or_bulk_capacity,"=10 вёдер, насадка=2.5 ведра (писцовые книги XV в. — НЕ для 1230 г.)",ведро,"источник XV в.; для 1230 г. допустима лишь как позднейшая аналогия, не как факт",XV в.; anachronism guard for direct 1230 use,book:356156,C
ms_dezha,Дежа,dry_capacity,объём не установлен,,"новгородская мера зерна, упомянута в берестяных грамотах; величина не определена этим корпусом",1180-1260,book:356156,C
ms_korobya_later,Коробья — позднейшая норма (аналогия),dry_capacity,=4 четвертки = 16 четвериков ≈7 пудов (источник с сер. XV в. — НЕ для 1230 г.),пуд,"поздняя мера; для 1230 г. — только как аналогия, не как факт региона/периода",XV в.; anachronism guard for direct 1230 use,book:356156; master:economy_social/units_and_measures.csv#n1230:unit:korobya,C
