cr_id,entity_ru,value_text,is_market_price,currency_kuna_equivalent,period,source_refs,confidence,note
cr_kobyla,кобыла,60 кун,false,60,c1230,book:641351§Правда Русская (перевод),A,штрафное возмещение за кражу; не рыночная цена
cr_vol,вол,1 гривна (=50 кун),false,50,c1230,book:641351§Правда Русская,A,штрафное возмещение
cr_korova,корова,40 кун,false,40,c1230,book:641351§Правда Русская,A,штрафное возмещение
cr_svinya,свинья,5 кун,false,5,c1230,book:641351§Правда Русская,A,штрафное возмещение
cr_porosenok,поросёнок,1 ногата (=2.5 куны),false,2.5,c1230,book:641351§Правда Русская,A,штрафное возмещение
cr_ovtsa,овца,5 кун,false,5,c1230,book:641351§Правда Русская,A,штрафное возмещение
cr_baran,баран,1 ногата (=2.5 куны),false,2.5,c1230,book:641351§Правда Русская,A,штрафное возмещение
cr_zherebets,необъезженный жеребец,1 гривна кун (=50 кун),false,50,c1230,book:641351§Правда Русская,A,штрафное возмещение
cr_zherebenok,жеребёнок,6 ногат (=15 кун),false,15,c1230,book:641351§Правда Русская,A,штрафное возмещение
cr_knyazheskiy_kon,княжеский конь (украденный),3 гривны (=150 кун),false,150,c1230,book:641351§Правда Русская,A,штрафное возмещение; верхняя полоса ценности скота
cr_prochiy_kon,прочий конь (украденный),2 гривны (=100 кун),false,100,c1230,book:641351§Правда Русская,A,штрафное возмещение
cr_ladya_morskaya,морская ладья (кража),3 гривны (=150 кун),false,150,c1230,book:641351§Правда Русская,A,штрафное возмещение; самый дорогой тип судна
cr_ladya_naboynaya,набойная ладья (кража),2 гривны (=100 кун),false,100,c1230,book:641351§Правда Русская,A,штрафное возмещение
cr_chelnok,чёлн (кража),20 кун,false,20,c1230,book:641351§Правда Русская,A,штрафное возмещение
cr_strug,струг (кража),1 гривна (=50 кун),false,50,c1230,book:641351§Правда Русская,A,штрафное возмещение
cr_yastreb_sokol,ястреб или сокол из сети (кража),1 гривна (=50 кун),false,50,c1230,book:641351§Правда Русская,A,штрафное возмещение
cr_golub_kuropatka,голубь или куропатка (кража),9 кун,false,9,c1230,book:641351§Правда Русская,A,штрафное возмещение
cr_dich_krupnaya,утка/гусь/лебедь/журавль (кража),30 кун,false,30,c1230,book:641351§Правда Русская,A,штрафное возмещение
cr_voz_sena_drov,воз сена или дров (кража),2 ногаты (=5 кун),false,5,c1230,book:641351§Правда Русская,A,штрафное возмещение; дёшево
cr_roy_pchel_nepodgotovlen,рой пчёл — не подготовлен к зимовке (кража),10 кун,false,10,c1230,book:641351§Правда Русская,A,штрафное возмещение
cr_roy_pchel_podgotovlen,рой пчёл — подготовлен к зимовке (кража),5 кун,false,5,c1230,book:641351§Правда Русская,A,штрафное возмещение
cr_bortnoe_derevo,подрубленная борть,0.5 гривны (=25 кун),false,25,c1230,book:641351§Правда Русская,A,штрафное возмещение (+3 гривны отдельного штрафа князю не включены)
cr_holop,упущенный чужой холоп,4 гривны (=200 кун),false,200,c1230,book:641351§Правда Русская,A,штрафное возмещение; косвенная оценка
cr_roba,упущенная чужая роба,5 гривен (=250 кун),false,250,c1230,book:641351§Правда Русская,A,штрафное возмещение; косвенная оценка
cr_gorodnik_zakladka,плата городнику при закладке городни,1 куна,true,1,c1230,book:641351§Правда Русская,A,ставка оплаты труда (не штраф) — редкий прямой пример ставки за работу
cr_gorodnik_okonchanie,плата городнику при окончании работы,1 ногата (=2.5 куны),true,2.5,c1230,book:641351§Правда Русская,A,ставка оплаты труда
cr_gorodnik_korm_nedelya,корм городнику на неделю,7 кун,true,7,c1230,book:641351§Правда Русская,A,ставка оплаты труда (еженедельная)
cr_povoy,головной убор «повой» (берестяная грамота №682),3 резаны (≈3 куны),true,3,c1230,book:641351§берестяная грамота №682,A,мелкая бытовая покупка; дёшево
cr_rye_kad_1228,кадь ржи — неурожайный (но не голодный) 1228 год,3 гривны (=150 кун),true,150,c1230,book:393995§сравнительная шкала цен,B,базовый (не голодный) уровень для сравнения с голодными ценами
cr_rye_kad_1215_famine,кадь ржи — голод 1215 г. (блокада Ярослава),10 гривен (=500 кун),true,500,c1230,book:556930§голод 1215,B,военная блокада подвоза из Торжка
cr_oats_kad_1215_famine,кадь овса — голод 1215 г.,3 гривны (=150 кун),true,150,c1230,book:556930§голод 1215,B,
cr_repa_voz_1215_famine,воз репы — голод 1215 г.,2 гривны (=100 кун),true,100,c1230,book:556930§голод 1215,B,
cr_rye_kad_1230_famine,кадь ржи — голод 1230-1231 гг. (НПЛ),20 гривен (=1000 кун),true,1000,c1230,book:556930§НПЛ под 1230 (перевод Карпова),B,пиковая голодная цена; во дворах — по 25 гривен (не включено отдельной строкой)
cr_wheat_kad_1230_famine,кадь пшеницы — голод 1230-1231 гг.,40 гривен (=2000 кун),true,2000,c1230,book:556930§НПЛ под 1230,B,катастрофический уровень
cr_millet_kad_1230_famine,кадь пшена — голод 1230-1231 гг.,50 гривен (=2500 кун),true,2500,c1230,book:556930§НПЛ под 1230,B,самая высокая названная голодная цена
cr_oats_kad_1230_famine,кадь овса — голод 1230-1231 гг.,13 гривен (=650 кун),true,650,c1230,book:556930§НПЛ под 1230,B,даже кормовое зерно чрезвычайно дорого
cr_rye_kad_1170_blockade,кадь ржи — военная блокада Андрея Боголюбского (ок. 1170 г.),4 гривны (=200 кун),true,200,c1230,book:618717§блокада Андрея,B,военная поправка; аналогия из XII в.
cr_bread_1170_blockade,хлеб — блокада 1170 г.,2 ногаты (=5 кун),true,5,c1230,book:618717§блокада Андрея,B,
cr_honey_pood_1170_blockade,мёд (пуд) — блокада 1170 г.,10 кун,true,10,c1230,book:618717§блокада Андрея,B,
