sv_id,service_kind,provider_roles,payment_forms,value_band_ref,season_periods,labor_relation_ref,source_refs,confidence
sv_ferry_person,transport_service,перевозчик; лодочник,exchange_barter;exchange_silver_coin;exchange_debt;exchange_pledge;exchange_labor;exchange_witness,low_to_ordinary,closed_in_flood_ice_or_storm,,tools/rus13-novgorod-regional-templates/novgorod_goods_prices_v1.tsv#price_ferry_person,C
sv_ferry_cargo,transport_service,перевозчик; грузчики,exchange_barter;exchange_silver_coin;exchange_debt;exchange_pledge;exchange_labor;exchange_witness,ordinary_to_valuable,depends_on_weight_and_risk,,tools/rus13-novgorod-regional-templates/novgorod_goods_prices_v1.tsv#price_ferry_cargo,C
sv_guide_local,service,проводник; местный житель,exchange_barter;exchange_silver_coin;exchange_debt;exchange_pledge;exchange_labor;exchange_witness,ordinary,higher_in_bad_weather_or_for_stranger,"tools/rus13-novgorod-regional-templates/novgorod_route_knowledge_rules_v1.json#guide_rules (guide_requires_causal_basis,guide_payment_and_status,guide_may_refuse,guide_deception)",tools/rus13-novgorod-regional-templates/novgorod_goods_prices_v1.tsv#price_guide_local; tools/rus13-novgorod-regional-templates/novgorod_route_knowledge_rules_v1.json#guide_rules,C
sv_guide_dangerous,service,проводник; охотник; лодочник,exchange_barter;exchange_silver_coin;exchange_debt;exchange_pledge;exchange_labor;exchange_witness,valuable,may_refuse_without_trust,"tools/rus13-novgorod-regional-templates/novgorod_route_knowledge_rules_v1.json#guide_rules (guide_requires_causal_basis,guide_payment_and_status,guide_may_refuse,guide_deception)",tools/rus13-novgorod-regional-templates/novgorod_goods_prices_v1.tsv#price_guide_dangerous; tools/rus13-novgorod-regional-templates/novgorod_route_knowledge_rules_v1.json#guide_rules,C
sv_lodging_floor,service_lodging,хозяин; монастырский двор; двор с разрешением,exchange_barter;exchange_silver_coin;exchange_debt;exchange_pledge;exchange_labor;exchange_witness,low_to_ordinary,winter_and_crisis_higher,,tools/rus13-novgorod-regional-templates/novgorod_goods_prices_v1.tsv#price_lodging_floor,C
sv_lodging_with_stable,service_lodging,хозяин двора; конюх,exchange_barter;exchange_silver_coin;exchange_debt;exchange_pledge;exchange_labor;exchange_witness,ordinary_to_valuable,fodder_shortage_raises,,tools/rus13-novgorod-regional-templates/novgorod_goods_prices_v1.tsv#price_lodging_with_stable,C
sv_road_meal,food_service,хозяин; хозяйка; торговец,exchange_barter;exchange_silver_coin;exchange_debt;exchange_pledge;exchange_labor;exchange_witness,low_to_ordinary,scarcity_raises; church_fast_changes_food,,tools/rus13-novgorod-regional-templates/novgorod_goods_prices_v1.tsv#price_road_meal,C
sv_healing_care,service_care,знахарь/опытная женщина; монастырский человек; родственники,exchange_barter;exchange_silver_coin;exchange_debt;exchange_pledge;exchange_labor;exchange_witness,variable,often_as_gift_debt_or_obligation,,tools/rus13-novgorod-regional-templates/novgorod_goods_prices_v1.tsv#price_healing_care,C
sv_bandage_linen,medical,хозяйка; торговец; монастырь,exchange_barter;exchange_silver_coin;exchange_debt;exchange_pledge;exchange_labor;exchange_witness,low_to_ordinary,quality_and_cleanliness_matter,,tools/rus13-novgorod-regional-templates/novgorod_goods_prices_v1.tsv#price_bandage_linen,C
sv_shoe_repair,repair,сапожник; ремесленник,exchange_barter;exchange_silver_coin;exchange_debt;exchange_pledge;exchange_labor;exchange_witness,low_to_ordinary,more_needed_in_mud_and_travel,,tools/rus13-novgorod-regional-templates/novgorod_goods_prices_v1.tsv#price_shoe_repair,C
sv_blacksmith_repair,repair,кузнец,exchange_barter;exchange_silver_coin;exchange_debt;exchange_pledge;exchange_labor;exchange_witness,ordinary_to_valuable,metal_supply_and_urgency,,tools/rus13-novgorod-regional-templates/novgorod_goods_prices_v1.tsv#price_blacksmith_repair,C
sv_carpenter_repair,repair,плотник,exchange_barter;exchange_silver_coin;exchange_debt;exchange_pledge;exchange_labor;exchange_witness,ordinary,winter_shelter_and_navigation,,tools/rus13-novgorod-regional-templates/novgorod_goods_prices_v1.tsv#price_carpenter_repair,C
sv_boat_repair,repair_transport,плотник; лодейный мастер,exchange_barter;exchange_silver_coin;exchange_debt;exchange_pledge;exchange_labor;exchange_witness,valuable,urgent_when_navigation_open,,tools/rus13-novgorod-regional-templates/novgorod_goods_prices_v1.tsv#price_boat_repair,C
sv_place_in_boat,transport_service,лодочник; купец с лодкой,exchange_barter;exchange_silver_coin;exchange_debt;exchange_pledge;exchange_labor;exchange_witness,ordinary,navigation_season_only,,tools/rus13-novgorod-regional-templates/novgorod_goods_prices_v1.tsv#price_place_in_boat,C
sv_place_in_sledge,transport_service,возчик; купец; хозяин саней,exchange_barter;exchange_silver_coin;exchange_debt;exchange_pledge;exchange_labor;exchange_witness,ordinary,winter_only; high_in_storm,,tools/rus13-novgorod-regional-templates/novgorod_goods_prices_v1.tsv#price_place_in_sledge,C
sv_goods_storage_day,storage_service,сторож склада; хозяин; монастырский работник,exchange_barter;exchange_silver_coin;exchange_debt;exchange_pledge;exchange_labor;exchange_witness,ordinary,requires_trust_and_marks,,tools/rus13-novgorod-regional-templates/novgorod_goods_prices_v1.tsv#price_goods_storage_day,C
sv_goods_storage_pledge,storage_service,кредитор; хозяин; церковный/монастырский человек,exchange_barter;exchange_silver_coin;exchange_debt;exchange_pledge;exchange_labor;exchange_witness,valuable,witness_required; social_risk,,tools/rus13-novgorod-regional-templates/novgorod_goods_prices_v1.tsv#price_goods_storage_pledge,C
sv_church_donation,religious_service,церковь принимает,exchange_barter;exchange_silver_coin;exchange_debt;exchange_pledge;exchange_labor;exchange_witness,variable,feast_fast_funeral_context,,tools/rus13-novgorod-regional-templates/novgorod_goods_prices_v1.tsv#price_church_donation,C
sv_funeral_bread,ritual_food,домохозяйство; церковный двор,exchange_barter;exchange_silver_coin;exchange_debt;exchange_pledge;exchange_labor;exchange_witness,variable,death_and_poverty_context,,tools/rus13-novgorod-regional-templates/novgorod_goods_prices_v1.tsv#price_funeral_bread,C
sv_monastery_lodging_donation,lodging_religious,монастырь,exchange_barter;exchange_silver_coin;exchange_debt;exchange_pledge;exchange_labor;exchange_witness,variable,not_commercial_in_modern_sense,,tools/rus13-novgorod-regional-templates/novgorod_goods_prices_v1.tsv#price_monastery_lodging_donation,C
sv_dues_ferry_market,dues,сборщик; страж; власть,exchange_barter;exchange_silver_coin;exchange_debt;exchange_pledge;exchange_labor;exchange_witness,variable,authority_and_custom; may_be_disputed,,tools/rus13-novgorod-regional-templates/novgorod_goods_prices_v1.tsv#price_dues_ferry_market,C
sv_cart_transport,transport_service,возчик,exchange_barter;exchange_silver_coin;exchange_debt;exchange_pledge;exchange_labor;exchange_witness,ordinary_to_valuable,mud_and_distance,,tools/rus13-novgorod-regional-templates/novgorod_goods_prices_v1.tsv#price_cart_transport,C
sv_sled_transport,transport_service,возчик; хозяин саней,exchange_barter;exchange_silver_coin;exchange_debt;exchange_pledge;exchange_labor;exchange_witness,ordinary_to_valuable,winter_condition,,tools/rus13-novgorod-regional-templates/novgorod_goods_prices_v1.tsv#price_sled_transport,C
sv_labor_day_porter,labor,работник продаёт труд,exchange_barter;exchange_silver_coin;exchange_debt;exchange_pledge;exchange_labor;exchange_witness,low_to_ordinary,market_day_and_ship_arrival,"wk:residual-law-norms-v1#claim:residual-law-zakup-loss-context;book:641351§Правда Русская(наём, ставки городника: 1 куна закладка + 1 ногата окончание + 7 кун корм/неделю)",tools/rus13-novgorod-regional-templates/novgorod_goods_prices_v1.tsv#price_labor_day_porter; wk:residual-law-norms-v1#claim:residual-law-zakup-loss-context,C
sv_labor_hay,labor,работник,exchange_barter;exchange_silver_coin;exchange_debt;exchange_pledge;exchange_labor;exchange_witness,low_to_ordinary,summer_peak,"wk:residual-law-norms-v1#claim:residual-law-zakup-loss-context;book:641351§Правда Русская(наём, ставки городника: 1 куна закладка + 1 ногата окончание + 7 кун корм/неделю)",tools/rus13-novgorod-regional-templates/novgorod_goods_prices_v1.tsv#price_labor_hay; wk:residual-law-norms-v1#claim:residual-law-zakup-loss-context,C
sv_labor_volok,labor_transport,работники; местные,exchange_barter;exchange_silver_coin;exchange_debt;exchange_pledge;exchange_labor;exchange_witness,ordinary_to_valuable,heavy_and_seasonal,"wk:residual-law-norms-v1#claim:residual-law-zakup-loss-context (закуп отвечает за утрату по хозяйственному поручению в зависимости от обстоятельств, не автоматически)",tools/rus13-novgorod-regional-templates/novgorod_goods_prices_v1.tsv#price_labor_volok; wk:residual-law-norms-v1#claim:residual-law-zakup-loss-context,C
sv_message_carried,service_message,путник; слуга; гонец при основании,exchange_barter;exchange_silver_coin;exchange_debt;exchange_pledge;exchange_labor;exchange_witness,ordinary,trust_and_status,,tools/rus13-novgorod-regional-templates/novgorod_goods_prices_v1.tsv#price_message_carried,C
sv_writing_record,service_literacy,писец; церковный человек,draft,valuable,rare_for_commoners,,tools/rus13-novgorod-regional-templates/novgorod_goods_prices_v1.tsv#price_writing_record,C
sv_pledge_generic,credit,должник отдаёт залог,exchange_barter;exchange_silver_coin;exchange_debt;exchange_pledge;exchange_labor;exchange_witness,variable,not_seasonal; crisis_increases_use,,tools/rus13-novgorod-regional-templates/novgorod_goods_prices_v1.tsv#price_pledge_generic,C
