book_id,authors,title,year,book_type,note
177850,Янин Валентин Лаврентьевич,Денежно-весовые системы домонгольской Руси и очерки истории денежной системы средневекового Новгорода,2009,scholarly,основной источник по денежно-весовой системе; verified via book-evidence pipeline 2026-09-26
233420,Спасский Иван Георгиевич,Русская монетная система,1962,scholarly,
254935,Янин Валентин Лаврентьевич,Берестяная почта столетий,1979,scholarly,
301539,Погодин Михаил Петрович,Древняя русская история до монгольского ига. Том 2,1999,scholarly,"труд XIX в. (переиздание 1999); устаревшие интерпретации возможны, использовать факты из первоисточников (летопись/договоры) в его изложении с оговоркой"
356156,Леонтьева Галина Александровна; Кобрин Владимир Борисович; Шорин Павел Александрович,Вспомогательные исторические дисциплины,2009,scholarly,
392896,Рыбина Елена Александровна,Новгород и Ганза,2009,scholarly,"в основном ганзейская пора (XIV-XV вв.), большинство фактов помечены medieval_general"
393995,Богданов Андрей Петрович,Александр Невский. Друг Орды и враг Запада,2014,scholarly,
556930,Карпов Алексей Юрьевич,Великий князь Александр Невский,2010,scholarly,
618717,Майоров Александр Вячеславович,"Русь, Византия и Западная Европа: Из истории внешнеполитических и культурных связей XII-XIII вв.",2011,scholarly,
622242,Рыбаков Борис Александрович и др.,"Древняя Русь. Город, замок, село",1985,scholarly,
624953,Янин Валентин Лаврентьевич и др.,Древняя Русь. Быт и культура,1997,scholarly,
641351,Коллектив авторов (БЛДР),Библиотека литературы Древней Руси. Том 4 (XII век),2004,primary_source,"содержит перевод Правды Русской и берестяных грамот; цены Правды -- штрафные/компенсационные оценки, не рыночные"
709382,Засурцев Петр Иванович,"Новгород, открытый археологами",,scholarly,
180605,Долгов Вадим Викторович,Быт и нравы Древней Руси,2007,scholarly,
220870,Янин Валентин Лаврентьевич,Новгород - раскрытая книга русского средневековья,2000,scholarly,
841960,Корогодина Мария Владимировна,Правила Константинопольского синода 1276 года,2025,scholarly,правила синода 1276 г.; вино как привозной товар применимо и к 1230 г.
