fpr_id,fa_id,taxon_table,scope_kind,pf_id,region_id,subregion_scope,season_period,frequency_class,weight,activity_state,basis,rule_ref,source_refs,confidence,status
fpr_fa_amph_common_frog__arable_field__autumn,fa_amph_common_frog,invertebrates_herps,place_family,arable_field,novgorod_land,novgorod_ilmen_core,autumn,contextual,2,active,authored,FREQ-INV-1,wk:biology_physiology:fauna-common-frog;claim:fauna-frog-damp-foraging;claim:fauna-frog-metamorphosis;claim:fauna-frog-calls-parental;claim:fauna-common-frog-aquatic-overwintering,B,candidate
fpr_fa_amph_common_frog__arable_field__summer,fa_amph_common_frog,invertebrates_herps,place_family,arable_field,novgorod_land,novgorod_ilmen_core,summer,contextual,2,active,authored,FREQ-INV-1,wk:biology_physiology:fauna-common-frog;claim:fauna-frog-damp-foraging;claim:fauna-frog-metamorphosis;claim:fauna-frog-calls-parental;claim:fauna-common-frog-aquatic-overwintering,B,candidate
fpr_fa_amph_common_frog__bog__autumn,fa_amph_common_frog,invertebrates_herps,place_family,bog,novgorod_land,novgorod_ilmen_core,autumn,common,4,active,authored,FREQ-INV-1,wk:biology_physiology:fauna-common-frog;claim:fauna-frog-damp-foraging;claim:fauna-frog-metamorphosis;claim:fauna-frog-calls-parental;claim:fauna-common-frog-aquatic-overwintering,B,candidate
fpr_fa_amph_common_frog__bog__spring_rasputitsa,fa_amph_common_frog,invertebrates_herps,place_family,bog,novgorod_land,novgorod_ilmen_core,spring_rasputitsa,common,4,active,authored,FREQ-INV-1,wk:biology_physiology:fauna-common-frog;claim:fauna-frog-damp-foraging;claim:fauna-frog-metamorphosis;claim:fauna-frog-calls-parental;claim:fauna-common-frog-aquatic-overwintering,B,candidate
fpr_fa_amph_common_frog__bog__summer,fa_amph_common_frog,invertebrates_herps,place_family,bog,novgorod_land,novgorod_ilmen_core,summer,common,4,active,authored,FREQ-INV-1,wk:biology_physiology:fauna-common-frog;claim:fauna-frog-damp-foraging;claim:fauna-frog-metamorphosis;claim:fauna-frog-calls-parental;claim:fauna-common-frog-aquatic-overwintering,B,candidate
fpr_fa_amph_common_frog__bog__winter,fa_amph_common_frog,invertebrates_herps,place_family,bog,novgorod_land,novgorod_ilmen_core,winter,contextual,2,dormant,authored,FREQ-INV-1,wk:biology_physiology:fauna-common-frog;claim:fauna-frog-damp-foraging;claim:fauna-frog-metamorphosis;claim:fauna-frog-calls-parental;claim:fauna-common-frog-aquatic-overwintering,B,candidate
fpr_fa_amph_common_frog__broadleaf_woodland__autumn,fa_amph_common_frog,invertebrates_herps,place_family,broadleaf_woodland,novgorod_land,novgorod_ilmen_core,autumn,contextual,2,active,authored,FREQ-INV-1,wk:biology_physiology:fauna-common-frog;claim:fauna-frog-damp-foraging;claim:fauna-frog-metamorphosis;claim:fauna-frog-calls-parental;claim:fauna-common-frog-aquatic-overwintering,B,candidate
fpr_fa_amph_common_frog__broadleaf_woodland__summer,fa_amph_common_frog,invertebrates_herps,place_family,broadleaf_woodland,novgorod_land,novgorod_ilmen_core,summer,contextual,2,active,authored,FREQ-INV-1,wk:biology_physiology:fauna-common-frog;claim:fauna-frog-damp-foraging;claim:fauna-frog-metamorphosis;claim:fauna-frog-calls-parental;claim:fauna-common-frog-aquatic-overwintering,B,candidate
fpr_fa_amph_common_frog__conifer_woodland__autumn,fa_amph_common_frog,invertebrates_herps,place_family,conifer_woodland,novgorod_land,novgorod_ilmen_core,autumn,contextual,2,active,authored,FREQ-INV-1,wk:biology_physiology:fauna-common-frog;claim:fauna-frog-damp-foraging;claim:fauna-frog-metamorphosis;claim:fauna-frog-calls-parental;claim:fauna-common-frog-aquatic-overwintering,B,candidate
fpr_fa_amph_common_frog__conifer_woodland__summer,fa_amph_common_frog,invertebrates_herps,place_family,conifer_woodland,novgorod_land,novgorod_ilmen_core,summer,contextual,2,active,authored,FREQ-INV-1,wk:biology_physiology:fauna-common-frog;claim:fauna-frog-damp-foraging;claim:fauna-frog-metamorphosis;claim:fauna-frog-calls-parental;claim:fauna-common-frog-aquatic-overwintering,B,candidate
fpr_fa_amph_common_frog__ferry_landing__autumn,fa_amph_common_frog,invertebrates_herps,place_family,ferry_landing,novgorod_land,novgorod_ilmen_core,autumn,common,4,active,authored,FREQ-INV-1,wk:biology_physiology:fauna-common-frog;claim:fauna-frog-damp-foraging;claim:fauna-frog-metamorphosis;claim:fauna-frog-calls-parental;claim:fauna-common-frog-aquatic-overwintering,B,candidate
fpr_fa_amph_common_frog__ferry_landing__spring_rasputitsa,fa_amph_common_frog,invertebrates_herps,place_family,ferry_landing,novgorod_land,novgorod_ilmen_core,spring_rasputitsa,common,4,active,authored,FREQ-INV-1,wk:biology_physiology:fauna-common-frog;claim:fauna-frog-damp-foraging;claim:fauna-frog-metamorphosis;claim:fauna-frog-calls-parental;claim:fauna-common-frog-aquatic-overwintering,B,candidate
fpr_fa_amph_common_frog__ferry_landing__summer,fa_amph_common_frog,invertebrates_herps,place_family,ferry_landing,novgorod_land,novgorod_ilmen_core,summer,common,4,active,authored,FREQ-INV-1,wk:biology_physiology:fauna-common-frog;claim:fauna-frog-damp-foraging;claim:fauna-frog-metamorphosis;claim:fauna-frog-calls-parental;claim:fauna-common-frog-aquatic-overwintering,B,candidate
fpr_fa_amph_common_frog__field_margin__autumn,fa_amph_common_frog,invertebrates_herps,place_family,field_margin,novgorod_land,novgorod_ilmen_core,autumn,contextual,2,active,authored,FREQ-INV-1,wk:biology_physiology:fauna-common-frog;claim:fauna-frog-damp-foraging;claim:fauna-frog-metamorphosis;claim:fauna-frog-calls-parental;claim:fauna-common-frog-aquatic-overwintering,B,candidate
fpr_fa_amph_common_frog__field_margin__summer,fa_amph_common_frog,invertebrates_herps,place_family,field_margin,novgorod_land,novgorod_ilmen_core,summer,contextual,2,active,authored,FREQ-INV-1,wk:biology_physiology:fauna-common-frog;claim:fauna-frog-damp-foraging;claim:fauna-frog-metamorphosis;claim:fauna-frog-calls-parental;claim:fauna-common-frog-aquatic-overwintering,B,candidate
fpr_fa_amph_common_frog__fishing_camp__autumn,fa_amph_common_frog,invertebrates_herps,place_family,fishing_camp,novgorod_land,novgorod_ilmen_core,autumn,common,4,active,authored,FREQ-INV-1,wk:biology_physiology:fauna-common-frog;claim:fauna-frog-damp-foraging;claim:fauna-frog-metamorphosis;claim:fauna-frog-calls-parental;claim:fauna-common-frog-aquatic-overwintering,B,candidate
fpr_fa_amph_common_frog__fishing_camp__spring_rasputitsa,fa_amph_common_frog,invertebrates_herps,place_family,fishing_camp,novgorod_land,novgorod_ilmen_core,spring_rasputitsa,common,4,active,authored,FREQ-INV-1,wk:biology_physiology:fauna-common-frog;claim:fauna-frog-damp-foraging;claim:fauna-frog-metamorphosis;claim:fauna-frog-calls-parental;claim:fauna-common-frog-aquatic-overwintering,B,candidate
fpr_fa_amph_common_frog__fishing_camp__summer,fa_amph_common_frog,invertebrates_herps,place_family,fishing_camp,novgorod_land,novgorod_ilmen_core,summer,common,4,active,authored,FREQ-INV-1,wk:biology_physiology:fauna-common-frog;claim:fauna-frog-damp-foraging;claim:fauna-frog-metamorphosis;claim:fauna-frog-calls-parental;claim:fauna-common-frog-aquatic-overwintering,B,candidate
