fa_id,name_ru,name_old_ru,name_lat,name_en,family,group,migratory_status,category_ref,taxon_scope,region_id,presence_region_id,subregion_scope,water_body_template_refs,water_body_types,wb_frequency,named_waters,season_presence,habitat_presence_count,spawning_months,spawning_season_period,spawning_site,spawning_basis,fishing_methods,gear_refs,size_classes,food_ingredient_ref,look_ru,novgorod_evidence,source_refs,confidence,status,notes
fa_fish_pike,Щука,щука,Esox lucius,Northern pike,Esocidae,predator,resident,cat:fauna.fish.predator,universal,,novgorod_land,novgorod_ilmen_core,wb_large_fresh_lake;wb_large_river;wb_medium_river;wb_small_river;wb_river_channel;wb_backwater;wb_oxbow_lake;wb_floodplain_lake;wb_floodwater;wb_marsh_channel;wb_small_fresh_lake;wb_brook;wb_moat_water;wb_marsh_pool,backwater;channel;floodplain_lake;lake;marsh_pool;moat;oxbow_lake;river;seasonal_floodwater;stream,wb_large_fresh_lake:ubiquitous;wb_large_river:ubiquitous;wb_medium_river:ubiquitous;wb_small_river:common;wb_river_channel:ubiquitous;wb_backwater:ubiquitous;wb_oxbow_lake:common;wb_floodplain_lake:common;wb_floodwater:common;wb_marsh_channel:common;wb_small_fresh_lake:common;wb_brook:contextual;wb_moat_water:contextual;wb_marsh_pool:contextual,Ильмень; Волхов; Мста; Ловать; Шелонь; малые реки и старицы,winter;spring_rasputitsa;summer;autumn,57,4,spring_rasputitsa,"мелководье, залитые луга и заросли сразу после ледохода",fishbase_season+ice_out_rule,fm_set_gillnet;fm_trap_versha;fm_livebait_zherlitsa;fm_spear_ostroga;fm_longline_peremet;fm_under_ice;fm_hook_rod;fm_spoon_blesna,master:n1230:material_item:fsh0027;master:n1230:material_item:fsh0005;master:n1230:material_item:fsh0004;master:n1230:material_item:fsh0022;master:n1230:material_item:fsh0023;master:n1230:material_item:fsh0006;master:n1230:material_item:fsh0031,"в костях Ст. Ладоги чаще 40–55 см, самая крупная 118 см",master:food_system:ING0132,"длинная пятнисто-зелёная рыба с утиной пастью, стоит в траве у берега","кости: 8,0% определимых остатков Ст. Ладоги VIII–X вв.; названа в берестяных грамотах; WK fauna-northern-pike",src:tarasov-2009-ladoga-fishing;src:rybina-novgorod-crafts;wk:biology_physiology:fauna-northern-pike;claim:fauna-pike-ambush;src:fishbase;claim:fauna-pike-spawning,A,candidate,
fa_fish_perch,Окунь,окунь; молодь — острец,Perca fluviatilis,European perch,Percidae,predator,resident,cat:fauna.fish.predator,universal,,novgorod_land,novgorod_ilmen_core,wb_large_fresh_lake;wb_large_river;wb_medium_river;wb_small_river;wb_river_channel;wb_backwater;wb_oxbow_lake;wb_floodplain_lake;wb_small_fresh_lake;wb_brook;wb_marsh_channel;wb_marsh_pool;wb_moat_water;wb_rapid_section,backwater;channel;floodplain_lake;lake;marsh_pool;moat;oxbow_lake;river;river_section;stream,wb_large_fresh_lake:ubiquitous;wb_large_river:ubiquitous;wb_medium_river:ubiquitous;wb_small_river:common;wb_river_channel:ubiquitous;wb_backwater:common;wb_oxbow_lake:common;wb_floodplain_lake:common;wb_small_fresh_lake:ubiquitous;wb_brook:contextual;wb_marsh_channel:contextual;wb_marsh_pool:contextual;wb_moat_water:contextual;wb_rapid_section:contextual,Ильмень; Волхов; все реки и озёра,winter;spring_rasputitsa;summer;autumn,57,4-5,spring_rasputitsa,у берега на коряги и траву при 7–8 °C,fishbase_season+ice_out_rule,fm_hook_rod;fm_trap_versha;fm_set_gillnet;fm_under_ice;fm_seine_nevod,master:n1230:material_item:fsh0015;master:n1230:material_item:fsh0006;master:n1230:material_item:fsh0005;master:n1230:material_item:fsh0027;master:n1230:material_item:fsh0030;master:n1230:material_item:fsh0031,"в костях Ст. Ладоги 27,5–36 см",master:food_system:ING0137,полосатая зеленоватая рыба с колючим спинным плавником и красными нижними плавниками,"кости Ст. Ладоги 0,93%; «острец» (молодь окуня) в новгородских источниках по Тарасову; WK fauna-eurasian-perch",src:tarasov-2009-ladoga-fishing;wk:biology_physiology:fauna-eurasian-perch;src:fishbase,A,candidate,
fa_fish_zander,Судак,судак,Sander lucioperca,"Zander, pikeperch",Percidae,predator,resident,cat:fauna.fish.predator,universal,,novgorod_land,novgorod_ilmen_core,wb_large_fresh_lake;wb_large_river;wb_medium_river;wb_river_channel;wb_backwater,backwater;channel;lake;river,wb_large_fresh_lake:common;wb_large_river:common;wb_medium_river:common;wb_river_channel:contextual;wb_backwater:contextual,"Ильмень; Волхов; низовья Мсты, Ловати, Шелони",winter;spring_rasputitsa;summer;autumn,33,4-5,spring_rasputitsa,"гравий и корни в движущейся воде, пары на рассвете и ночью",fishbase_months,fm_set_gillnet;fm_seine_nevod;fm_longline_peremet;fm_livebait_zherlitsa;fm_under_ice,master:n1230:material_item:fsh0027;master:n1230:material_item:fsh0030;master:n1230:material_item:fsh0023;master:n1230:material_item:fsh0031,в костях Ст. Ладоги чаще 35–48 см,master:food_system:ING0133,"серо-зелёная рыба с тёмными поперечными полосами, стеклянным глазом и клыками","кости Ст. Ладоги 32,7% (второе место после осетра); в уловах основной промысловый",src:tarasov-2009-ladoga-fishing;src:master-food-ingredients;src:fishbase,A,candidate,
fa_fish_ruffe,Ёрш,ерш,Gymnocephalus cernua,Ruffe,Percidae,benthivore,resident,cat:fauna.fish.benthivore,universal,,novgorod_land,novgorod_ilmen_core,wb_large_fresh_lake;wb_large_river;wb_medium_river;wb_river_channel;wb_small_river;wb_backwater;wb_small_fresh_lake;wb_oxbow_lake,backwater;channel;lake;oxbow_lake;river,wb_large_fresh_lake:ubiquitous;wb_large_river:ubiquitous;wb_medium_river:common;wb_river_channel:common;wb_small_river:contextual;wb_backwater:common;wb_small_fresh_lake:common;wb_oxbow_lake:contextual,Ильмень; Волхов,winter;spring_rasputitsa;summer;autumn,41,4-5,spring_rasputitsa,мелководье до 3 м на камни и растения,general,fm_hook_rod;fm_trap_versha;fm_seine_nevod;fm_under_ice,master:n1230:material_item:fsh0015;master:n1230:material_item:fsh0005;master:n1230:material_item:fsh0030,мелкая рыба; размер в новгородских данных не найден,master:food_system:ING0138,"мелкая слизистая колючая рыбка, бурая в крапинку",бочки и корзины ершей в новгородских источниках (по Тарасову); основной промысловый в Волхове,src:tarasov-2009-ladoga-fishing;src:master-food-ingredients;src:fishbase,B,candidate,месяцы нереста — общий порядок для северо-запада; FishBase месяцев не даёт
fa_fish_roach,Плотва,плотица,Rutilus rutilus,Roach,Cyprinidae,omnivore,resident,cat:fauna.fish.omnivore,universal,,novgorod_land,novgorod_ilmen_core,wb_large_fresh_lake;wb_large_river;wb_medium_river;wb_small_river;wb_river_channel;wb_backwater;wb_oxbow_lake;wb_floodplain_lake;wb_floodwater;wb_small_fresh_lake;wb_brook;wb_marsh_channel;wb_moat_water;wb_mill_leat;wb_reservoir_impoundment,backwater;channel;floodplain_lake;lake;mill_leat;moat;oxbow_lake;reservoir;river;seasonal_floodwater;stream,wb_large_fresh_lake:ubiquitous;wb_large_river:ubiquitous;wb_medium_river:ubiquitous;wb_small_river:ubiquitous;wb_river_channel:ubiquitous;wb_backwater:ubiquitous;wb_oxbow_lake:ubiquitous;wb_floodplain_lake:ubiquitous;wb_floodwater:common;wb_small_fresh_lake:ubiquitous;wb_brook:contextual;wb_marsh_channel:common;wb_moat_water:contextual;wb_mill_leat:contextual;wb_reservoir_impoundment:common,все воды,winter;spring_rasputitsa;summer;autumn,57,4-5,spring_rasputitsa,"стаями в густой траве заводей, на залитых лугах и мелких перекатах",fishbase_season+ice_out_rule,fm_set_gillnet;fm_seine_nevod;fm_trap_versha;fm_hook_rod;fm_under_ice;fm_drag_net_bredni,master:n1230:material_item:fsh0027;master:n1230:material_item:fsh0030;master:n1230:material_item:fsh0005;master:n1230:material_item:fsh0015;master:n1230:material_item:fsh0016,мелкая–средняя; в новгородских данных не найдена,master:food_system:ING0136,серебристая рыба с красным глазом и красноватыми плавниками,в списке основных промысловых рыб Волхова (Тарасов); MASTER ING0136,src:tarasov-2009-ladoga-fishing;src:master-food-ingredients;src:fishbase,B,candidate,
fa_fish_bream,Лещ,лещ,Abramis brama,Common bream,Cyprinidae,benthivore,resident,cat:fauna.fish.benthivore,universal,,novgorod_land,novgorod_ilmen_core,wb_large_fresh_lake;wb_large_river;wb_medium_river;wb_river_channel;wb_backwater;wb_floodplain_lake;wb_oxbow_lake;wb_small_fresh_lake;wb_floodwater,backwater;channel;floodplain_lake;lake;oxbow_lake;river;seasonal_floodwater,wb_large_fresh_lake:common;wb_large_river:common;wb_medium_river:common;wb_river_channel:contextual;wb_backwater:common;wb_floodplain_lake:contextual;wb_oxbow_lake:contextual;wb_small_fresh_lake:contextual;wb_floodwater:contextual,Ильмень; Волхов; низовья притоков,winter;spring_rasputitsa;summer;autumn,37,5-6,spring_rasputitsa;summer,"заводи, поймы и заросшие берега озёр; самцы держат участки",general,fm_seine_nevod;fm_set_gillnet;fm_under_ice;fm_longline_peremet;fm_trap_versha,master:n1230:material_item:fsh0030;master:n1230:material_item:fsh0027;master:n1230:material_item:fsh0023;master:n1230:material_item:fsh0031;master:n1230:material_item:fsh0005,в костях Ст. Ладоги 31–55 см,master:food_system:ING0135,"высокая плоская бронзово-серая рыба, в слизи","кости Ст. Ладоги 3,07% и 451 чешуя; назван в берестяных грамотах",src:tarasov-2009-ladoga-fishing;src:rybina-novgorod-crafts;src:fishbase,A,candidate,месяцы нереста по общему порядку; FishBase месяцев не даёт
fa_fish_blue_bream,Синец,,Ballerus ballerus,Blue bream,Cyprinidae,planktivore,resident,cat:fauna.fish.planktivore,universal,,novgorod_land,novgorod_ilmen_core,wb_large_fresh_lake;wb_large_river;wb_medium_river,lake;river,wb_large_fresh_lake:common;wb_large_river:contextual;wb_medium_river:contextual,Ильмень,winter;spring_rasputitsa;summer;autumn,29,4-5,spring_rasputitsa,"по берегам рек и в заводях на траву, 1–2 недели",general,fm_seine_nevod;fm_set_gillnet;fm_under_ice,master:n1230:material_item:fsh0030;master:n1230:material_item:fsh0027,не найден,master:food_system:ING0134,плоская светлая рыба с голубоватой спиной,"основной объект промысла в Ильмене (Кудерский, современные данные); средневековых костей не найдено",src:kudersky-ladoga-ichthyofauna;src:fishbase,B,candidate,средневековая частота выведена по современному промыслу; ING0134 — карповая без вида
fa_fish_silver_bream,Густера,,Blicca bjoerkna,White bream,Cyprinidae,benthivore,resident,cat:fauna.fish.benthivore,universal,,novgorod_land,novgorod_ilmen_core,wb_large_fresh_lake;wb_large_river;wb_medium_river;wb_backwater;wb_oxbow_lake,backwater;lake;oxbow_lake;river,wb_large_fresh_lake:contextual;wb_large_river:contextual;wb_medium_river:contextual;wb_backwater:contextual;wb_oxbow_lake:contextual,Ильмень; Волхов,winter;spring_rasputitsa;summer;autumn,37,5-7,spring_rasputitsa;summer,у берегов на траву и корни,fishbase_months,fm_seine_nevod;fm_set_gillnet;fm_hook_rod,master:n1230:material_item:fsh0030;master:n1230:material_item:fsh0027;master:n1230:material_item:fsh0015,не найден,master:food_system:ING0134,мелкий плоский «подлещик» с красноватыми плавниками,входит в состав тепловодной группы Волхова и Ильменя (Кудерский),src:kudersky-ladoga-ichthyofauna;src:fishbase,B,candidate,
fa_fish_ide,Язь,язь,Leuciscus idus,Ide,Cyprinidae,omnivore,semi_migratory,cat:fauna.fish.omnivore,universal,,novgorod_land,novgorod_ilmen_core,wb_large_river;wb_medium_river;wb_large_fresh_lake;wb_backwater;wb_river_channel;wb_floodwater,backwater;channel;lake;river;seasonal_floodwater,wb_large_river:contextual;wb_medium_river:contextual;wb_large_fresh_lake:contextual;wb_backwater:contextual;wb_river_channel:contextual;wb_floodwater:contextual,Волхов; Ильмень; притоки,winter;spring_rasputitsa;summer;autumn,34,4-5,spring_rasputitsa,в притоках на гравий и траву в умеренном течении,general,fm_set_gillnet;fm_seine_nevod;fm_hook_rod;fm_spear_ostroga,master:n1230:material_item:fsh0027;master:n1230:material_item:fsh0030;master:n1230:material_item:fsh0015;master:n1230:material_item:fsh0004,не найден,master:food_system:ING0134,толстая серебристо-бронзовая рыба с красноватыми плавниками,тепловодная группа Волхова и Ильменя (Кудерский); средневековых костей не найдено,src:kudersky-ladoga-ichthyofauna;src:fishbase,B,candidate,ранний весенний нерестовый ход — удобен для остроги
fa_fish_asp,Жерех,,Leuciscus aspius,Asp,Cyprinidae,predator,semi_migratory,cat:fauna.fish.predator,universal,,novgorod_land,novgorod_ilmen_core,wb_large_river;wb_medium_river;wb_large_fresh_lake;wb_rapid_section,lake;river;river_section,wb_large_river:contextual;wb_medium_river:contextual;wb_large_fresh_lake:rare;wb_rapid_section:contextual,Волхов; Ильмень; Мста,winter;spring_rasputitsa;summer;autumn,29,4-6,spring_rasputitsa;summer,быстрая вода на гравии в притоках,fishbase_months,fm_set_gillnet;fm_hook_rod;fm_longline_peremet,master:n1230:material_item:fsh0027;master:n1230:material_item:fsh0015;master:n1230:material_item:fsh0023,не найден,master:food_system:ING0134,"длинная серебристая хищная рыба, бьёт мелочь на поверхности","редок в других частях бассейна, но есть в Волхове и Ильмене (Кудерский)",src:kudersky-ladoga-ichthyofauna;src:fishbase,B,candidate,
