fm_id,name_ru,name_en,description_ru,gear_refs,seasons,species_count,source_refs,confidence,status
fm_set_gillnet,Ставная (жаберная) сеть,set gill net,сеть с берестяными/деревянными поплавками и каменными грузилами; рыба запутывается жабрами,master:n1230:material_item:fsh0027;master:n1230:material_item:fsh0007;master:n1230:material_item:fsh0008;master:n1230:material_item:fsh0013;master:n1230:material_item:fsh0029,winter;spring_rasputitsa;summer;autumn,19,src:tarasov-2009-ladoga-fishing;src:rybina-novgorod-crafts;claim:population-net-floats;claim:population-net-weights,A,candidate
fm_seine_nevod,Невод / керевод (волоковая мотневая сеть),seine,"большая протаскиваемая сеть; лов артелью, камни в оплётке из прутьев и бересты",master:n1230:material_item:fsh0030,spring_rasputitsa;summer;autumn;winter,13,src:tarasov-2009-ladoga-fishing;src:master-material-culture,A,candidate
fm_drag_net_bredni,"Бредень, бродец (малая волоковая сеть)",small drag net,протаскивают вдвоём по мелководью,master:n1230:material_item:fsh0016,summer;autumn,7,src:tarasov-2009-ladoga-fishing,B,candidate
fm_trap_versha,Верша (плетёная ловушка),wicker fish trap,воронкообразная ловушка из прутьев,master:n1230:material_item:fsh0005,winter;spring_rasputitsa;summer;autumn,17,src:rybina-novgorod-crafts;src:master-material-culture,B,candidate
fm_weir_zakol,Закол / ез (перегораживающий частокол),fish weir,частокол с ловушками поперёк протоки,master:n1230:material_item:fsh0025,spring_rasputitsa;summer;autumn,4,src:master-material-culture,B,candidate
fm_longline_peremet,Перемёт / самолов,longline,"шнур с десятками–сотнями железных крючков, с наживкой или без",master:n1230:material_item:fsh0023;master:n1230:material_item:fsh0006,winter;spring_rasputitsa;summer;autumn,8,src:tarasov-2009-ladoga-fishing;src:rybina-novgorod-crafts,A,candidate
fm_hook_rod,Удочка,rod and line,"деревянное удилище, растительная леса, железный крючок, поплавок из коры",master:n1230:material_item:fsh0015;master:n1230:material_item:fsh0020;master:n1230:material_item:fsh0006,spring_rasputitsa;summer;autumn;winter,18,src:rybina-novgorod-crafts;src:tarasov-2009-ladoga-fishing,A,candidate
fm_livebait_zherlitsa,Жерлица (на живца),live-bait trap line,деревянная рогулька с намотанной лесой и живцом,,winter;spring_rasputitsa;summer;autumn,2,src:rybina-novgorod-crafts;src:tarasov-2009-ladoga-fishing,A,candidate
fm_spoon_blesna,Блесна,spoon lure,"железная блесна 13–18,5 см",,summer;autumn;winter,1,src:rybina-novgorod-crafts,A,candidate
fm_spear_ostroga,"Острога (с лодки, вброд, ночью с огнём, через прорубь)",fish spear,"одно-, трёх- и шестизубые остроги; чаще весной в нерестовый ход",master:n1230:material_item:fsh0004;master:n1230:material_item:fsh0022,winter;spring_rasputitsa;summer;autumn,7,src:tarasov-2009-ladoga-fishing;src:rybina-novgorod-crafts,A,candidate
fm_under_ice,"Подлёдный лов (пешня, прорубь, сети и остроги подо льдом)",under-ice fishing,прорубь рубят пешнёй; зимние тони в писцовых книгах,master:n1230:material_item:fsh0031,winter,9,src:tarasov-2009-ladoga-fishing,A,candidate
fm_driving_botalo,Загон боталом / колотушкой в сеть,fish driving with pole,"длинный шест с раструбом, шумом загоняют рыбу в сеть",,spring_rasputitsa;summer;autumn,0,src:rybina-novgorod-crafts;src:tarasov-2009-ladoga-fishing,A,candidate
fm_hand_or_basket,"Руками, корзиной, под камнями",hand catching,"ловля раков и мелочи руками, плетёной корзиной",master:n1230:material_item:fsh0024,summer;autumn,5,src:master-material-culture,C,candidate
