hc_id,household_profile_ref,household_type,wealth_band,species_ref,min_count,max_count,count_unit,conditional,ownership_state,rule_ref,source_text,source_refs,confidence,status
hc_wealth_destitute_no_yard__none,wealth_destitute_no_yard,no_stable_household,none,none,0,0,head,false,,HERD-NONE,none,src:rus13tpl-household-wealth,C,candidate
hc_wealth_poor_yard__cat,wealth_poor_yard,poor_household,poor,fa_dom_cat,0,1,head,true,,HERD-CAT,курица или мелкий скот при основании,src:kochin-1965-agriculture;src:korotkova-byt;src:sablin-2007-rurikovo;src:rus13tpl-household-wealth;master:n1230:material_item:liv0001,C,candidate
hc_wealth_poor_yard__chicken,wealth_poor_yard,poor_household,poor,fa_dom_chicken,0,1,гнездо (наседка с выводком/несушки),true,,"HERD-POOR (max = floor(anchor/2), >=1; min 0); COND (min 0)",курица или мелкий скот при основании,src:kochin-1965-agriculture;src:korotkova-byt;src:sablin-2007-rurikovo;src:rus13tpl-household-wealth,C,candidate
hc_wealth_poor_yard__goat,wealth_poor_yard,poor_household,poor,fa_dom_goat,0,1,head,true,,"HERD-POOR (max = floor(anchor/2), >=1; min 0); COND (min 0)",курица или мелкий скот при основании,src:kochin-1965-agriculture;src:korotkova-byt;src:sablin-2007-rurikovo;src:rus13tpl-household-wealth,C,candidate
hc_wealth_poor_yard__sheep,wealth_poor_yard,poor_household,poor,fa_dom_sheep,0,4,head,true,,"HERD-POOR (max = floor(anchor/2), >=1; min 0); COND (min 0)",курица или мелкий скот при основании,src:kochin-1965-agriculture;src:korotkova-byt;src:sablin-2007-rurikovo;src:rus13tpl-household-wealth,C,candidate
hc_wealth_ordinary_yard__cat,wealth_ordinary_yard,ordinary_household,ordinary,fa_dom_cat,0,1,head,true,,HERD-CAT,коза; корова; овца; птица; рабочая лошадь при основании,src:kochin-1965-agriculture;src:korotkova-byt;src:sablin-2007-rurikovo;src:rus13tpl-household-wealth;master:n1230:material_item:liv0001,C,candidate
hc_wealth_ordinary_yard__cattle,wealth_ordinary_yard,ordinary_household,ordinary,fa_dom_cattle,1,3,head,false,,HERD-ANCHOR,коза; корова; овца; птица; рабочая лошадь при основании,src:kochin-1965-agriculture;src:korotkova-byt;src:sablin-2007-rurikovo;src:rus13tpl-household-wealth,C,candidate
hc_wealth_ordinary_yard__chicken,wealth_ordinary_yard,ordinary_household,ordinary,fa_dom_chicken,1,2,гнездо (наседка с выводком/несушки),false,,HERD-ANCHOR,коза; корова; овца; птица; рабочая лошадь при основании,src:kochin-1965-agriculture;src:korotkova-byt;src:sablin-2007-rurikovo;src:rus13tpl-household-wealth,C,candidate
hc_wealth_ordinary_yard__goat,wealth_ordinary_yard,ordinary_household,ordinary,fa_dom_goat,0,1,head,false,,HERD-ANCHOR,коза; корова; овца; птица; рабочая лошадь при основании,src:kochin-1965-agriculture;src:korotkova-byt;src:sablin-2007-rurikovo;src:rus13tpl-household-wealth,C,candidate
hc_wealth_ordinary_yard__horse,wealth_ordinary_yard,ordinary_household,ordinary,fa_dom_horse,0,1,head,true,,HERD-ANCHOR; COND (min 0),коза; корова; овца; птица; рабочая лошадь при основании,src:kochin-1965-agriculture;src:korotkova-byt;src:sablin-2007-rurikovo;src:rus13tpl-household-wealth,C,candidate
hc_wealth_ordinary_yard__sheep,wealth_ordinary_yard,ordinary_household,ordinary,fa_dom_sheep,0,8,head,false,,HERD-ANCHOR,коза; корова; овца; птица; рабочая лошадь при основании,src:kochin-1965-agriculture;src:korotkova-byt;src:sablin-2007-rurikovo;src:rus13tpl-household-wealth,C,candidate
hc_wealth_well_off_yard__cat,wealth_well_off_yard,well_off_household,prosperous,fa_dom_cat,0,1,head,true,,HERD-CAT,лошадь; коровы; овцы; свиньи; птица,src:kochin-1965-agriculture;src:korotkova-byt;src:sablin-2007-rurikovo;src:rus13tpl-household-wealth;master:n1230:material_item:liv0001,C,candidate
hc_wealth_well_off_yard__cattle,wealth_well_off_yard,well_off_household,prosperous,fa_dom_cattle,1,6,head,false,,"HERD-PROSPEROUS (min >=1, max = 2 x anchor)",лошадь; коровы; овцы; свиньи; птица,src:kochin-1965-agriculture;src:korotkova-byt;src:sablin-2007-rurikovo;src:rus13tpl-household-wealth,C,candidate
hc_wealth_well_off_yard__chicken,wealth_well_off_yard,well_off_household,prosperous,fa_dom_chicken,1,4,гнездо (наседка с выводком/несушки),false,,"HERD-PROSPEROUS (min >=1, max = 2 x anchor)",лошадь; коровы; овцы; свиньи; птица,src:kochin-1965-agriculture;src:korotkova-byt;src:sablin-2007-rurikovo;src:rus13tpl-household-wealth,C,candidate
hc_wealth_well_off_yard__horse,wealth_well_off_yard,well_off_household,prosperous,fa_dom_horse,1,2,head,false,,"HERD-PROSPEROUS (min >=1, max = 2 x anchor)",лошадь; коровы; овцы; свиньи; птица,src:kochin-1965-agriculture;src:korotkova-byt;src:sablin-2007-rurikovo;src:rus13tpl-household-wealth,C,candidate
hc_wealth_well_off_yard__pig,wealth_well_off_yard,well_off_household,prosperous,fa_dom_pig,1,4,head,false,,"HERD-PROSPEROUS (min >=1, max = 2 x anchor)",лошадь; коровы; овцы; свиньи; птица,src:kochin-1965-agriculture;src:korotkova-byt;src:sablin-2007-rurikovo;src:rus13tpl-household-wealth,C,candidate
hc_wealth_well_off_yard__sheep,wealth_well_off_yard,well_off_household,prosperous,fa_dom_sheep,1,16,head,false,,"HERD-PROSPEROUS (min >=1, max = 2 x anchor)",лошадь; коровы; овцы; свиньи; птица,src:kochin-1965-agriculture;src:korotkova-byt;src:sablin-2007-rurikovo;src:rus13tpl-household-wealth,C,candidate
hc_wealth_craft_yard__cat,wealth_craft_yard,craft_household,ordinary,fa_dom_cat,0,1,head,true,,HERD-CAT,рабочее животное при необходимости,src:kochin-1965-agriculture;src:korotkova-byt;src:sablin-2007-rurikovo;src:rus13tpl-household-wealth;master:n1230:material_item:liv0001,C,candidate
hc_wealth_craft_yard__horse,wealth_craft_yard,craft_household,ordinary,fa_dom_horse,0,1,head,true,,HERD-ANCHOR; COND (min 0),рабочее животное при необходимости,src:kochin-1965-agriculture;src:korotkova-byt;src:sablin-2007-rurikovo;src:rus13tpl-household-wealth,C,candidate
