xw_id,v6_household_mix_token,g3_rows,scale_classes,household_profile_ref,rule_ref,source_refs,confidence,status
xw_001,обычных,342,large_village_or_selo;ordinary_village,wealth_ordinary_yard,HH-XW-1,src:v6-g3-household-mix;src:rus13tpl-household-wealth,C,candidate
xw_002,перевозчик/лодейщик,320,water_crossing_or_landing,wealth_boatman_yard,HH-XW-1,src:v6-g3-household-mix;src:rus13tpl-household-wealth,C,candidate
xw_003,сторож,320,water_crossing_or_landing,wealth_pogost_service_yard,HH-XW-1,src:v6-g3-household-mix;src:rus13tpl-household-wealth,C,candidate
xw_004,хозяйственных двора,320,water_crossing_or_landing,wealth_ordinary_yard,HH-XW-1,src:v6-g3-household-mix;src:rus13tpl-household-wealth,C,candidate
xw_005,приезжие не считаются дворами места,320,water_crossing_or_landing,not_a_household,HH-XW-1,src:v6-g3-household-mix;src:rus13tpl-household-wealth,C,candidate
xw_006,зажиточных/старших,198,large_village_or_selo,wealth_well_off_yard,HH-XW-1,src:v6-g3-household-mix;src:rus13tpl-household-wealth,C,candidate
xw_007,бедных или крайних,198,large_village_or_selo,wealth_poor_yard,HH-XW-1,src:v6-g3-household-mix;src:rus13tpl-household-wealth,C,candidate
xw_008,церковный/причтовый двор при селе,198,large_village_or_selo,wealth_church_yard,HH-XW-1,src:v6-g3-household-mix;src:rus13tpl-household-wealth,C,candidate
xw_009,старший двор,144,ordinary_village,wealth_well_off_yard,HH-XW-1,src:v6-g3-household-mix;src:rus13tpl-household-wealth,C,candidate
xw_010,крайних/бедных,144,ordinary_village,wealth_poor_yard,HH-XW-1,src:v6-g3-household-mix;src:rus13tpl-household-wealth,C,candidate
xw_011,"промысловики, лесные работники, сторож или временная артель",92,resource_camp,wealth_hunter_promysel_yard,HH-XW-1,src:v6-g3-household-mix;src:rus13tpl-household-wealth,C,candidate
xw_012,торговые/гостевые,34,major_city;market_or_trade_node,wealth_guest_yard,HH-XW-1,src:v6-g3-household-mix;src:rus13tpl-household-wealth,C,candidate
