fa_id,name_ru,name_lat,name_en,group,category_ref,taxon_scope,region_id,presence_region_id,flying,blood_feeding,nuisance_or_danger,perceptual_cues,season_peak,uses,active_seasons,habitat_presence_count,source_refs,confidence,status,notes
fa_amph_common_frog,Лягушка травяная,Rana temporaria,Common frog,amphibian,cat:fauna.amphibian,universal,,novgorod_land,false,false,нет,ранней весной глухое урчание и комья икры в канавах и лужах; летом прыгает из травы на влажных лугах,весна (икрометание вскоре после схода льда),наживка,spring_rasputitsa;summer;autumn,52,wk:biology_physiology:fauna-common-frog;claim:fauna-frog-damp-foraging;claim:fauna-frog-metamorphosis;claim:fauna-frog-calls-parental;claim:fauna-common-frog-aquatic-overwintering,B,candidate,WK — общая биология; присутствие в регионе — по ареалу (B)
fa_amph_moor_frog,Лягушка остромордая,Rana arvalis,Moor frog,amphibian,cat:fauna.amphibian,universal,,novgorod_land,false,false,нет,"весной самцы голубеют, «булькающий» хор на разливах",весна,,spring_rasputitsa;summer;autumn,15,wk:biology_physiology:fauna-amphibian;wp:Остромордая_лягушка,C,candidate,"вид в WK не описан; ареал северо-запада — общая зоогеография, проверить"
fa_amph_pool_frog,Лягушка прудовая,Pelophylax lessonae,Pool frog,amphibian,cat:fauna.amphibian,universal,,novgorod_land,false,false,нет,громкий летний хор в заросших старицах и рвах,начало лета,,summer,4,wk:biology_physiology:fauna-amphibian;wp:Прудовая_лягушка,C,candidate,северная граница ареала — проверить для Новгородской земли
fa_amph_common_toad,Жаба серая,Bufo bufo,Common toad,amphibian,cat:fauna.amphibian,universal,,novgorod_land,false,false,кожный яд неприятен для собак и хищников,"бурая бородавчатая жаба в сумерках на огороде, у погреба, после дождя",весенний ход к водоёмам,,spring_rasputitsa;summer;autumn,31,wk:biology_physiology:fauna-common-toad;claim:fauna-toad-defence;claim:fauna-toad-diet;claim:fauna-toad-breeding-return,B,candidate,
fa_amph_smooth_newt,Тритон обыкновенный,Lissotriton vulgaris,Smooth newt,amphibian,cat:fauna.amphibian,universal,,novgorod_land,false,false,нет,в весенних лужах и канавах самцы с гребнем,весна,,spring_rasputitsa;summer,8,claim:fauna-amphibian-moist-skin;wp:Обыкновенный_тритон,C,candidate,вид в WK не описан
fa_rept_adder,Гадюка обыкновенная,Vipera berus,Common adder,reptile,cat:fauna.reptile,universal,,novgorod_land,false,false,ядовитый укус; чаще при беспокойстве змеи,греется на кочке или у пня в солнечный день; тёмный зигзаг по спине,"весна–начало лета, солнечные дни",,spring_rasputitsa;summer;autumn,23,wk:biology_physiology:fauna-common-adder;claim:fauna-adder-cover-basking;claim:fauna-adder-defence;claim:fauna-adder-winter-refuge;claim:r7-suspected-venomous-snakebite-supports-limiting-exertion-and-seeking-help,B,candidate,
fa_rept_grass_snake,Уж обыкновенный,Natrix natrix,Grass snake,reptile,cat:fauna.reptile,universal,,novgorod_land,false,false,безвреден,"жёлтые пятна на затылке; плывёт, подняв голову; кладки в навозных и компостных кучах",лето,,summer,8,wp:Обыкновенный_уж,C,candidate,в WK не описан; источник по виду не найден — заполнить (gap)
fa_rept_viviparous_lizard,Ящерица живородящая,Zootoca vivipara,Viviparous lizard,reptile,cat:fauna.reptile,universal,,novgorod_land,false,false,нет,"шуршит в сухой траве и на гати, греется на брёвнах",лето,,spring_rasputitsa;summer;autumn,15,wp:Живородящая_ящерица,C,candidate,источник по виду не найден (gap)
fa_rept_slow_worm,Веретеница ломкая,Anguis fragilis,Slow worm,reptile,cat:fauna.reptile,universal,,novgorod_land,false,false,безвредна (часто принимают за змею),гладкая медная «змейка» под гнилыми брёвнами после дождя,лето,,summer,4,wp:Ломкая_веретеница,C,candidate,источник по виду не найден (gap)
fa_ins_mosquitoes,Комары,"Culicidae (Culex, Aedes и др.)",Mosquitoes,insect,cat:fauna.insect,universal,,novgorod_land,true,true,"укусы, зуд; болезни не выводить","звон над ухом в сумерках и ночью, серое облачко над болотом","июнь–июль, сумерки и ночь",,spring_rasputitsa;summer;autumn,44,wk:biology_physiology:fauna-culex-mosquito;claim:fauna-culex-life-cycle;claim:fauna-culex-dusk-rest;claim:fauna-culex-female-blood,B,candidate,Culex зимуют взрослыми в укрытиях (dormant)
