ls_id,species_ref,name_ru,name_old_ru,sex,age_class,appearance_colors,size_ru,body_ru,housing,primary_uses,value_rp45,value_rezany,value_rank,value_basis,ownership_marks_pool_ref,category_ref,taxon_scope,region_id,source_refs,confidence,status,notes
ls_cattle_cow,fa_dom_cattle,Корова,корова,f,adult,бурая; рыжеватая; тёмная; пёстрая без породного рисунка,"мелкая: высота в холке около 100 см (КРС лесной полосы, Цалкин 1956); на Рюриковом городище в среднем 112,7 см","узкая грудь, короткие ноги, рога возможны у обоих полов; зимой лохматая, весной худая",хлев; летом поскотина с возвращением на дойку,"молоко, телята, мясо, шкура, навоз",40 кун,40,5,Русская Правда (Простр.) ст. 45; перевод «кун» = резаны Краткой ст. 28 (C),livestock_identification_marks.csv,cat:fauna.domestic.cattle,universal,,src:sablin-2007-rurikovo;src:tsalkin-1956;master:n1230:material_item:liv0024;src:russkaya-pravda-prostrannaya;claim:candidate-gramota8-wife-cow-redemption-letter,A,candidate,масти — кандидат MASTER (C); размер — археозоология (A)
ls_cattle_bull,fa_dom_cattle,Бык,бык,m,adult,как у коров,"крепкий, но не гигантский; мельче современных мясных пород","мощная шея, рога",хлев,"производитель, мясо",,,,,livestock_identification_marks.csv,cat:fauna.domestic.cattle,universal,,master:n1230:material_item:liv0002;src:sablin-2007-rurikovo,B,candidate,цены быка в ст. 45 нет
ls_cattle_ox,fa_dom_cattle,Вол,вол,m_castrate,adult,как у коров,как бык,спокойный рабочий скот,хлев,"тяга (пахота, возка по контексту), мясо",гривна,50,4,Русская Правда (Простр.) ст. 45; перевод «кун» = резаны Краткой ст. 28 (C),livestock_identification_marks.csv,cat:fauna.domestic.cattle,universal,,src:russkaya-pravda-prostrannaya;master:n1230:material_item:liv0004;src:rus13-place-rules-v2,B,candidate,в лесной зоне основная тягловая сила — лошадь (WK horse-use); вол по контексту
ls_cattle_young_3y,fa_dom_cattle,Трёхлеток (третьяк),третьяк,any,juvenile_3y,как у коров,почти взрослый,,хлев,ремонт стада,30 кун,30,6,Русская Правда (Простр.) ст. 45; перевод «кун» = резаны Краткой ст. 28 (C),livestock_identification_marks.csv,cat:fauna.domestic.cattle,universal,,src:russkaya-pravda-prostrannaya,B,candidate,
ls_cattle_yearling,fa_dom_cattle,Годовалый (лоньщина),лоньщина,any,yearling,как у коров,подросток,,хлев; телятник летом,ремонт стада,полгривны,25,7,Русская Правда (Простр.) ст. 45; перевод «кун» = резаны Краткой ст. 28 (C),livestock_identification_marks.csv,cat:fauna.domestic.cattle,universal,,src:russkaya-pravda-prostrannaya;src:kochin-1965-agriculture,B,candidate,
ls_cattle_calf,fa_dom_cattle,Телёнок (теля),теля,any,newborn,как у коров,малый,,в стужу в избе за перегородкой (поздняя этнография); летом телятник,"мясо (телятина), ремонт стада",5 кун,5,9,Русская Правда (Простр.) ст. 45; перевод «кун» = резаны Краткой ст. 28 (C),livestock_identification_marks.csv,cat:fauna.domestic.cattle,universal,,src:russkaya-pravda-prostrannaya;master:n1230:material_item:liv0003;src:kochin-1965-agriculture;src:korotkova-byt;claim:macro-b1819-cow-calf-separation-is-a-stressful-transition-and-context-can-moderate-added-stress,B,candidate,содержание в избе — только C (этнография позднего времени)
ls_horse_work,fa_dom_horse,Лошадь рабочая крестьянская,конь; лошадь,any,adult,гнедая; вороная; рыжая; серая (сивая); буланая; пегая,"невысокая: средние кони лесной полосы примерно на 10 см ниже коней Рюрикова городища (142–144 см), т. е. около 132–134 см","крепкая или сухая, без крайних породных признаков, густая зимняя шерсть",хлев/конюшня; летом ночная пастьба,"пахота, возка, сани, верх",2 гривны (не княжий конь),100,2,Русская Правда (Простр.) ст. 45; перевод «кун» = резаны Краткой ст. 28 (C),livestock_identification_marks.csv,cat:fauna.domestic.horse,universal,,src:sablin-2007-rurikovo;src:tsalkin-1956;master:n1230:material_item:liv0015;src:russkaya-pravda-prostrannaya;claim:environment-p1-horse-transport,A,candidate,"высота в холке выведена скриптом из Саблина: 142,4–144,1 минус ~10 см; масти — C (термины, не частоты)"
ls_horse_riding,fa_dom_horse,"Конь верховой (княжий, дружинный)",конь,m,adult,гнедая; вороная; серая; рыжая,"среднерослый: 142–144 см в холке (IX в., Рюриково городище)","узколобый или среднелобый, полутонконогий; степных широколобых черт нет",конюшня княжого или боярского двора,"верх, война, посольство",3 гривны (княжий конь),150,1,Русская Правда (Простр.) ст. 45; перевод «кун» = резаны Краткой ст. 28 (C),livestock_identification_marks.csv,cat:fauna.domestic.horse,universal,,src:sablin-2007-rurikovo;src:russkaya-pravda-prostrannaya;master:n1230:material_item:liv0014;claim:population-tack-context,A,candidate,данные IX в. перенесены на 1230 как ориентир (B)
ls_horse_mare,fa_dom_horse,Кобыла,кобыла,f,adult,как у рабочих,как рабочая,,хлев/конюшня,"приплод, работа",60 кун,60,3,Русская Правда (Простр.) ст. 45; перевод «кун» = резаны Краткой ст. 28 (C),livestock_identification_marks.csv,cat:fauna.domestic.horse,universal,,src:russkaya-pravda-prostrannaya,B,candidate,
ls_horse_unbroken_stallion,fa_dom_horse,Жеребец необъезженный,жеребец,m,young_adult,как у рабочих,,,конюшня,объездка,гривна кун,50,4,Русская Правда (Простр.) ст. 45; перевод «кун» = резаны Краткой ст. 28 (C),livestock_identification_marks.csv,cat:fauna.domestic.horse,universal,,src:russkaya-pravda-prostrannaya,B,candidate,
