pl_id,rule_ref,template_type,species_ref,ownership,conditional,source_text,source_refs,confidence,status
pl_rpgr_nov_isolated_farmstead__cattle__resident,rpgr_nov_isolated_farmstead,isolated_farmstead,fa_dom_cattle,resident,false,лошадь/вол,src:rus13-place-rules-v2,C,candidate
pl_rpgr_nov_isolated_farmstead__horse__resident,rpgr_nov_isolated_farmstead,isolated_farmstead,fa_dom_horse,resident,false,лошадь/вол,src:rus13-place-rules-v2,C,candidate
pl_rpgr_nov_isolated_farmstead__goat__resident,rpgr_nov_isolated_farmstead,isolated_farmstead,fa_dom_goat,resident,false,овцы/козы,src:rus13-place-rules-v2,C,candidate
pl_rpgr_nov_isolated_farmstead__sheep__resident,rpgr_nov_isolated_farmstead,isolated_farmstead,fa_dom_sheep,resident,false,овцы/козы,src:rus13-place-rules-v2,C,candidate
pl_rpgr_nov_isolated_farmstead__pig__resident,rpgr_nov_isolated_farmstead,isolated_farmstead,fa_dom_pig,resident,false,свиньи,src:rus13-place-rules-v2,C,candidate
pl_rpgr_nov_isolated_farmstead__chicken__resident,rpgr_nov_isolated_farmstead,isolated_farmstead,fa_dom_chicken,resident,false,птица,src:rus13-place-rules-v2,C,candidate
pl_rpgr_nov_hamlet__horse__resident,rpgr_nov_hamlet,hamlet,fa_dom_horse,resident,false,лошади,src:rus13-place-rules-v2,C,candidate
pl_rpgr_nov_hamlet__cattle__resident,rpgr_nov_hamlet,hamlet,fa_dom_cattle,resident,false,коровы,src:rus13-place-rules-v2,C,candidate
pl_rpgr_nov_hamlet__goat__resident,rpgr_nov_hamlet,hamlet,fa_dom_goat,resident,false,мелкий скот,src:rus13-place-rules-v2,C,candidate
pl_rpgr_nov_hamlet__sheep__resident,rpgr_nov_hamlet,hamlet,fa_dom_sheep,resident,false,мелкий скот,src:rus13-place-rules-v2,C,candidate
pl_rpgr_nov_hamlet__pig__resident,rpgr_nov_hamlet,hamlet,fa_dom_pig,resident,false,свиньи,src:rus13-place-rules-v2,C,candidate
pl_rpgr_nov_hamlet__chicken__resident,rpgr_nov_hamlet,hamlet,fa_dom_chicken,resident,false,птица,src:rus13-place-rules-v2,C,candidate
pl_rpgr_nov_village_arable_meadow__horse__resident,rpgr_nov_village_arable_meadow,village,fa_dom_horse,resident,false,лошади,src:rus13-place-rules-v2,C,candidate
pl_rpgr_nov_village_arable_meadow__cattle__resident,rpgr_nov_village_arable_meadow,village,fa_dom_cattle,resident,false,коровы,src:rus13-place-rules-v2,C,candidate
pl_rpgr_nov_village_arable_meadow__goat__resident,rpgr_nov_village_arable_meadow,village,fa_dom_goat,resident,false,овцы/козы,src:rus13-place-rules-v2,C,candidate
pl_rpgr_nov_village_arable_meadow__sheep__resident,rpgr_nov_village_arable_meadow,village,fa_dom_sheep,resident,false,овцы/козы,src:rus13-place-rules-v2,C,candidate
pl_rpgr_nov_village_arable_meadow__pig__resident,rpgr_nov_village_arable_meadow,village,fa_dom_pig,resident,false,свиньи,src:rus13-place-rules-v2,C,candidate
pl_rpgr_nov_village_arable_meadow__chicken__resident,rpgr_nov_village_arable_meadow,village,fa_dom_chicken,resident,false,птица,src:rus13-place-rules-v2,C,candidate
pl_rpgr_nov_dispersed_settlement_cluster__cattle__resident,rpgr_nov_dispersed_settlement_cluster,dispersed_settlement_cluster,fa_dom_cattle,resident,false,скот,src:rus13-place-rules-v2,C,candidate
pl_rpgr_nov_dispersed_settlement_cluster__pig__resident,rpgr_nov_dispersed_settlement_cluster,dispersed_settlement_cluster,fa_dom_pig,resident,false,скот,src:rus13-place-rules-v2,C,candidate
pl_rpgr_nov_dispersed_settlement_cluster__sheep__resident,rpgr_nov_dispersed_settlement_cluster,dispersed_settlement_cluster,fa_dom_sheep,resident,false,скот,src:rus13-place-rules-v2,C,candidate
pl_rpgr_nov_dispersed_settlement_cluster__dog__resident,rpgr_nov_dispersed_settlement_cluster,dispersed_settlement_cluster,fa_dom_dog,resident,false,собаки,src:rus13-place-rules-v2,C,candidate
pl_rpgr_nov_dispersed_settlement_cluster__horse__resident,rpgr_nov_dispersed_settlement_cluster,dispersed_settlement_cluster,fa_dom_horse,resident,true,лошади по достатку,src:rus13-place-rules-v2,C,candidate
