cw_id,water_body_template_ref,water_body_type,template_title,pf_id,example_waters,season_limit,rule_ref,source_refs,confidence,status
cw_wb_large_river__river_channel,wb_large_river,river,Большая река,river_channel,"Волхов, низовья крупных рек",,WB-PF-1,src:world-db-water-body-templates;src:wk-place-first-cartography,C,candidate
cw_wb_large_river__riverbank,wb_large_river,river,Большая река,riverbank,"Волхов, низовья крупных рек",,WB-PF-1,src:world-db-water-body-templates;src:wk-place-first-cartography,C,candidate
cw_wb_large_river__river_wharf,wb_large_river,river,Большая река,river_wharf,"Волхов, низовья крупных рек",,WB-PF-1,src:world-db-water-body-templates;src:wk-place-first-cartography,C,candidate
cw_wb_large_river__ferry_landing,wb_large_river,river,Большая река,ferry_landing,"Волхов, низовья крупных рек",,WB-PF-1,src:world-db-water-body-templates;src:wk-place-first-cartography,C,candidate
cw_wb_large_river__bridge_crossing,wb_large_river,river,Большая река,bridge_crossing,"Волхов, низовья крупных рек",,WB-PF-1,src:world-db-water-body-templates;src:wk-place-first-cartography,C,candidate
cw_wb_large_river__fishing_camp,wb_large_river,river,Большая река,fishing_camp,"Волхов, низовья крупных рек",,WB-PF-1,src:world-db-water-body-templates;src:wk-place-first-cartography,C,candidate
cw_wb_large_river__winter_ice_crossing,wb_large_river,river,Большая река,winter_ice_crossing,"Волхов, низовья крупных рек",winter,WB-PF-1,src:world-db-water-body-templates;src:wk-place-first-cartography,C,candidate
cw_wb_medium_river__river_channel,wb_medium_river,river,Средняя река,river_channel,"Мста, Ловать, Шелонь",,WB-PF-1,src:world-db-water-body-templates;src:wk-place-first-cartography,C,candidate
cw_wb_medium_river__riverbank,wb_medium_river,river,Средняя река,riverbank,"Мста, Ловать, Шелонь",,WB-PF-1,src:world-db-water-body-templates;src:wk-place-first-cartography,C,candidate
cw_wb_medium_river__river_wharf,wb_medium_river,river,Средняя река,river_wharf,"Мста, Ловать, Шелонь",,WB-PF-1,src:world-db-water-body-templates;src:wk-place-first-cartography,C,candidate
cw_wb_medium_river__ferry_landing,wb_medium_river,river,Средняя река,ferry_landing,"Мста, Ловать, Шелонь",,WB-PF-1,src:world-db-water-body-templates;src:wk-place-first-cartography,C,candidate
cw_wb_medium_river__bridge_crossing,wb_medium_river,river,Средняя река,bridge_crossing,"Мста, Ловать, Шелонь",,WB-PF-1,src:world-db-water-body-templates;src:wk-place-first-cartography,C,candidate
cw_wb_medium_river__fishing_camp,wb_medium_river,river,Средняя река,fishing_camp,"Мста, Ловать, Шелонь",,WB-PF-1,src:world-db-water-body-templates;src:wk-place-first-cartography,C,candidate
cw_wb_medium_river__winter_ice_crossing,wb_medium_river,river,Средняя река,winter_ice_crossing,"Мста, Ловать, Шелонь",winter,WB-PF-1,src:world-db-water-body-templates;src:wk-place-first-cartography,C,candidate
cw_wb_small_river__river_channel,wb_small_river,river,Малая река,river_channel,малые реки,,WB-PF-1,src:world-db-water-body-templates;src:wk-place-first-cartography,C,candidate
cw_wb_small_river__riverbank,wb_small_river,river,Малая река,riverbank,малые реки,,WB-PF-1,src:world-db-water-body-templates;src:wk-place-first-cartography,C,candidate
