category_id,domain,facet,stable_code,parent_category_id,name_ru,name_en,region_id,universal,source_refs,status
fauna.mammal,fauna,class,fauna.mammal,,Дикие млекопитающие,Wild mammals,,true,fauna-mammals-birds/README.md,candidate
fauna.bird,fauna,class,fauna.bird,,Дикие птицы,Wild birds,,true,fauna-mammals-birds/README.md,candidate
fauna.mammal.ungulate,fauna,taxon_group,fauna.mammal.ungulate,fauna.mammal,Копытные,ungulate,,true,fauna-mammals-birds/README.md,candidate
fauna.mammal.large_predator,fauna,taxon_group,fauna.mammal.large_predator,fauna.mammal,Крупные хищники,large_predator,,true,fauna-mammals-birds/README.md,candidate
fauna.mammal.fur_predator,fauna,taxon_group,fauna.mammal.fur_predator,fauna.mammal,Пушные хищники,fur_predator,,true,fauna-mammals-birds/README.md,candidate
fauna.mammal.fur_small,fauna,taxon_group,fauna.mammal.fur_small,fauna.mammal,Мелкие пушные куньи,fur_small,,true,fauna-mammals-birds/README.md,candidate
fauna.mammal.small_predator,fauna,taxon_group,fauna.mammal.small_predator,fauna.mammal,Мелкие хищники,small_predator,,true,fauna-mammals-birds/README.md,candidate
fauna.mammal.fur_rodent,fauna,taxon_group,fauna.mammal.fur_rodent,fauna.mammal,Пушные грызуны,fur_rodent,,true,fauna-mammals-birds/README.md,candidate
fauna.mammal.small_mammal,fauna,taxon_group,fauna.mammal.small_mammal,fauna.mammal,"Мелкие звери (насекомоядные, грызуны)",small_mammal,,true,fauna-mammals-birds/README.md,candidate
fauna.mammal.game_small,fauna,taxon_group,fauna.mammal.game_small,fauna.mammal,Мелкая дичь,game_small,,true,fauna-mammals-birds/README.md,candidate
fauna.mammal.bat,fauna,taxon_group,fauna.mammal.bat,fauna.mammal,Летучие мыши,bat,,true,fauna-mammals-birds/README.md,candidate
fauna.mammal.marine_mammal,fauna,taxon_group,fauna.mammal.marine_mammal,fauna.mammal,Ластоногие,marine_mammal,,true,fauna-mammals-birds/README.md,candidate
fauna.mammal.ungulate.elk,fauna,taxon,fauna.mammal.ungulate.elk,fauna.mammal.ungulate,Лось,Elk (moose),,true,SRC_HDBM2017,candidate
fauna.mammal.ungulate.wild_boar,fauna,taxon,fauna.mammal.ungulate.wild_boar,fauna.mammal.ungulate,Кабан,Wild boar,,true,SRC_MASTER_FOOD#ING0117,candidate
fauna.mammal.ungulate.roe_deer,fauna,taxon,fauna.mammal.ungulate.roe_deer,fauna.mammal.ungulate,Косуля,Roe deer,,true,SRC_VOLOGDA_MAMM,candidate
fauna.mammal.ungulate.reindeer,fauna,taxon,fauna.mammal.ungulate.reindeer,fauna.mammal.ungulate,Северный олень (лесной),Wild forest reindeer,,true,SRC_VOLOGDA_MAMM,candidate
fauna.mammal.large_predator.brown_bear,fauna,taxon,fauna.mammal.large_predator.brown_bear,fauna.mammal.large_predator,Бурый медведь,Brown bear,,true,SRC_HDBM2017,candidate
fauna.mammal.large_predator.wolf,fauna,taxon,fauna.mammal.large_predator.wolf,fauna.mammal.large_predator,Волк,Grey wolf,,true,SRC_VOLOGDA_MAMM,candidate
fauna.mammal.fur_predator.red_fox,fauna,taxon,fauna.mammal.fur_predator.red_fox,fauna.mammal.fur_predator,Лисица,Red fox,,true,SRC_HDBM2017,candidate
fauna.mammal.fur_predator.lynx,fauna,taxon,fauna.mammal.fur_predator.lynx,fauna.mammal.fur_predator,Рысь,Eurasian lynx,,true,SRC_WK_FAUNA,candidate
fauna.mammal.fur_predator.wolverine,fauna,taxon,fauna.mammal.fur_predator.wolverine,fauna.mammal.fur_predator,Росомаха,Wolverine,,true,SRC_VOLOGDA_MAMM,candidate
fauna.mammal.fur_predator.badger,fauna,taxon,fauna.mammal.fur_predator.badger,fauna.mammal.fur_predator,Барсук,European badger,,true,SRC_VOLOGDA_MAMM,candidate
fauna.mammal.fur_small.pine_marten,fauna,taxon,fauna.mammal.fur_small.pine_marten,fauna.mammal.fur_small,Лесная куница,Pine marten,,true,SRC_HDBM2017,candidate
fauna.mammal.fur_small.sable,fauna,taxon,fauna.mammal.fur_small.sable,fauna.mammal.fur_small,Соболь,Sable,,true,SRC_RYBINA2015,candidate
fauna.mammal.fur_small.stoat,fauna,taxon,fauna.mammal.fur_small.stoat,fauna.mammal.fur_small,Горностай,Stoat,,true,SRC_VOLOGDA_MAMM,candidate
fauna.mammal.small_predator.weasel,fauna,taxon,fauna.mammal.small_predator.weasel,fauna.mammal.small_predator,Ласка,Least weasel,,true,SRC_VOLOGDA_MAMM,candidate
fauna.mammal.fur_small.polecat,fauna,taxon,fauna.mammal.fur_small.polecat,fauna.mammal.fur_small,Лесной хорь,European polecat,,true,SRC_VOLOGDA_MAMM,candidate
fauna.mammal.fur_small.european_mink,fauna,taxon,fauna.mammal.fur_small.european_mink,fauna.mammal.fur_small,Европейская норка,European mink,,true,SRC_VOLOGDA_MAMM,candidate
fauna.mammal.fur_predator.otter,fauna,taxon,fauna.mammal.fur_predator.otter,fauna.mammal.fur_predator,Выдра,Eurasian otter,,true,SRC_HDBM2017,candidate
fauna.mammal.fur_rodent.beaver,fauna,taxon,fauna.mammal.fur_rodent.beaver,fauna.mammal.fur_rodent,Бобр,Eurasian beaver,,true,SRC_HDBM2017,candidate
fauna.mammal.fur_rodent.red_squirrel,fauna,taxon,fauna.mammal.fur_rodent.red_squirrel,fauna.mammal.fur_rodent,Белка,Red squirrel,,true,SRC_RYBINA2015,candidate
fauna.mammal.small_mammal.flying_squirrel,fauna,taxon,fauna.mammal.small_mammal.flying_squirrel,fauna.mammal.small_mammal,Летяга,Siberian flying squirrel,,true,SRC_VOLOGDA_MAMM,candidate
fauna.mammal.game_small.mountain_hare,fauna,taxon,fauna.mammal.game_small.mountain_hare,fauna.mammal.game_small,Заяц-беляк,Mountain hare,,true,SRC_HDBM2017,candidate
fauna.mammal.small_mammal.hedgehog,fauna,taxon,fauna.mammal.small_mammal.hedgehog,fauna.mammal.small_mammal,Ёж,European hedgehog,,true,SRC_VOLOGDA_MAMM,candidate
fauna.mammal.small_mammal.mole,fauna,taxon,fauna.mammal.small_mammal.mole,fauna.mammal.small_mammal,Крот,European mole,,true,SRC_VOLOGDA_MAMM,candidate
fauna.mammal.small_mammal.common_shrew,fauna,taxon,fauna.mammal.small_mammal.common_shrew,fauna.mammal.small_mammal,Обыкновенная бурозубка,Common shrew,,true,SRC_VOLOGDA_MAMM,candidate
fauna.mammal.small_mammal.pygmy_shrew,fauna,taxon,fauna.mammal.small_mammal.pygmy_shrew,fauna.mammal.small_mammal,Малая бурозубка,Pygmy shrew,,true,SRC_VOLOGDA_MAMM,candidate
fauna.mammal.small_mammal.water_shrew,fauna,taxon,fauna.mammal.small_mammal.water_shrew,fauna.mammal.small_mammal,Кутора,Water shrew,,true,SRC_VOLOGDA_MAMM,candidate
fauna.mammal.small_mammal.bank_vole,fauna,taxon,fauna.mammal.small_mammal.bank_vole,fauna.mammal.small_mammal,Рыжая полёвка,Bank vole,,true,SRC_VOLOGDA_MAMM,candidate
fauna.mammal.small_mammal.field_vole,fauna,taxon,fauna.mammal.small_mammal.field_vole,fauna.mammal.small_mammal,Тёмная полёвка,Field vole,,true,SRC_VOLOGDA_MAMM,candidate
fauna.mammal.small_mammal.common_vole,fauna,taxon,fauna.mammal.small_mammal.common_vole,fauna.mammal.small_mammal,Обыкновенная полёвка,Common vole,,true,SRC_VOLOGDA_MAMM,candidate
fauna.mammal.small_mammal.water_vole,fauna,taxon,fauna.mammal.small_mammal.water_vole,fauna.mammal.small_mammal,Водяная полёвка,Water vole,,true,SRC_VOLOGDA_MAMM,candidate
fauna.mammal.small_mammal.yellow_necked_mouse,fauna,taxon,fauna.mammal.small_mammal.yellow_necked_mouse,fauna.mammal.small_mammal,Желтогорлая мышь,Yellow-necked mouse,,true,SRC_VOLOGDA_MAMM,candidate
fauna.mammal.small_mammal.wood_mouse,fauna,taxon,fauna.mammal.small_mammal.wood_mouse,fauna.mammal.small_mammal,Лесная мышь,Wood mouse,,true,SRC_VOLOGDA_MAMM,candidate
fauna.mammal.small_mammal.striped_field_mouse,fauna,taxon,fauna.mammal.small_mammal.striped_field_mouse,fauna.mammal.small_mammal,Полевая мышь,Striped field mouse,,true,SRC_VOLOGDA_MAMM,candidate
fauna.mammal.small_mammal.harvest_mouse,fauna,taxon,fauna.mammal.small_mammal.harvest_mouse,fauna.mammal.small_mammal,Мышь-малютка,Eurasian harvest mouse,,true,SRC_VOLOGDA_MAMM,candidate
fauna.mammal.small_mammal.house_mouse,fauna,taxon,fauna.mammal.small_mammal.house_mouse,fauna.mammal.small_mammal,Домовая мышь,House mouse,,true,SRC_VOLOGDA_MAMM,candidate
fauna.mammal.small_mammal.birch_mouse,fauna,taxon,fauna.mammal.small_mammal.birch_mouse,fauna.mammal.small_mammal,Лесная мышовка,Northern birch mouse,,true,SRC_VOLOGDA_MAMM,candidate
fauna.mammal.small_mammal.wood_lemming,fauna,taxon,fauna.mammal.small_mammal.wood_lemming,fauna.mammal.small_mammal,Лесной лемминг,Wood lemming,,true,SRC_VOLOGDA_MAMM,candidate
fauna.mammal.small_mammal.garden_dormouse,fauna,taxon,fauna.mammal.small_mammal.garden_dormouse,fauna.mammal.small_mammal,Садовая соня,Garden dormouse,,true,SRC_VOLOGDA_MAMM,candidate
fauna.mammal.bat.whiskered_bat,fauna,taxon,fauna.mammal.bat.whiskered_bat,fauna.mammal.bat,Усатая ночница,Whiskered bat,,true,SRC_VOLOGDA_MAMM,candidate
fauna.mammal.bat.northern_bat,fauna,taxon,fauna.mammal.bat.northern_bat,fauna.mammal.bat,Северный кожанок,Northern bat,,true,SRC_VOLOGDA_MAMM,candidate
fauna.mammal.bat.parti_coloured_bat,fauna,taxon,fauna.mammal.bat.parti_coloured_bat,fauna.mammal.bat,Двухцветный кожан,Parti-coloured bat,,true,SRC_VOLOGDA_MAMM,candidate
fauna.mammal.bat.brown_long_eared_bat,fauna,taxon,fauna.mammal.bat.brown_long_eared_bat,fauna.mammal.bat,Бурый ушан,Brown long-eared bat,,true,SRC_WK_FAUNA,candidate
fauna.mammal.bat.daubentons_bat,fauna,taxon,fauna.mammal.bat.daubentons_bat,fauna.mammal.bat,Водяная ночница,Daubenton's bat,,true,SRC_VALDAY_NP,candidate
