presence_id,fa_id,category_ref,pf_id,region_id,season,frequency_class,weight,fit,state,activity_time,audible,observable_signs,refresh_class,rule_ref,source_refs,confidence,status
fhp_m_elk__mixed_woodland__winter,fa_m_elk,fauna.mammal.ungulate.elk,pf_mixed_woodland,novgorod_land,winter,common,4,core,active,crepuscular,false,tracks;droppings;feeding;dens_nests;sounds;smell,by_year_season,fauna-mammals-birds/README.md#frequency-rule,SRC_HDBM2017;SRC_ELK_RUS2025;SRC_RYBINA2015;SRC_MASTER_FOOD#ING0115;SRC_VOLOGDA_MAMM;SRC_PF;SRC_FREQ_RULE;SRC_TEMPORAL_V4,B,candidate
fhp_m_elk__conifer_woodland__winter,fa_m_elk,fauna.mammal.ungulate.elk,pf_conifer_woodland,novgorod_land,winter,common,4,core,active,crepuscular,false,tracks;droppings;feeding;dens_nests;sounds;smell,by_year_season,fauna-mammals-birds/README.md#frequency-rule,SRC_HDBM2017;SRC_ELK_RUS2025;SRC_RYBINA2015;SRC_MASTER_FOOD#ING0115;SRC_VOLOGDA_MAMM;SRC_PF;SRC_FREQ_RULE;SRC_TEMPORAL_V4,B,candidate
fhp_m_elk__bog__winter,fa_m_elk,fauna.mammal.ungulate.elk,pf_bog,novgorod_land,winter,common,4,core,active,crepuscular,false,tracks;droppings;feeding;dens_nests;sounds;smell,by_year_season,fauna-mammals-birds/README.md#frequency-rule,SRC_HDBM2017;SRC_ELK_RUS2025;SRC_RYBINA2015;SRC_MASTER_FOOD#ING0115;SRC_VOLOGDA_MAMM;SRC_PF;SRC_FREQ_RULE;SRC_TEMPORAL_V4,B,candidate
fhp_m_elk__marshy_stream__winter,fa_m_elk,fauna.mammal.ungulate.elk,pf_marshy_stream,novgorod_land,winter,common,4,core,active,crepuscular,false,tracks;droppings;feeding;dens_nests;sounds;smell,by_year_season,fauna-mammals-birds/README.md#frequency-rule,SRC_HDBM2017;SRC_ELK_RUS2025;SRC_RYBINA2015;SRC_MASTER_FOOD#ING0115;SRC_VOLOGDA_MAMM;SRC_PF;SRC_FREQ_RULE;SRC_TEMPORAL_V4,B,candidate
fhp_m_elk__forest_edge__winter,fa_m_elk,fauna.mammal.ungulate.elk,pf_forest_edge,novgorod_land,winter,common,4,core,active,crepuscular,false,tracks;droppings;feeding;dens_nests;sounds;smell,by_year_season,fauna-mammals-birds/README.md#frequency-rule,SRC_HDBM2017;SRC_ELK_RUS2025;SRC_RYBINA2015;SRC_MASTER_FOOD#ING0115;SRC_VOLOGDA_MAMM;SRC_PF;SRC_FREQ_RULE;SRC_TEMPORAL_V4,B,candidate
fhp_m_elk__broadleaf_woodland__winter,fa_m_elk,fauna.mammal.ungulate.elk,pf_broadleaf_woodland,novgorod_land,winter,contextual,2,marginal,active,crepuscular,false,tracks;droppings;feeding;dens_nests;sounds;smell,by_year_season,fauna-mammals-birds/README.md#frequency-rule,SRC_HDBM2017;SRC_ELK_RUS2025;SRC_RYBINA2015;SRC_MASTER_FOOD#ING0115;SRC_VOLOGDA_MAMM;SRC_PF;SRC_FREQ_RULE;SRC_TEMPORAL_V4,B,candidate
fhp_m_elk__floodplain_meadow__winter,fa_m_elk,fauna.mammal.ungulate.elk,pf_floodplain_meadow,novgorod_land,winter,contextual,2,marginal,active,crepuscular,false,tracks;droppings;feeding;dens_nests;sounds;smell,by_year_season,fauna-mammals-birds/README.md#frequency-rule,SRC_HDBM2017;SRC_ELK_RUS2025;SRC_RYBINA2015;SRC_MASTER_FOOD#ING0115;SRC_VOLOGDA_MAMM;SRC_PF;SRC_FREQ_RULE;SRC_TEMPORAL_V4,B,candidate
fhp_m_elk__lake_shore__winter,fa_m_elk,fauna.mammal.ungulate.elk,pf_lake_shore,novgorod_land,winter,contextual,2,marginal,active,crepuscular,false,tracks;droppings;feeding;dens_nests;sounds;smell,by_year_season,fauna-mammals-birds/README.md#frequency-rule,SRC_HDBM2017;SRC_ELK_RUS2025;SRC_RYBINA2015;SRC_MASTER_FOOD#ING0115;SRC_VOLOGDA_MAMM;SRC_PF;SRC_FREQ_RULE;SRC_TEMPORAL_V4,B,candidate
fhp_m_elk__riverbank__winter,fa_m_elk,fauna.mammal.ungulate.elk,pf_riverbank,novgorod_land,winter,contextual,2,marginal,active,crepuscular,false,tracks;droppings;feeding;dens_nests;sounds;smell,by_year_season,fauna-mammals-birds/README.md#frequency-rule,SRC_HDBM2017;SRC_ELK_RUS2025;SRC_RYBINA2015;SRC_MASTER_FOOD#ING0115;SRC_VOLOGDA_MAMM;SRC_PF;SRC_FREQ_RULE;SRC_TEMPORAL_V4,B,candidate
fhp_m_elk__river_channel__winter,fa_m_elk,fauna.mammal.ungulate.elk,pf_river_channel,novgorod_land,winter,contextual,2,marginal,active,crepuscular,false,tracks;droppings;feeding;dens_nests;sounds;smell,by_year_season,fauna-mammals-birds/README.md#frequency-rule,SRC_HDBM2017;SRC_ELK_RUS2025;SRC_RYBINA2015;SRC_MASTER_FOOD#ING0115;SRC_VOLOGDA_MAMM;SRC_PF;SRC_FREQ_RULE;SRC_TEMPORAL_V4,B,candidate
fhp_m_elk__hunting_ground__winter,fa_m_elk,fauna.mammal.ungulate.elk,pf_hunting_ground,novgorod_land,winter,common,4,core,active,crepuscular,false,tracks;droppings;feeding;dens_nests;sounds;smell,by_year_season,fauna-mammals-birds/README.md#frequency-rule,SRC_HDBM2017;SRC_ELK_RUS2025;SRC_RYBINA2015;SRC_MASTER_FOOD#ING0115;SRC_VOLOGDA_MAMM;SRC_PF;SRC_FREQ_RULE;SRC_TEMPORAL_V4,B,candidate
fhp_m_elk__forest_track__winter,fa_m_elk,fauna.mammal.ungulate.elk,pf_forest_track,novgorod_land,winter,contextual,2,marginal,active,crepuscular,false,tracks;droppings;feeding;dens_nests;sounds;smell,by_year_season,fauna-mammals-birds/README.md#frequency-rule,SRC_HDBM2017;SRC_ELK_RUS2025;SRC_RYBINA2015;SRC_MASTER_FOOD#ING0115;SRC_VOLOGDA_MAMM;SRC_PF;SRC_FREQ_RULE;SRC_TEMPORAL_V4,B,candidate
