fl_id,name_ru,name_lat,name_en,kind,subkind,life_form,region_id,universal_taxon,category_ref,habitat_classes,habitat_presence,ripening_months,ripening_period,allowed_seasons,refresh_class,visible_months,flowering_months,phenology_by_season,winter_look,perceptual_cues,uses,medicinal_practice_epoch,edibility,toxicity,lookalike_ids,lookalikes,preparation_needed,yield_unit,yield_note,food_ingredient_ref,evidence_1230,source_refs,confidence,gbif_usage_key,gbif_nw_count,gbif_nw_obs_months,status,notes
fl_br_vaccinium_myrtillus,черника,Vaccinium myrtillus,bilberry,berry,berry,dwarf_shrub,,true,proposed:flora/berry,CONIFER:8 MIXED:4 PINEDRY:2 BOG:1,"bog:rare; conifer_woodland:ubiquitous; hunting_ground:ubiquitous; mixed_woodland:common | seasons: winter,spring,summer,autumn",7 8,VII–VIII,summer,season,1 2 3 4 5 6 7 8 9 10 11 12,5 6,"{""winter"":""зелёные ребристые веточки без листьев торчат из снега"",""spring"":""цветёт/колосится (V)"",""summer"":""цветёт/колосится (VI); ягоды созревают (VII–VIII)"",""autumn"":""вегетирует""}",зелёные ребристые веточки без листьев торчат из снега,"сплошной черничник под елями и соснами; сизо-чёрные ягоды красят пальцы и губы","свежая ягода;сушка (MASTER B)",не засвидетельствовано для Новгорода XIII в.,edible_fresh,,fl_hb_paris_quadrifolia fl_hb_solanum_nigrum fl_br_vaccinium_uliginosum,"fl_hb_paris_quadrifolia,fl_hb_solanum_nigrum,fl_br_vaccinium_uliginosum: ядовитый вороний глаз, паслён; сходная голубика",нет,"лукошко;горсть","ед. сбора для материализации; количество задаёт код",master:data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/food_system/ingredients.csv#ING0061,"Троицкий раскоп (WK); ул. Боркова, сер. XIII в.","wk:claim:troitsky-bilberry-incidence-indicates-northern-heath-clearing-exploitation ; src:BORKOVA2024 ; src:NEWS53_BORKOVA ; master:data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/food_system/ingredients.csv#ING0061 ; https://www.gbif.org/species/2882833 ; https://en.wikipedia.org/wiki/Vaccinium_myrtillus",A,2882833,1233,5 6 7 8,candidate,
fl_br_vaccinium_vitis_idaea,брусника,Vaccinium vitis-idaea,lingonberry,berry,berry,evergreen_dwarf_shrub,,true,proposed:flora/berry,PINEDRY:8 CONIFER:4 BOG:2,"bog:contextual; conifer_woodland:ubiquitous; hunting_ground:common | seasons: winter,spring,summer,autumn",8 9,VIII–IX,summer autumn,season,1 2 3 4 5 6 7 8 9 10 11 12,5 6,"{""winter"":""глянцевые кожистые листочки зеленеют под снегом; мороженые ягоды остаются на кустиках"",""spring"":""цветёт/колосится (V)"",""summer"":""цветёт/колосится (VI); ягоды созревают (VIII)"",""autumn"":""ягоды созревают (IX)""}","глянцевые кожистые листочки зеленеют под снегом; мороженые ягоды остаются на кустиках","кожистые листочки с точками снизу, гроздья красных ягод в сухом бору","свежая ягода;сушка;хранение в воде (MASTER C)",не засвидетельствовано для Новгорода XIII в.,edible_fresh,,fl_br_arctostaphylos_uva_ursi,fl_br_arctostaphylos_uva_ursi: толокнянка — сходство листьев и ягод не определяет вид,нет,"лукошко;горсть","ед. сбора для материализации; количество задаёт код",master:data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/food_system/ingredients.csv#ING0062,"Боркова даёт только род Vaccinium spp. (черника/голубика/брусника не разделены), видовой находки брусники нет; WK claims — съедобность и двойник (универсальные)","wk:claim:research-vaccinium-vitis-idaea-fruit-is-documented-edible ; wk:claim:bearberry-lingonberry-resemblance-not-identification ; src:BORKOVA2024 ; master:data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/food_system/ingredients.csv#ING0062 ; https://www.gbif.org/species/2882835 ; https://en.wikipedia.org/wiki/Vaccinium_vitis-idaea",B,2882835,1355,5 6 7 8,candidate,
fl_br_oxycoccus_palustris,клюква болотная,Vaccinium oxycoccos,bog cranberry,berry,berry,evergreen_dwarf_shrub,,true,proposed:flora/berry,BOG:8 FEN:4,"bog:ubiquitous; marshy_stream:common | seasons: winter,spring,summer,autumn",9 10,IX–X,autumn,season,1 2 3 4 5 6 7 8 9 10 11 12,6 7,"{""winter"":""красные ягоды лежат на сфагнуме под снегом и весной после таяния"",""spring"":""вегетирует"",""summer"":""цветёт/колосится (VI–VII)"",""autumn"":""ягоды созревают (IX–X)""}",красные ягоды лежат на сфагнуме под снегом и весной после таяния,"нитевидные стебельки по мху, крупные красные ягоды прямо на сфагновом ковре","свежая ягода;сушка;хранение в воде (MASTER C)",не засвидетельствовано для Новгорода XIII в.,edible_fresh,,fl_hb_calla_palustris,fl_hb_calla_palustris: ядовитые красные ягоды белокрыльника,нет,"лукошко;короб","ед. сбора для материализации; количество задаёт код",master:data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/food_system/ingredients.csv#ING0063,"ул. Боркова, сер. XIII в.; Валдай совр.","src:BORKOVA2024 ; src:NEWS53_BORKOVA ; src:VALDAY_BOG2023 ; main:data/world-catalogs/novgorod/world-knowledge/research/population-wild-flora-modern.md#WFM-02 ; master:data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/food_system/ingredients.csv#ING0063 ; https://www.gbif.org/species/2882940 ; https://en.wikipedia.org/wiki/Vaccinium_oxycoccos",A,2882940,437,5 6 7 8,candidate,перезимовавшая клюква собирается и весной (IV–V)
fl_br_rubus_chamaemorus,морошка,Rubus chamaemorus,cloudberry,berry,berry,perennial_herb,,true,proposed:flora/berry,BOG:4 FEN:1,"bog:common; marshy_stream:rare | seasons: spring,summer,autumn",7 8,VII–VIII,summer,season,5 6 7 8 9 10,5 6,"{""winter"":""надземной части не видно (под снегом или отмерла)"",""spring"":""цветёт/колосится (V)"",""summer"":""цветёт/колосится (VI); ягоды созревают (VII–VIII)"",""autumn"":""вегетирует""}",,одна янтарно-оранжевая ягода над морщинистыми лопастными листьями на сфагнуме,свежая ягода,не засвидетельствовано для Новгорода XIII в.,edible_fresh,,fl_br_rubus_saxatilis,"fl_br_rubus_saxatilis: костяника (красная, в лесу)",нет,лукошко,"ед. сбора для материализации; количество задаёт код",master:data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/food_system/ingredients.csv#ING0066,"ул. Боркова, сер. XIII в.; Валдай совр.","src:BORKOVA2024 ; src:NEWS53_BORKOVA ; src:VALDAY_BOG2023 ; main:data/world-catalogs/novgorod/world-knowledge/research/population-wild-flora-modern.md#WFM-02 ; master:data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/food_system/ingredients.csv#ING0066 ; https://www.gbif.org/species/2998290 ; https://en.wikipedia.org/wiki/Rubus_chamaemorus",A,2998290,270,6 7,candidate,в Новгородской земле у южного края распространения — местами
fl_br_vaccinium_uliginosum,голубика,Vaccinium uliginosum,bog bilberry,berry,berry,dwarf_shrub,,true,proposed:flora/berry,BOG:4 FEN:2 CONIFER:1,"bog:common; conifer_woodland:rare; hunting_ground:rare; marshy_stream:contextual | seasons: winter,spring,summer,autumn",8 9,VIII–IX,summer autumn,season,1 2 3 4 5 6 7 8 9 10 11 12,5 6,"{""winter"":""голые серые ветки кустиков над снегом"",""spring"":""цветёт/колосится (V)"",""summer"":""цветёт/колосится (VI); ягоды созревают (VIII)"",""autumn"":""ягоды созревают (IX)""}",голые серые ветки кустиков над снегом,"кустики выше черники, сизые ягоды с бесцветным соком",свежая ягода,не засвидетельствовано для Новгорода XIII в.,edible_fresh,,fl_br_vaccinium_myrtillus,fl_br_vaccinium_myrtillus: черника (сок фиолетовый),нет,лукошко,"ед. сбора для материализации; количество задаёт код",,"Боркова даёт только род Vaccinium spp. (черника/голубика/брусника не разделены), видовой находки голубики нет; Валдай совр. (VALDAY_BOG2023, WFM-02)","src:BORKOVA2024 ; src:NEWS53_BORKOVA ; src:VALDAY_BOG2023 ; main:data/world-catalogs/novgorod/world-knowledge/research/population-wild-flora-modern.md#WFM-02 ; https://www.gbif.org/species/8073364 ; https://en.wikipedia.org/wiki/Vaccinium_uliginosum",B,8073364,395,6 7 8,candidate,
fl_br_rubus_idaeus,малина,Rubus idaeus,raspberry,berry,berry,shrub,,true,proposed:flora/berry,EDGE:8 BROADLEAF:4 RUDERAL:2 MIXED:2,"broadleaf_woodland:common; churchyard:contextual; forest_edge:ubiquitous; forest_track:ubiquitous; hunting_ground:contextual; mixed_woodland:contextual; monastery_yard:contextual; outbuildings:contextual; peasant_homestead:contextual; road:contextual; rural_yard:contextual; town_courtyard:contextual; town_street:contextual; town_wall_edge:contextual; village_lane:contextual | seasons: winter,spring,summer,autumn",7 8,VII–VIII,summer,season,1 2 3 4 5 6 7 8 9 10 11 12,6 7,"{""winter"":""колючие бурые двухлетние стебли стоят зимой"",""spring"":""вегетирует"",""summer"":""цветёт/колосится (VI–VII); ягоды созревают (VII–VIII)"",""autumn"":""вегетирует""}",колючие бурые двухлетние стебли стоят зимой,"колючие побеги на вырубках и гарях, ягоды легко снимаются с белой «шишечки»","свежая ягода;сушка (MASTER B)",не засвидетельствовано для Новгорода XIII в.,edible_fresh,,,,нет,"лукошко;горсть","ед. сбора для материализации; количество задаёт код",master:data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/food_system/ingredients.csv#ING0060,"Троицкий раскоп (WK); ул. Боркова","wk:claim:research-rubus-idaeus-fruit-can-be-eaten-raw-or-cooked ; wk:claim:troitsky-gathered-plants-probably-link-to-southern-deciduous-woodland ; src:BORKOVA2024 ; master:data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/food_system/ingredients.csv#ING0060 ; https://www.gbif.org/species/2993094 ; https://en.wikipedia.org/wiki/Rubus_idaeus",A,2993094,967,5 6 7 8,candidate,
fl_br_fragaria_vesca,земляника лесная,Fragaria vesca,wild strawberry,berry,berry,perennial_herb,,true,proposed:flora/berry,EDGE:4 MEADOW:2 PINEDRY:2,"conifer_woodland:contextual; floodplain_meadow:contextual; forest_edge:common; forest_track:common; hay_meadow:contextual | seasons: spring,summer,autumn",6 7,VI–VII,summer,season,4 5 6 7 8 9 10,5 6,"{""winter"":""надземной части не видно (под снегом или отмерла)"",""spring"":""цветёт/колосится (V)"",""summer"":""цветёт/колосится (VI); ягоды созревают (VI–VII)"",""autumn"":""вегетирует""}",,тройчатые листья и душистые красные ягодки на солнечных опушках,свежая ягода,не засвидетельствовано для Новгорода XIII в.,edible_fresh,,,,нет,"горсть;лукошко","ед. сбора для материализации; количество задаёт код",master:data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/food_system/ingredients.csv#ING0065,Троицкий раскоп (WK),"wk:claim:troitsky-gathered-plants-probably-link-to-southern-deciduous-woodland ; master:data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/food_system/ingredients.csv#ING0065 ; https://www.gbif.org/species/3029817 ; https://en.wikipedia.org/wiki/Fragaria_vesca",A,3029817,1006,5 6 7 8,candidate,
fl_br_rubus_saxatilis,костяника,Rubus saxatilis,stone bramble,berry,berry,perennial_herb,,true,proposed:flora/berry,MIXED:4 CONIFER:2 BROADLEAF:2,"broadleaf_woodland:contextual; conifer_woodland:contextual; hunting_ground:common; mixed_woodland:common | seasons: spring,summer,autumn",7 8,VII–VIII,summer,season,5 6 7 8 9 10,5 6,"{""winter"":""надземной части не видно (под снегом или отмерла)"",""spring"":""цветёт/колосится (V)"",""summer"":""цветёт/колосится (VI); ягоды созревают (VII–VIII)"",""autumn"":""вегетирует""}",,по 2–4 кисло-сочных красных костянки с крупной косточкой в лиственно-хвойном лесу,свежая ягода,не засвидетельствовано для Новгорода XIII в.,edible_fresh,,fl_br_rubus_chamaemorus fl_hb_convallaria_majalis,"fl_br_rubus_chamaemorus: морошка; fl_hb_convallaria_majalis: ядовитые красные ягоды ландыша",нет,горсть,"ед. сбора для материализации; количество задаёт код",,"современный ареал; для XIII в. находок в выборке нет","https://www.gbif.org/species/2992808 ; https://en.wikipedia.org/wiki/Rubus_saxatilis",C,2992808,665,6 7 8,candidate,
fl_br_ribes_nigrum,смородина чёрная,Ribes nigrum,blackcurrant,berry,berry,shrub,,true,proposed:flora/berry,BANK:4 BROADLEAF:2 FEN:2 GARDEN:1,"bog:contextual; bridge_crossing:common; broadleaf_woodland:contextual; ferry_landing:common; fishing_camp:common; lake_shore:common; marshy_stream:contextual; orchard_garden:rare; riverbank:common | seasons: spring,summer,autumn",7 8,VII–VIII,summer,season,5 6 7 8 9 10,5 6,"{""winter"":""надземной части не видно (под снегом или отмерла)"",""spring"":""цветёт/колосится (V)"",""summer"":""цветёт/колосится (VI); ягоды созревают (VII–VIII)"",""autumn"":""вегетирует""}",голые пахучие ветки у ручьёв,"кусты по берегам ручьёв, резкий смородиновый запах листьев и почек","свежая ягода;лист в варево (реконструкция)",не засвидетельствовано для Новгорода XIII в.,edible_fresh,,,,нет,лукошко,"ед. сбора для материализации; количество задаёт код",master:data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/food_system/ingredients.csv#ING0064,"Боркова: род Ribes sp. (вид не уточнён в пересказе, до вида не определён); совр. ареал","src:BORKOVA2024 ; src:NEWS53_BORKOVA ; master:data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/food_system/ingredients.csv#ING0064 ; https://www.gbif.org/species/2986192 ; https://en.wikipedia.org/wiki/Ribes_nigrum",C,2986192,330,5 6 7 8,candidate,"садовая культура для 1230 не засвидетельствована — дикорастущая; та же доказательная база, что у ribes_spicatum (C) — вид Боркова не определяет"
fl_br_ribes_spicatum,смородина красная (колосистая),Ribes spicatum,downy currant,berry,berry,shrub,,true,proposed:flora/berry,BANK:2 BROADLEAF:2,"bridge_crossing:contextual; broadleaf_woodland:contextual; ferry_landing:contextual; fishing_camp:contextual; lake_shore:contextual; riverbank:contextual | seasons: spring,summer,autumn",7 8,VII–VIII,summer,season,5 6 7 8 9 10,5 6,"{""winter"":""надземной части не видно (под снегом или отмерла)"",""spring"":""цветёт/колосится (V)"",""summer"":""цветёт/колосится (VI); ягоды созревают (VII–VIII)"",""autumn"":""вегетирует""}",голые ветки,кисти прозрачно-красных кислых ягод у воды,свежая ягода,не засвидетельствовано для Новгорода XIII в.,edible_fresh,,fl_hb_solanum_dulcamara,fl_hb_solanum_dulcamara: ядовитые красные ягоды паслёна,нет,горсть,"ед. сбора для материализации; количество задаёт код",master:data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/food_system/ingredients.csv#ING0064,"род Ribes — ул. Боркова; вид — совр. ареал","src:BORKOVA2024 ; master:data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/food_system/ingredients.csv#ING0064 ; https://www.gbif.org/species/2986129 ; https://en.wikipedia.org/wiki/Ribes_spicatum",C,2986129,83,5 6 7 8,candidate,
fl_br_rubus_caesius,ежевика сизая,Rubus caesius,dewberry,berry,berry,shrub,,true,proposed:flora/berry,BANK:2 EDGE:2,"bridge_crossing:contextual; ferry_landing:contextual; fishing_camp:contextual; forest_edge:contextual; forest_track:contextual; lake_shore:contextual; riverbank:contextual | seasons: spring,summer,autumn",8 9,VIII–IX,summer autumn,season,5 6 7 8 9 10,6 7,"{""winter"":""надземной части не видно (под снегом или отмерла)"",""spring"":""вегетирует"",""summer"":""цветёт/колосится (VI–VII); ягоды созревают (VIII)"",""autumn"":""ягоды созревают (IX)""}",колючие плети,стелющиеся колючие плети с сизыми ягодами на пойменных опушках,свежая ягода,не засвидетельствовано для Новгорода XIII в.,edible_fresh,,,,нет,горсть,"ед. сбора для материализации; количество задаёт код",,современный ареал,"https://www.gbif.org/species/2995209 ; https://en.wikipedia.org/wiki/Rubus_caesius",C,2995209,309,6 7 8,candidate,
