fl_id,name_ru,month,month_roman,season,field_state,rule,confidence,status
fl_cu_secale_cereale,рожь (озимая),1,I,winter,озимь под снегом,derived: sow=VIII–IX flow=VI harvest=VII–VIII,C,candidate
fl_cu_secale_cereale,рожь (озимая),2,II,winter,озимь под снегом,derived: sow=VIII–IX flow=VI harvest=VII–VIII,C,candidate
fl_cu_secale_cereale,рожь (озимая),3,III,winter,озимь под снегом,derived: sow=VIII–IX flow=VI harvest=VII–VIII,C,candidate
fl_cu_secale_cereale,рожь (озимая),4,IV,spring,озимь отрастает,derived: sow=VIII–IX flow=VI harvest=VII–VIII,C,candidate
fl_cu_secale_cereale,рожь (озимая),5,V,spring,озимь отрастает,derived: sow=VIII–IX flow=VI harvest=VII–VIII,C,candidate
fl_cu_secale_cereale,рожь (озимая),6,VI,summer,цветение/колошение,derived: sow=VIII–IX flow=VI harvest=VII–VIII,C,candidate
fl_cu_secale_cereale,рожь (озимая),7,VII,summer,"созревание, жатва/уборка",derived: sow=VIII–IX flow=VI harvest=VII–VIII,C,candidate
fl_cu_secale_cereale,рожь (озимая),8,VIII,summer,"созревание, жатва/уборка",derived: sow=VIII–IX flow=VI harvest=VII–VIII,C,candidate
fl_cu_secale_cereale,рожь (озимая),9,IX,autumn,"сев озимых, всходы",derived: sow=VIII–IX flow=VI harvest=VII–VIII,C,candidate
fl_cu_secale_cereale,рожь (озимая),10,X,autumn,всходы и рост,derived: sow=VIII–IX flow=VI harvest=VII–VIII,C,candidate
fl_cu_secale_cereale,рожь (озимая),11,XI,autumn,всходы и рост,derived: sow=VIII–IX flow=VI harvest=VII–VIII,C,candidate
fl_cu_secale_cereale,рожь (озимая),12,XII,winter,озимь под снегом,derived: sow=VIII–IX flow=VI harvest=VII–VIII,C,candidate
fl_cu_triticum_aestivum,пшеница (мягкая),1,I,winter,поле под снегом (жнивьё или пар),derived: sow=V flow=VI–VII harvest=VIII–IX,C,candidate
fl_cu_triticum_aestivum,пшеница (мягкая),2,II,winter,поле под снегом (жнивьё или пар),derived: sow=V flow=VI–VII harvest=VIII–IX,C,candidate
fl_cu_triticum_aestivum,пшеница (мягкая),3,III,winter,поле под снегом (жнивьё или пар),derived: sow=V flow=VI–VII harvest=VIII–IX,C,candidate
fl_cu_triticum_aestivum,пшеница (мягкая),4,IV,spring,жнивьё или пар,derived: sow=V flow=VI–VII harvest=VIII–IX,C,candidate
fl_cu_triticum_aestivum,пшеница (мягкая),5,V,spring,"сев, всходы",derived: sow=V flow=VI–VII harvest=VIII–IX,C,candidate
fl_cu_triticum_aestivum,пшеница (мягкая),6,VI,summer,цветение/колошение,derived: sow=V flow=VI–VII harvest=VIII–IX,C,candidate
fl_cu_triticum_aestivum,пшеница (мягкая),7,VII,summer,цветение/колошение,derived: sow=V flow=VI–VII harvest=VIII–IX,C,candidate
fl_cu_triticum_aestivum,пшеница (мягкая),8,VIII,summer,"созревание, жатва/уборка",derived: sow=V flow=VI–VII harvest=VIII–IX,C,candidate
fl_cu_triticum_aestivum,пшеница (мягкая),9,IX,autumn,"созревание, жатва/уборка",derived: sow=V flow=VI–VII harvest=VIII–IX,C,candidate
fl_cu_triticum_aestivum,пшеница (мягкая),10,X,autumn,жнивьё или пар,derived: sow=V flow=VI–VII harvest=VIII–IX,C,candidate
fl_cu_triticum_aestivum,пшеница (мягкая),11,XI,autumn,жнивьё или пар,derived: sow=V flow=VI–VII harvest=VIII–IX,C,candidate
fl_cu_triticum_aestivum,пшеница (мягкая),12,XII,winter,поле под снегом (жнивьё или пар),derived: sow=V flow=VI–VII harvest=VIII–IX,C,candidate
fl_cu_hordeum_vulgare,ячмень,1,I,winter,поле под снегом (жнивьё или пар),derived: sow=V–VI flow=VI–VII harvest=VII–VIII,C,candidate
fl_cu_hordeum_vulgare,ячмень,2,II,winter,поле под снегом (жнивьё или пар),derived: sow=V–VI flow=VI–VII harvest=VII–VIII,C,candidate
fl_cu_hordeum_vulgare,ячмень,3,III,winter,поле под снегом (жнивьё или пар),derived: sow=V–VI flow=VI–VII harvest=VII–VIII,C,candidate
fl_cu_hordeum_vulgare,ячмень,4,IV,spring,жнивьё или пар,derived: sow=V–VI flow=VI–VII harvest=VII–VIII,C,candidate
fl_cu_hordeum_vulgare,ячмень,5,V,spring,"сев, всходы",derived: sow=V–VI flow=VI–VII harvest=VII–VIII,C,candidate
fl_cu_hordeum_vulgare,ячмень,6,VI,summer,"сев, всходы",derived: sow=V–VI flow=VI–VII harvest=VII–VIII,C,candidate
fl_cu_hordeum_vulgare,ячмень,7,VII,summer,"созревание, жатва/уборка",derived: sow=V–VI flow=VI–VII harvest=VII–VIII,C,candidate
fl_cu_hordeum_vulgare,ячмень,8,VIII,summer,"созревание, жатва/уборка",derived: sow=V–VI flow=VI–VII harvest=VII–VIII,C,candidate
fl_cu_hordeum_vulgare,ячмень,9,IX,autumn,жнивьё или пар,derived: sow=V–VI flow=VI–VII harvest=VII–VIII,C,candidate
fl_cu_hordeum_vulgare,ячмень,10,X,autumn,жнивьё или пар,derived: sow=V–VI flow=VI–VII harvest=VII–VIII,C,candidate
fl_cu_hordeum_vulgare,ячмень,11,XI,autumn,жнивьё или пар,derived: sow=V–VI flow=VI–VII harvest=VII–VIII,C,candidate
fl_cu_hordeum_vulgare,ячмень,12,XII,winter,поле под снегом (жнивьё или пар),derived: sow=V–VI flow=VI–VII harvest=VII–VIII,C,candidate
fl_cu_avena_sativa,овёс,1,I,winter,поле под снегом (жнивьё или пар),derived: sow=V flow=VII harvest=VIII–IX,C,candidate
fl_cu_avena_sativa,овёс,2,II,winter,поле под снегом (жнивьё или пар),derived: sow=V flow=VII harvest=VIII–IX,C,candidate
fl_cu_avena_sativa,овёс,3,III,winter,поле под снегом (жнивьё или пар),derived: sow=V flow=VII harvest=VIII–IX,C,candidate
fl_cu_avena_sativa,овёс,4,IV,spring,жнивьё или пар,derived: sow=V flow=VII harvest=VIII–IX,C,candidate
fl_cu_avena_sativa,овёс,5,V,spring,"сев, всходы",derived: sow=V flow=VII harvest=VIII–IX,C,candidate
fl_cu_avena_sativa,овёс,6,VI,summer,всходы и рост,derived: sow=V flow=VII harvest=VIII–IX,C,candidate
fl_cu_avena_sativa,овёс,7,VII,summer,цветение/колошение,derived: sow=V flow=VII harvest=VIII–IX,C,candidate
fl_cu_avena_sativa,овёс,8,VIII,summer,"созревание, жатва/уборка",derived: sow=V flow=VII harvest=VIII–IX,C,candidate
fl_cu_avena_sativa,овёс,9,IX,autumn,"созревание, жатва/уборка",derived: sow=V flow=VII harvest=VIII–IX,C,candidate
fl_cu_avena_sativa,овёс,10,X,autumn,жнивьё или пар,derived: sow=V flow=VII harvest=VIII–IX,C,candidate
fl_cu_avena_sativa,овёс,11,XI,autumn,жнивьё или пар,derived: sow=V flow=VII harvest=VIII–IX,C,candidate
fl_cu_avena_sativa,овёс,12,XII,winter,поле под снегом (жнивьё или пар),derived: sow=V flow=VII harvest=VIII–IX,C,candidate
fl_cu_panicum_miliaceum,просо,1,I,winter,поле под снегом (жнивьё или пар),derived: sow=V–VI flow=VII–VIII harvest=VIII–IX,C,candidate
fl_cu_panicum_miliaceum,просо,2,II,winter,поле под снегом (жнивьё или пар),derived: sow=V–VI flow=VII–VIII harvest=VIII–IX,C,candidate
fl_cu_panicum_miliaceum,просо,3,III,winter,поле под снегом (жнивьё или пар),derived: sow=V–VI flow=VII–VIII harvest=VIII–IX,C,candidate
fl_cu_panicum_miliaceum,просо,4,IV,spring,жнивьё или пар,derived: sow=V–VI flow=VII–VIII harvest=VIII–IX,C,candidate
fl_cu_panicum_miliaceum,просо,5,V,spring,"сев, всходы",derived: sow=V–VI flow=VII–VIII harvest=VIII–IX,C,candidate
fl_cu_panicum_miliaceum,просо,6,VI,summer,"сев, всходы",derived: sow=V–VI flow=VII–VIII harvest=VIII–IX,C,candidate
fl_cu_panicum_miliaceum,просо,7,VII,summer,цветение/колошение,derived: sow=V–VI flow=VII–VIII harvest=VIII–IX,C,candidate
