fp_id,region_id,fl_id,table,pf_id,season,frequency_class,weight,visible_state,confidence,basis,status
fp_hb_phleum_pratense__floodplain_meadow__spring,region_novgorod_land,fl_hb_phleum_pratense,herbs,floodplain_meadow,spring,common,4,vegetative,C,"habitat_class MEADOW:4 PASTURE:2 -> floodplain_meadow (max); season from visible months V–X",candidate
fp_hb_phleum_pratense__floodplain_meadow__summer,region_novgorod_land,fl_hb_phleum_pratense,herbs,floodplain_meadow,summer,common,4,fruiting,C,"habitat_class MEADOW:4 PASTURE:2 -> floodplain_meadow (max); season from visible months V–X",candidate
fp_hb_phleum_pratense__floodplain_meadow__autumn,region_novgorod_land,fl_hb_phleum_pratense,herbs,floodplain_meadow,autumn,common,4,vegetative,C,"habitat_class MEADOW:4 PASTURE:2 -> floodplain_meadow (max); season from visible months V–X",candidate
fp_hb_phleum_pratense__hay_meadow__spring,region_novgorod_land,fl_hb_phleum_pratense,herbs,hay_meadow,spring,common,4,vegetative,C,"habitat_class MEADOW:4 PASTURE:2 -> hay_meadow (max); season from visible months V–X",candidate
fp_hb_phleum_pratense__hay_meadow__summer,region_novgorod_land,fl_hb_phleum_pratense,herbs,hay_meadow,summer,common,4,fruiting,C,"habitat_class MEADOW:4 PASTURE:2 -> hay_meadow (max); season from visible months V–X",candidate
fp_hb_phleum_pratense__hay_meadow__autumn,region_novgorod_land,fl_hb_phleum_pratense,herbs,hay_meadow,autumn,common,4,vegetative,C,"habitat_class MEADOW:4 PASTURE:2 -> hay_meadow (max); season from visible months V–X",candidate
fp_hb_phleum_pratense__pasture__spring,region_novgorod_land,fl_hb_phleum_pratense,herbs,pasture,spring,contextual,2,vegetative,C,"habitat_class MEADOW:4 PASTURE:2 -> pasture (max); season from visible months V–X",candidate
fp_hb_phleum_pratense__pasture__summer,region_novgorod_land,fl_hb_phleum_pratense,herbs,pasture,summer,contextual,2,fruiting,C,"habitat_class MEADOW:4 PASTURE:2 -> pasture (max); season from visible months V–X",candidate
fp_hb_phleum_pratense__pasture__autumn,region_novgorod_land,fl_hb_phleum_pratense,herbs,pasture,autumn,contextual,2,vegetative,C,"habitat_class MEADOW:4 PASTURE:2 -> pasture (max); season from visible months V–X",candidate
fp_hb_dactylis_glomerata__floodplain_meadow__spring,region_novgorod_land,fl_hb_dactylis_glomerata,herbs,floodplain_meadow,spring,common,4,vegetative,C,"habitat_class MEADOW:4 EDGE:2 -> floodplain_meadow (max); season from visible months V–X",candidate
fp_hb_dactylis_glomerata__floodplain_meadow__summer,region_novgorod_land,fl_hb_dactylis_glomerata,herbs,floodplain_meadow,summer,common,4,fruiting,C,"habitat_class MEADOW:4 EDGE:2 -> floodplain_meadow (max); season from visible months V–X",candidate
fp_hb_dactylis_glomerata__floodplain_meadow__autumn,region_novgorod_land,fl_hb_dactylis_glomerata,herbs,floodplain_meadow,autumn,common,4,vegetative,C,"habitat_class MEADOW:4 EDGE:2 -> floodplain_meadow (max); season from visible months V–X",candidate
fp_hb_dactylis_glomerata__forest_edge__spring,region_novgorod_land,fl_hb_dactylis_glomerata,herbs,forest_edge,spring,contextual,2,vegetative,C,"habitat_class MEADOW:4 EDGE:2 -> forest_edge (max); season from visible months V–X",candidate
fp_hb_dactylis_glomerata__forest_edge__summer,region_novgorod_land,fl_hb_dactylis_glomerata,herbs,forest_edge,summer,contextual,2,fruiting,C,"habitat_class MEADOW:4 EDGE:2 -> forest_edge (max); season from visible months V–X",candidate
fp_hb_dactylis_glomerata__forest_edge__autumn,region_novgorod_land,fl_hb_dactylis_glomerata,herbs,forest_edge,autumn,contextual,2,vegetative,C,"habitat_class MEADOW:4 EDGE:2 -> forest_edge (max); season from visible months V–X",candidate
fp_hb_dactylis_glomerata__forest_track__spring,region_novgorod_land,fl_hb_dactylis_glomerata,herbs,forest_track,spring,contextual,2,vegetative,C,"habitat_class MEADOW:4 EDGE:2 -> forest_track (max); season from visible months V–X",candidate
