fl_id,name_ru,name_lat,name_en,group,life_form,region_id,universal_taxon,category_ref,habitat_classes,habitat_presence,visible_months,flowering_months,fruiting_months,phenology_by_season,winter_look,perceptual_cues,uses,medicinal_practice_epoch,toxicity,lookalike_ids,lookalikes,edibility,yield_unit,yield_note,evidence_1230,source_refs,confidence,gbif_usage_key,gbif_nw_count,status,notes
fl_hb_phleum_pratense,тимофеевка луговая,Phleum pratense,timothy,grass,perennial_grass,,true,proposed:flora/grass,MEADOW:4 PASTURE:2,"floodplain_meadow:common; hay_meadow:common; pasture:contextual | seasons: spring,summer,autumn",5 6 7 8 9 10,6 7,7 8,"{""winter"":""надземной части не видно (под снегом или отмерла)"",""spring"":""вегетирует"",""summer"":""цветёт/колосится (VI–VII); плодоносит/спороносит (VII–VIII)"",""autumn"":""вегетирует""}",,плотный цилиндрический колос-«султан» на высоком стебле,"корм;сено",не засвидетельствовано для Новгорода XIII в.,,,,not_food,охапка,"ед. сбора для материализации; количество задаёт код","современный ареал; луговые злаки как класс — WK","https://www.gbif.org/species/9014945 ; https://en.wikipedia.org/wiki/Phleum_pratense ; wk:claim:harvest-sickle-crops-grasses ; wk:claim:livestock-rumen-forage-digestion",C,9014945,929,candidate,
fl_hb_dactylis_glomerata,ежа сборная,Dactylis glomerata,cock's-foot,grass,perennial_grass,,true,proposed:flora/grass,MEADOW:4 EDGE:2,"floodplain_meadow:common; forest_edge:contextual; forest_track:contextual; hay_meadow:common | seasons: spring,summer,autumn",5 6 7 8 9 10,6 7,7 8,"{""winter"":""надземной части не видно (под снегом или отмерла)"",""spring"":""вегетирует"",""summer"":""цветёт/колосится (VI–VII); плодоносит/спороносит (VII–VIII)"",""autumn"":""вегетирует""}",,"грубые сизые кочки, метёлка собрана в плотные клубочки","корм;сено",не засвидетельствовано для Новгорода XIII в.,,,,not_food,охапка,"ед. сбора для материализации; количество задаёт код",современный ареал,"https://www.gbif.org/species/2705308 ; https://en.wikipedia.org/wiki/Dactylis_glomerata ; wk:claim:livestock-rumen-forage-digestion",C,2705308,1283,candidate,
fl_hb_festuca_pratensis,овсяница луговая,Festuca pratensis,meadow fescue,grass,perennial_grass,,true,proposed:flora/grass,MEADOW:4 PASTURE:2,"floodplain_meadow:common; hay_meadow:common; pasture:contextual | seasons: spring,summer,autumn",5 6 7 8 9 10,6 7,7 8,"{""winter"":""надземной части не видно (под снегом или отмерла)"",""spring"":""вегетирует"",""summer"":""цветёт/колосится (VI–VII); плодоносит/спороносит (VII–VIII)"",""autumn"":""вегетирует""}",,мягкая сочная трава с поникающей метёлкой,"корм;сено",не засвидетельствовано для Новгорода XIII в.,,,,not_food,охапка,"ед. сбора для материализации; количество задаёт код",современный ареал,"https://www.gbif.org/species/2706237 ; https://en.wikipedia.org/wiki/Festuca_pratensis ; wk:claim:livestock-rumen-forage-digestion",C,2706237,353,candidate,
fl_hb_festuca_rubra,овсяница красная,Festuca rubra,red fescue,grass,perennial_grass,,true,proposed:flora/grass,PASTURE:4 MEADOW:2,"floodplain_meadow:contextual; hay_meadow:contextual; pasture:common | seasons: spring,summer,autumn",5 6 7 8 9 10,6 7,7 8,"{""winter"":""надземной части не видно (под снегом или отмерла)"",""spring"":""вегетирует"",""summer"":""цветёт/колосится (VI–VII); плодоносит/спороносит (VII–VIII)"",""autumn"":""вегетирует""}",,"тонкие щетиновидные листья, рыжеватые метёлки, плотная дернина",корм,не засвидетельствовано для Новгорода XIII в.,,,,not_food,охапка,"ед. сбора для материализации; количество задаёт код",современный ареал,"https://www.gbif.org/species/2704922 ; https://en.wikipedia.org/wiki/Festuca_rubra",C,2704922,238,candidate,
fl_hb_poa_pratensis,мятлик луговой,Poa pratensis,smooth meadow-grass,grass,perennial_grass,,true,proposed:flora/grass,MEADOW:4 PASTURE:4 RUDERAL:2,"churchyard:contextual; floodplain_meadow:common; hay_meadow:common; monastery_yard:contextual; outbuildings:contextual; pasture:common; peasant_homestead:contextual; road:contextual; rural_yard:contextual; town_courtyard:contextual; town_street:contextual; town_wall_edge:contextual; village_lane:contextual | seasons: spring,summer,autumn",4 5 6 7 8 9 10,5 6,6 7,"{""winter"":""надземной части не видно (под снегом или отмерла)"",""spring"":""цветёт/колосится (V)"",""summer"":""цветёт/колосится (VI); плодоносит/спороносит (VI–VII)"",""autumn"":""вегетирует""}",,"раскидистая пирамидальная метёлка, плотная дернина","корм;сено",не засвидетельствовано для Новгорода XIII в.,,,,not_food,охапка,"ед. сбора для материализации; количество задаёт код",современный ареал,"https://www.gbif.org/species/2704178 ; https://en.wikipedia.org/wiki/Poa_pratensis ; wk:claim:fauna-mammals-ruminant-grazing-selectivity",C,2704178,247,candidate,
fl_hb_poa_annua,мятлик однолетний,Poa annua,annual meadow-grass,grass,annual_grass,,true,proposed:flora/grass,TRAMPLED:8 RUDERAL:4,"churchyard:common; ferry_landing:ubiquitous; forest_track:ubiquitous; market_square:ubiquitous; monastery_yard:common; outbuildings:common; peasant_homestead:common; river_wharf:ubiquitous; road:ubiquitous; rural_yard:ubiquitous; town_courtyard:common; town_street:ubiquitous; town_wall_edge:common; village_lane:ubiquitous | seasons: spring,summer,autumn",4 5 6 7 8 9 10 11,4 5 6 7 8 9 10,5 6 7 8 9 10,"{""winter"":""надземной части не видно (под снегом или отмерла)"",""spring"":""цветёт/колосится (IV–V); плодоносит/спороносит (V)"",""summer"":""цветёт/колосится (VI–VIII); плодоносит/спороносит (VI–VIII)"",""autumn"":""цветёт/колосится (IX–X); плодоносит/спороносит (IX–X)""}",,низкая светло-зелёная травка между камнями и в колеях,корм,не засвидетельствовано для Новгорода XIII в.,,,,not_food,горсть,"ед. сбора для материализации; количество задаёт код","современный ареал; вытоптанные места","https://www.gbif.org/species/2704179 ; https://en.wikipedia.org/wiki/Poa_annua",C,2704179,458,candidate,
fl_hb_deschampsia_cespitosa,щучка дернистая,Deschampsia cespitosa,tufted hair-grass,grass,perennial_grass,,true,proposed:flora/grass,WETMEADOW:8 MEADOW:4 PASTURE:4 EDGE:2,"floodplain_meadow:ubiquitous; forest_edge:contextual; forest_track:contextual; hay_meadow:common; marshy_stream:ubiquitous; pasture:common | seasons: winter,spring,summer,autumn",1 2 3 4 5 6 7 8 9 10 11 12,6 7,7 8,"{""winter"":""сухие соломенные кочки торчат из снега"",""spring"":""вегетирует"",""summer"":""цветёт/колосится (VI–VII); плодоносит/спороносит (VII–VIII)"",""autumn"":""вегетирует""}",сухие соломенные кочки торчат из снега,"жёсткие режущие кочки, облако серебристых метёлок","грубый корм;подстилка",не засвидетельствовано для Новгорода XIII в.,,,,not_food,охапка,"ед. сбора для материализации; количество задаёт код",современный ареал,"https://www.gbif.org/species/8059811 ; https://en.wikipedia.org/wiki/Deschampsia_cespitosa",C,8059811,351,candidate,кочки мешают косьбе
fl_hb_calamagrostis_epigejos,вейник наземный,Calamagrostis epigejos,wood small-reed,grass,perennial_grass,,true,proposed:flora/grass,EDGE:4 PINEDRY:2 MARGIN:2,"conifer_woodland:contextual; field_margin:contextual; forest_edge:common; forest_track:common; road:contextual | seasons: winter,spring,summer,autumn",1 2 3 4 5 6 7 8 9 10 11 12,7 8,8 9,"{""winter"":""сухие бурые стебли с метёлками стоят над снегом"",""spring"":""вегетирует"",""summer"":""цветёт/колосится (VII–VIII); плодоносит/спороносит (VIII)"",""autumn"":""плодоносит/спороносит (IX)""}",сухие бурые стебли с метёлками стоят над снегом,"высокие жёсткие стебли, густые пушистые метёлки на гарях и вырубках","подстилка;кровля (грубая)",не засвидетельствовано для Новгорода XIII в.,,,,not_food,охапка,"ед. сбора для материализации; количество задаёт код",современный ареал,"https://www.gbif.org/species/6431455 ; https://en.wikipedia.org/wiki/Calamagrostis_epigejos",C,6431455,707,candidate,
fl_hb_calamagrostis_canescens,вейник сероватый,Calamagrostis canescens,purple small-reed,grass,perennial_grass,,true,proposed:flora/grass,FEN:4 WETMEADOW:4,"bog:common; floodplain_meadow:common; marshy_stream:common | seasons: winter,spring,summer,autumn",1 2 3 4 5 6 7 8 9 10 11 12,7 8,8 9,"{""winter"":""сухие стебли в снегу по краю болота"",""spring"":""вегетирует"",""summer"":""цветёт/колосится (VII–VIII); плодоносит/спороносит (VIII)"",""autumn"":""плодоносит/спороносит (IX)""}",сухие стебли в снегу по краю болота,густые заросли тонких стеблей на сырых местах,подстилка,не засвидетельствовано для Новгорода XIII в.,,,,not_food,охапка,"ед. сбора для материализации; количество задаёт код",современный ареал,"https://www.gbif.org/species/4108861 ; https://en.wikipedia.org/wiki/Calamagrostis_canescens",C,4108861,179,candidate,
fl_hb_agrostis_capillaris,полевица тонкая,Agrostis capillaris,common bent,grass,perennial_grass,,true,proposed:flora/grass,PASTURE:4 MEADOW:4 EDGE:2,"floodplain_meadow:common; forest_edge:contextual; forest_track:contextual; hay_meadow:common; pasture:common | seasons: spring,summer,autumn",5 6 7 8 9 10,6 7 8,7 8 9,"{""winter"":""надземной части не видно (под снегом или отмерла)"",""spring"":""вегетирует"",""summer"":""цветёт/колосится (VI–VIII); плодоносит/спороносит (VII–VIII)"",""autumn"":""плодоносит/спороносит (IX)""}",,лёгкая фиолетоватая дымка раскидистых метёлок,корм,не засвидетельствовано для Новгорода XIII в.,,,,not_food,охапка,"ед. сбора для материализации; количество задаёт код",современный ареал,"https://www.gbif.org/species/2706490 ; https://en.wikipedia.org/wiki/Agrostis_capillaris",C,2706490,224,candidate,
fl_hb_alopecurus_pratensis,лисохвост луговой,Alopecurus pratensis,meadow foxtail,grass,perennial_grass,,true,proposed:flora/grass,MEADOW:4 WETMEADOW:4,"floodplain_meadow:common; hay_meadow:common; marshy_stream:common | seasons: spring,summer,autumn",4 5 6 7 8 9 10,5 6,6 7,"{""winter"":""надземной части не видно (под снегом или отмерла)"",""spring"":""цветёт/колосится (V)"",""summer"":""цветёт/колосится (VI); плодоносит/спороносит (VI–VII)"",""autumn"":""вегетирует""}",,"мягкий серый колосовидный султан, ранний на пойме","корм;сено",не засвидетельствовано для Новгорода XIII в.,,,,not_food,охапка,"ед. сбора для материализации; количество задаёт код",современный ареал,"https://www.gbif.org/species/5290081 ; https://en.wikipedia.org/wiki/Alopecurus_pratensis",C,5290081,366,candidate,
