src_id,kind,confidence_ceiling,title,url_or_path,used_for,access_note
KIRYANOVA1979,archaeobotany_synthesis,A,Кирьянова Н.А. О составе земледельческих культур Древней Руси X–XV вв. (по археологическим материалам) // Советская археология. 1979. № 4. С. 72–85,http://annales.info/rus/small/zerno.htm,"Табл. 2 (X – первая половина XIII в.): Новгород — рожь (++), пшеница, ячмень, овёс, просо, бобы, горох, чечевица, конопля; вики, гречихи и льна в зерновых находках Новгорода нет. Табл. 5 (позднее): в Новгороде появляется гречиха. Сорняки в зерне Новгорода, Изборска, Пскова, Торопца: куколь, подмаренник, пикульники, горец вьюнковый, смолёвка, костры, бородавник, метлица, марь белая, щавель кислый, василёк синий; костёр ржаной и метлица — сорняки озимой ржи; по ним определена озимая форма ржи Новгорода (со ссылкой на Кирьянов 1959, МИА 65). Круглец метельчатый — одна находка (Старая Русса, XIII в., в пленках проса южного происхождения). Климат и границы растительных зон в историческое время почти те же, что сейчас.","Полный текст (OCR) открыт скриптом 2026-09-26; таблицы разобраны скриптом."
KIRYANOV1959,archaeobotany_monograph,A,"Кирьянов А.В. История земледелия Новгородской земли X–XV вв. // МИА. № 65. М., 1959. С. 306–362",C:/Users/Slaven/Documents/Новгород_PR92_restack/.tmp-pr92-sources/MIA_65.pdf,"Первоисточник по зерну и сорнякам Новгорода; здесь использован только через KIRYANOVA1979 (скан без текстового слоя, OCR не делался).","Локальный скан; не прочитан в этой задаче."
BORKOVA2024,archaeobotany_article,A,"Сережникова Д.С., Сергеев А.Ю., Олейников О.М., Половинчук В.Д. Ягодные и плодовые растения в питании новгородцев (по материалам раскопок на ул. Боркова в 2023 г.) // Российская археология. 2024. № 4. С. 129–143. DOI 10.31857/S0869606324040101",https://doi.org/10.31857/S0869606324040101,"Растительные макроостатки из выгребной ямы слоя середины XIII в. (по MASTER FSRC001): пшеница, ячмень, просо, конопля, лён, хмель, малина, черника, брусника, голубика, смородина, клюква, морошка, вишня, рябина.","Статья целиком не открыта; состав по MASTER FSRC001 и популярному пересказу NEWS53_BORKOVA."
NEWS53_BORKOVA,press_summary,C,Тайны новгородских едоков: археологические находки на улице Боркова (53 Новости),https://53news.ru/novosti/vishnevye-tajny-novgoroda-arheologicheskie-nahodki-na-srednevekovoj-ulicze-borkova.html,"Пересказ BORKOVA2024: список таксонов (пшеница, ячмень, просо, конопля, лён, малина, черника, брусника, голубика, смородина, клюква, морошка, вишня, рябина, хмель; 12 189 ягодных остатков).","Открыт WebFetch 2026-09-26; только как подтверждение списка."
MASTER_FOOD,project_candidate,B,MASTER ARCHIVE v1 food_system: ingredients.csv и food_seasonality.csv,data/world-catalogs/novgorod/sources/master-archive-v1/data/normalized_source_tables/food_system/,"Пищевые ингредиенты растительного происхождения, месяцы свежей доступности (fres), хранения (stor); уверенность MASTER A/B/C.","Кандидат, владелец переоткрыл; месяцы используются как опора, не как доказательство."
VALDAY_BOG2023,regional_modern_flora,B,"Хмельщикова И.Г. Растительность верховых болот // ФГБУ «Национальный парк „Валдайский“», 30.05.2023",https://www.valdaypark.ru/tpost/d0je9zrn21-rastitelnost-verhovih-bolot,"Современный список растений верховых болот Валдая (Новгородская обл.): сфагны, пушица, осоки, шейхцерия, пузырчатка, белокрыльник, морошка, вахта, росянка, пальчатокоренник, клюква, голубика, черника, брусника; фенология: пушица цветёт весной при неполном сходе снега.",Открыт curl 2026-09-26. Уже разобран в WK research WFM-01..04 (research only).
KALININA2020,regional_mycology_thesis,B,"Калинина Л.Б. Агарикоидные грибы широколиственных лесов Северо-Запада европейской части России (Ленинградская, Новгородская и Псковская области). Дисс. канд. биол. наук. СПб.: БИН РАН, 2020",https://www.binran.ru/files/phd/Kalinina_Thesis.pdf,"Аннотированный список: для вида — трофическая группа (Mr микориза, Le на древесине, Hu гумус), месяцы плодоношения, частота (Часто/Нередко/Редко/Единственная находка), находки по районам Новгородской обл. Только широколиственные леса.","Открыт и разобран скриптом extract-sources.py → cache/kalinina2020.json; частоты относятся к широколиственным лесам."
CHKHOBADZE2015,regional_lichenology,C,"Чхобадзе А.Б., Филиппов Д.А. Лишайники болот охраняемого природного комплекса «Онежский» (Вологодская область) // Разнообразие растительного мира. 2015",https://cyberleninka.ru/article/n/lishayniki-bolot-ohranyaemogo-prirodnogo-kompleksa-onezhskiy-vologodskaya-oblast,"Лишайники болот и заболоченных лесов таёжной зоны: Cladonia rangiferina, C. arbuscula, Cetraria islandica, Hypogymnia physodes («банальный эпифит»), Parmelia sulcata, Pseudevernia furfuracea, Usnea, Bryoria, Vulpicida pinastri, Evernia mesomorpha, Xanthoria parietina.",Соседний регион (аналогия для Новгородской земли). Открыт curl 2026-09-26.
PRAVENC_ARCH,encyclopedia,B,Древней Руси археология // Православная энциклопедия,https://www.pravenc.ru/text/180421.html,"«В письменных источниках упоминаются также репа, капуста, свекла, морковь, лук, укроп»; пленки гречихи, бобовые, лён и конопля в разных зонах.","Общерусская сводка, не только Новгород."
GBIF_NW,occurrence_database,C,"GBIF.org occurrence search, bbox 56.5–60.0 N, 29.0–36.0 E (Новгородская обл. и соседние районы)",https://api.gbif.org/v1/occurrence/search,"Современное присутствие вида в регионе (счёт наблюдений), месяцы наблюдений грибов. Скрипт fetch-gbif.cjs, кэш scripts/cache/gbif.json.","Модерн; не доказательство для 1230, только проверка ареала."
