id	name_ru	name_lat	name_en	kind	life_form	habitats	vis	flow	ripe	winter_look	cues	uses	tox	look	edib	prep	yield	food	refs	conf	ev	notes
fl_br_vaccinium_myrtillus	черника	Vaccinium myrtillus	bilberry	berry	dwarf_shrub	CONIFER:8 MIXED:4 PINEDRY:2 BOG:1	1-12	5-6	7-8	зелёные ребристые веточки без листьев торчат из снега	сплошной черничник под елями и соснами; сизо-чёрные ягоды красят пальцы и губы	свежая ягода;сушка (MASTER B)		fl_hb_paris_quadrifolia,fl_hb_solanum_nigrum,fl_br_vaccinium_uliginosum: ядовитый вороний глаз, паслён; сходная голубика	edible_fresh	нет	лукошко;горсть	master:ING0061	wk:claim:troitsky-bilberry-incidence-indicates-northern-heath-clearing-exploitation src:BORKOVA2024 src:NEWS53_BORKOVA master:ING0061 gbif wiki	A	Троицкий раскоп (WK); ул. Боркова, сер. XIII в.
fl_br_vaccinium_vitis_idaea	брусника	Vaccinium vitis-idaea	lingonberry	berry	evergreen_dwarf_shrub	PINEDRY:8 CONIFER:4 BOG:2	1-12	5-6	8-9	глянцевые кожистые листочки зеленеют под снегом; мороженые ягоды остаются на кустиках	кожистые листочки с точками снизу, гроздья красных ягод в сухом бору	свежая ягода;сушка;хранение в воде (MASTER C)		fl_br_arctostaphylos_uva_ursi: толокнянка — сходство листьев и ягод не определяет вид	edible_fresh	нет	лукошко;горсть	master:ING0062	wk:claim:research-vaccinium-vitis-idaea-fruit-is-documented-edible wk:claim:bearberry-lingonberry-resemblance-not-identification src:BORKOVA2024 master:ING0062 gbif wiki	B	Боркова даёт только род Vaccinium spp. (черника/голубика/брусника не разделены), видовой находки брусники нет; WK claims — съедобность и двойник (универсальные)
fl_br_oxycoccus_palustris	клюква болотная	Vaccinium oxycoccos	bog cranberry	berry	evergreen_dwarf_shrub	BOG:8 FEN:4	1-12	6-7	9-10	красные ягоды лежат на сфагнуме под снегом и весной после таяния	нитевидные стебельки по мху, крупные красные ягоды прямо на сфагновом ковре	свежая ягода;сушка;хранение в воде (MASTER C)		fl_hb_calla_palustris: ядовитые красные ягоды белокрыльника	edible_fresh	нет	лукошко;короб	master:ING0063	src:BORKOVA2024 src:NEWS53_BORKOVA src:VALDAY_BOG2023 res:population-wild-flora-modern.md#WFM-02 master:ING0063 gbif wiki	A	ул. Боркова, сер. XIII в.; Валдай совр.	перезимовавшая клюква собирается и весной (IV–V)
fl_br_rubus_chamaemorus	морошка	Rubus chamaemorus	cloudberry	berry	perennial_herb	BOG:4 FEN:1	5-10	5-6	7-8		одна янтарно-оранжевая ягода над морщинистыми лопастными листьями на сфагнуме	свежая ягода		fl_br_rubus_saxatilis: костяника (красная, в лесу)	edible_fresh	нет	лукошко	master:ING0066	src:BORKOVA2024 src:NEWS53_BORKOVA src:VALDAY_BOG2023 res:population-wild-flora-modern.md#WFM-02 master:ING0066 gbif wiki	A	ул. Боркова, сер. XIII в.; Валдай совр.	в Новгородской земле у южного края распространения — местами
fl_br_vaccinium_uliginosum	голубика	Vaccinium uliginosum	bog bilberry	berry	dwarf_shrub	BOG:4 FEN:2 CONIFER:1	1-12	5-6	8-9	голые серые ветки кустиков над снегом	кустики выше черники, сизые ягоды с бесцветным соком	свежая ягода		fl_br_vaccinium_myrtillus: черника (сок фиолетовый)	edible_fresh	нет	лукошко	—	src:BORKOVA2024 src:NEWS53_BORKOVA src:VALDAY_BOG2023 res:population-wild-flora-modern.md#WFM-02 gbif wiki	B	Боркова даёт только род Vaccinium spp. (черника/голубика/брусника не разделены), видовой находки голубики нет; Валдай совр. (VALDAY_BOG2023, WFM-02)
fl_br_rubus_idaeus	малина	Rubus idaeus	raspberry	berry	shrub	EDGE:8 BROADLEAF:4 RUDERAL:2 MIXED:2	1-12	6-7	7-8	колючие бурые двухлетние стебли стоят зимой	колючие побеги на вырубках и гарях, ягоды легко снимаются с белой «шишечки»	свежая ягода;сушка (MASTER B)			edible_fresh	нет	лукошко;горсть	master:ING0060	wk:claim:research-rubus-idaeus-fruit-can-be-eaten-raw-or-cooked wk:claim:troitsky-gathered-plants-probably-link-to-southern-deciduous-woodland src:BORKOVA2024 master:ING0060 gbif wiki	A	Троицкий раскоп (WK); ул. Боркова
fl_br_fragaria_vesca	земляника лесная	Fragaria vesca	wild strawberry	berry	perennial_herb	EDGE:4 MEADOW:2 PINEDRY:2	4-10	5-6	6-7		тройчатые листья и душистые красные ягодки на солнечных опушках	свежая ягода			edible_fresh	нет	горсть;лукошко	master:ING0065	wk:claim:troitsky-gathered-plants-probably-link-to-southern-deciduous-woodland master:ING0065 gbif wiki	A	Троицкий раскоп (WK)
fl_br_rubus_saxatilis	костяника	Rubus saxatilis	stone bramble	berry	perennial_herb	MIXED:4 CONIFER:2 BROADLEAF:2	5-10	5-6	7-8		по 2–4 кисло-сочных красных костянки с крупной косточкой в лиственно-хвойном лесу	свежая ягода		fl_br_rubus_chamaemorus: морошка; fl_hb_convallaria_majalis: ядовитые красные ягоды ландыша	edible_fresh	нет	горсть	—	gbif wiki	C	современный ареал; для XIII в. находок в выборке нет
fl_br_ribes_nigrum	смородина чёрная	Ribes nigrum	blackcurrant	berry	shrub	BANK:4 BROADLEAF:2 FEN:2 GARDEN:1	5-10	5-6	7-8	голые пахучие ветки у ручьёв	кусты по берегам ручьёв, резкий смородиновый запах листьев и почек	свежая ягода;лист в варево (реконструкция)			edible_fresh	нет	лукошко	master:ING0064	src:BORKOVA2024 src:NEWS53_BORKOVA master:ING0064 gbif wiki	C	Боркова: род Ribes sp. (вид не уточнён в пересказе, до вида не определён); совр. ареал	садовая культура для 1230 не засвидетельствована — дикорастущая; та же доказательная база, что у ribes_spicatum (C) — вид Боркова не определяет
fl_br_ribes_spicatum	смородина красная (колосистая)	Ribes spicatum	downy currant	berry	shrub	BANK:2 BROADLEAF:2	5-10	5-6	7-8	голые ветки	кисти прозрачно-красных кислых ягод у воды	свежая ягода		fl_hb_solanum_dulcamara: ядовитые красные ягоды паслёна	edible_fresh	нет	горсть	master:ING0064	src:BORKOVA2024 master:ING0064 gbif wiki	C	род Ribes — ул. Боркова; вид — совр. ареал
fl_br_rubus_caesius	ежевика сизая	Rubus caesius	dewberry	berry	shrub	BANK:2 EDGE:2	5-10	6-7	8-9	колючие плети	стелющиеся колючие плети с сизыми ягодами на пойменных опушках	свежая ягода			edible_fresh	нет	горсть	—	gbif wiki	C	современный ареал
fl_br_empetrum_nigrum	водяника чёрная (шикша)	Empetrum nigrum	crowberry	berry	evergreen_dwarf_shrub	BOG:2 PINEDRY:1	1-12	5	8-9	игольчатые вечнозелёные веточки под снегом	вересковидные веточки и водянистые чёрные ягоды на моховых кочках	свежая ягода (водянистая)			edible_fresh	нет	горсть	—	gbif wiki	C	современный ареал
fl_br_arctostaphylos_uva_ursi	толокнянка обыкновенная	Arctostaphylos uva-ursi	bearberry	berry	evergreen_dwarf_shrub	PINEDRY:1	1-12	5-6	8-9	кожистые листья под снегом	кожистые листья без точек снизу, мучнистые красные ягоды на сухих песках	—	в больших количествах может быть опасна (WFM-09, research only)	fl_br_vaccinium_vitis_idaea: брусника	not_food	—	горсть	—	wk:claim:bearberry-lingonberry-resemblance-not-identification res:population-wild-flora-modern.md#WFM-09 gbif wiki	B	WK: двойник брусники
fl_fu_boletus_edulis	белый гриб (боровик)	Boletus edulis	porcini	fungus_bolete	mycorrhizal	CONIFER:4 MIXED:4 BROADLEAF:2 PINEDRY:2	7-10	—	7-10		толстая бочковидная ножка с белой сеточкой, бурая шляпка, белая мякоть не синеет	еда: варка, сушка (MASTER: грибы безопасно определённого вида)		fl_fu_tylopilus_felleus: желчный гриб (горький, розовая трубчатка)	edible_fresh	варка или сушка	корзина;лукошко	master:ING0058	src:KALININA2020 wk:claim:wild-mushroom-resemblance-not-edibility master:ING0058 gbif wiki	B	Калинина 2020: Новгородская обл., VII–X, часто	в широколиственных лесах; в хвойных — по общей экологии
fl_fu_leccinum_scabrum	подберёзовик обыкновенный	Leccinum scabrum	birch bolete	fungus_bolete	mycorrhizal	MIXED:8 BROADLEAF:4 EDGE:4 BOG:2	6-9	—	6-9		серо-бурая шляпка, ножка в чёрных чешуйках; всегда рядом с берёзой	еда: варка, сушка		fl_fu_tylopilus_felleus: желчный гриб	edible_fresh	варка	корзина	master:ING0058	src:KALININA2020 master:ING0058 gbif wiki	B	Калинина 2020: Новгородская обл., VI–IX, часто
fl_fu_leccinum_aurantiacum	подосиновик красный	Leccinum aurantiacum	red-capped scaber stalk	fungus_bolete	mycorrhizal	MIXED:4 BROADLEAF:4 EDGE:2	7-9	—	7-9		яркая оранжево-красная шляпка, мякоть на срезе синеет и чернеет; под осинами	еда: варка, сушка			edible_fresh	варка	корзина	master:ING0058	src:KALININA2020 master:ING0058 gbif wiki	B	Калинина 2020: Новгородская обл., VII–IX, часто
fl_fu_leccinum_versipelle	подосиновик жёлто-бурый	Leccinum versipelle	orange birch bolete	fungus_bolete	mycorrhizal	MIXED:2 CONIFER:2	7-9	—	7-9		оранжево-бурая шляпка с бахромой, ножка в чёрных чешуйках, под берёзой	еда: варка			edible_fresh	варка	корзина	master:ING0058	src:KALININA2020 gbif wiki	B	Калинина 2020: СЗ России, редко (в широколиственных)	месяцы — по GBIF (gbif-months)
fl_fu_imleria_badia	польский гриб (моховик каштановый)	Imleria badia	bay bolete	fungus_bolete	mycorrhizal	CONIFER:4 MIXED:2	7-9	—	7-9		каштановая липкая шляпка, жёлтые трубочки синеют от нажатия	еда: варка		fl_fu_tylopilus_felleus: желчный гриб	edible_fresh	варка	корзина	master:ING0058	src:KALININA2020 gbif wiki	B	Калинина 2020: Новгородская обл., VII–IX, нередко
