landscape_template_id,dominant_vegetation,moisture_level,world_db_status,mapped_fl_ids,region_flags,finding
lt_alluvial_floodplain,"трава, осока, кустарник, местами деревья",seasonally_wet,draft,,,
lt_boreal_mixed_forest,"хвойные с берёзой, осиной, ольхой",normal_or_wet,draft,хвойн=>fl_ts_picea_abies|fl_ts_pinus_sylvestris; берёз=>fl_ts_betula_pendula|fl_ts_betula_pubescens; осин=>fl_ts_populus_tremula; ольх=>fl_ts_alnus_glutinosa|fl_ts_alnus_incana,,
lt_boreal_taiga_coniferous_forest,"ель, сосна, лиственница, мхи, кустарнички",normal_or_wet,draft,сосн=>fl_ts_pinus_sylvestris; ель=>fl_ts_picea_abies,лиственниц=>DENY:Larix,names a woody taxon not native to region_novgorod_land 1230; regional use must not materialize it
lt_dense_coniferous_forest,"плотный хвойный древостой, мох, валежник",normal_or_wet,draft,хвойн=>fl_ts_picea_abies|fl_ts_pinus_sylvestris,,
lt_dry_meadow,"низкая трава, разнотравье",dry,draft,,,
lt_dry_ravine_gully,"кустарник, трава, редкие деревья",dry,draft,,,
lt_fen,"осока, мхи, травы, иногда кустарник",waterlogged,draft,,,
lt_floodplain_wet_grassland,"влажная трава, осока, разнотравье",seasonally_wet,draft,,,
lt_freshwater_marsh,"осока, тростник, камыш, водно-болотное разнотравье",waterlogged,draft,,,
lt_gentle_hills,"трава, кустарник, местами лес",normal,draft,,,
lt_low_alluvial_riverbank,"трава, ива, кустарник, осока",wet_or_seasonal,draft,ив=>fl_ts_salix_*,,
lt_marsh_lake_margin,"осока, мхи, камыш, кустарник",waterlogged,draft,,,
lt_mesic_meadow,"трава, разнотравье, местами кустарник",normal,draft,,,
lt_peat_swamp_forest,"болотный лес на торфе, мхи, кустарники",waterlogged,draft,,,
lt_raised_bog,"сфагнум, мхи, пушица, низкий кустарник",waterlogged,draft,,,
lt_reedbed_marsh,"тростник, камыш, высокая болотная растительность",waterlogged,draft,,,
lt_reed_lake_shore,"камыш, тростник, осока",wet,draft,,,
lt_riparian_scrub_bank,"ива, ольха, кустарник, высокая трава",wet_or_normal,draft,ольх=>fl_ts_alnus_glutinosa|fl_ts_alnus_incana; ив=>fl_ts_salix_*,,
lt_rocky_lake_shore,"мхи, редкая трава, кустарник",normal_or_wet,draft,,,
lt_sandy_lake_shore,"низкая трава, камыш местами, редкий кустарник",normal_or_wet,draft,,,
lt_scrub_meadow,"трава, кустарник, молодая древесная поросль",normal,draft,,,
lt_seasonally_flooded_forest,"пойменный лес, кустарник, влажная трава",seasonally_wet,draft,,,
lt_seasonal_sedge_marsh,"осока, травы, сезонная болотная растительность",seasonally_wet,draft,,,
lt_shrub_swamp,"ивняк, ольха, кустарник, болотная трава",waterlogged,draft,ольх=>fl_ts_alnus_glutinosa|fl_ts_alnus_incana; ив=>fl_ts_salix_*; ивняк=>fl_ts_salix_*,,
lt_steep_eroding_riverbank,"трава, кустарник, корни деревьев",normal_or_wet,draft,,,
lt_steep_hills,"трава, кустарник, редкий лес",normal,draft,,,
lt_temperate_broadleaf_mixed_forest,"широколиственные и/или смешанные породы, кустарник, травы",normal,draft,широколиствен=>fl_ts_tilia_cordata|fl_ts_quercus_robur|fl_ts_acer_platanoides,,
lt_temperate_coniferous_forest,"сосна, ель, пихта или другие хвойные",normal_or_wet,draft,сосн=>fl_ts_pinus_sylvestris; ель=>fl_ts_picea_abies; хвойн=>fl_ts_picea_abies|fl_ts_pinus_sylvestris,пихт=>DENY:Abies,names a woody taxon not native to region_novgorod_land 1230; regional use must not materialize it
lt_wet_lowland_forest,"ольха, берёза, ель, ива, кустарник",wet,draft,ель=>fl_ts_picea_abies; берёз=>fl_ts_betula_pendula|fl_ts_betula_pubescens; ольх=>fl_ts_alnus_glutinosa|fl_ts_alnus_incana; ив=>fl_ts_salix_*,,
lt_wet_meadow,"высокая трава, осока, влажное разнотравье",wet,draft,,,
lt_wet_ravine_gully,"кустарник, ольха, трава, мхи",wet,draft,ольх=>fl_ts_alnus_glutinosa|fl_ts_alnus_incana,,
lt_wooded_floodplain,"ива, ольха, тополь, кустарник",seasonally_wet,draft,ольх=>fl_ts_alnus_glutinosa|fl_ts_alnus_incana; ив=>fl_ts_salix_*,тополь=>CHECK:Populus (only P. tremula native; black poplar not in Novgorod land per collector sources),names a woody taxon not native to region_novgorod_land 1230; regional use must not materialize it
lt_wooded_hills,"лес, кустарник",normal,draft,,,
lt_wooded_swamp,"болотный лес, кустарник, мхи, осока",waterlogged,draft,,,
