presence_id,fl_id,name_lat,name_ru,pf_id,wk_family_ref,region_id,season,frequency_class,weight,probability_ppm,probability_rule_ref,habitat_role,class_rule_ref,derivation,refresh_class,seasonal_state,visible_above_snow,basis_ru,source_refs,confidence,status
flp_pinus_sylvestris__bog__winter,fl_ts_pinus_sylvestris,Pinus sylvestris,сосна обыкновенная,pf_bog,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json#environment_families[id=bog],region_novgorod_land,winter,common,4,500000,places-binding/presence/frequency_rule.json#presence_ppm_from_frequency_class@v1,component,flora-trees-shrubs/scripts/src/habitat_roles.json#woody_role_to_frequency_class_v1,authored,none,evergreen;fruit_ripe;seed_release,yes,W: сосна занимает сухие пески и болота; VP: заболоченные сосняки на сфагновых болотах,src:src_wiki_pinus_sylvestris src:src_valdaypark_flora,B,candidate
flp_pinus_sylvestris__bog__spring,fl_ts_pinus_sylvestris,Pinus sylvestris,сосна обыкновенная,pf_bog,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json#environment_families[id=bog],region_novgorod_land,spring,common,4,500000,places-binding/presence/frequency_rule.json#presence_ppm_from_frequency_class@v1,component,flora-trees-shrubs/scripts/src/habitat_roles.json#woody_role_to_frequency_class_v1,authored,none,evergreen;seed_release,yes,W: сосна занимает сухие пески и болота; VP: заболоченные сосняки на сфагновых болотах,src:src_wiki_pinus_sylvestris src:src_valdaypark_flora,B,candidate
flp_pinus_sylvestris__bog__summer,fl_ts_pinus_sylvestris,Pinus sylvestris,сосна обыкновенная,pf_bog,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json#environment_families[id=bog],region_novgorod_land,summer,common,4,500000,places-binding/presence/frequency_rule.json#presence_ppm_from_frequency_class@v1,component,flora-trees-shrubs/scripts/src/habitat_roles.json#woody_role_to_frequency_class_v1,authored,none,evergreen,yes,W: сосна занимает сухие пески и болота; VP: заболоченные сосняки на сфагновых болотах,src:src_wiki_pinus_sylvestris src:src_valdaypark_flora,B,candidate
flp_pinus_sylvestris__bog__autumn,fl_ts_pinus_sylvestris,Pinus sylvestris,сосна обыкновенная,pf_bog,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json#environment_families[id=bog],region_novgorod_land,autumn,common,4,500000,places-binding/presence/frequency_rule.json#presence_ppm_from_frequency_class@v1,component,flora-trees-shrubs/scripts/src/habitat_roles.json#woody_role_to_frequency_class_v1,authored,none,evergreen;fruit_ripe,yes,W: сосна занимает сухие пески и болота; VP: заболоченные сосняки на сфагновых болотах,src:src_wiki_pinus_sylvestris src:src_valdaypark_flora,B,candidate
flp_pinus_sylvestris__conifer_woodland__winter,fl_ts_pinus_sylvestris,Pinus sylvestris,сосна обыкновенная,pf_conifer_woodland,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json#environment_families[id=conifer_woodland],region_novgorod_land,winter,ubiquitous,8,1000000,places-binding/presence/frequency_rule.json#presence_ppm_from_frequency_class@v1,edificator,flora-trees-shrubs/scripts/src/habitat_roles.json#woody_role_to_frequency_class_v1,authored,none,evergreen;fruit_ripe;seed_release,yes,"K: чистые сосняки на сухих песчаных почвах; VP: сосняки 18,3 % лесов парка",src:src_kolchin_1968 src:src_valdaypark_flora,B,candidate
flp_pinus_sylvestris__conifer_woodland__spring,fl_ts_pinus_sylvestris,Pinus sylvestris,сосна обыкновенная,pf_conifer_woodland,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json#environment_families[id=conifer_woodland],region_novgorod_land,spring,ubiquitous,8,1000000,places-binding/presence/frequency_rule.json#presence_ppm_from_frequency_class@v1,edificator,flora-trees-shrubs/scripts/src/habitat_roles.json#woody_role_to_frequency_class_v1,authored,none,evergreen;seed_release,yes,"K: чистые сосняки на сухих песчаных почвах; VP: сосняки 18,3 % лесов парка",src:src_kolchin_1968 src:src_valdaypark_flora,B,candidate
flp_pinus_sylvestris__conifer_woodland__summer,fl_ts_pinus_sylvestris,Pinus sylvestris,сосна обыкновенная,pf_conifer_woodland,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json#environment_families[id=conifer_woodland],region_novgorod_land,summer,ubiquitous,8,1000000,places-binding/presence/frequency_rule.json#presence_ppm_from_frequency_class@v1,edificator,flora-trees-shrubs/scripts/src/habitat_roles.json#woody_role_to_frequency_class_v1,authored,none,evergreen,yes,"K: чистые сосняки на сухих песчаных почвах; VP: сосняки 18,3 % лесов парка",src:src_kolchin_1968 src:src_valdaypark_flora,B,candidate
flp_pinus_sylvestris__conifer_woodland__autumn,fl_ts_pinus_sylvestris,Pinus sylvestris,сосна обыкновенная,pf_conifer_woodland,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json#environment_families[id=conifer_woodland],region_novgorod_land,autumn,ubiquitous,8,1000000,places-binding/presence/frequency_rule.json#presence_ppm_from_frequency_class@v1,edificator,flora-trees-shrubs/scripts/src/habitat_roles.json#woody_role_to_frequency_class_v1,authored,none,evergreen;fruit_ripe,yes,"K: чистые сосняки на сухих песчаных почвах; VP: сосняки 18,3 % лесов парка",src:src_kolchin_1968 src:src_valdaypark_flora,B,candidate
flp_pinus_sylvestris__forest_edge__winter,fl_ts_pinus_sylvestris,Pinus sylvestris,сосна обыкновенная,pf_forest_edge,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json#environment_families[id=forest_edge],region_novgorod_land,winter,contextual,2,250000,places-binding/presence/frequency_rule.json#presence_ppm_from_frequency_class@v1,occasional,flora-trees-shrubs/scripts/src/habitat_roles.json#woody_role_to_frequency_class_v1,authored,none,evergreen;fruit_ripe;seed_release,yes,светолюбива; опушки боров — вторичное местообитание (C),src:src_wiki_pinus_sylvestris,C,candidate
flp_pinus_sylvestris__forest_edge__spring,fl_ts_pinus_sylvestris,Pinus sylvestris,сосна обыкновенная,pf_forest_edge,data/world-catalogs/novgorod/world-knowledge/production-v1/place-first-cartography.json#environment_families[id=forest_edge],region_novgorod_land,spring,contextual,2,250000,places-binding/presence/frequency_rule.json#presence_ppm_from_frequency_class@v1,occasional,flora-trees-shrubs/scripts/src/habitat_roles.json#woody_role_to_frequency_class_v1,authored,none,evergreen;seed_release,yes,светолюбива; опушки боров — вторичное местообитание (C),src:src_wiki_pinus_sylvestris,C,candidate
