fl_id,category_code,name_ru,name_folk,name_old_ru,name_lat,lat_synonyms,name_en,family,life_form,leaf_habit,region_scope,moisture,soil,light,flowering_months,fruit_months,seed_release_months,flowers_before_leaves,phenology_note,phenology_by_season,winter_look,cue_bark,cue_leaf,cue_smell,cue_sound,cue_other,use_codes,uses,building_timber,craft_wood,timber_note,hazard_codes,hazards,yield_units,kolchin_1968_wood_count,habitat_presence_summer,wk_claim_refs,source_refs,confidence,confidence_note,status,notes
fl_ts_pinus_sylvestris,flora.woody.tree.pinus_sylvestris,сосна обыкновенная,"сосна кондовая (плотная смолистая, на суходоле); сосна мяндовая (рыхлая, крупнослойная)",,Pinus sylvestris,,Scots pine,Pinaceae,tree,evergreen_conifer,universal_category; presence only via tree_habitat_presence (region_novgorod_land),dry;mesic;waterlogged,сухие пески и боровые супеси; также болота (заболоченные сосняки на сфагнуме),light_demanding,,11-12,2-4,,пыление (месяцы источником не даны); мужские шишки жёлтые или розовые | шишки созревают через ~20 мес. после опыления; раскрываются II-IV,"{""winter"":[""evergreen"",""fruit_ripe"",""seed_release""],""spring"":[""evergreen"",""seed_release""],""summer"":[""evergreen""],""autumn"":[""evergreen"",""fruit_ripe""]}","вечнозелёная; тёмная хвоя по две в пучке, оранжевая кора верха ствола","внизу толстая серо-бурая с глубокими трещинами, вверху тонкая шелушащаяся оранжево-красная",хвоя по две в пучке,смолистый запах,,шишки опадают после созревания,timber_building;cooperage_staves;roots_weaving;resin;bark_floats;fuel_kindling;fodder_browse,"[{""use"":""timber_building"",""part"":""ствол"",""quality"":""primary"",""note"":""вместе с елью главный строевой лес: жилища, укрепления, мостовые, водопроводы, корабли; для прочих поделок новгородцы предпочитали сосну"",""refs"":[""src:src_kolchin_1968"",""wk:claim:settlement-pine-spruce-log""]},{""use"":""cooperage_staves"",""part"":""клёпка"",""quality"":""primary"",""note"":""лучшая древесина для бондарных изделий (бочки, кадки, вёдра)"",""refs"":[""src:src_kolchin_1968""]},{""use"":""roots_weaving"",""part"":""корни (лоза)"",""quality"":""primary"",""note"":""плетёная посуда XIII-XV вв. из прута, оплетённого сосновой лозой от корневища"",""refs"":[""src:src_kolchin_1968"",""master:data/world-catalogs/novgorod/sources/master-archive-v1/source_snapshots/material_entities/catalog/wood_bark_plant_materials.md#OMI00144""]},{""use"":""resin"",""part"":""живица"",""quality"":""primary"",""note"":""смола сосны на лодке №1 (XI в.), обмазка лыковых вязок"",""refs"":[""wk:claim:construction-pine-resin-surfaces"",""wk:claim:construction-pine-resin-bast"",""master:data/world-catalogs/novgorod/sources/master-archive-v1/source_snapshots/material_entities/catalog/wood_bark_plant_materials.md#OMI00156""]},{""use"":""bark_floats"",""part"":""кора"",""quality"":""good"",""note"":""сосновая кора для малых поплавков сетей и удочек"",""refs"":[""wk:claim:population-pine-float""]},{""use"":""fuel_kindling"",""part"":""смолистая лучина"",""quality"":""good"",""note"":""смолистая лучина для растопки и светца"",""refs"":[""master:data/world-catalogs/novgorod/sources/master-archive-v1/source_snapshots/material_entities/catalog/wood_bark_plant_materials.md#OMI00150""]},{""use"":""fodder_browse"",""part"":""хвоя, побеги"",""quality"":""occasional"",""note"":""зимний корм лося"",""refs"":[""src:src_wiki_pinus_sylvestris""]}]",high,high,"ядро стойко против гнили; легко режется; сучковатость ниже, чем у ели (Колчин)",,[],log;pole;bark_piece;resin_lump;root_bundle;kindling_bundle;cone,172,pf_bog:4;pf_conifer_woodland:8;pf_forest_edge:2;pf_forest_track:4;pf_hunting_ground:4;pf_lake_shore:2;pf_mixed_woodland:4,wk:claim:residual-tree-pinus-sylvestris-evergreen-needles wk:claim:residual-tree-pinus-sylvestris-cones-fall-at-maturity wk:claim:residual-tree-pinus-sylvestris-dry-infertile-soils,src:src_wiki_pinus_sylvestris wk:claim:residual-tree-pinus-sylvestris-evergreen-needles wk:claim:residual-tree-pinus-sylvestris-cones-fall-at-maturity wk:claim:residual-tree-pinus-sylvestris-dry-infertile-soils src:src_kolchin_1968 wk:claim:settlement-pine-spruce-log master:data/world-catalogs/novgorod/sources/master-archive-v1/source_snapshots/material_entities/catalog/wood_bark_plant_materials.md#OMI00144 wk:claim:construction-pine-resin-surfaces wk:claim:construction-pine-resin-bast master:data/world-catalogs/novgorod/sources/master-archive-v1/source_snapshots/material_entities/catalog/wood_bark_plant_materials.md#OMI00156 wk:claim:population-pine-float master:data/world-catalogs/novgorod/sources/master-archive-v1/source_snapshots/material_entities/catalog/wood_bark_plant_materials.md#OMI00150,B,местная порода по Колчину 1968; экология — энциклопедия,candidate,
fl_ts_picea_abies,flora.woody.tree.picea_abies,ель европейская,,,Picea abies,,Norway spruce,Pinaceae,tree,evergreen_conifer,universal_category; presence only via tree_habitat_presence (region_novgorod_land),mesic;moist,"супеси и суглинки, более плодородные; низины (по Колчину); плохо переносит сухость и застой воды",shade_tolerant,5,10,1-3,,пыление в мае | шишки созревают в октябре,"{""winter"":[""evergreen"",""seed_release""],""spring"":[""evergreen"",""flowering"",""seed_release""],""summer"":[""evergreen""],""autumn"":[""evergreen"",""fruit_ripe""]}","вечнозелёная островерхая конусовидная крона с ярусными ветвями; тёмная, под снегом ветви провисают","у взрослых красновато-бурая, тонкая",жёсткая колючая одиночная хвоя,ароматная хвоя,,ярусное ветвление; бурые висячие шишки,timber_building;boat_parts;cooperage_small_hoops;roots_weaving;bark_tanning;resin,"[{""use"":""timber_building"",""part"":""ствол"",""quality"":""primary"",""note"":""в строительстве жилищ, надворных построек, мостовых, тынов сосну и ель применяли в одинаковой мере; прочее — реже"",""refs"":[""src:src_kolchin_1968"",""wk:claim:settlement-pine-spruce-log""]},{""use"":""boat_parts"",""part"":""комель с корнем"",""quality"":""good"",""note"":""предпочтение ели — шпангоуты в судостроении"",""refs"":[""src:src_kolchin_1968""]},{""use"":""cooperage_small_hoops"",""part"":""клёпка, обручи"",""quality"":""good"",""note"":""малообъёмная бондарная посуда и обручи"",""refs"":[""src:src_kolchin_1968""]},{""use"":""roots_weaving"",""part"":""корни"",""quality"":""good"",""note"":""очищенный и расщеплённый еловый корень для шитья берестяной тары"",""refs"":[""master:data/world-catalogs/novgorod/sources/master-archive-v1/source_snapshots/material_entities/catalog/wood_bark_plant_materials.md#OMI00140"",""master:data/world-catalogs/novgorod/sources/master-archive-v1/source_snapshots/material_entities/catalog/wood_bark_plant_materials.md#OMI00141""]},{""use"":""bark_tanning"",""part"":""кора"",""quality"":""occasional"",""note"":""дубление кож (современная практика; для 1230 — аналогия)"",""refs"":[""src:src_wiki_picea_abies""]},{""use"":""resin"",""part"":""живица"",""quality"":""occasional"",""note"":""смола (канифоль, скипидар — современные продукты; для 1230 только сбор смолы)"",""refs"":[""src:src_wiki_picea_abies""]}]",high,medium,лёгкая мягкая древесина без ядра; сучковатее сосны,windthrow,"[{""hazard"":""windthrow"",""note"":""поверхностная корневая система, частый ветровал"",""refs"":[""src:src_wiki_picea_abies""]}]",log;pole;root_bundle;bark_piece;resin_lump;cone,91,pf_broadleaf_woodland:2;pf_conifer_woodland:8;pf_forest_edge:2;pf_forest_track:4;pf_hunting_ground:4;pf_mixed_woodland:8,wk:claim:residual-tree-picea-abies-evergreen-needles wk:claim:residual-tree-picea-abies-cones-brown-at-maturity,wk:claim:residual-tree-picea-abies-evergreen-needles wk:claim:residual-tree-picea-abies-cones-brown-at-maturity src:src_wiki_picea_abies src:src_kolchin_1968 wk:claim:settlement-pine-spruce-log master:data/world-catalogs/novgorod/sources/master-archive-v1/source_snapshots/material_entities/catalog/wood_bark_plant_materials.md#OMI00140 master:data/world-catalogs/novgorod/sources/master-archive-v1/source_snapshots/material_entities/catalog/wood_bark_plant_materials.md#OMI00141,B,Колчин: лес Новгородской земли «главным образом из ели»,candidate,Современные ели северо-запада часто относят к гибридной зоне с P. obovata (P. × fennica); вид оставлен как P. abies.
fl_ts_betula_pendula,flora.woody.tree.betula_pendula,берёза повислая (бородавчатая),плакучая; повисшая; чистяк (арх.); чистуха (волог.),,Betula pendula,,silver birch,Betulaceae,tree,deciduous,universal_category; presence only via tree_habitat_presence (region_novgorod_land),mesic,супеси и лёгкие суглинки; не выносит заболачивания,light_demanding,,8,9-2,yes,цветёт до распускания листьев (или одновременно) | плоды созревают к концу лета,"{""winter"":[""leafless"",""seed_release""],""spring"":[""leaf_out"",""flowering_before_leaves""],""summer"":[""in_leaf"",""fruit_ripe""],""autumn"":[""leaf_colouring_and_fall"",""seed_release""]}","безлистная; белая кора с чёрными трещинами, тонкие ветви свисают вниз; семена сыплются на снег","белая, к старости у комля чернеющая, с глубокими трещинами",простые очередные листья,,,"молодые ветви с бородавчатыми смолистыми железками, свисают",bark_birch_berest;tar;timber_craft;fuel;brooms_rods;sap,"[{""use"":""bark_birch_berest"",""part"":""береста"",""quality"":""primary"",""note"":""берестяная посуда (туесы, коробьи, лукошки) — массовая находка всех веков; грамоты; поплавки"",""refs"":[""src:src_kolchin_1968"",""wk:claim:household-bark-tues"",""wk:claim:population-bark-float"",""master:data/world-catalogs/novgorod/sources/master-archive-v1/source_snapshots/material_entities/catalog/wood_bark_plant_materials.md#OMI00110""]},{""use"":""tar"",""part"":""береста"",""quality"":""primary"",""note"":""берёзовый дёготь: нагрев бересты с отдельным сбором продукта"",""refs"":[""wk:claim:place-thermal-birch-tar-can-link-heated-bark-and-a-separate-collection-path"",""master:data/world-catalogs/novgorod/sources/master-archive-v1/source_snapshots/material_entities/catalog/wood_bark_plant_materials.md#OMI00160""]},{""use"":""timber_craft"",""part"":""древесина"",""quality"":""good"",""note"":""сапожные колодки, игрушки, рукояти, части боевых луков, иногда ложки и резные сосуды; для строительства редко (не стойка на открытом воздухе)"",""refs"":[""src:src_kolchin_1968""]},{""use"":""fuel"",""part"":""дрова, береста"",""quality"":""primary"",""note"":""высокая теплотворность; сухая береста для растопки"",""refs"":[""src:src_wiki_betula_pendula"",""master:data/world-catalogs/novgorod/sources/master-archive-v1/source_snapshots/material_entities/catalog/wood_bark_plant_materials.md#OMI00151""]},{""use"":""brooms_rods"",""part"":""ветви, прутья"",""quality"":""good"",""note"":""мётлы, веники; тонкий берёзовый прут"",""refs"":[""src:src_wiki_betula_pendula"",""master:data/world-catalogs/novgorod/sources/master-archive-v1/source_snapshots/material_entities/catalog/wood_bark_plant_materials.md#OMI00036""]},{""use"":""sap"",""part"":""сок"",""quality"":""occasional"",""note"":""берёзовый сок — напиток (для 1230 практика не засвидетельствована в источнике; реконструкция C)"",""refs"":[""src:src_wiki_betula_pendula""]}]",low,high,"желтовато-белая, плотная, однородная, хорошо режется и полируется; быстро гниёт на воздухе во влажном климате",,[],log;pole;bark_sheet;rod_bundle;firewood_bundle,66,pf_broadleaf_woodland:2;pf_conifer_woodland:4;pf_field_margin:2;pf_forest_edge:4;pf_forest_track:4;pf_hunting_ground:4;pf_mixed_woodland:4;pf_road:1;pf_village_lane:1,wk:claim:residual-tree-betula-pendula-deciduous wk:claim:residual-tree-betula-pendula-simple-leaves wk:claim:residual-tree-betula-pendula-male-female-catkins wk:claim:residual-tree-betula-pendula-moist-soil,src:src_wiki_betula_pendula wk:claim:residual-tree-betula-pendula-deciduous wk:claim:residual-tree-betula-pendula-simple-leaves wk:claim:residual-tree-betula-pendula-male-female-catkins wk:claim:residual-tree-betula-pendula-moist-soil src:src_kolchin_1968 wk:claim:household-bark-tues wk:claim:population-bark-float master:data/world-catalogs/novgorod/sources/master-archive-v1/source_snapshots/material_entities/catalog/wood_bark_plant_materials.md#OMI00110 wk:claim:place-thermal-birch-tar-can-link-heated-bark-and-a-separate-collection-path master:data/world-catalogs/novgorod/sources/master-archive-v1/source_snapshots/material_entities/catalog/wood_bark_plant_materials.md#OMI00160 master:data/world-catalogs/novgorod/sources/master-archive-v1/source_snapshots/material_entities/catalog/wood_bark_plant_materials.md#OMI00151 master:data/world-catalogs/novgorod/sources/master-archive-v1/source_snapshots/material_entities/catalog/wood_bark_plant_materials.md#OMI00036 src:src_priroda_novgorod_climate wk:claim:final-nature-deciduous-trees-have-seasonal-leaf-state-unlike-evergreen-conifers,B,Колчин даёт род (берёза); разделение на два вида — по современной экологии,candidate,Пионер вырубок и гарей; вторичные березняки после подсеки.
fl_ts_betula_pubescens,flora.woody.tree.betula_pubescens,берёза пушистая,,,Betula pubescens,,downy birch,Betulaceae,tree,deciduous,universal_category; presence only via tree_habitat_presence (region_novgorod_land),moist;wet;waterlogged,"сырые и заболоченные почвы, окраины болот, берега озёр",light_demanding,,,,yes,как у берёзы повислой (род),"{""winter"":[""leafless""],""spring"":[""leaf_out"",""flowering_before_leaves""],""summer"":[""in_leaf""],""autumn"":[""leaf_colouring_and_fall""]}","безлистная; кора белая и гладкая почти до основания, ветви не свисают","белая, гладкая почти до земли, трещиноватая лишь у комля старых деревьев",,,,"молодые побеги густо опушённые, без бородавок",bark_birch_berest;fuel,"[{""use"":""bark_birch_berest"",""part"":""береста"",""quality"":""primary"",""note"":""береста рода Betula; вид в археологии не различается"",""refs"":[""src:src_kolchin_1968""]},{""use"":""fuel"",""part"":""дрова"",""quality"":""good"",""note"":""древесный уголь"",""refs"":[""src:src_wiki_betula_pubescens""]}]",low,medium,,,[],pole;bark_sheet;firewood_bundle,,pf_bog:4;pf_conifer_woodland:2;pf_forest_track:2;pf_hunting_ground:4;pf_lake_shore:2;pf_marshy_stream:4;pf_mixed_woodland:2,,src:src_wiki_betula_pubescens src:src_kolchin_1968 src:src_priroda_novgorod_climate wk:claim:final-nature-deciduous-trees-have-seasonal-leaf-state-unlike-evergreen-conifers,B,род по Колчину; вид — современная экология (заболоченные березняки Валдая),candidate,
fl_ts_populus_tremula,flora.woody.tree.populus_tremula,осина,тополь дрожащий,,Populus tremula,,aspen,Salicaceae,tree,deciduous,universal_category; presence only via tree_habitat_presence (region_novgorod_land),mesic;moist,"разные почвы; чистые осинники и примесь в хвойных и березняках, вырубки, берега",light_demanding,,,,yes,цветёт до распускания листьев | семена с пуховкой (пух разлетается) | осень: от золотистой до красной,"{""winter"":[""leafless""],""spring"":[""leaf_out"",""flowering_before_leaves""],""summer"":[""in_leaf""],""autumn"":[""leaf_colouring_and_fall""]}",безлистная; серо-зелёная гладкая кора; обгрызенная зайцами и лосями кора у подроста,серо-зелёная у молодых,листья дрожат даже в тихую погоду (плоские черешки),,шелест трепещущих листьев,осенью золотые и красные листья,shingles_cladding;timber_craft;fodder_browse,"[{""use"":""shingles_cladding"",""part"":""доски, лемех"",""quality"":""good"",""note"":""тонкая осиновая обшивка на лодке №1 (XI в.); лемех на куполах (поздняя практика)"",""refs"":[""wk:claim:construction-aspen-cladding-joint"",""src:src_wiki_populus_tremula""]},{""use"":""timber_craft"",""part"":""древесина"",""quality"":""occasional"",""note"":""лёгкая бледная древесина; в Новгороде изделий мало (7 из 909)"",""refs"":[""src:src_kolchin_1968""]},{""use"":""fodder_browse"",""part"":""кора, побеги"",""quality"":""good"",""note"":""главный зимний корм лося, бобра, зайца"",""refs"":[""src:src_wiki_populus_tremula"",""wk:claim:fauna-mammals-moose-browse-aquatic-forage""]}]",low,low,малостойкая к гнили на воздухе (Колчин),,[],log;pole;plank;firewood_bundle,7,pf_broadleaf_woodland:2;pf_conifer_woodland:2;pf_field_margin:2;pf_forest_edge:4;pf_forest_track:4;pf_hunting_ground:4;pf_mixed_woodland:4;pf_riverbank:2,,src:src_wiki_populus_tremula wk:claim:construction-aspen-cladding-joint src:src_kolchin_1968 wk:claim:fauna-mammals-moose-browse-aquatic-forage src:src_priroda_novgorod_climate wk:claim:final-nature-deciduous-trees-have-seasonal-leaf-state-unlike-evergreen-conifers,B,Колчин: встречается в Новгородской земле,candidate,
fl_ts_alnus_glutinosa,flora.woody.tree.alnus_glutinosa,ольха чёрная (клейкая),черноольшаник (заросли),,Alnus glutinosa,,black alder,Betulaceae,tree,deciduous,universal_category; presence only via tree_habitat_presence (region_novgorod_land),wet;waterlogged,сырые и топкие почвы по ручьям и берегам озёр; черноольховые топи,intermediate,4-5,9-10,3,yes,"серёжки до листьев | шишечки закрыты всю зиму, раскрываются к марту | осень: листья опадают зелёными (по источнику — тёмно-зелёная листва)","{""winter"":[""leafless"",""fruit_or_dry_leaves_persist""],""spring"":[""leaf_out"",""flowering"",""seed_release""],""summer"":[""in_leaf""],""autumn"":[""leaf_colouring_and_fall"",""fruit_ripe""]}","безлистная; тёмная, почти чёрная кора; на ветвях чёрные шишечки и серёжки","тёмная, с возрастом почти чёрная",молодые листья очень клейкие,,,свежий срез древесины на воздухе быстро краснеет,timber_craft;bark_dye_tanning;fuel_smoking,"[{""use"":""timber_craft"",""part"":""древесина"",""quality"":""good"",""note"":""40 из 909 изделий (много точёных сосудов); стойка в воде — колодезные срубы"",""refs"":[""src:src_kolchin_1968"",""src:src_wiki_alnus_glutinosa""]},{""use"":""bark_dye_tanning"",""part"":""кора, шишечки"",""quality"":""good"",""note"":""дубильные вещества; жёлтые, красные и чёрные красители"",""refs"":[""src:src_wiki_alnus_glutinosa""]},{""use"":""fuel_smoking"",""part"":""дрова, щепа"",""quality"":""good"",""note"":""хорошие дрова; щепа лучшая для копчения рыбы"",""refs"":[""src:src_wiki_alnus_glutinosa""]}]",low,medium,стойка под водой,,[],log;pole;bark_piece;firewood_bundle,40,pf_bog:2;pf_forest_track:2;pf_hunting_ground:2;pf_lake_shore:4;pf_marshy_stream:8;pf_mixed_woodland:2;pf_riverbank:4,wk:claim:residual-tree-alnus-glutinosa-deciduous-simple-leaves wk:claim:residual-tree-alnus-glutinosa-catkins-nutlets wk:claim:residual-tree-alnus-glutinosa-moist-soil,src:src_wiki_alnus_glutinosa wk:claim:residual-tree-alnus-glutinosa-deciduous-simple-leaves wk:claim:residual-tree-alnus-glutinosa-catkins-nutlets wk:claim:residual-tree-alnus-glutinosa-moist-soil src:src_kolchin_1968 src:src_priroda_novgorod_climate wk:claim:final-nature-deciduous-trees-have-seasonal-leaf-state-unlike-evergreen-conifers,B,Колчин: ольха «распространена повсеместно» (род),candidate,
fl_ts_alnus_incana,flora.woody.tree.alnus_incana,ольха серая,сероольшаник (заросли),,Alnus incana,,grey alder,Betulaceae,tree,deciduous,universal_category; presence only via tree_habitat_presence (region_novgorod_land),mesic;moist;wet,"заболоченные опушки, берега рек, лесосеки, гари, заброшенные пашни; менее требовательна, чем чёрная",light_demanding,3-4,9-10,,yes,цветёт в марте-апреле до листьев | семена созревают осенью,"{""winter"":[""leafless""],""spring"":[""leaf_out"",""flowering""],""summer"":[""in_leaf""],""autumn"":[""leaf_colouring_and_fall"",""fruit_ripe""]}","безлистная; гладкая светло-серая кора, серёжки на концах ветвей","светло-серая, гладкая",,,,первой пылит ранней весной,fuel;timber_craft,"[{""use"":""fuel"",""part"":""дрова"",""quality"":""good"",""note"":""горят хорошо; уголь не держит жар; дымом прочищали дымоходы"",""refs"":[""src:src_wiki_alnus_incana""]},{""use"":""timber_craft"",""part"":""древесина"",""quality"":""occasional"",""note"":""токарные изделия (род ольха у Колчина)"",""refs"":[""src:src_kolchin_1968"",""src:src_wiki_alnus_incana""]}]",low,medium,"древесина краснее, чем у чёрной",,[],pole;firewood_bundle,,pf_field_margin:4;pf_floodplain_meadow:2;pf_forest_edge:4;pf_forest_track:4;pf_hunting_ground:4;pf_marshy_stream:2;pf_mixed_woodland:4;pf_pasture:1;pf_riverbank:4,,src:src_wiki_alnus_incana src:src_kolchin_1968 src:src_priroda_novgorod_climate wk:claim:final-nature-deciduous-trees-have-seasonal-leaf-state-unlike-evergreen-conifers,B,род по Колчину; сероольшаники Валдая (src_valdaypark_flora),candidate,Зарастает брошенные пашни и подсеки — важна для антропогенной мозаики 1230 г.
fl_ts_tilia_cordata,flora.woody.tree.tilia_cordata,липа мелколистная (сердцевидная),,,Tilia cordata,,small-leaved lime,Malvaceae,tree,deciduous,universal_category; presence only via tree_habitat_presence (region_novgorod_land),mesic,плодородные водопроницаемые почвы,shade_tolerant,7,8-9,,,с начала июля 10-15 дней; бледно-жёлтые душистые цветки,"{""winter"":[""leafless""],""spring"":[""leaf_out""],""summer"":[""in_leaf"",""flowering"",""fruit_ripe""],""autumn"":[""leaf_colouring_and_fall"",""fruit_ripe""]}","безлистная; тёмная бороздчатая кора, плотная крона; висят орешки с крыловидным прицветником","тёмная, бороздчатая у старых",сердцевидные листья,"сильный медовый аромат в цвету (июль), гул пчёл",гул пчёл над цветущей кроной,,bast_lime;timber_craft;honey_plant,"[{""use"":""bast_lime"",""part"":""луб, лыко, мочало"",""quality"":""primary"",""note"":""лыко для вязок (лыковая вица на лодке №1), швов берестяной тары, рогож, верёвок, лаптей"",""refs"":[""wk:claim:construction-bast-vessel-fastening"",""wk:claim:place-adhesive-linden-bast-soaking-can-support-separation-and-flexible-handling"",""src:src_kolchin_1968"",""src:src_wiki_tilia_cordata""]},{""use"":""timber_craft"",""part"":""древесина"",""quality"":""good"",""note"":""мягкая лёгкая белая, легко режется: ложки, утварь (24 из 909; 14 в «орнаментированном дереве»)"",""refs"":[""src:src_kolchin_1968"",""src:src_wiki_tilia_cordata""]},{""use"":""honey_plant"",""part"":""цветки"",""quality"":""primary"",""note"":""исключительный медонос"",""refs"":[""src:src_wiki_tilia_cordata""]}]",low,high,малостойкая к гнили на открытом воздухе (Колчин),,[],bast_strip_bundle;log;plank,24,pf_broadleaf_woodland:8;pf_conifer_woodland:2;pf_forest_track:4;pf_hunting_ground:4;pf_mixed_woodland:4,wk:claim:final-nature-basswood-inner-bark-is-a-fibrous-bast-material,wk:claim:final-nature-basswood-inner-bark-is-a-fibrous-bast-material src:src_wiki_tilia_cordata wk:claim:construction-bast-vessel-fastening wk:claim:place-adhesive-linden-bast-soaking-can-support-separation-and-flexible-handling src:src_kolchin_1968 src:src_priroda_novgorod_climate wk:claim:final-nature-deciduous-trees-have-seasonal-leaf-state-unlike-evergreen-conifers,B,Колчин: липа «распространена повсеместно»,candidate,WK использует T. americana как прокси луба; свойства на T. cordata переносятся только по новгородскому лыку (лодка №1).
fl_ts_quercus_robur,flora.woody.tree.quercus_robur,дуб черешчатый,,,Quercus robur,,pedunculate oak,Fagaceae,tree,deciduous,universal_category; presence only via tree_habitat_presence (region_novgorod_land),mesic,плодородные суглинки,light_demanding,5,9-10,,,вместе с распусканием листьев; поздняя форма распускается на 2-4 недели позже | жёлуди созревают в сентябре-октябре | сухие листья иногда держатся всю зиму,"{""winter"":[""leafless"",""fruit_or_dry_leaves_persist""],""spring"":[""leaf_out"",""flowering""],""summer"":[""in_leaf""],""autumn"":[""leaf_colouring_and_fall"",""fruit_ripe""]}",мощный безлистный ствол с корявыми ветвями; сухие бурые листья могут держаться всю зиму и шуршать,"толстая, глубоко бороздчатая",лопастные листья,,шорох сухой листвы зимой,жёлуди под деревом осенью,timber_heavy_duty;shingles;boundary_tree;fodder_mast;bark_tanning,"[{""use"":""timber_heavy_duty"",""part"":""ствол"",""quality"":""primary"",""note"":""дефицитная; санные полозья (только дуб), десятиведерные бочки, уключины, землекопные лопаты с X в., оглобли"",""refs"":[""src:src_kolchin_1968""]},{""use"":""shingles"",""part"":""дрань, лемех"",""quality"":""good"",""note"":""дубовая дрань на кровлях Новгорода"",""refs"":[""wk:claim:settlement-oak-shingle-roof""]},{""use"":""boundary_tree"",""part"":""дерево"",""quality"":""good"",""note"":""межевой/знаменный дуб охраняется Русской Правдой (ст. 64-66)"",""refs"":[""wk:claim:residual-law-boundaries-and-marked-trees""]},{""use"":""fodder_mast"",""part"":""жёлуди"",""quality"":""good"",""note"":""корм свиней"",""refs"":[""src:src_wiki_quercus_robur""]},{""use"":""bark_tanning"",""part"":""кора"",""quality"":""primary"",""note"":""одно из лучших дубильных средств; чернильные орешки (галлы)"",""refs"":[""src:src_wiki_quercus_robur""]}]",high,high,"плотная, прочная, стойкая к гниению на воздухе, в земле и под водой; запасы в новгородских лесах невелики (Колчин)",acorns_toxic_to_cattle_horses,"[{""hazard"":""acorns_toxic_to_cattle_horses"",""note"":""жёлуди в большом количестве вредны крупному рогатому скоту и лошадям"",""refs"":[""src:src_wiki_quercus_robur""]}]",log;plank;shingle_bundle;acorn_basket;bark_piece,56,pf_broadleaf_woodland:4;pf_field_margin:1;pf_forest_edge:1;pf_forest_track:4;pf_hunting_ground:4;pf_mixed_woodland:1,wk:claim:civic-defence-log-courses,wk:claim:civic-defence-log-courses src:src_wiki_quercus_robur src:src_kolchin_1968 wk:claim:settlement-oak-shingle-roof wk:claim:residual-law-boundaries-and-marked-trees src:src_priroda_novgorod_climate wk:claim:final-nature-deciduous-trees-have-seasonal-leaf-state-unlike-evergreen-conifers,B,Колчин: дуб растёт только в южных районах Новгородской земли,candidate,Редкость дуба — ключевой исторический факт: дуб ценен и дорог.
fl_ts_fraxinus_excelsior,flora.woody.tree.fraxinus_excelsior,ясень обыкновенный,,,Fraxinus excelsior,,common ash,Oleaceae,tree,deciduous,universal_category; presence only via tree_habitat_presence (region_novgorod_land),mesic;moist,"плодородные, слабощелочные",intermediate,4-5,8,,yes,"до появления листьев (центр Европейской России) | крылатки созревают в августе, часто держатся всю зиму","{""winter"":[""leafless"",""fruit_or_dry_leaves_persist""],""spring"":[""leaf_out"",""flowering""],""summer"":[""in_leaf"",""fruit_ripe""],""autumn"":[""leaf_colouring_and_fall""]}",безлистный; гроздья бурых крылаток висят всю зиму; толстые побеги с чёрными почками,,непарноперистые листья,,,шелковистый блеск древесины,turned_vessels;bow_wood,"[{""use"":""turned_vessels"",""part"":""древесина"",""quality"":""primary"",""note"":""у новгородцев из ясеня — только токарная посуда (62 из 909)"",""refs"":[""src:src_kolchin_1968""]},{""use"":""bow_wood"",""part"":""древесина"",""quality"":""good"",""note"":""цельный охотничий лук из ясеня, слой 2-й четв. XIII в."",""refs"":[""wk:claim:agriculture-fauna-ash-hunting-bow""]}]",none,high,"высокая прочность, твёрдость и вязкость, малая водопроницаемость (Колчин)",,[],log;billet,62,pf_broadleaf_woodland:2;pf_forest_track:2;pf_hunting_ground:2;pf_mixed_woodland:1,,src:src_wiki_fraxinus_excelsior src:src_kolchin_1968 wk:claim:agriculture-fauna-ash-hunting-bow src:src_priroda_novgorod_climate wk:claim:final-nature-deciduous-trees-have-seasonal-leaf-state-unlike-evergreen-conifers,B,Колчин: ясень растёт только в южных районах Новгородской земли,candidate,
