wood_ru,lat,fl_id,fl_id_also,origin,artefact_count,share_of_909,origin_note,source_refs,locator,confidence,caveat
сосна,Pinus sylvestris,fl_ts_pinus_sylvestris,,local,172,0.1892,,src:src_kolchin_1968,"Колчин 1968, табл. I «Распределение пород древесины по видам изделий», с. 12, строка «Итого»; анализ В. Е. Вихрова, 909 изделий Неревского раскопа",A,"artefact identification count, not forest abundance"
ель,Picea abies,fl_ts_picea_abies,,local,91,0.1001,,src:src_kolchin_1968,"Колчин 1968, табл. I «Распределение пород древесины по видам изделий», с. 12, строка «Итого»; анализ В. Е. Вихрова, 909 изделий Неревского раскопа",A,"artefact identification count, not forest abundance"
лиственница,Larix,,,imported,25,0.0275,"ближайшие места произрастания — восточнее Ладожского озера и Камский бассейн; шла в Новгород, вероятнее, готовыми корабельными деталями и кораблями (Колчин, с. 13)",src:src_kolchin_1968,"Колчин 1968, табл. I «Распределение пород древесины по видам изделий», с. 12, строка «Итого»; анализ В. Е. Вихрова, 909 изделий Неревского раскопа",A,"artefact identification count, not forest abundance"
можжевельник,Juniperus communis,fl_ts_juniperus_communis,,local,27,0.0297,,src:src_kolchin_1968,"Колчин 1968, табл. I «Распределение пород древесины по видам изделий», с. 12, строка «Итого»; анализ В. Е. Вихрова, 909 изделий Неревского раскопа",A,"artefact identification count, not forest abundance"
тис,Taxus baccata,,,imported,3,0.0033,,src:src_kolchin_1968,"Колчин 1968, табл. I «Распределение пород древесины по видам изделий», с. 12, строка «Итого»; анализ В. Е. Вихрова, 909 изделий Неревского раскопа",A,"artefact identification count, not forest abundance"
пихта,Abies,,,imported,9,0.0099,,src:src_kolchin_1968,"Колчин 1968, табл. I «Распределение пород древесины по видам изделий», с. 12, строка «Итого»; анализ В. Е. Вихрова, 909 изделий Неревского раскопа",A,"artefact identification count, not forest abundance"
кедр,Pinus sibirica (?),,,imported,3,0.0033,,src:src_kolchin_1968,"Колчин 1968, табл. I «Распределение пород древесины по видам изделий», с. 12, строка «Итого»; анализ В. Е. Вихрова, 909 изделий Неревского раскопа",A,"artefact identification count, not forest abundance"
самшит,Buxus,,,imported,83,0.0913,"привозили из лесов Кавказа; почти исключительно двусторонние гребни (Колчин, с. 13)",src:src_kolchin_1968,"Колчин 1968, табл. I «Распределение пород древесины по видам изделий», с. 12, строка «Итого»; анализ В. Е. Вихрова, 909 изделий Неревского раскопа",A,"artefact identification count, not forest abundance"
дуб,Quercus robur,fl_ts_quercus_robur,,local,56,0.0616,,src:src_kolchin_1968,"Колчин 1968, табл. I «Распределение пород древесины по видам изделий», с. 12, строка «Итого»; анализ В. Е. Вихрова, 909 изделий Неревского раскопа",A,"artefact identification count, not forest abundance"
ясень,Fraxinus excelsior,fl_ts_fraxinus_excelsior,,local,62,0.0682,,src:src_kolchin_1968,"Колчин 1968, табл. I «Распределение пород древесины по видам изделий», с. 12, строка «Итого»; анализ В. Е. Вихрова, 909 изделий Неревского раскопа",A,"artefact identification count, not forest abundance"
клён,Acer platanoides,fl_ts_acer_platanoides,,local,177,0.1947,,src:src_kolchin_1968,"Колчин 1968, табл. I «Распределение пород древесины по видам изделий», с. 12, строка «Итого»; анализ В. Е. Вихрова, 909 изделий Неревского раскопа",A,"artefact identification count, not forest abundance"
