landscape_template_id	dominant_vegetation	moisture_level	status
lt_alluvial_floodplain	трава, осока, кустарник, местами деревья	seasonally_wet	draft
lt_boreal_mixed_forest	хвойные с берёзой, осиной, ольхой	normal_or_wet	draft
lt_boreal_taiga_coniferous_forest	ель, сосна, лиственница, мхи, кустарнички	normal_or_wet	draft
lt_dense_coniferous_forest	плотный хвойный древостой, мох, валежник	normal_or_wet	draft
lt_dry_meadow	низкая трава, разнотравье	dry	draft
lt_dry_ravine_gully	кустарник, трава, редкие деревья	dry	draft
lt_fen	осока, мхи, травы, иногда кустарник	waterlogged	draft
lt_floodplain_wet_grassland	влажная трава, осока, разнотравье	seasonally_wet	draft
lt_freshwater_marsh	осока, тростник, камыш, водно-болотное разнотравье	waterlogged	draft
lt_gentle_hills	трава, кустарник, местами лес	normal	draft
lt_low_alluvial_riverbank	трава, ива, кустарник, осока	wet_or_seasonal	draft
lt_marsh_lake_margin	осока, мхи, камыш, кустарник	waterlogged	draft
lt_mesic_meadow	трава, разнотравье, местами кустарник	normal	draft
lt_peat_swamp_forest	болотный лес на торфе, мхи, кустарники	waterlogged	draft
lt_raised_bog	сфагнум, мхи, пушица, низкий кустарник	waterlogged	draft
lt_reedbed_marsh	тростник, камыш, высокая болотная растительность	waterlogged	draft
lt_reed_lake_shore	камыш, тростник, осока	wet	draft
lt_riparian_scrub_bank	ива, ольха, кустарник, высокая трава	wet_or_normal	draft
lt_rocky_lake_shore	мхи, редкая трава, кустарник	normal_or_wet	draft
lt_sandy_lake_shore	низкая трава, камыш местами, редкий кустарник	normal_or_wet	draft
lt_scrub_meadow	трава, кустарник, молодая древесная поросль	normal	draft
lt_seasonally_flooded_forest	пойменный лес, кустарник, влажная трава	seasonally_wet	draft
lt_seasonal_sedge_marsh	осока, травы, сезонная болотная растительность	seasonally_wet	draft
lt_shrub_swamp	ивняк, ольха, кустарник, болотная трава	waterlogged	draft
lt_steep_eroding_riverbank	трава, кустарник, корни деревьев	normal_or_wet	draft
lt_steep_hills	трава, кустарник, редкий лес	normal	draft
lt_temperate_broadleaf_mixed_forest	широколиственные и/или смешанные породы, кустарник, травы	normal	draft
lt_temperate_coniferous_forest	сосна, ель, пихта или другие хвойные	normal_or_wet	draft
lt_wet_lowland_forest	ольха, берёза, ель, ива, кустарник	wet	draft
lt_wet_meadow	высокая трава, осока, влажное разнотравье	wet	draft
lt_wet_ravine_gully	кустарник, ольха, трава, мхи	wet	draft
lt_wooded_floodplain	ива, ольха, тополь, кустарник	seasonally_wet	draft
lt_wooded_hills	лес, кустарник	normal	draft
lt_wooded_swamp	болотный лес, кустарник, мхи, осока	waterlogged	draft
