ds_id,master_recipe_id,name_ru,name_en,recipe_type,subcategory,dish_category,description_ru,ingredients,process_ref,craft_process_ref,heating_method,fasting_compatible,fasting_day_rule_ids,fasting_omit_optional,master_fasting_status,meal_slots,class_access,social_scope,season_scope,preservation_method,storage_refs,shelf_life,spoilage_states,famine_role,sensory_smell_ru,sensory_taste_ru,sensory_texture_ru,sensory_look_ru,sensory_ref,portion_rule,satiety_band,body_effects,attestation_confidence,recipe_confidence,recipe_evidence_type,source_refs,confidence,status,notes
ds_clean_rye_grain,RCP0001,Переборка и веяние зерна ржи,clean rye grain,processing,grain_cleaning,not_a_meal,Базовая операция подготовки зерна; не фиксирует процент отхода как исторически известный.,"[{""fd_id"": ""fd_rye_grain"", ""role"": ""required"", ""qty_rule"": ""{\""min_g\"": 300, \""max_g\"": 1000, \""basis\"": \""modern_reconstruction\""}""}]","[""game-base-v1/food-drink/scripts/source_snapshot/recipe_steps.csv:RST000001"", ""game-base-v1/food-drink/scripts/source_snapshot/recipe_steps.csv:RST000002"", ""game-base-v1/food-drink/scripts/source_snapshot/recipe_steps.csv:RST000003""]",pc_food_grain_cleaning,none,true,"[""RFR001"", ""RFR002"", ""RFR003"", ""RFR004"", ""RFR007"", ""RFR008"", ""RFR009"", ""RFR010"", ""RFR011""]",[],fasting_allowed,[],"{""poor"": ""ordinary"", ""common_urban"": ""ordinary"", ""rural"": ""ordinary"", ""fisher"": ""ordinary"", ""merchant"": ""ordinary"", ""boyar"": ""ordinary"", ""clergy_monastery"": ""ordinary"", ""military"": ""ordinary""}","[""common""]","[""spring"", ""summer"", ""autumn"", ""winter""]",[],"[""ARC0018"", ""AGR0008"", ""AGR0009"", ""AGR0011""]",months if dry,"[""stale"", ""moldy"", ""spoiled"", ""gnawed"", ""damp""]",,"мучная пыль, сухое зерно",,"сыпучее, пыль в воздухе",мякина и шелуха вокруг,lex:grain_processing,"servings 4 per batch (gameplay estimate); quantities modern reconstruction, not historical",n/a,[],A,A,archaeological,"[""master-food:SRC044"", ""master-food:FSRC001"", ""master-food:SRC045"", ""master-food:SRC046"", ""sources/master-archive-v1/data/normalized_source_tables/food_system/recipes.csv:RCP0001""]",A,candidate,"Количество чистого зерна должно выводиться из исходной партии с code-owned потерями, а не появляться из рецепта."
ds_crush_rye_grain_to_groats,RCP0002,Дробление зерна ржи в крупу,crush rye grain to groats,processing,milling_groats,not_a_meal,Исторически осторожная технологическая запись: Дробление зерна ржи в крупу.,"[{""fd_id"": ""fd_rye_grain"", ""role"": ""required"", ""qty_rule"": ""{\""min_g\"": 300, \""max_g\"": 1000, \""basis\"": \""modern_reconstruction\""}""}]","[""game-base-v1/food-drink/scripts/source_snapshot/recipe_steps.csv:RST000004"", ""game-base-v1/food-drink/scripts/source_snapshot/recipe_steps.csv:RST000005"", ""game-base-v1/food-drink/scripts/source_snapshot/recipe_steps.csv:RST000006"", ""game-base-v1/food-drink/scripts/source_snapshot/recipe_steps.csv:RST000007""]",pc_food_milling_groats,none,true,"[""RFR001"", ""RFR002"", ""RFR003"", ""RFR004"", ""RFR007"", ""RFR008"", ""RFR009"", ""RFR010"", ""RFR011""]",[],fasting_allowed,[],"{""poor"": ""ordinary"", ""common_urban"": ""ordinary"", ""rural"": ""ordinary"", ""fisher"": ""ordinary"", ""merchant"": ""ordinary"", ""boyar"": ""ordinary"", ""clergy_monastery"": ""ordinary"", ""military"": ""ordinary""}","[""common""]","[""spring"", ""summer"", ""autumn"", ""winter""]",[],"[""ARC0018"", ""HOU0015"", ""AGR0009""]",weeks to months if dry,"[""stale"", ""moldy"", ""spoiled"", ""gnawed"", ""damp""]",,"мучная пыль, сухое зерно",,"сыпучее, пыль в воздухе",мякина и шелуха вокруг,lex:grain_processing,"servings 4 per batch (gameplay estimate); quantities modern reconstruction, not historical",n/a,[],B,C,ingredient_based_reconstruction,"[""master-food:SRC044"", ""master-food:FSRC001"", ""master-food:SRC045"", ""master-food:SRC046"", ""sources/master-archive-v1/data/normalized_source_tables/food_system/recipes.csv:RCP0002""]",C,candidate,
ds_grind_rye_grain_to_flour,RCP0003,Помол зерна ржи в муку,grind rye grain to flour,processing,milling_flour,not_a_meal,Исторически осторожная технологическая запись: Помол зерна ржи в муку.,"[{""fd_id"": ""fd_rye_grain"", ""role"": ""required"", ""qty_rule"": ""{\""min_g\"": 300, \""max_g\"": 1000, \""basis\"": \""modern_reconstruction\""}""}]","[""game-base-v1/food-drink/scripts/source_snapshot/recipe_steps.csv:RST000008"", ""game-base-v1/food-drink/scripts/source_snapshot/recipe_steps.csv:RST000009"", ""game-base-v1/food-drink/scripts/source_snapshot/recipe_steps.csv:RST000010"", ""game-base-v1/food-drink/scripts/source_snapshot/recipe_steps.csv:RST000011""]",pc_food_milling_flour,none,true,"[""RFR001"", ""RFR002"", ""RFR003"", ""RFR004"", ""RFR007"", ""RFR008"", ""RFR009"", ""RFR010"", ""RFR011""]",[],fasting_allowed,[],"{""poor"": ""ordinary"", ""common_urban"": ""ordinary"", ""rural"": ""ordinary"", ""fisher"": ""ordinary"", ""merchant"": ""ordinary"", ""boyar"": ""ordinary"", ""clergy_monastery"": ""ordinary"", ""military"": ""ordinary""}","[""common""]","[""spring"", ""summer"", ""autumn"", ""winter""]",[],"[""ARC0018"", ""HOU0015"", ""AGR0009""]",weeks to months if dry,"[""stale"", ""moldy"", ""spoiled"", ""gnawed"", ""damp""]",,"мучная пыль, сухое зерно",,"сыпучее, пыль в воздухе",мякина и шелуха вокруг,lex:grain_processing,"servings 4 per batch (gameplay estimate); quantities modern reconstruction, not historical",n/a,[],A,A,archaeological,"[""master-food:SRC044"", ""master-food:FSRC001"", ""master-food:SRC045"", ""master-food:SRC046"", ""sources/master-archive-v1/data/normalized_source_tables/food_system/recipes.csv:RCP0003""]",A,candidate,
ds_clean_wheat_grain,RCP0004,Переборка и веяние зерна пшеницы,clean wheat grain,processing,grain_cleaning,not_a_meal,Базовая операция подготовки зерна; не фиксирует процент отхода как исторически известный.,"[{""fd_id"": ""fd_wheat_grain"", ""role"": ""required"", ""qty_rule"": ""{\""min_g\"": 300, \""max_g\"": 1000, \""basis\"": \""modern_reconstruction\""}""}]","[""game-base-v1/food-drink/scripts/source_snapshot/recipe_steps.csv:RST000012"", ""game-base-v1/food-drink/scripts/source_snapshot/recipe_steps.csv:RST000013"", ""game-base-v1/food-drink/scripts/source_snapshot/recipe_steps.csv:RST000014""]",pc_food_grain_cleaning,none,true,"[""RFR001"", ""RFR002"", ""RFR003"", ""RFR004"", ""RFR007"", ""RFR008"", ""RFR009"", ""RFR010"", ""RFR011""]",[],fasting_allowed,[],"{""poor"": ""ordinary"", ""common_urban"": ""ordinary"", ""rural"": ""ordinary"", ""fisher"": ""ordinary"", ""merchant"": ""ordinary"", ""boyar"": ""ordinary"", ""clergy_monastery"": ""ordinary"", ""military"": ""ordinary""}","[""common""]","[""spring"", ""summer"", ""autumn"", ""winter""]",[],"[""ARC0018"", ""AGR0008"", ""AGR0009"", ""AGR0011""]",months if dry,"[""stale"", ""moldy"", ""spoiled"", ""gnawed"", ""damp""]",,"мучная пыль, сухое зерно",,"сыпучее, пыль в воздухе",мякина и шелуха вокруг,lex:grain_processing,"servings 4 per batch (gameplay estimate); quantities modern reconstruction, not historical",n/a,[],A,A,archaeological,"[""master-food:SRC044"", ""master-food:FSRC001"", ""master-food:SRC045"", ""master-food:SRC046"", ""sources/master-archive-v1/data/normalized_source_tables/food_system/recipes.csv:RCP0004""]",A,candidate,"Количество чистого зерна должно выводиться из исходной партии с code-owned потерями, а не появляться из рецепта."
ds_crush_wheat_grain_to_groats,RCP0005,Дробление зерна пшеницы в крупу,crush wheat grain to groats,processing,milling_groats,not_a_meal,Исторически осторожная технологическая запись: Дробление зерна пшеницы в крупу.,"[{""fd_id"": ""fd_wheat_grain"", ""role"": ""required"", ""qty_rule"": ""{\""min_g\"": 300, \""max_g\"": 1000, \""basis\"": \""modern_reconstruction\""}""}]","[""game-base-v1/food-drink/scripts/source_snapshot/recipe_steps.csv:RST000015"", ""game-base-v1/food-drink/scripts/source_snapshot/recipe_steps.csv:RST000016"", ""game-base-v1/food-drink/scripts/source_snapshot/recipe_steps.csv:RST000017"", ""game-base-v1/food-drink/scripts/source_snapshot/recipe_steps.csv:RST000018""]",pc_food_milling_groats,none,true,"[""RFR001"", ""RFR002"", ""RFR003"", ""RFR004"", ""RFR007"", ""RFR008"", ""RFR009"", ""RFR010"", ""RFR011""]",[],fasting_allowed,[],"{""poor"": ""ordinary"", ""common_urban"": ""ordinary"", ""rural"": ""ordinary"", ""fisher"": ""ordinary"", ""merchant"": ""ordinary"", ""boyar"": ""ordinary"", ""clergy_monastery"": ""ordinary"", ""military"": ""ordinary""}","[""common""]","[""spring"", ""summer"", ""autumn"", ""winter""]",[],"[""ARC0018"", ""HOU0015"", ""AGR0009""]",weeks to months if dry,"[""stale"", ""moldy"", ""spoiled"", ""gnawed"", ""damp""]",,"мучная пыль, сухое зерно",,"сыпучее, пыль в воздухе",мякина и шелуха вокруг,lex:grain_processing,"servings 4 per batch (gameplay estimate); quantities modern reconstruction, not historical",n/a,[],B,C,ingredient_based_reconstruction,"[""master-food:SRC044"", ""master-food:FSRC001"", ""master-food:SRC045"", ""master-food:SRC046"", ""sources/master-archive-v1/data/normalized_source_tables/food_system/recipes.csv:RCP0005""]",C,candidate,
ds_grind_wheat_grain_to_flour,RCP0006,Помол зерна пшеницы в муку,grind wheat grain to flour,processing,milling_flour,not_a_meal,Исторически осторожная технологическая запись: Помол зерна пшеницы в муку.,"[{""fd_id"": ""fd_wheat_grain"", ""role"": ""required"", ""qty_rule"": ""{\""min_g\"": 300, \""max_g\"": 1000, \""basis\"": \""modern_reconstruction\""}""}]","[""game-base-v1/food-drink/scripts/source_snapshot/recipe_steps.csv:RST000019"", ""game-base-v1/food-drink/scripts/source_snapshot/recipe_steps.csv:RST000020"", ""game-base-v1/food-drink/scripts/source_snapshot/recipe_steps.csv:RST000021"", ""game-base-v1/food-drink/scripts/source_snapshot/recipe_steps.csv:RST000022""]",pc_food_milling_flour,none,true,"[""RFR001"", ""RFR002"", ""RFR003"", ""RFR004"", ""RFR007"", ""RFR008"", ""RFR009"", ""RFR010"", ""RFR011""]",[],fasting_allowed,[],"{""poor"": ""ordinary"", ""common_urban"": ""ordinary"", ""rural"": ""ordinary"", ""fisher"": ""ordinary"", ""merchant"": ""ordinary"", ""boyar"": ""ordinary"", ""clergy_monastery"": ""ordinary"", ""military"": ""ordinary""}","[""common""]","[""spring"", ""summer"", ""autumn"", ""winter""]",[],"[""ARC0018"", ""HOU0015"", ""AGR0009""]",weeks to months if dry,"[""stale"", ""moldy"", ""spoiled"", ""gnawed"", ""damp""]",,"мучная пыль, сухое зерно",,"сыпучее, пыль в воздухе",мякина и шелуха вокруг,lex:grain_processing,"servings 4 per batch (gameplay estimate); quantities modern reconstruction, not historical",n/a,[],A,A,archaeological,"[""master-food:SRC044"", ""master-food:FSRC001"", ""master-food:SRC045"", ""master-food:SRC046"", ""sources/master-archive-v1/data/normalized_source_tables/food_system/recipes.csv:RCP0006""]",A,candidate,
ds_clean_barley_grain,RCP0007,Переборка и веяние зерна ячменя,clean barley grain,processing,grain_cleaning,not_a_meal,Базовая операция подготовки зерна; не фиксирует процент отхода как исторически известный.,"[{""fd_id"": ""fd_barley_grain"", ""role"": ""required"", ""qty_rule"": ""{\""min_g\"": 300, \""max_g\"": 1000, \""basis\"": \""modern_reconstruction\""}""}]","[""game-base-v1/food-drink/scripts/source_snapshot/recipe_steps.csv:RST000023"", ""game-base-v1/food-drink/scripts/source_snapshot/recipe_steps.csv:RST000024"", ""game-base-v1/food-drink/scripts/source_snapshot/recipe_steps.csv:RST000025""]",pc_food_grain_cleaning,none,true,"[""RFR001"", ""RFR002"", ""RFR003"", ""RFR004"", ""RFR007"", ""RFR008"", ""RFR009"", ""RFR010"", ""RFR011""]",[],fasting_allowed,[],"{""poor"": ""ordinary"", ""common_urban"": ""ordinary"", ""rural"": ""ordinary"", ""fisher"": ""ordinary"", ""merchant"": ""ordinary"", ""boyar"": ""ordinary"", ""clergy_monastery"": ""ordinary"", ""military"": ""ordinary""}","[""common""]","[""spring"", ""summer"", ""autumn"", ""winter""]",[],"[""ARC0018"", ""AGR0008"", ""AGR0009"", ""AGR0011""]",months if dry,"[""stale"", ""moldy"", ""spoiled"", ""gnawed"", ""damp""]",,"мучная пыль, сухое зерно",,"сыпучее, пыль в воздухе",мякина и шелуха вокруг,lex:grain_processing,"servings 4 per batch (gameplay estimate); quantities modern reconstruction, not historical",n/a,[],A,A,archaeological,"[""master-food:SRC044"", ""master-food:FSRC001"", ""master-food:SRC045"", ""master-food:SRC046"", ""sources/master-archive-v1/data/normalized_source_tables/food_system/recipes.csv:RCP0007""]",A,candidate,"Количество чистого зерна должно выводиться из исходной партии с code-owned потерями, а не появляться из рецепта."
ds_crush_barley_grain_to_groats,RCP0008,Дробление зерна ячменя в крупу,crush barley grain to groats,processing,milling_groats,not_a_meal,Исторически осторожная технологическая запись: Дробление зерна ячменя в крупу.,"[{""fd_id"": ""fd_barley_grain"", ""role"": ""required"", ""qty_rule"": ""{\""min_g\"": 300, \""max_g\"": 1000, \""basis\"": \""modern_reconstruction\""}""}]","[""game-base-v1/food-drink/scripts/source_snapshot/recipe_steps.csv:RST000026"", ""game-base-v1/food-drink/scripts/source_snapshot/recipe_steps.csv:RST000027"", ""game-base-v1/food-drink/scripts/source_snapshot/recipe_steps.csv:RST000028"", ""game-base-v1/food-drink/scripts/source_snapshot/recipe_steps.csv:RST000029""]",pc_food_milling_groats,none,true,"[""RFR001"", ""RFR002"", ""RFR003"", ""RFR004"", ""RFR007"", ""RFR008"", ""RFR009"", ""RFR010"", ""RFR011""]",[],fasting_allowed,[],"{""poor"": ""ordinary"", ""common_urban"": ""ordinary"", ""rural"": ""ordinary"", ""fisher"": ""ordinary"", ""merchant"": ""ordinary"", ""boyar"": ""ordinary"", ""clergy_monastery"": ""ordinary"", ""military"": ""ordinary""}","[""common""]","[""spring"", ""summer"", ""autumn"", ""winter""]",[],"[""ARC0018"", ""HOU0015"", ""AGR0009""]",weeks to months if dry,"[""stale"", ""moldy"", ""spoiled"", ""gnawed"", ""damp""]",,"мучная пыль, сухое зерно",,"сыпучее, пыль в воздухе",мякина и шелуха вокруг,lex:grain_processing,"servings 4 per batch (gameplay estimate); quantities modern reconstruction, not historical",n/a,[],A,A,archaeological,"[""master-food:SRC044"", ""master-food:FSRC001"", ""master-food:SRC045"", ""master-food:SRC046"", ""sources/master-archive-v1/data/normalized_source_tables/food_system/recipes.csv:RCP0008""]",A,candidate,
ds_grind_barley_grain_to_flour,RCP0009,Помол зерна ячменя в муку,grind barley grain to flour,processing,milling_flour,not_a_meal,Исторически осторожная технологическая запись: Помол зерна ячменя в муку.,"[{""fd_id"": ""fd_barley_grain"", ""role"": ""required"", ""qty_rule"": ""{\""min_g\"": 300, \""max_g\"": 1000, \""basis\"": \""modern_reconstruction\""}""}]","[""game-base-v1/food-drink/scripts/source_snapshot/recipe_steps.csv:RST000030"", ""game-base-v1/food-drink/scripts/source_snapshot/recipe_steps.csv:RST000031"", ""game-base-v1/food-drink/scripts/source_snapshot/recipe_steps.csv:RST000032"", ""game-base-v1/food-drink/scripts/source_snapshot/recipe_steps.csv:RST000033""]",pc_food_milling_flour,none,true,"[""RFR001"", ""RFR002"", ""RFR003"", ""RFR004"", ""RFR007"", ""RFR008"", ""RFR009"", ""RFR010"", ""RFR011""]",[],fasting_allowed,[],"{""poor"": ""ordinary"", ""common_urban"": ""ordinary"", ""rural"": ""ordinary"", ""fisher"": ""ordinary"", ""merchant"": ""ordinary"", ""boyar"": ""ordinary"", ""clergy_monastery"": ""ordinary"", ""military"": ""ordinary""}","[""common""]","[""spring"", ""summer"", ""autumn"", ""winter""]",[],"[""ARC0018"", ""HOU0015"", ""AGR0009""]",weeks to months if dry,"[""stale"", ""moldy"", ""spoiled"", ""gnawed"", ""damp""]",,"мучная пыль, сухое зерно",,"сыпучее, пыль в воздухе",мякина и шелуха вокруг,lex:grain_processing,"servings 4 per batch (gameplay estimate); quantities modern reconstruction, not historical",n/a,[],A,A,archaeological,"[""master-food:SRC044"", ""master-food:FSRC001"", ""master-food:SRC045"", ""master-food:SRC046"", ""sources/master-archive-v1/data/normalized_source_tables/food_system/recipes.csv:RCP0009""]",A,candidate,
ds_clean_oat_grain,RCP0010,Переборка и веяние зерна овса,clean oat grain,processing,grain_cleaning,not_a_meal,Базовая операция подготовки зерна; не фиксирует процент отхода как исторически известный.,"[{""fd_id"": ""fd_oat_grain"", ""role"": ""required"", ""qty_rule"": ""{\""min_g\"": 300, \""max_g\"": 1000, \""basis\"": \""modern_reconstruction\""}""}]","[""game-base-v1/food-drink/scripts/source_snapshot/recipe_steps.csv:RST000034"", ""game-base-v1/food-drink/scripts/source_snapshot/recipe_steps.csv:RST000035"", ""game-base-v1/food-drink/scripts/source_snapshot/recipe_steps.csv:RST000036""]",pc_food_grain_cleaning,none,true,"[""RFR001"", ""RFR002"", ""RFR003"", ""RFR004"", ""RFR007"", ""RFR008"", ""RFR009"", ""RFR010"", ""RFR011""]",[],fasting_allowed,[],"{""poor"": ""ordinary"", ""common_urban"": ""ordinary"", ""rural"": ""ordinary"", ""fisher"": ""ordinary"", ""merchant"": ""ordinary"", ""boyar"": ""ordinary"", ""clergy_monastery"": ""ordinary"", ""military"": ""ordinary""}","[""common""]","[""spring"", ""summer"", ""autumn"", ""winter""]",[],"[""ARC0018"", ""AGR0008"", ""AGR0009"", ""AGR0011""]",months if dry,"[""stale"", ""moldy"", ""spoiled"", ""gnawed"", ""damp""]",,"мучная пыль, сухое зерно",,"сыпучее, пыль в воздухе",мякина и шелуха вокруг,lex:grain_processing,"servings 4 per batch (gameplay estimate); quantities modern reconstruction, not historical",n/a,[],A,A,archaeological,"[""master-food:SRC044"", ""master-food:FSRC001"", ""master-food:SRC045"", ""master-food:SRC046"", ""sources/master-archive-v1/data/normalized_source_tables/food_system/recipes.csv:RCP0010""]",A,candidate,"Количество чистого зерна должно выводиться из исходной партии с code-owned потерями, а не появляться из рецепта."
