fr_id,kind,master_rule_id,name_ru,context,timing_rule,allowed_classes,conditional_classes,forbidden_classes,source_refs,confidence,status,notes
fr_rfr001,rule,RFR001,Обычный скоромный день,ordinary_day,,"[""plant"", ""fish"", ""meat"", ""dairy"", ""eggs"", ""animal_fat""]","[""alcohol""]",[],"[""sources/master-archive-v1/data/normalized_source_tables/food_system/religious_food_rules.csv:RFR001"", ""master-food:FSRC007""]",B,candidate,general ecclesiastical/social reconstruction; Household means and season still constrain actual food.
fr_rfr002,rule,RFR002,Общий постный день без уточнения устава,fast_day_general,,"[""grain"", ""legumes"", ""vegetables"", ""fruit"", ""berries"", ""nuts"", ""honey"", ""water""]","[""fish"", ""plant_oil"", ""wine"", ""beer"", ""honey_drink""]","[""meat"", ""dairy"", ""eggs"", ""animal_fat""]","[""sources/master-archive-v1/data/normalized_source_tables/food_system/religious_food_rules.csv:RFR002"", ""master-food:FSRC007""]",B,candidate,"broad Orthodox fasting distinction; Fish, oil and wine allowances vary by day and observance; exact local rule must be supplied by calendar context."
fr_rfr003,rule,RFR003,Строгий постный контекст,strict_fast_day,,"[""grain"", ""legumes"", ""vegetables"", ""fruit"", ""berries"", ""nuts"", ""water""]","[""honey""]","[""meat"", ""dairy"", ""eggs"", ""animal_fat"", ""fish"", ""plant_oil"", ""wine"", ""beer"", ""honey_drink""]","[""sources/master-archive-v1/data/normalized_source_tables/food_system/religious_food_rules.csv:RFR003"", ""master-food:FSRC007""]",C,candidate,conservative gameplay abstraction; Not a claim that every Novgorodian observed the same strict rule.
fr_rfr004,rule,RFR004,Постный день с разрешённой рыбой,fish_permitted_fast_day,,"[""grain"", ""legumes"", ""vegetables"", ""fruit"", ""berries"", ""nuts"", ""honey"", ""water"", ""fish""]","[""plant_oil"", ""wine"", ""beer""]","[""meat"", ""dairy"", ""eggs"", ""animal_fat""]","[""sources/master-archive-v1/data/normalized_source_tables/food_system/religious_food_rules.csv:RFR004"", ""master-food:FSRC007""]",B,candidate,"broad Orthodox fasting practice; Activation requires a calendar/household rule, not merely recipe preference."
fr_rfr005,rule,RFR005,Монастырский приём пищи,monastery_rule,,"[""bread"", ""porridge"", ""legumes"", ""vegetables"", ""water""]","[""fish"", ""plant_oil"", ""beer"", ""wine"", ""dairy"", ""eggs""]",[],"[""sources/master-archive-v1/data/normalized_source_tables/food_system/religious_food_rules.csv:RFR005"", ""master-food:FSRC007""]",C,candidate,monastic economy plus fasting framework; No late monastic typikon is projected backward unchanged; actual house rule and day determine allowances.
fr_rfr006,rule,RFR006,Литургическое вино,liturgical_wine,,"[""imported_wine_for_liturgy""]",[],[],"[""sources/master-archive-v1/data/normalized_source_tables/food_system/religious_food_rules.csv:RFR006"", ""master-food:FSRC007""]",B,candidate,Christian liturgical requirement and imported wine context; Does not prove broad household access to wine.
fr_rfr007,rule,RFR007,Регулярные недельные постные дни,weekly_fast_pattern,,"[""use fast_day_general rules""]",[],[],"[""sources/master-archive-v1/data/normalized_source_tables/food_system/religious_food_rules.csv:RFR007"", ""master-food:FSRC007""]",B,candidate,general medieval Orthodox practice; Exact enforcement and exceptions are not encoded as universal individual behaviour.
fr_rfr008,rule,RFR008,Великий пост,great_lent,,"[""use strict/general fast rules by day""]","[""fish on specific permitted occasions"", ""plant_oil"", ""wine""]","[""meat"", ""dairy"", ""eggs""]","[""sources/master-archive-v1/data/normalized_source_tables/food_system/religious_food_rules.csv:RFR008"", ""master-food:FSRC007""]",B,candidate,general ecclesiastical calendar; Exact Julian dates and local day-level allowances must be calculated by a separate calendar owner.
fr_rfr009,rule,RFR009,Рождественский пост,nativity_fast,,"[""use general fast rules""]","[""fish"", ""plant_oil"", ""wine""]","[""meat"", ""dairy"", ""eggs""]","[""sources/master-archive-v1/data/normalized_source_tables/food_system/religious_food_rules.csv:RFR009"", ""master-food:FSRC007""]",B,candidate,general ecclesiastical calendar; Day-level rules are external to this catalog.
fr_rfr010,rule,RFR010,Апостольский пост,apostles_fast,,"[""use general fast rules""]","[""fish"", ""plant_oil"", ""wine""]","[""meat"", ""dairy"", ""eggs""]","[""sources/master-archive-v1/data/normalized_source_tables/food_system/religious_food_rules.csv:RFR010"", ""master-food:FSRC007""]",B,candidate,general ecclesiastical calendar; Duration varies with Easter and is not hardcoded here.
fr_rfr011,rule,RFR011,Успенский пост,dormition_fast,,"[""use strict/general fast rules""]","[""fish on permitted feast context"", ""plant_oil"", ""wine""]","[""meat"", ""dairy"", ""eggs""]","[""sources/master-archive-v1/data/normalized_source_tables/food_system/religious_food_rules.csv:RFR011"", ""master-food:FSRC007""]",B,candidate,general ecclesiastical calendar; Exact local observance not reconstructed at household level.
fr_rfr012,rule,RFR012,Праздничный скоромный или разрешительный контекст,feast_day,,"[""context-dependent wider meal""]","[""meat"", ""dairy"", ""eggs"", ""fish"", ""wine"", ""honey_drink""]",[],"[""sources/master-archive-v1/data/normalized_source_tables/food_system/religious_food_rules.csv:RFR012"", ""master-food:FSRC007""]",C,candidate,social and ecclesiastical reconstruction; A feast does not create ingredients a household cannot afford or obtain.
fp_weekly_wed_fri,period,RFR007,Среда и пятница,calendar_period,каждая среда и пятница вне сплошных седмиц; исключения — календарь,[],"[""fish"", ""alcohol""]","[""meat"", ""animal_fat"", ""dairy"", ""eggs""]","[""master-food:FSRC007"", ""master-food:SRC027""]",B,candidate,Точные исключения (сплошные седмицы) считает домен calendar_feasts_fasts.
fp_great_lent,period,RFR008,Великий пост,calendar_period,7 недель до Пасхи; подвижный (пасхалия),[],"[""fish"", ""plant_oil"", ""alcohol""]","[""meat"", ""animal_fat"", ""dairy"", ""eggs""]","[""master-food:FSRC007""]",B,candidate,"Рыба лишь в отдельные дни (Благовещение, Вербное) — по календарю."
fp_apostles,period,RFR010,Петров (Апостольский) пост,calendar_period,от понедельника после Недели всех святых до 29 июня; длина зависит от Пасхи,[],"[""fish"", ""plant_oil"", ""alcohol""]","[""meat"", ""animal_fat"", ""dairy"", ""eggs""]","[""master-food:FSRC007""]",B,candidate,
fp_dormition,period,RFR011,Успенский пост,calendar_period,1–14 августа (юлианский),[],"[""fish"", ""plant_oil"", ""alcohol""]","[""meat"", ""animal_fat"", ""dairy"", ""eggs""]","[""master-food:FSRC007""]",C,candidate,Для XIII в. продолжительность и строгость Успенского поста в источниках неустойчивы; принять только как рамку.
fp_nativity,period,RFR009,Рождественский (Филиппов) пост,calendar_period,15 ноября – 24 декабря (юлианский),[],"[""fish"", ""plant_oil"", ""alcohol""]","[""meat"", ""animal_fat"", ""dairy"", ""eggs""]","[""master-food:FSRC007""]",B,candidate,
fp_eves,period,RFR002,"Однодневные посты (Крещенский сочельник, Усекновение, Воздвижение)",calendar_period,"5 января, 29 августа, 14 сентября (юлианский)",[],"[""fish"", ""plant_oil"", ""alcohol""]","[""meat"", ""animal_fat"", ""dairy"", ""eggs""]","[""master-food:FSRC007""]",C,candidate,"Состав однодневных постов для Новгорода 1230 г. отдельно не проверен; 14 сентября 1230 — день мороза, погубившего урожай (НПЛ)."
