profile_id,household_type,household_class,season_period,fd_id,world_phase,presence_class,presence_weight,qty_band,qty_rule,source_refs,confidence,status
hs_poor_urban_winter_salt_coarse,hh_poor_urban,poor,winter,fd_salt_coarse,ordinary,contextual,2,little,rarity common->common; access occasional (-1); months 0; weight 8/4/2/1; qty_band ample/some/little/trace by class; exact mass by code owner,"[""master-food:SRC027"", ""master-food:SRC101"", ""master-food:FSRC009"", ""rule:curated_rules/household stock (build.py)""]",C,candidate
hs_poor_urban_winter_vinegar,hh_poor_urban,poor,winter,fd_vinegar,ordinary,rare,1,trace,rarity uncommon->contextual; access occasional (-1); months 0; weight 8/4/2/1; qty_band ample/some/little/trace by class; exact mass by code owner,"[""master-food:FSRC004"", ""master-food:SRC027"", ""sources/master-archive-v1/data/normalized_source_tables/food_system/ingredients.csv:ING0004"", ""rule:curated_rules/household stock (build.py)""]",C,candidate
hs_poor_urban_winter_rye_grain,hh_poor_urban,poor,winter,fd_rye_grain,ordinary,common,4,some,rarity common->common; access ordinary (0); months 0; weight 8/4/2/1; qty_band ample/some/little/trace by class; exact mass by code owner,"[""master-food:SRC044"", ""master-food:FSRC001"", ""master-food:SRC045"", ""rule:curated_rules/household stock (build.py)""]",C,candidate
hs_poor_urban_winter_wheat_grain,hh_poor_urban,poor,winter,fd_wheat_grain,ordinary,rare,1,trace,rarity uncommon->contextual; access occasional (-1); months 0; weight 8/4/2/1; qty_band ample/some/little/trace by class; exact mass by code owner,"[""master-food:SRC044"", ""master-food:FSRC001"", ""master-food:SRC045"", ""rule:curated_rules/household stock (build.py)""]",C,candidate
hs_poor_urban_winter_barley_grain,hh_poor_urban,poor,winter,fd_barley_grain,ordinary,common,4,some,rarity common->common; access ordinary (0); months 0; weight 8/4/2/1; qty_band ample/some/little/trace by class; exact mass by code owner,"[""master-food:SRC044"", ""master-food:FSRC001"", ""master-food:SRC045"", ""rule:curated_rules/household stock (build.py)""]",C,candidate
hs_poor_urban_winter_oat_grain,hh_poor_urban,poor,winter,fd_oat_grain,ordinary,common,4,some,rarity common->common; access ordinary (0); months 0; weight 8/4/2/1; qty_band ample/some/little/trace by class; exact mass by code owner,"[""master-food:SRC044"", ""master-food:FSRC001"", ""master-food:SRC045"", ""rule:curated_rules/household stock (build.py)""]",C,candidate
hs_poor_urban_winter_millet_grain,hh_poor_urban,poor,winter,fd_millet_grain,ordinary,common,4,some,rarity common->common; access ordinary (0); months 0; weight 8/4/2/1; qty_band ample/some/little/trace by class; exact mass by code owner,"[""master-food:SRC044"", ""master-food:FSRC001"", ""master-food:SRC045"", ""rule:curated_rules/household stock (build.py)""]",C,candidate
hs_poor_urban_winter_rye_groats,hh_poor_urban,poor,winter,fd_rye_groats,ordinary,common,4,some,rarity common->common; access ordinary (0); months 0; weight 8/4/2/1; qty_band ample/some/little/trace by class; exact mass by code owner,"[""master-food:SRC044"", ""master-food:FSRC001"", ""master-food:SRC045"", ""rule:curated_rules/household stock (build.py)""]",C,candidate
hs_poor_urban_winter_barley_groats,hh_poor_urban,poor,winter,fd_barley_groats,ordinary,common,4,some,rarity common->common; access ordinary (0); months 0; weight 8/4/2/1; qty_band ample/some/little/trace by class; exact mass by code owner,"[""master-food:SRC044"", ""master-food:FSRC001"", ""master-food:SRC045"", ""rule:curated_rules/household stock (build.py)""]",C,candidate
hs_poor_urban_winter_oat_groats,hh_poor_urban,poor,winter,fd_oat_groats,ordinary,common,4,some,rarity common->common; access ordinary (0); months 0; weight 8/4/2/1; qty_band ample/some/little/trace by class; exact mass by code owner,"[""master-food:SRC044"", ""master-food:FSRC001"", ""master-food:SRC045"", ""rule:curated_rules/household stock (build.py)""]",C,candidate
hs_poor_urban_winter_millet_groats,hh_poor_urban,poor,winter,fd_millet_groats,ordinary,common,4,some,rarity common->common; access ordinary (0); months 0; weight 8/4/2/1; qty_band ample/some/little/trace by class; exact mass by code owner,"[""master-food:SRC044"", ""master-food:FSRC001"", ""master-food:SRC045"", ""rule:curated_rules/household stock (build.py)""]",C,candidate
hs_poor_urban_winter_wheat_groats,hh_poor_urban,poor,winter,fd_wheat_groats,ordinary,contextual,2,little,rarity common->common; access occasional (-1); months 0; weight 8/4/2/1; qty_band ample/some/little/trace by class; exact mass by code owner,"[""master-food:SRC044"", ""master-food:FSRC001"", ""master-food:SRC045"", ""rule:curated_rules/household stock (build.py)""]",C,candidate
hs_poor_urban_winter_rye_flour_coarse,hh_poor_urban,poor,winter,fd_rye_flour_coarse,ordinary,common,4,some,rarity common->common; access ordinary (0); months 0; weight 8/4/2/1; qty_band ample/some/little/trace by class; exact mass by code owner,"[""master-food:SRC044"", ""master-food:FSRC001"", ""master-food:SRC045"", ""rule:curated_rules/household stock (build.py)""]",C,candidate
hs_poor_urban_winter_rye_flour_fine,hh_poor_urban,poor,winter,fd_rye_flour_fine,ordinary,common,4,some,rarity common->common; access ordinary (0); months 0; weight 8/4/2/1; qty_band ample/some/little/trace by class; exact mass by code owner,"[""master-food:SRC044"", ""master-food:FSRC001"", ""master-food:SRC045"", ""rule:curated_rules/household stock (build.py)""]",C,candidate
hs_poor_urban_winter_wheat_flour,hh_poor_urban,poor,winter,fd_wheat_flour,ordinary,contextual,2,little,rarity common->common; access occasional (-1); months 0; weight 8/4/2/1; qty_band ample/some/little/trace by class; exact mass by code owner,"[""master-food:SRC044"", ""master-food:FSRC001"", ""master-food:SRC045"", ""rule:curated_rules/household stock (build.py)""]",C,candidate
hs_poor_urban_winter_barley_flour,hh_poor_urban,poor,winter,fd_barley_flour,ordinary,common,4,some,rarity common->common; access ordinary (0); months 0; weight 8/4/2/1; qty_band ample/some/little/trace by class; exact mass by code owner,"[""master-food:SRC044"", ""master-food:FSRC001"", ""master-food:SRC045"", ""rule:curated_rules/household stock (build.py)""]",C,candidate
hs_poor_urban_winter_oat_flour,hh_poor_urban,poor,winter,fd_oat_flour,ordinary,common,4,some,rarity common->common; access ordinary (0); months 0; weight 8/4/2/1; qty_band ample/some/little/trace by class; exact mass by code owner,"[""master-food:SRC044"", ""master-food:FSRC001"", ""master-food:SRC045"", ""rule:curated_rules/household stock (build.py)""]",C,candidate
hs_poor_urban_winter_mixed_flour,hh_poor_urban,poor,winter,fd_mixed_flour,ordinary,common,4,some,rarity common->common; access ordinary (0); months 0; weight 8/4/2/1; qty_band ample/some/little/trace by class; exact mass by code owner,"[""master-food:SRC044"", ""master-food:FSRC001"", ""master-food:SRC045"", ""rule:curated_rules/household stock (build.py)""]",C,candidate
hs_poor_urban_winter_bran,hh_poor_urban,poor,winter,fd_bran,ordinary,common,4,some,rarity common->common; access ordinary (0); months 0; weight 8/4/2/1; qty_band ample/some/little/trace by class; exact mass by code owner,"[""master-food:SRC044"", ""master-food:FSRC001"", ""master-food:SRC045"", ""rule:curated_rules/household stock (build.py)""]",C,candidate
