fd_id,master_ingredient_id,name_ru,name_en,name_lat,source_taxon_ref,taxon_kind,food_category,ingredient_type,fasting_class,fasting_status,category_id,universal_category,region_id,origin,months_available,months_fresh,months_limited,season_profile,month_basis,access_by_class,storage_forms,storage_container_ids,shelf_life,spoilage_signs,spoilage_states,rarity,frequency_class,frequency_weight,relative_cost,famine_1230_role,recipe_evidence_type,source_refs,confidence,status,notes
fd_water_well,ING0001,Колодезная вода,water well,,,,water,water,water,fasting_allowed,content_food.water.water_well,true,novgorod_land,local,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",[],year_round,sources/master-archive-v1/data/normalized_source_tables/food_system/food_seasonality.csv:ingredient:ING0001,"{""poor"": ""ordinary"", ""common_urban"": ""ordinary"", ""rural"": ""ordinary"", ""fisher"": ""ordinary"", ""merchant"": ""ordinary"", ""boyar"": ""ordinary"", ""clergy_monastery"": ""ordinary"", ""military"": ""ordinary""}",[],"[""HOU0001"", ""HOU0031""]",use promptly; stored water quality varies,"[""stagnant"", ""contaminated""]","[""spoiled""]",ubiquitous,ubiquitous,8,very_low,,archaeological,"[""master-food:SRC001"", ""master-food:SRC045"", ""sources/master-archive-v1/data/normalized_source_tables/food_system/ingredients.csv:ING0001""]",B,candidate,
fd_water_river,ING0002,Речная вода,water river,,,,water,water,water,fasting_allowed,content_food.water.water_river,true,novgorod_land,local,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",[],year_round,sources/master-archive-v1/data/normalized_source_tables/food_system/food_seasonality.csv:ingredient:ING0002,"{""poor"": ""ordinary"", ""common_urban"": ""ordinary"", ""rural"": ""ordinary"", ""fisher"": ""ordinary"", ""merchant"": ""ordinary"", ""boyar"": ""ordinary"", ""clergy_monastery"": ""ordinary"", ""military"": ""ordinary""}",[],"[""HOU0001"", ""HOU0031""]",use promptly,"[""stagnant"", ""contaminated""]","[""spoiled""]",ubiquitous,ubiquitous,8,very_low,,archaeological,"[""master-food:SRC001"", ""master-food:SRC045"", ""sources/master-archive-v1/data/normalized_source_tables/food_system/ingredients.csv:ING0002""]",B,candidate,
fd_salt_coarse,ING0003,Соль крупная,salt coarse,,,,seasoning,seasoning,plant,fasting_allowed,content_food.seasoning.salt_coarse,true,novgorod_land,regional,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",[],[],stored_year_round,sources/master-archive-v1/data/normalized_source_tables/food_system/food_seasonality.csv:ingredient:ING0003,"{""poor"": ""occasional"", ""common_urban"": ""ordinary"", ""rural"": ""ordinary"", ""fisher"": ""ordinary"", ""merchant"": ""ordinary"", ""boyar"": ""ordinary"", ""clergy_monastery"": ""ordinary"", ""military"": ""ordinary""}","[""pm_dry_storage_grain""]","[""POT0016"", ""HOU0021"", ""HOU0043""]",indefinite if dry,"[""damp"", ""contaminated""]","[""spoiled"", ""damp""]",common,common,4,medium,,direct_text,"[""master-food:SRC027"", ""master-food:SRC101"", ""master-food:FSRC009"", ""sources/master-archive-v1/data/normalized_source_tables/food_system/ingredients.csv:ING0003"", ""sqlite:novgorod_1230:economy:соль""]",A,candidate,"Соль — промысел Старой Руссы (варка рассолов), товар"
fd_vinegar,ING0004,Уксус,vinegar,,,,seasoning,seasoning,plant,fasting_allowed,content_food.seasoning.vinegar,true,novgorod_land,uncertain,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",[],[],stored_year_round,sources/master-archive-v1/data/normalized_source_tables/food_system/food_seasonality.csv:ingredient:ING0004,"{""poor"": ""occasional"", ""common_urban"": ""ordinary"", ""rural"": ""ordinary"", ""fisher"": ""ordinary"", ""merchant"": ""ordinary"", ""boyar"": ""ordinary"", ""clergy_monastery"": ""ordinary"", ""military"": ""ordinary""}","[""pm_dry_storage_grain""]","[""POT0020"", ""HOU0025""]",months if sound,"[""off_odor"", ""mold_surface""]","[""spoiled"", ""damp""]",uncommon,contextual,2,medium,,direct_text,"[""master-food:FSRC004"", ""master-food:SRC027"", ""sources/master-archive-v1/data/normalized_source_tables/food_system/ingredients.csv:ING0004"", ""ext:gramota586""]",B,candidate,«гароусъ» в грамоте № 586 переводят как кислое вино/уксус — чтение не бесспорно
fd_rye_grain,ING0005,"Рожь, зерно",rye grain,Secale cereale,taxon:Secale cereale,flora,grain,raw_product,plant,fasting_allowed,content_food.grain.rye_grain,true,novgorod_land,local+import,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[8, 9, 10]",[],grain_year_round,sources/master-archive-v1/data/normalized_source_tables/food_system/food_seasonality.csv:ingredient:ING0005,"{""poor"": ""ordinary"", ""common_urban"": ""ordinary"", ""rural"": ""ordinary"", ""fisher"": ""ordinary"", ""merchant"": ""ordinary"", ""boyar"": ""ordinary"", ""clergy_monastery"": ""ordinary"", ""military"": ""ordinary""}","[""pm_drying"", ""pm_fermenting"", ""pm_dry_storage_grain""]","[""AGR0008"", ""AGR0009"", ""AGR0011"", ""HOU0015""]",months to about a year if dry,"[""damp"", ""moldy"", ""sprouted"", ""pest_damaged""]","[""stale"", ""moldy"", ""spoiled"", ""gnawed"", ""damp""]",common,common,4,low,,archaeological,"[""master-food:SRC044"", ""master-food:FSRC001"", ""master-food:SRC045"", ""master-food:SRC046"", ""sources/master-archive-v1/data/normalized_source_tables/food_system/ingredients.csv:ING0005"", ""ext:gramota943"", ""wk:claim:household-rye-commodity"", ""wk:claim:occupation-directed-grain-procurement"", ""sqlite:novgorod_1230:economy:зерно: рожь"", ""ext:kirjanova1979"", ""wk:claim:food-practices-rye-flour-bread""]",A,candidate,Приильменье и Верхняя Волга; местный урожай и ввоз
fd_wheat_grain,ING0006,"Пшеница, зерно",wheat grain,Triticum aestivum,taxon:Triticum aestivum,flora,grain,raw_product,plant,fasting_allowed,content_food.grain.wheat_grain,true,novgorod_land,local+import,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[8, 9, 10]",[],grain_year_round,sources/master-archive-v1/data/normalized_source_tables/food_system/food_seasonality.csv:ingredient:ING0006,"{""poor"": ""occasional"", ""common_urban"": ""ordinary"", ""rural"": ""ordinary"", ""fisher"": ""ordinary"", ""merchant"": ""ordinary"", ""boyar"": ""ordinary"", ""clergy_monastery"": ""ordinary"", ""military"": ""ordinary""}","[""pm_drying"", ""pm_fermenting"", ""pm_dry_storage_grain""]","[""AGR0008"", ""AGR0009"", ""AGR0011"", ""HOU0015""]",months to about a year if dry,"[""damp"", ""moldy"", ""sprouted"", ""pest_damaged""]","[""stale"", ""moldy"", ""spoiled"", ""gnawed"", ""damp""]",uncommon,contextual,2,medium,,archaeological,"[""master-food:SRC044"", ""master-food:FSRC001"", ""master-food:SRC045"", ""master-food:SRC046"", ""sources/master-archive-v1/data/normalized_source_tables/food_system/ingredients.csv:ING0006"", ""ext:kirjanova1979"", ""sqlite:novgorod_1230:economy:пшеница""]",A,candidate,Местные посевы (Кирьянова 1979) и ввоз с южных и суздальских рынков
fd_barley_grain,ING0007,"Ячмень, зерно",barley grain,Hordeum vulgare,taxon:Hordeum vulgare,flora,grain,raw_product,plant,fasting_allowed,content_food.grain.barley_grain,true,novgorod_land,local,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[8, 9, 10]",[],grain_year_round,sources/master-archive-v1/data/normalized_source_tables/food_system/food_seasonality.csv:ingredient:ING0007,"{""poor"": ""ordinary"", ""common_urban"": ""ordinary"", ""rural"": ""ordinary"", ""fisher"": ""ordinary"", ""merchant"": ""ordinary"", ""boyar"": ""ordinary"", ""clergy_monastery"": ""ordinary"", ""military"": ""ordinary""}","[""pm_drying"", ""pm_fermenting"", ""pm_dry_storage_grain""]","[""AGR0008"", ""AGR0009"", ""AGR0011"", ""HOU0015""]",months to about a year if dry,"[""damp"", ""moldy"", ""sprouted"", ""pest_damaged""]","[""stale"", ""moldy"", ""spoiled"", ""gnawed"", ""damp""]",common,common,4,low,,archaeological,"[""master-food:SRC044"", ""master-food:FSRC001"", ""master-food:SRC045"", ""master-food:SRC046"", ""sources/master-archive-v1/data/normalized_source_tables/food_system/ingredients.csv:ING0007"", ""ext:gramota943"", ""wk:claim:household-barley-commodity"", ""sqlite:novgorod_1230:economy:ячмень"", ""ext:kirjanova1979""]",A,candidate,
fd_oat_grain,ING0008,"Овёс, зерно",oat grain,Avena sativa,taxon:Avena sativa,flora,grain,raw_product,plant,fasting_allowed,content_food.grain.oat_grain,true,novgorod_land,local,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[8, 9, 10]",[],grain_year_round,sources/master-archive-v1/data/normalized_source_tables/food_system/food_seasonality.csv:ingredient:ING0008,"{""poor"": ""ordinary"", ""common_urban"": ""ordinary"", ""rural"": ""ordinary"", ""fisher"": ""ordinary"", ""merchant"": ""ordinary"", ""boyar"": ""ordinary"", ""clergy_monastery"": ""ordinary"", ""military"": ""ordinary""}","[""pm_drying"", ""pm_fermenting"", ""pm_dry_storage_grain""]","[""AGR0008"", ""AGR0009"", ""AGR0011"", ""HOU0015""]",months to about a year if dry,"[""damp"", ""moldy"", ""sprouted"", ""pest_damaged""]","[""stale"", ""moldy"", ""spoiled"", ""gnawed"", ""damp""]",common,common,4,low,,archaeological,"[""master-food:SRC044"", ""master-food:FSRC001"", ""master-food:SRC045"", ""master-food:SRC046"", ""sources/master-archive-v1/data/normalized_source_tables/food_system/ingredients.csv:ING0008"", ""sqlite:novgorod_1230:economy:овёс"", ""ext:kirjanova1979""]",A,candidate,
fd_millet_grain,ING0009,"Просо, зерно",millet grain,Panicum miliaceum,taxon:Panicum miliaceum,flora,grain,raw_product,plant,fasting_allowed,content_food.grain.millet_grain,true,novgorod_land,local+import,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[8, 9, 10]",[],grain_year_round,sources/master-archive-v1/data/normalized_source_tables/food_system/food_seasonality.csv:ingredient:ING0009,"{""poor"": ""ordinary"", ""common_urban"": ""ordinary"", ""rural"": ""ordinary"", ""fisher"": ""ordinary"", ""merchant"": ""ordinary"", ""boyar"": ""ordinary"", ""clergy_monastery"": ""ordinary"", ""military"": ""ordinary""}","[""pm_drying"", ""pm_fermenting"", ""pm_dry_storage_grain""]","[""AGR0008"", ""AGR0009"", ""AGR0011"", ""HOU0015""]",months to about a year if dry,"[""damp"", ""moldy"", ""sprouted"", ""pest_damaged""]","[""stale"", ""moldy"", ""spoiled"", ""gnawed"", ""damp""]",common,common,4,low,,archaeological,"[""master-food:SRC044"", ""master-food:FSRC001"", ""master-food:SRC045"", ""master-food:SRC046"", ""sources/master-archive-v1/data/normalized_source_tables/food_system/ingredients.csv:ING0009"", ""ext:kirjanova1979"", ""sqlite:novgorod_1230:economy:просо"", ""wk:claim:food-practices-millet-cleaning-waste""]",A,candidate,Местные посевы (убывают к XIII в.) и ввоз из более тёплых зон
fd_rye_groats,ING0010,Ржаная крупа,rye groats,Secale cereale,taxon:Secale cereale,flora,groats_flour,processed_product,plant,fasting_allowed,content_food.groats_flour.rye_groats,true,novgorod_land,local,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",[],[],stored_year_round,sources/master-archive-v1/data/normalized_source_tables/food_system/food_seasonality.csv:ingredient:ING0010,"{""poor"": ""ordinary"", ""common_urban"": ""ordinary"", ""rural"": ""ordinary"", ""fisher"": ""ordinary"", ""merchant"": ""ordinary"", ""boyar"": ""ordinary"", ""clergy_monastery"": ""ordinary"", ""military"": ""ordinary""}","[""pm_dry_storage_grain""]","[""HOU0015"", ""HOU0021"", ""AGR0009""]",weeks to months if dry,"[""damp"", ""moldy"", ""pest_damaged""]","[""stale"", ""moldy"", ""spoiled"", ""gnawed"", ""damp""]",common,common,4,low,,ingredient_based_reconstruction,"[""master-food:SRC044"", ""master-food:FSRC001"", ""master-food:SRC045"", ""master-food:SRC046"", ""sources/master-archive-v1/data/normalized_source_tables/food_system/ingredients.csv:ING0010"", ""ext:kirjanova1979"", ""wk:claim:food-practices-rye-flour-bread"", ""ext:gramota943""]",B,candidate,
