taxon_ref,name_lat,name_ru,kind,rank,fd_ids,expected_sibling_domain,sibling_id,source_refs,confidence,status
taxon:Secale cereale,Secale cereale,рожь посевная,flora,species,"[""fd_rye_grain"", ""fd_rye_groats"", ""fd_rye_flour_coarse"", ""fd_rye_flour_fine"", ""fd_rye_starter"", ""fd_sprouted_rye"", ""fd_bread_rye""]",flora_* / cultivated_plants (fl_id),,"[""ext:kirjanova1979"", ""wk:claim:food-practices-rye-flour-bread"", ""ext:gramota943""]",B,candidate
taxon:Triticum aestivum,Triticum aestivum,пшеница мягкая,flora,species,"[""fd_wheat_grain"", ""fd_wheat_groats"", ""fd_wheat_flour"", ""fd_wheat_dough"", ""fd_bread_wheat"", ""fd_flatbread_wheat""]",flora_* / cultivated_plants (fl_id),,"[""ext:kirjanova1979""]",B,candidate
taxon:Hordeum vulgare,Hordeum vulgare,ячмень,flora,species,"[""fd_barley_grain"", ""fd_barley_groats"", ""fd_barley_flour"", ""fd_sprouted_barley"", ""fd_porridge_barley""]",flora_* / cultivated_plants (fl_id),,"[""ext:kirjanova1979"", ""wk:claim:household-barley-commodity""]",B,candidate
taxon:Avena sativa,Avena sativa,овёс посевной,flora,species,"[""fd_oat_grain"", ""fd_oat_groats"", ""fd_oat_flour"", ""fd_porridge_oat""]",flora_* / cultivated_plants (fl_id),,"[""ext:kirjanova1979""]",B,candidate
taxon:Panicum miliaceum,Panicum miliaceum,просо,flora,species,"[""fd_millet_grain"", ""fd_millet_groats"", ""fd_porridge_millet""]",flora_* / cultivated_plants (fl_id),,"[""ext:kirjanova1979"", ""wk:claim:food-practices-millet-cleaning-waste""]",B,candidate
taxon:Humulus lupulus,Humulus lupulus,хмель,flora,species,"[""fd_hops""]",flora_* / cultivated_plants (fl_id),,"[""ext:gramota706"", ""ext:gramota709"", ""wk:claim:troitsky-gathered-plants-probably-link-to-southern-deciduous-woodland""]",B,candidate
taxon:Brassica rapa subsp. rapa,Brassica rapa subsp. rapa,репа,flora,subspecies,"[""fd_turnip"", ""fd_dried_turnip""]",flora_* / cultivated_plants (fl_id),,"[""master-food:SRC044""]",B,candidate
taxon:Brassica oleracea,Brassica oleracea,капуста,flora,species,"[""fd_cabbage"", ""fd_fermented_cabbage"", ""fd_cabbage_chopped"", ""fd_cabbage_in_brine"", ""fd_cabbage_brine""]",flora_* / cultivated_plants (fl_id),,"[""master-food:SRC044""]",B,candidate
taxon:Allium cepa,Allium cepa,лук репчатый,flora,species,"[""fd_onion"", ""fd_onion_greens""]",flora_* / cultivated_plants (fl_id),,"[""master-food:SRC044""]",B,candidate
taxon:Allium sativum,Allium sativum,чеснок,flora,species,"[""fd_garlic""]",flora_* / cultivated_plants (fl_id),,"[""master-food:SRC044""]",B,candidate
taxon:Apiaceae: Daucus carota | Pastinaca sativa (uncertain),Apiaceae: Daucus carota | Pastinaca sativa (uncertain),морковь или пастернак (осторожно),flora,uncertain_group,"[""fd_garden_root""]",flora_* / cultivated_plants (fl_id),,"[""master-food:SRC044""]",C,candidate
taxon:Cucumis sativus,Cucumis sativus,огурец (осторожно),flora,species,"[""fd_cucumber""]",flora_* / cultivated_plants (fl_id),,"[""master-food:SRC044""]",B,candidate
taxon:Pisum sativum,Pisum sativum,горох,flora,species,"[""fd_peas_dry"", ""fd_peas_boiled"", ""fd_pea_flour""]",flora_* / cultivated_plants (fl_id),,"[""ext:kirjanova1979""]",B,candidate
taxon:Fabaceae: Pisum | Vicia faba | Lens culinaris,Fabaceae: Pisum | Vicia faba | Lens culinaris,зернобобовые смесь,flora,group,"[""fd_mixed_legumes"", ""fd_beans_lentils_uncertain""]",flora_* / cultivated_plants (fl_id),,"[""ext:kirjanova1979""]",C,candidate
taxon:Vicia faba var. minor,Vicia faba var. minor,бобы кормовые мелкосемянные,flora,variety,"[""fd_faba_bean_small""]",flora_* / cultivated_plants (fl_id),,"[""ext:kirjanova1979""]",B,candidate
taxon:Lens culinaris,Lens culinaris,чечевица мелкосемянная,flora,species,"[""fd_lentil_small""]",flora_* / cultivated_plants (fl_id),,"[""ext:kirjanova1979""]",B,candidate
taxon:Fagopyrum esculentum,Fagopyrum esculentum,гречиха,flora,species,"[""fd_buckwheat_grain""]",flora_* / cultivated_plants (fl_id),,"[""ext:kirjanova1979""]",B,candidate
"taxon:multiple wild greens (Urtica, Rumex, Aegopodium, Atriplex)","multiple wild greens (Urtica, Rumex, Aegopodium, Atriplex)",дикая зелень смесь,flora,group,"[""fd_edible_wild_greens"", ""fd_aromatic_herbs"", ""fd_dried_herbs""]",flora_* / cultivated_plants (fl_id),,"[""master-food:SRC044""]",C,candidate
taxon:Urtica dioica,Urtica dioica,крапива двудомная,flora,species,"[""fd_nettle_greens""]",flora_* / cultivated_plants (fl_id),,"[""master-food:SRC044""]",B,candidate
taxon:Rumex acetosa,Rumex acetosa,щавель кислый,flora,species,"[""fd_sorrel_greens""]",flora_* / cultivated_plants (fl_id),,"[""master-food:SRC044""]",B,candidate
taxon:Aegopodium podagraria,Aegopodium podagraria,сныть,flora,species,"[""fd_goutweed_greens""]",flora_* / cultivated_plants (fl_id),,"[""master-food:SRC044""]",B,candidate
taxon:Atriplex spp. / Chenopodium album,Atriplex spp. / Chenopodium album,лебеда,flora,genus_group,"[""fd_orache_greens"", ""fd_goosefoot_seed_famine""]",flora_* / cultivated_plants (fl_id),,"[""master-food:SRC044"", ""ext:stepanova2014""]",C,candidate
taxon:Fungi: edible macrofungi (species unspecified),Fungi: edible macrofungi (species unspecified),съедобные грибы,fungi,group,"[""fd_mushrooms_fresh"", ""fd_mushrooms_dried""]",flora_berries_mushrooms (fl_id),,"[""master-food:SRC045"", ""master-food:SRC046""]",C,candidate
taxon:Rubus idaeus,Rubus idaeus,малина,flora,species,"[""fd_raspberry""]",flora_* / cultivated_plants (fl_id),,"[""master-food:FSRC001"", ""wk:claim:troitsky-gathered-plants-probably-link-to-southern-deciduous-woodland""]",B,candidate
taxon:Vaccinium myrtillus,Vaccinium myrtillus,черника,flora,species,"[""fd_bilberry""]",flora_* / cultivated_plants (fl_id),,"[""master-food:FSRC001"", ""wk:claim:troitsky-bilberry-incidence-indicates-northern-heath-clearing-exploitation""]",B,candidate
taxon:Vaccinium vitis-idaea,Vaccinium vitis-idaea,брусника,flora,species,"[""fd_lingonberry""]",flora_* / cultivated_plants (fl_id),,"[""master-food:FSRC001""]",B,candidate
taxon:Vaccinium oxycoccos,Vaccinium oxycoccos,клюква,flora,species,"[""fd_cranberry""]",flora_* / cultivated_plants (fl_id),,"[""master-food:FSRC001""]",B,candidate
taxon:Ribes spp.,Ribes spp.,смородина,flora,genus,"[""fd_currant""]",flora_* / cultivated_plants (fl_id),,"[""master-food:FSRC001""]",B,candidate
taxon:Fragaria vesca,Fragaria vesca,земляника лесная,flora,species,"[""fd_wild_strawberry""]",flora_* / cultivated_plants (fl_id),,"[""master-food:FSRC001"", ""wk:claim:troitsky-gathered-plants-probably-link-to-southern-deciduous-woodland""]",B,candidate
taxon:Rubus chamaemorus,Rubus chamaemorus,морошка,flora,species,"[""fd_cloudberry""]",flora_* / cultivated_plants (fl_id),,"[""master-food:FSRC001""]",B,candidate
taxon:Sorbus aucuparia,Sorbus aucuparia,рябина,flora,species,"[""fd_rowan_berry""]",flora_* / cultivated_plants (fl_id),,"[""master-food:FSRC001""]",B,candidate
taxon:Prunus cerasus,Prunus cerasus,вишня,flora,species,"[""fd_cherry""]",flora_* / cultivated_plants (fl_id),,"[""master-food:FSRC001"", ""ext:gramota586""]",B,candidate
