meal_set_id,slug,name_ru,recipe_ids,food_item_ids,drink_recipe_ids,drink_ids,social_scope,season,context,historical_confidence,modifier_ref,notes
MLS001,poor_morning,Бедная утренняя еда,"[""RCP0029""]","[""FOD0036""]","[""RCP0243""]","[""FMA0001""]","[""poor"",""common""]","[""spring"",""summer"",""autumn"",""winter""]",morning_meal,B,,Малая порция; хлеб не гарантирован.
MLS002,common_urban_morning,Обычная городская утренняя еда,"[""RCP0020"",""RCP0033""]","[""FOD0001"",""FOD0034""]","[""RCP0243""]","[""FMA0001""]","[""common"",""urban""]","[""spring"",""summer"",""autumn"",""winter""]",morning_meal,B,,
MLS003,artisan_working_meal,Рабочая еда ремесленника,"[""RCP0020"",""RCP0074""]","[""FOD0001"",""FMA0059""]","[""RCP0239""]","[""FOD0057""]","[""common"",""artisan""]","[""spring"",""summer"",""autumn"",""winter""]",working_day_meal,B,,
MLS004,fisher_meal,Рыбацкая еда,"[""RCP0020"",""RCP0194""]","[""FOD0001"",""FMA0056""]","[""RCP0243""]","[""FMA0001""]","[""fisher"",""common""]","[""spring"",""summer"",""autumn"",""winter""]",shore_or_household_meal,B,,
MLS005,merchant_meal,Купеческая еда,"[""RCP0021"",""RCP0173"",""RCP0089""]","[""FOD0002"",""FMA0079"",""FMA0061""]","[""RCP0241""]","[""FOD0058""]","[""merchant"",""wealthy""]","[""spring"",""summer"",""autumn"",""winter""]",urban_household_or_guest_meal,B,,
MLS006,boyar_feast,Боярское застолье без фэнтезийной роскоши,"[""RCP0022"",""RCP0140"",""RCP0189"",""RCP0246""]","[""FOD0054"",""FMA0073"",""FMA0079"",""FMA0082""]","[""RCP0245"",""RCP0241""]","[""FOD0056"",""FOD0058""]","[""boyar"",""elite""]","[""autumn"",""winter""]",feast_day,C,,"Богатство выражено качеством зерна, рыбой, мясом, мёдом и импортом, а не поздним сервировочным каноном."
MLS007,strict_fast_day,Строгий постный день,"[""RCP0020"",""RCP0087"",""RCP0090""]","[""FOD0001"",""FMA0058"",""FMA0062""]","[""RCP0243""]","[""FMA0001""]","[""common"",""monastery""]","[""spring"",""summer"",""autumn"",""winter""]",strict_fast_day,B,,
MLS008,fish_permitted_fast_day,Постный день с рыбой,"[""RCP0020"",""RCP0196"",""RCP0085""]","[""FOD0001"",""FMA0056"",""OMI01448""]","[""RCP0243""]","[""FMA0001""]","[""common"",""monastery""]","[""spring"",""summer"",""autumn"",""winter""]",fish_permitted_fast_day,B,,
MLS009,skoromny_day,Скоромный день,"[""RCP0020"",""RCP0045"",""RCP0131""]","[""FOD0001"",""FOD0036"",""FMA0072""]","[""RCP0244""]","[""FOD0005""]","[""common"",""wealthy""]","[""autumn"",""winter""]",ordinary_day,B,,
MLS010,monastery_meal,Монастырский приём пищи,"[""RCP0020"",""RCP0070"",""RCP0087""]","[""FOD0001"",""FMA0054"",""FMA0058""]","[""RCP0243""]","[""FMA0001""]","[""monastery""]","[""spring"",""summer"",""autumn"",""winter""]",monastery_rule,B,,Рыба и масло добавляются только при разрешённом календарном контексте.
