link_id,recipe_id,ingredient_id,item_id,role,display_order
RIL000001,RCP0001,ING0005,FOD0051,required,1
RIL000002,RCP0002,ING0005,FOD0051,required,1
RIL000003,RCP0003,ING0005,FOD0051,required,1
RIL000004,RCP0004,ING0006,FOD0021,required,1
RIL000005,RCP0005,ING0006,FOD0021,required,1
RIL000006,RCP0006,ING0006,FOD0021,required,1
RIL000007,RCP0007,ING0007,FOD0022,required,1
RIL000008,RCP0008,ING0007,FOD0022,required,1
RIL000009,RCP0009,ING0007,FOD0022,required,1
RIL000010,RCP0010,ING0008,FOD0050,required,1
RIL000011,RCP0011,ING0008,FOD0050,required,1
RIL000012,RCP0012,ING0008,FOD0050,required,1
RIL000013,RCP0013,ING0009,FOD0023,required,1
RIL000014,RCP0014,ING0009,FOD0023,required,1
RIL000015,RCP0015,ING0022,OMI01308,required,1
RIL000016,RCP0015,ING0015,OMI01294,required,2
RIL000017,RCP0015,ING0001,FMA0001,required,3
RIL000018,RCP0016,ING0024,OMI01310,required,1
RIL000019,RCP0017,ING0015,OMI01294,required,1
RIL000020,RCP0017,ING0001,FMA0001,required,2
RIL000021,RCP0017,ING0022,OMI01308,required,3
RIL000022,RCP0017,ING0003,FOD0037,optional,1
RIL000023,RCP0018,ING0020,OMI01299,required,1
RIL000024,RCP0018,ING0001,FMA0001,required,2
RIL000025,RCP0018,ING0022,OMI01308,required,3
RIL000026,RCP0018,ING0003,FOD0037,optional,1
RIL000027,RCP0019,ING0017,OMI01298,required,1
RIL000028,RCP0019,ING0001,FMA0001,required,2
RIL000029,RCP0019,ING0023,OMI01309,required,3
RIL000030,RCP0019,ING0003,FOD0037,optional,1
RIL000031,RCP0020,ING0024,OMI01310,required,1
RIL000032,RCP0020,ING0003,FOD0037,optional,1
RIL000033,RCP0021,ING0025,OMI01311,required,1
RIL000034,RCP0021,ING0003,FOD0037,optional,1
RIL000035,RCP0022,ING0026,OMI01312,required,1
RIL000036,RCP0022,ING0003,FOD0037,optional,1
RIL000037,RCP0023,ING0015,OMI01294,required,1
RIL000038,RCP0023,ING0001,FMA0001,required,2
RIL000039,RCP0023,ING0003,FOD0037,optional,1
RIL000040,RCP0023,ING0022,OMI01308,optional,2
RIL000041,RCP0024,ING0018,OMI01297,required,1
RIL000042,RCP0024,ING0001,FMA0001,required,2
RIL000043,RCP0024,ING0003,FOD0037,optional,1
RIL000044,RCP0024,ING0022,OMI01308,optional,2
RIL000045,RCP0025,ING0019,OMI01296,required,1
RIL000046,RCP0025,ING0001,FMA0001,required,2
RIL000047,RCP0025,ING0003,FOD0037,optional,1
RIL000048,RCP0025,ING0022,OMI01308,optional,2
RIL000049,RCP0026,ING0017,OMI01298,required,1
RIL000050,RCP0026,ING0001,FMA0001,required,2
RIL000051,RCP0026,ING0003,FOD0037,optional,1
RIL000052,RCP0026,ING0022,OMI01308,optional,2
RIL000053,RCP0027,ING0020,OMI01299,required,1
RIL000054,RCP0027,ING0001,FMA0001,required,2
RIL000055,RCP0027,ING0003,FOD0037,optional,1
RIL000056,RCP0027,ING0022,OMI01308,optional,2
RIL000057,RCP0028,ING0027,OMI01313,required,1
RIL000058,RCP0028,ING0082,FOD0009,optional,1
RIL000059,RCP0028,ING0081,OMI01476,optional,2
RIL000060,RCP0029,ING0011,OMI01291,required,1
RIL000061,RCP0029,ING0001,FMA0001,required,2
RIL000062,RCP0029,ING0003,FOD0037,optional,1
RIL000063,RCP0030,ING0011,OMI01291,required,1
RIL000064,RCP0030,ING0001,FMA0001,required,2
RIL000065,RCP0030,ING0003,FOD0037,optional,1
RIL000066,RCP0031,ING0011,OMI01291,required,1
RIL000067,RCP0031,ING0001,FMA0001,required,2
RIL000068,RCP0031,ING0003,FOD0037,optional,1
RIL000069,RCP0032,ING0012,OMI01292,required,1
RIL000070,RCP0032,ING0001,FMA0001,required,2
RIL000071,RCP0032,ING0003,FOD0037,optional,1
RIL000072,RCP0033,ING0012,OMI01292,required,1
RIL000073,RCP0033,ING0001,FMA0001,required,2
RIL000074,RCP0033,ING0003,FOD0037,optional,1
RIL000075,RCP0034,ING0012,OMI01292,required,1
RIL000076,RCP0034,ING0001,FMA0001,required,2
RIL000077,RCP0034,ING0003,FOD0037,optional,1
RIL000078,RCP0035,ING0013,OMI01293,required,1
RIL000079,RCP0035,ING0001,FMA0001,required,2
RIL000080,RCP0035,ING0003,FOD0037,optional,1
RIL000081,RCP0036,ING0013,OMI01293,required,1
RIL000082,RCP0036,ING0001,FMA0001,required,2
RIL000083,RCP0036,ING0003,FOD0037,optional,1
RIL000084,RCP0037,ING0013,OMI01293,required,1
RIL000085,RCP0037,ING0001,FMA0001,required,2
RIL000086,RCP0037,ING0003,FOD0037,optional,1
RIL000087,RCP0038,ING0010,OMI01290,required,1
RIL000088,RCP0038,ING0001,FMA0001,required,2
