state_id,name_ru
whole,целый
cleaned,перебранный / очищенный
washed,промытый
peeled,очищенный от кожуры
chopped,нарезанный / рубленый
crushed,дроблёный
ground,размолотый
flour,мука
soaked,замоченный
sprouted,пророщенный
malted,осоложенный
boiled,варёный
baked,печёный
roasted,обжаренный у жара / на вертеле
fried,жаренный в сосуде
stewed,томлёный / тушёный в сосуде
dried,сушёный
salted,солёный
fermented,ферментированный
smoked,подвергнутый сознательному копчению
soured,скисший контролируемо
strained,процеженный
pressed,отжатый / под гнётом
aged,выдержанный
