hf_id,name_ru,office,office_start,office_end,period_note,event_refs,location_refs,significance,source_refs,confidence,status,note
hf_sql_r01,Михаил Всеволодович Черниговский,князь Новгородский до отъезда,1230-01-01,1230-06-30,Начало 1230,,Новгород,"Оставил сына Ростислава, провёл его княжеский постриг в Софии; примирился с Ярославом.","НПЛ (Насонов 1950; Michell & Forbes 1914) via sqlite novgorod_1230(1).persons_1230[R01], sources=S01",A,candidate,"office_end — верхняя граница диапазона ""1230-05/06"" (""Постриг Ростислава и отъезд Михаила"", sqlite novgorod_1230(1).events, confidence A, S01), не утверждённый точный день (в отличие от прежней версии, где 1230-06-30 стоял без этой оговорки). period_1230 отдельно даёт более грубое ""Начало 1230"". Сын Ростислав (R02) остаётся номинальным князем до 8 дек. 1230 отдельным окном."
hf_sql_r02,Ростислав Михайлович,княжич/номинальный князь,1230-01-01,1230-12-31,большая часть 1230 до декабря,,Новгород,"Оставлен отцом в Новгороде; 8 декабря ушёл с Внездом в Торжок; затем изгнан.","НПЛ (Насонов 1950; Michell & Forbes 1914) via sqlite novgorod_1230(1).persons_1230[R02], sources=S01",A,candidate,
hf_sql_r03,Ярослав Всеволодович,приглашённый князь,1230-12-30,1236-12-31,с 30 декабря 1230,,Новгород,"Принят «на всей воле новгородской», целовал крест на грамотах; вскоре оставил сыновей.","НПЛ (Насонов 1950; Michell & Forbes 1914) via sqlite novgorod_1230(1).persons_1230[R03], sources=S01",A,candidate,"office_end скорректирован с 1246-12-31 (год смерти, ошибочно взятый как конец новгородского княжения) на 1236-12-31: книжные свидетельства (book:378072 §Нашествие иноземцев ¶464 ""князь новгородский с 1236"" — про сына Александра) и книжные свидетельства (book:566840 §Хронологическая таблица ¶1878 ""4-е княжение в Новгороде с 30 дек. 1230"") согласуются с окном 1230-12-30..1236, тем же, что в polities_external_relations этой группы. После 1236 г. Ярослав остаётся великим князем Владимирским/старшим князем, но не резидентным новгородским князем — это отдельная роль, не описанная этой строкой. | расширение окна по draft rus13tpl novgorod_key_npc_seeds_v1: hist_npc_yaroslav_vsevolodovich (1230-1246)"
hf_sql_r04,Фёдор Ярославич,княжич,1231-01-01,1233-06-10,конец 1230,,Новгород,Оставлен отцом в Новгороде.,"НПЛ (Насонов 1950; Michell & Forbes 1914) via sqlite novgorod_1230(1).persons_1230[R04], sources=S01",A,candidate,"office_start скорректирован с 1230-01-01 (""конец 1230"" в period_1230 не давало точного дня) на 1231-01-01 по book:566840 §Хронологическая таблица ¶1879 (""в январе 1231 княжичи прибыли в Новгород как наместники""). office_end сужен с 1233-12-31 до точной даты смерти 1233-06-10 (book:667380 §Приложение 2 ¶489 ""старший сын Ярослава Фёдор скончался 10 июня 1233 г.""; book:566840 §Хронологическая таблица ¶1890). | расширение окна по draft rus13tpl novgorod_key_npc_seeds_v1: hist_npc_fedor_yaroslavich (1230-1233)"
hf_sql_r05,Александр Ярославич,"княжич, будущий Невский",1231-01-01,1250-12-31,конец 1230,,Новгород,Оставлен отцом в Новгороде вместе с братом Фёдором.,"НПЛ (Насонов 1950; Michell & Forbes 1914) via sqlite novgorod_1230(1).persons_1230[R05], sources=S01",A,candidate,"office_start скорректирован с 1230-01-01 на 1231-01-01 тем же основанием, что и у Фёдора (R04): book:566840 §Хронологическая таблица ¶1879 датирует прибытие княжичей-наместников январём 1231, а не ""концом 1230"" из period_1230. | расширение окна по draft rus13tpl novgorod_key_npc_seeds_v1: hist_npc_aleksandr_yaroslavich (1236-1240;1241-1250)"
hf_sql_r06,Спиридон,архиепископ Новгородский,1230-05-19,1249-12-31,с 19 мая 1230,,Новгород,"Прибыл после поставления в Киеве; организовал скудельницу во время голода.","НПЛ (Насонов 1950; Michell & Forbes 1914) via sqlite novgorod_1230(1).persons_1230[R06], sources=S01",A,candidate,| расширение окна по draft rus13tpl novgorod_key_npc_seeds_v1: hist_npc_spiridon_archbishop (1230-1249)
hf_sql_r07,Внезд Водовик,посадник,1230-01-01,1230-12-08,до 8–9 декабря 1230,,Новгород,"Лидер михайловской партии; конфликт со Степаном; связан с убийствами и разгромами; ушёл в Торжок.","НПЛ (Насонов 1950; Michell & Forbes 1914) via sqlite novgorod_1230(1).persons_1230[R07], sources=S01",A,candidate,
hf_sql_r08,Степан Твердиславич,"боярин Прусской улицы; посадник",1230-12-09,1243-08-16,с 9 декабря 1230,,Новгород,"Победитель политической борьбы; получил посадничество.","НПЛ (Насонов 1950; Michell & Forbes 1914) via sqlite novgorod_1230(1).persons_1230[R08], sources=S01",A,candidate,"office_end скорректирован с 1240-12-31 (артефакт парсинга ""1240-е"" из draft) на дату смерти в должности 16.08.1243 — book:667380 §Приложение 2 ¶499 ""скончался 16 авг. 1243; посадничал без трёх месяцев 13 лет""; book:378072 §Нашествие иноземцев ¶478 ""ум. 16.08.1243; посадник 1230–1243"". | расширение окна по draft rus13tpl novgorod_key_npc_seeds_v1: hist_npc_stepan_tverdislavich (1230-1240-е)"
hf_sql_r09,Микита Петрилович,тысяцкий,1230-12-09,1230-12-31,с декабря 1230,,Новгород,Получил тысяцкое при смене власти.,"НПЛ (Насонов 1950; Michell & Forbes 1914) via sqlite novgorod_1230(1).persons_1230[R09], sources=S01;S22",A,candidate,"office_start скорректирован с 1230-01-01 на 1230-12-09 (не 1230-12-01: точный день месяца в period_1230 ""с декабря 1230"" не дан, но sqlite.events, confidence A, S01, датирует смену власти ""1230-12: Степан — посадник, Микита — тысяцкий"" тем же днём, что назначение Степана посадником — 9 дек. 1230, тем же днём кончается тысяцкое предшественника hf_book_boris_negochevich); согласуется с book:667380 §Приложение 2 ¶486."
hf_sql_r10,Иван Тимошкинич,"боярин, сторонник Степана",1230-01-01,1230-12-31,1230,,Новгород,"Избит сторонниками Внезда; затем Внезд сбросил его в Волхов.","НПЛ (Насонов 1950; Michell & Forbes 1914) via sqlite novgorod_1230(1).persons_1230[R10], sources=S01",A,candidate,
