ps_id,role_or_occupation_ref,ref_kind,temperament_weights,values_weights,motives,fears,risk_traits,fears_motives_note,initial_mood_rules,derivation_rule,source_refs,confidence
ps_occ_nov_occ_princely_service_agent,nov_occ_princely_service_agent,occupation,"{""calm"": 1, ""hot_tempered"": 6, ""assertive"": 1}","{""honour"": 1}",[],[],"{""theft"": ""unspecified"", ""violence"": ""high"", ""witness"": ""unspecified""}",common_goals/common_fears (occupations TSV) are identical template text across all rows (distinct=1) — not used; no per-occupation motive/fear source available (gap).,baseline=calm=1; see derivation_rule for the categorical weight table (no invented per-row numbers),"categorical table over occupation_group, typical_status_range (via wealth_band), combat_likelihood, violence_risk; see build.py:rule_temperament_values_from_occ",novgorod_occupations_v1_enriched.tsv#nov_occ_princely_service_agent,C
ps_occ_nov_occ_druzhina_warrior,nov_occ_druzhina_warrior,occupation,"{""calm"": 1, ""hot_tempered"": 6, ""assertive"": 1}","{""honour"": 1}",[],[],"{""theft"": ""unspecified"", ""violence"": ""high"", ""witness"": ""unspecified""}",common_goals/common_fears (occupations TSV) are identical template text across all rows (distinct=1) — not used; no per-occupation motive/fear source available (gap).,baseline=calm=1; see derivation_rule for the categorical weight table (no invented per-row numbers),"categorical table over occupation_group, typical_status_range (via wealth_band), combat_likelihood, violence_risk; see build.py:rule_temperament_values_from_occ",novgorod_occupations_v1_enriched.tsv#nov_occ_druzhina_warrior,C
ps_occ_nov_occ_junior_retainer,nov_occ_junior_retainer,occupation,"{""calm"": 1, ""hot_tempered"": 6}","{""honour"": 1}",[],[],"{""theft"": ""unspecified"", ""violence"": ""high"", ""witness"": ""unspecified""}",common_goals/common_fears (occupations TSV) are identical template text across all rows (distinct=1) — not used; no per-occupation motive/fear source available (gap).,baseline=calm=1; see derivation_rule for the categorical weight table (no invented per-row numbers),"categorical table over occupation_group, typical_status_range (via wealth_band), combat_likelihood, violence_risk; see build.py:rule_temperament_values_from_occ",novgorod_occupations_v1_enriched.tsv#nov_occ_junior_retainer,C
ps_occ_nov_occ_gate_guard,nov_occ_gate_guard,occupation,"{""calm"": 1, ""hot_tempered"": 6}","{""honour"": 1}",[],[],"{""theft"": ""unspecified"", ""violence"": ""high"", ""witness"": ""unspecified""}",common_goals/common_fears (occupations TSV) are identical template text across all rows (distinct=1) — not used; no per-occupation motive/fear source available (gap).,baseline=calm=1; see derivation_rule for the categorical weight table (no invented per-row numbers),"categorical table over occupation_group, typical_status_range (via wealth_band), combat_likelihood, violence_risk; see build.py:rule_temperament_values_from_occ",novgorod_occupations_v1_enriched.tsv#nov_occ_gate_guard,C
ps_occ_nov_occ_market_guard,nov_occ_market_guard,occupation,"{""calm"": 1, ""hot_tempered"": 6}","{""honour"": 1}",[],[],"{""theft"": ""unspecified"", ""violence"": ""high"", ""witness"": ""unspecified""}",common_goals/common_fears (occupations TSV) are identical template text across all rows (distinct=1) — not used; no per-occupation motive/fear source available (gap).,baseline=calm=1; see derivation_rule for the categorical weight table (no invented per-row numbers),"categorical table over occupation_group, typical_status_range (via wealth_band), combat_likelihood, violence_risk; see build.py:rule_temperament_values_from_occ",novgorod_occupations_v1_enriched.tsv#nov_occ_market_guard,C
ps_occ_nov_occ_crossing_guard,nov_occ_crossing_guard,occupation,"{""calm"": 1, ""withdrawn"": 1, ""hot_tempered"": 3, ""wary"": 1}","{""safety"": 1}",[],[],"{""theft"": ""unspecified"", ""violence"": ""medium_high"", ""witness"": ""unspecified""}",common_goals/common_fears (occupations TSV) are identical template text across all rows (distinct=1) — not used; no per-occupation motive/fear source available (gap).,baseline=calm=1; see derivation_rule for the categorical weight table (no invented per-row numbers),"categorical table over occupation_group, typical_status_range (via wealth_band), combat_likelihood, violence_risk; see build.py:rule_temperament_values_from_occ",novgorod_occupations_v1_enriched.tsv#nov_occ_crossing_guard,C
ps_occ_nov_occ_toll_dues_collector,nov_occ_toll_dues_collector,occupation,"{""calm"": 1, ""assertive"": 1, ""hot_tempered"": 1, ""wary"": 1}","{""honour"": 1}",[],[],"{""theft"": ""unspecified"", ""violence"": ""medium"", ""witness"": ""unspecified""}",common_goals/common_fears (occupations TSV) are identical template text across all rows (distinct=1) — not used; no per-occupation motive/fear source available (gap).,baseline=calm=1; see derivation_rule for the categorical weight table (no invented per-row numbers),"categorical table over occupation_group, typical_status_range (via wealth_band), combat_likelihood, violence_risk; see build.py:rule_temperament_values_from_occ",novgorod_occupations_v1_enriched.tsv#nov_occ_toll_dues_collector,C
ps_occ_nov_occ_court_clerk_service,nov_occ_court_clerk_service,occupation,"{""calm"": 1, ""assertive"": 1, ""hot_tempered"": 1, ""wary"": 1}","{""honour"": 1}",[],[],"{""theft"": ""unspecified"", ""violence"": ""medium"", ""witness"": ""unspecified""}",common_goals/common_fears (occupations TSV) are identical template text across all rows (distinct=1) — not used; no per-occupation motive/fear source available (gap).,baseline=calm=1; see derivation_rule for the categorical weight table (no invented per-row numbers),"categorical table over occupation_group, typical_status_range (via wealth_band), combat_likelihood, violence_risk; see build.py:rule_temperament_values_from_occ",novgorod_occupations_v1_enriched.tsv#nov_occ_court_clerk_service,C
ps_occ_nov_occ_posadnik_household_service,nov_occ_posadnik_household_service,occupation,"{""calm"": 1, ""assertive"": 1, ""hot_tempered"": 1, ""wary"": 1}","{""honour"": 1}",[],[],"{""theft"": ""unspecified"", ""violence"": ""medium"", ""witness"": ""unspecified""}",common_goals/common_fears (occupations TSV) are identical template text across all rows (distinct=1) — not used; no per-occupation motive/fear source available (gap).,baseline=calm=1; see derivation_rule for the categorical weight table (no invented per-row numbers),"categorical table over occupation_group, typical_status_range (via wealth_band), combat_likelihood, violence_risk; see build.py:rule_temperament_values_from_occ",novgorod_occupations_v1_enriched.tsv#nov_occ_posadnik_household_service,C
ps_occ_nov_occ_tysyatsky_public_order,nov_occ_tysyatsky_public_order,occupation,"{""calm"": 1, ""assertive"": 2, ""hot_tempered"": 1, ""wary"": 1}","{""honour"": 1}",[],[],"{""theft"": ""unspecified"", ""violence"": ""medium"", ""witness"": ""unspecified""}",common_goals/common_fears (occupations TSV) are identical template text across all rows (distinct=1) — not used; no per-occupation motive/fear source available (gap).,baseline=calm=1; see derivation_rule for the categorical weight table (no invented per-row numbers),"categorical table over occupation_group, typical_status_range (via wealth_band), combat_likelihood, violence_risk; see build.py:rule_temperament_values_from_occ",novgorod_occupations_v1_enriched.tsv#nov_occ_tysyatsky_public_order,C
