sn_id,norm_kind,trigger_act,reaction_by_role,legal_weight_ref,repair_options,applies_to_roles,attestation,source_refs,confidence
sn_wk_rp-minor-children-conditional-care,family_property,extended_pravda_93_minor_children_mother_remarriage_nearest_relative_care_house_goods,[],russkaya_pravda_extended,,,evidence:rp-household-art93;evidence:rp-dating,wk:family-social-context.json#claim:rp-minor-children-conditional-care,B
sn_wk_rp-caretaker-principal-goods,family_property,extended_pravda_93_return_childrens_principal_goods_gain_linked_to_feeding_and_care,[],russkaya_pravda_extended,,,evidence:rp-household-art93;evidence:rp-dating,wk:family-social-context.json#claim:rp-caretaker-principal-goods,B
sn_wk_rp-mother-household-care-succession,family_property,extended_pravda_96_no_disposition_maternal_portion_to_household_carer,[],russkaya_pravda_extended,,,evidence:rp-household-art96;evidence:rp-dating,wk:family-social-context.json#claim:rp-mother-household-care-succession,B
sn_wk_social-spousal-complaint-reports-marital-treatment,social_law_economy,wk:social_law_economy:asserted-marital-treatment,[],,,,evidence:gramota9,wk:family-social-context.json#claim:social-spousal-complaint-reports-marital-treatment,B
sn_wk_social-collector-instruction-relates-task-context,social_law_economy,wk:social_law_economy:collector-task-context,[],,,,evidence:gramota7,wk:family-social-context.json#claim:social-collector-instruction-relates-task-context,B
sn_wk_social-priest-fragment-relates-office-address,social_law_economy,wk:social_law_economy:religious-office-address,[],,,,evidence:gramota87,wk:family-social-context.json#claim:social-priest-fragment-relates-office-address,B
sn_wk_social-settlement-demand-reports-court-choice,social_law_economy,wk:social_law_economy:settlement-or-court-choice,[],,,,evidence:gramota112,wk:family-social-context.json#claim:social-settlement-demand-reports-court-choice,B
sn_wk_social-podvoisky-letter-reports-pochestie-assurance,social_law_economy,wk:social_law_economy:conditional-pochestie-assurance,[],,,,evidence:gramota147,wk:family-social-context.json#claim:social-podvoisky-letter-reports-pochestie-assurance,B
sn_rp_beard,insult,вырывание бороды/усов при свидетелях,[],продажа (штраф) 12 гривен князю — тяжкое бесчестье,штраф князю; публичного извинения недостаточно (нет отдельного источника на это последнее утверждение — общее место в изданиях памятника),любой свободный,"Русская Правда, Пространная редакция, статьи об оскорблении действием","book:641351 §2821 (РУССКАЯ ПРАВДА, ПРОСТРАННАЯ РЕДАКЦИЯ > ПЕРЕВОД), c1230: «Повреждение бороды при свидетелях — 12 гривен штрафа князю (тяжкое бесчестье)»",B
sn_rp_blunt_sword,insult,"удар батогом, чашей, рогом либо тыльной стороной оружия",[],"продажа (штраф) 12 гривен князю — бесчестье приравнено к удару, тяжесть по статусу и способу, а не по физической боли",штраф князю,любой свободный,"Русская Правда, Пространная редакция, статьи об оскорблении действием","book:641351 §2776 (РУССКАЯ ПРАВДА, ПРОСТРАННАЯ РЕДАКЦИЯ > ПЕРЕВОД), c1230: «Удар батогом, чашей, рогом или тыльной стороной оружия — 12 гривен (бесчестье)»",B
