it_id,name_ru,name_en,category_id,category_status,category_scope,region_permission,subcategory,item_group,material,technique,size_band,mass_rule,mass_g_nominal,mass_basis,quantity_unit,condition_states,condition_vocab_ref,perceptual_cues,functions,typical_owner_roles,value_band,carry_form,mark_slots,identifying_text_slot,v5_item_template_ref,v5_container_template_ref,master_refs,wk_refs,attestation,source_refs,confidence,status,note
it_hh_wooden_spoon,Деревянная ложка,wooden spoon,cat_item_object_wooden_spoon_v1,existing_v5_draft,universal,region_novgorod_land,tableware_wood,HH_TABLEWARE,wood,carved,tiny,band:tiny [1-50 g per piece]; nominal 25 g,25,v5:item_tpl_nov_wooden_spoon_v1.mass_grams_per_unit (src_gameplay_physical_policy_v3),piece,new;serviceable;worn;cracked;split;repaired;charred;damp_swollen;rotting;broken,cond_wood,"цвет: серо-коричневая керамика, дерево, тёмный металл | устройство: резьба ножом и теслом, шлифовка | следы: сколы, копоть, следы пищи, обручи и починки",eating;tasting,household_member;traveller;child,trifle,belt;bag,own;orn;rep;wear;dmg,TXT_WOOD_OWNER_POSSESSIVE,item_tpl_nov_wooden_spoon_v1,,n1230:material_item:pot0002;n1230:material_item:omi01799;n1230:material_item:omi01800;n1230:material_item:omi01780,claim:household-wooden-tableware;claim:household-utensil-wood,"master POT0002 (A): Прямое новгородское археологическое, архитектурное или письменное подтверждение в подходящем диапазоне; форму всё равно сверять с конкретным опубликованным экз… ; linked master rows 4, confidence set A/B ; v5 item_tpl_nov_wooden_spoon_v1: 4 source bindings (comparative_period) ; WK approved claims: 2",master:n1230:material_item:pot0002;master:n1230:material_item:omi01799;master:n1230:material_item:omi01800;master:n1230:material_item:omi01780;v5:item_tpl_nov_wooden_spoon_v1;wk:claim:household-wooden-tableware;wk:claim:household-utensil-wood;src:SRC005;src:SRC006;src:SRC024;src:SRC008;src:SRC080;src:SRC001;src:SRC045;src:SRC067;src:SRC082;src:SRC103,A,candidate,
it_hh_long_spoon,Деревянная ложка длинноручная (разливательная),long-handled wooden spoon,cat_item_object_long_handled_spoon_v1,proposed_new,universal,region_novgorod_land,tableware_wood,HH_TABLEWARE,wood,carved,small,band:small [50-250 g per piece]; nominal 100 g,100,analog v5:item_tpl_nov_ladle_v1 (src_gameplay_physical_policy_v3),piece,new;serviceable;worn;cracked;split;repaired;charred;damp_swollen;rotting;broken,cond_wood,"цвет: серо-коричневая керамика, дерево, тёмный металл | устройство: цельнорезная форма | следы: сколы, копоть, следы пищи, обручи и починки",serving;stirring,woman_of_household,trifle,not_carried,own;orn;wear;dmg,none,,,n1230:material_item:pot0003,claim:household-utensil-wood,"master POT0003 (A): Прямое новгородское археологическое, архитектурное или письменное подтверждение в подходящем диапазоне; форму всё равно сверять с конкретным опубликованным экз… ; WK approved claims: 1",master:n1230:material_item:pot0003;wk:claim:household-utensil-wood;src:SRC005;src:SRC024;src:SRC008;src:SRC080;src:SRC001,A,candidate,
it_hh_turned_bowl,Точёная деревянная миска,lathe-turned wooden bowl,cat_item_object_wooden_bowl_v1,existing_v5_draft,universal,region_novgorod_land,tableware_wood,HH_TABLEWARE,wood,turned_on_lathe,hand,band:hand [250-1000 g per piece]; nominal 400 g,400,v5:item_tpl_nov_wooden_bowl_v1.mass_grams_per_unit (src_gameplay_physical_policy_v3),piece,new;serviceable;worn;cracked;split;repaired;charred;damp_swollen;rotting;broken,cond_wood,"цвет: серо-коричневая керамика, дерево, тёмный металл | устройство: точение на токарном устройстве, доработка ножом | следы: сколы, копоть, следы пищи, обручи и починки",eating;serving,household_member,ordinary,not_carried,own;mk;orn;rep;wear;dmg,TXT_WOOD_OWNER_POSSESSIVE,item_tpl_nov_wooden_bowl_v1,,n1230:material_item:pot0005;n1230:material_item:omi01802,claim:household-wooden-tableware;claim:household-utensil-wood,"master POT0005 (A): Прямое новгородское археологическое, архитектурное или письменное подтверждение в подходящем диапазоне; форму всё равно сверять с конкретным опубликованным экз… ; linked master rows 2, confidence set A ; v5 item_tpl_nov_wooden_bowl_v1: 4 source bindings (comparative_period) ; WK approved claims: 2",master:n1230:material_item:pot0005;master:n1230:material_item:omi01802;v5:item_tpl_nov_wooden_bowl_v1;wk:claim:household-wooden-tableware;wk:claim:household-utensil-wood;src:SRC005;src:SRC103;src:SRC024;src:SRC080;src:SRC008;src:SRC001;src:SRC045;src:SRC067;src:SRC082,A,candidate,
it_hh_hollowed_bowl,Долблёная деревянная миска,hollowed wooden bowl,cat_item_object_wooden_bowl_v1,existing_v5_draft,universal,region_novgorod_land,tableware_wood,HH_TABLEWARE,wood,carved,hand,band:hand [250-1000 g per piece]; nominal 400 g,400,v5:item_tpl_nov_wooden_bowl_v1.mass_grams_per_unit (src_gameplay_physical_policy_v3),piece,new;serviceable;worn;cracked;split;repaired;charred;damp_swollen;rotting;broken,cond_wood,"цвет: серо-коричневая керамика, дерево, тёмный металл | устройство: долбление из чурбана | следы: сколы, копоть, следы пищи, обручи и починки",eating;serving;mixing,household_member,trifle,not_carried,own;orn;rep;wear;dmg,TXT_WOOD_OWNER_POSSESSIVE,item_tpl_nov_wooden_bowl_v1,,n1230:material_item:pot0004;n1230:material_item:hou0014,claim:household-wooden-tableware,"master POT0004 (A): Прямое новгородское археологическое, архитектурное или письменное подтверждение в подходящем диапазоне; форму всё равно сверять с конкретным опубликованным экз… ; linked master rows 2, confidence set A ; v5 item_tpl_nov_wooden_bowl_v1: 4 source bindings (comparative_period) ; WK approved claims: 1",master:n1230:material_item:pot0004;master:n1230:material_item:hou0014;v5:item_tpl_nov_wooden_bowl_v1;wk:claim:household-wooden-tableware;src:SRC005;src:SRC024;src:SRC080;src:SRC008;src:SRC001;src:SRC006;src:SRC061,A,candidate,
it_hh_wooden_cup,Деревянная чашка,wooden cup,cat_item_object_wooden_cup_v1,existing_v5_draft,universal,region_novgorod_land,tableware_wood,HH_TABLEWARE,wood,turned_on_lathe;carved,small,band:small [50-250 g per piece]; nominal 180 g,180,v5:item_tpl_nov_wooden_cup_v1.mass_grams_per_unit (src_gameplay_physical_policy_v3),piece,new;serviceable;worn;cracked;split;repaired;charred;damp_swollen;rotting;broken,cond_wood,"цвет: серо-коричневая керамика, дерево, тёмный металл | устройство: точение/долбление | следы: сколы, копоть, следы пищи, обручи и починки",drinking,household_member;traveller,ordinary,bag,own;orn;rep;wear;dmg,TXT_WOOD_OWNER_POSSESSIVE,item_tpl_nov_wooden_cup_v1,,n1230:material_item:pot0006,claim:household-wooden-tableware,"master POT0006 (A): Прямое новгородское археологическое, архитектурное или письменное подтверждение в подходящем диапазоне; форму всё равно сверять с конкретным опубликованным экз… ; v5 item_tpl_nov_wooden_cup_v1: 4 source bindings (comparative_period) ; WK approved claims: 1",master:n1230:material_item:pot0006;v5:item_tpl_nov_wooden_cup_v1;wk:claim:household-wooden-tableware;src:SRC005;src:SRC006;src:SRC024;src:SRC008;src:SRC080;src:SRC001,A,candidate,
it_hh_wooden_dish,Деревянное блюдо,wooden dish,cat_item_object_wooden_dish_v1,existing_v5_draft,universal,region_novgorod_land,tableware_wood,HH_TABLEWARE,wood,carved,hand,band:hand [250-1000 g per piece]; nominal 500 g,500,v5:item_tpl_nov_wooden_dish_v1.mass_grams_per_unit (src_gameplay_physical_policy_v3),piece,new;serviceable;worn;cracked;split;repaired;charred;damp_swollen;rotting;broken,cond_wood,"цвет: серо-коричневая керамика, дерево, тёмный металл | устройство: точение или резьба | следы: сколы, копоть, следы пищи, обручи и починки",serving,household_member,ordinary,not_carried,own;orn;rep;wear;dmg,TXT_WOOD_OWNER_POSSESSIVE,item_tpl_nov_wooden_dish_v1,,n1230:material_item:pot0007,claim:household-wooden-tableware,"master POT0007 (A): Прямое новгородское археологическое, архитектурное или письменное подтверждение в подходящем диапазоне; форму всё равно сверять с конкретным опубликованным экз… ; v5 item_tpl_nov_wooden_dish_v1: 4 source bindings (comparative_period) ; WK approved claims: 1",master:n1230:material_item:pot0007;v5:item_tpl_nov_wooden_dish_v1;wk:claim:household-wooden-tableware;src:SRC005;src:SRC024;src:SRC008;src:SRC080;src:SRC001,A,candidate,
it_hh_kovsh,Деревянный ковш,wooden ladle-scoop (kovsh),cat_item_object_ladle_v1,existing_v5_draft,universal,region_novgorod_land,tableware_wood,HH_TABLEWARE,wood,carved,small,band:small [50-250 g per piece]; nominal 100 g,100,v5:item_tpl_nov_ladle_v1.mass_grams_per_unit (src_gameplay_physical_policy_v3),piece,new;serviceable;worn;cracked;split;repaired;charred;damp_swollen;rotting;broken,cond_wood,"цвет: серо-коричневая керамика, дерево, тёмный металл | устройство: долбление и резьба | следы: сколы, копоть, следы пищи, обручи и починки",drinking;scooping,household_member,ordinary,not_carried,own;orn;rep;wear;dmg,TXT_WOOD_OWNER_POSSESSIVE,item_tpl_nov_ladle_v1,,n1230:material_item:pot0008;n1230:material_item:hou0010;n1230:material_item:omi01801,claim:household-utensil-wood,"master POT0008 (A): Прямое новгородское археологическое, архитектурное или письменное подтверждение в подходящем диапазоне; форму всё равно сверять с конкретным опубликованным экз… ; linked master rows 3, confidence set A ; v5 item_tpl_nov_ladle_v1: 4 source bindings (comparative_period) ; WK approved claims: 1",master:n1230:material_item:pot0008;master:n1230:material_item:hou0010;master:n1230:material_item:omi01801;v5:item_tpl_nov_ladle_v1;wk:claim:household-utensil-wood;src:SRC005;src:SRC006;src:SRC024;src:SRC008;src:SRC080;src:SRC001;src:SRC061;src:SRC089;src:SRC045;src:SRC067;src:SRC082;src:SRC103,A,candidate,
it_hh_dipper,Деревянный черпак,wooden dipper,cat_item_object_dipper_v1,proposed_new,universal,region_novgorod_land,tableware_wood,HH_TABLEWARE,wood,carved,small,band:small [50-250 g per piece]; nominal 100 g,100,analog v5:item_tpl_nov_ladle_v1 (src_gameplay_physical_policy_v3),piece,new;serviceable;worn;cracked;split;repaired;charred;damp_swollen;rotting;broken,cond_wood,"цвет: серо-коричневая керамика, дерево, тёмный металл | устройство: долбление и резьба из одного куска | следы: сколы, копоть, следы пищи, обручи и починки",scooping;pouring,woman_of_household,trifle,not_carried,own;wear;dmg,none,,,n1230:material_item:pot0009,claim:household-utensil-wood,"master POT0009 (A): Прямое новгородское археологическое, архитектурное или письменное подтверждение в подходящем диапазоне; форму всё равно сверять с конкретным опубликованным экз… ; WK approved claims: 1",master:n1230:material_item:pot0009;wk:claim:household-utensil-wood;src:SRC005;src:SRC024;src:SRC008;src:SRC080;src:SRC001,A,candidate,
it_hh_vessel_lid_wood,Деревянная крышка сосуда,wooden vessel lid,cat_item_object_vessel_lid_v1,proposed_new,universal,region_novgorod_land,tableware_wood,HH_TABLEWARE,wood,carved,small,band:small [50-250 g per piece]; nominal 120 g,120,band default small,piece,new;serviceable;worn;cracked;split;repaired;charred;damp_swollen;rotting;broken,cond_wood,"цвет: серо-коричневая керамика, дерево, тёмный металл | устройство: цельная/составная доска, резная ручка | следы: сколы, копоть, следы пищи, обручи и починки",covering,woman_of_household,trifle,not_carried,wear;dmg,none,,,n1230:material_item:pot0001,claim:household-utensil-wood,"master POT0001 (A): Прямое новгородское археологическое, архитектурное или письменное подтверждение в подходящем диапазоне; форму всё равно сверять с конкретным опубликованным экз… ; WK approved claims: 1",master:n1230:material_item:pot0001;wk:claim:household-utensil-wood;src:SRC005;src:SRC024;src:SRC008;src:SRC080;src:SRC001,A,candidate,
it_hh_chopping_board,Разделочная доска,chopping board,cat_item_object_chopping_board_v1,existing_v5_draft,universal,region_novgorod_land,kitchen_wood,HH_COOKWARE,wood,carved,medium,band:medium [1000-5000 g per piece]; nominal 1200 g,1200,v5:item_tpl_nov_chopping_board_v1.mass_grams_per_unit (src_gameplay_physical_policy_v3),piece,new;serviceable;worn;cracked;split;repaired;charred;damp_swollen;rotting;broken,cond_wood,"цвет: серо-коричневая керамика, дерево, тёмный металл | устройство: тесаная доска | следы: сколы, копоть, следы пищи, обручи и починки",cutting;kneading,woman_of_household,trifle,not_carried,wear;dmg,none,item_tpl_nov_chopping_board_v1,,n1230:material_item:pot0010,claim:household-utensil-wood,master POT0010 (B): Хорошая реконструкция по новгородским данным и нескольким близким древнерусским аналогиям XII–XIII вв. ; v5 item_tpl_nov_chopping_board_v1: 4 source bindings (comparative_period) ; WK approved claims: 1,master:n1230:material_item:pot0010;v5:item_tpl_nov_chopping_board_v1;wk:claim:household-utensil-wood;src:SRC005;src:SRC024;src:SRC008;src:SRC080;src:SRC001,B,candidate,
